file,date,direction,distance_bin,original_value
alaid.csv,2016-07-06,NE,45m,1.031
arenal.csv,2001-06-15,SO,45m,1.0339
arenal.csv,2008-03-05,NE,75m,1.0215
biliran.csv,2013-08-10,SO,45m,1.0947
bogoslof.csv,2008-11-18,E,45m,-1.2591
bogoslof.csv,2008-11-18,E,75m,-1.4407
bogoslof.csv,2017-08-15,SE,45m,-1.0138
bogoslof.csv,2019-08-14,E,45m,-5.025
copahue.csv,2018-12-07,NE,75m,-1.2214
copahue.csv,2018-12-07,NE,105m,-1.9538
copahue.csv,2018-12-07,NE,135m,-2.2143
copahue.csv,2018-12-07,NE,165m,-1.1539
erta_ale.csv,2014-11-02,NO,45m,1.0182
erta_ale.csv,2014-11-02,NO,75m,1.0119
erta_ale.csv,2014-11-02,NO,105m,1.0346
erta_ale.csv,2015-02-06,NO,45m,1.0178
erta_ale.csv,2016-05-23,O,15m,1.0125
erta_ale.csv,2016-11-23,NO,105m,1.0156
etna.csv,2025-08-23,NE,45m,1.0188
fuego.csv,2016-09-07,NO,45m,1.1584
fuego.csv,2016-09-07,NO,75m,1.2223
fuego.csv,2016-09-07,NO,105m,1.1773
fuego.csv,2016-09-07,NO,135m,1.1083
fuego.csv,2017-03-02,SE,45m,1.0897
fuego.csv,2017-03-02,SE,75m,1.0357
fuego.csv,2019-03-08,E,45m,1.0065
fuego.csv,2020-10-12,SE,45m,1.0615
fuego.csv,2021-02-01,S,15m,1.0059
fuego.csv,2021-02-01,S,45m,1.0059
fuego.csv,2023-02-15,E,45m,1.0079
ibu.csv,2020-03-09,SO,45m,1.0008
ibu.csv,2021-11-15,SO,45m,1.145
ibu.csv,2021-11-15,SO,75m,1.0291
kawah_ijen.csv,2013-11-10,NO,45m,1.5169
kawah_ijen.csv,2023-09-19,NE,195m,-1.1293
kawah_ijen.csv,2023-11-22,O,15m,1.0032
kawah_ijen.csv,2023-11-22,O,45m,1.0011
kadovar.csv,2015-06-04,N,45m,8.8195
kadovar.csv,2015-06-04,N,75m,7.364
kadovar.csv,2015-06-04,N,105m,5.5916
kadovar.csv,2015-06-04,N,135m,2.9842
kadovar.csv,2015-07-22,N,45m,13.3109
kadovar.csv,2015-07-22,N,75m,11.4625
kadovar.csv,2015-07-22,N,105m,9.0926
kadovar.csv,2015-07-22,N,135m,5.94
kadovar.csv,2015-07-22,N,165m,2.0067
kadovar.csv,2015-08-23,N,45m,12.3183
kadovar.csv,2015-08-23,N,75m,10.634
kadovar.csv,2015-08-23,N,105m,8.4633
kadovar.csv,2015-08-23,N,135m,5.5729
kadovar.csv,2015-08-23,N,165m,1.9089
kadovar.csv,2015-09-24,N,45m,13.1184
kadovar.csv,2015-09-24,N,75m,11.0359
kadovar.csv,2015-09-24,N,105m,8.6721
kadovar.csv,2015-09-24,N,135m,5.5022
kadovar.csv,2015-09-24,N,165m,1.8412
kadovar.csv,2016-07-08,NO,15m,-1.105
kadovar.csv,2017-08-28,NO,15m,-7.3996
kadovar.csv,2017-08-28,NO,45m,-5.8745
kadovar.csv,2017-08-28,NO,75m,-5.1606
kadovar.csv,2017-08-28,NO,105m,-4.3257
kadovar.csv,2017-08-28,NO,135m,-1.7768
kadovar.csv,2018-05-27,NO,45m,-1264.8474
kadovar.csv,2018-05-27,NO,75m,-1096.5686
kadovar.csv,2018-05-27,NO,105m,-866.4164
kadovar.csv,2018-05-27,NO,135m,-856.0679
kadovar.csv,2018-07-30,NO,45m,-109.7408
kadovar.csv,2018-07-30,NO,75m,-91.6494
kadovar.csv,2018-07-30,NO,105m,-70.6089
kadovar.csv,2018-07-30,NO,135m,-76.1439
kadovar.csv,2021-03-16,NO,45m,-1.423
kadovar.csv,2021-03-16,NO,75m,-1.2283
kadovar.csv,2024-08-15,NO,45m,-4.0377
kadovar.csv,2024-08-15,NO,75m,-3.6192
kadovar.csv,2024-08-15,NO,105m,-3.0576
kadovar.csv,2024-08-15,NO,135m,-2.4591
kadovar.csv,2024-08-15,NO,165m,-1.7549
kadovar.csv,2024-09-24,N,45m,-1.4183
kadovar.csv,2024-09-24,N,75m,-1.1617
kadovar.csv,2024-09-24,NO,45m,-4.833
kadovar.csv,2024-09-24,NO,75m,-4.3278
kadovar.csv,2024-09-24,NO,105m,-3.6434
kadovar.csv,2024-09-24,NO,135m,-2.9325
kadovar.csv,2024-09-24,NO,165m,-2.006
kadovar.csv,2024-10-02,NO,15m,-2.5604
kadovar.csv,2024-10-02,NO,45m,-2.2554
kadovar.csv,2024-10-02,NO,75m,-2.0098
kadovar.csv,2024-10-02,NO,105m,-1.8151
kadovar.csv,2024-10-02,NO,135m,-1.601
kadovar.csv,2024-10-02,NO,165m,-1.1547
kadovar.csv,2025-07-25,N,45m,2.9448
kadovar.csv,2025-07-25,N,75m,2.6553
kadovar.csv,2025-07-25,N,105m,2.2027
kadovar.csv,2025-07-25,N,135m,1.5902
