date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-02,-8.3455,115.505,E,0.0516,0.0277,0.0367,0.0423,0.0537,0.0229,0.0261,0.0008,0.0218,0.0576,0.048,0.0388,0.0327,0.0176,0.0175,-0.0053,-0.0457,-0.0346,-0.0265,-0.0168,-0.0188,-0.0186,-0.0151,-0.0115,-0.0057,0.0009,0.0046,0.0154,0.0283,0.031
2000-07-02,-8.3455,115.505,N,,,0.0824,0.0769,0.1004,0.0936,0.0939,0.0803,0.0555,0.0468,0.0146,0.0371,0.0138,-0.0092,-0.04,-0.0677,-0.0564,-0.0483,-0.053,-0.0352,-0.0261,-0.0114,-0.0013,0.0105,0.0093,0.0169,0.0208,0.0227,0.03,0.0252
2000-07-02,-8.3455,115.505,NE,,0.0379,0.0398,0.0098,0.0214,0.0185,0.0306,0.0406,0.0461,0.0383,0.038,0.0406,0.0526,0.0273,0.0157,-0.0117,-0.0093,-0.0307,-0.0031,-0.0022,-0.0051,-0.0649,0.0011,-0.0048,-0.0185,-0.0291,-0.024,-0.0081,0.0206,0.0271
2000-07-02,-8.3455,115.505,NO,,0.0759,0.0601,0.0559,0.0331,0.0416,0.0513,0.0515,0.0384,0.0364,0.032,-0.009,-0.0095,-0.0232,-0.0225,-0.0177,-0.0151,-0.0164,-0.0144,-0.018,-0.0037,-0.0037,0.0181,0.0051,0.0061,0.0078,0.0053,0.0036,0.0094,0.0119
2000-07-02,-8.3455,115.505,O,,0.2369,0.1907,0.1048,0.1022,0.0465,0.0105,0.0056,0.0079,0.0038,0.0038,1e-04,-0.0014,-0.0071,-0.0009,-0.0009,0.0009,-0.0102,-0.0124,-0.007,-0.0059,0.0022,0.0006,0.0003,-0.0016,-0.0036,0.0064,0.0102,0.0053,0.0061
2000-07-02,-8.3455,115.505,S,,0.1692,0.1584,0.1307,0.1407,0.1128,0.0623,0.0201,0.009,-0.0019,-0.0219,-0.0265,-0.0254,-0.0286,-0.0206,-0.0038,-0.0126,-0.0268,-0.022,-0.0099,0.0049,0.0136,0.0171,0.0316,0.016,0.006,-0.0075,-0.0048,-0.0046,-0.0065
2000-07-02,-8.3455,115.505,SE,,0.0416,0.02,0.0209,0.0372,0.029,0.0222,0.0411,0.0157,0.0278,0.0178,-0.002,-0.0145,-0.0278,-0.0291,-0.048,-0.0125,0.004,0.0069,-0.0098,-0.0082,-0.0368,-0.0188,-0.0089,0.0071,0.0072,0.0029,0.0147,0.0198,0.0159
2000-07-02,-8.3455,115.505,SO,0.2649,0.2426,0.2302,0.1737,0.0457,0.0568,0.0444,0.0357,0.0191,0.0071,-0.0004,-0.0075,-0.0137,-0.0206,-0.0204,-0.02,-0.0098,-0.0107,-0.0056,-0.0028,0.0057,0.0044,0.0098,0.007,0.0021,-0.0047,-0.0091,-0.0077,-0.0016,-0.0011
2000-12-09,-8.3438,115.5036,E,0.1464,0.1391,0.1363,0.1334,0.1281,0.1092,0.0982,0.0778,0.0525,0.021,-0.0051,-0.0144,-0.0022,-0.0026,-0.0066,-0.018,-0.02,-0.0166,-0.0125,-0.0034,-0.0036,-0.0056,-0.0017,0.0029,0.0034,0.0015,0.0,0.005,0.005,0.0056
2000-12-09,-8.3438,115.5036,N,,,0.0516,0.0607,0.0553,0.0682,0.0381,0.0253,0.0155,0.0372,0.0351,0.037,0.0212,0.0124,0.0095,-0.0008,-0.0081,-0.0225,-0.0139,-0.012,-0.0111,-0.0164,-0.0088,-0.0206,-0.0041,0.0054,0.0006,0.0119,-0.0053,-0.0058
2000-12-09,-8.3438,115.5036,NE,,0.1191,0.0935,0.0611,0.0777,0.0412,0.0426,0.0427,0.0349,0.0295,0.0298,0.0256,0.0258,0.0223,0.0012,-0.014,-0.0229,-0.0088,0.0105,0.012,0.004,0.001,0.0007,-0.003,-0.0101,-0.0126,-0.0063,-0.0137,-0.0121,-0.0033
2000-12-09,-8.3438,115.5036,NO,,0.1024,0.1011,0.0895,0.0844,0.0687,0.0423,0.025,-0.0009,0.0105,-0.0009,-0.0062,-0.0119,-0.0283,-0.0171,-0.0138,-0.0095,0.0039,0.0029,0.0067,-0.0011,-0.0005,-0.0042,-0.003,0.001,0.0071,0.0099,0.0097,0.012,0.022
2000-12-09,-8.3438,115.5036,O,0.1024,0.0869,0.0497,0.0655,0.0338,0.0295,0.0246,0.0221,0.0168,0.0243,0.0311,0.0276,-0.0083,-0.0153,-0.0207,-0.0247,-0.0198,-0.0213,-0.0194,-0.011,-0.0068,0.0003,0.0094,0.0054,0.0042,1e-04,0.0022,0.0106,0.0098,0.0099
2000-12-09,-8.3438,115.5036,S,,0.0046,0.0364,0.0358,0.0281,0.0196,0.0052,-0.0248,-0.0169,-0.0138,-0.009,-0.0077,-0.0032,0.0073,0.0252,-0.0054,-0.0097,0.0079,0.0053,0.0073,-0.0125,-0.0041,0.0027,-0.0134,0.0011,0.0162,0.0267,0.004,-0.012,-0.0089
2000-12-09,-8.3438,115.5036,SE,0.0722,0.0776,0.0259,0.0531,0.0878,0.0907,0.0752,0.0447,0.0,-0.0065,-0.0051,-0.0073,-0.0065,0.0161,0.0177,0.0025,0.0194,0.0203,0.0313,0.0066,0.0162,0.013,0.0073,-0.005,-0.0149,-0.0126,-0.015,-0.0211,-0.0179,-0.0328
2000-12-09,-8.3438,115.5036,SO,0.0824,0.0711,0.0349,0.023,0.0184,0.0112,0.0199,0.0161,0.0116,0.0068,0.0003,0.0027,-0.0068,-0.0056,-0.0082,-0.0136,-0.0073,-0.0175,0.0042,0.005,0.0102,0.0138,-0.0006,0.0151,0.0192,0.0211,0.0105,-0.009,-0.0061,-0.0014
2001-06-19,-8.3454,115.5047,E,0.0275,0.0036,0.0059,0.0059,0.0164,0.0036,0.0103,-0.0015,0.021,0.0537,0.0397,0.0353,0.0373,0.0202,0.0155,-0.0086,-0.0268,-0.0294,-0.0173,-0.0109,-0.0158,-0.0224,-0.0182,-0.0099,-0.0073,0.0026,0.0142,0.014,0.0192,0.0239
2001-06-19,-8.3454,115.5047,N,,,0.0652,0.057,0.0459,0.0613,0.0542,0.0517,0.0535,0.0424,0.0223,0.0316,0.0249,0.011,-0.008,-0.0328,-0.0637,-0.0491,-0.0421,-0.0372,-0.031,-0.0183,-0.0117,-0.001,0.0081,0.0145,0.0223,0.0211,0.0294,0.0295
2001-06-19,-8.3454,115.5047,NE,,0.0579,0.0405,0.0093,0.0264,0.0012,0.026,0.0272,0.0424,0.04,0.0429,0.0401,0.0501,0.0406,0.0368,-0.0056,-0.0155,-0.0417,-0.0306,-0.024,-0.0022,-0.0144,-0.0342,0.0048,0.0039,-0.0032,-0.0069,-0.0163,-0.005,0.0203
