date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-13,31.576,130.6649,E,,0.2427,0.2273,0.2343,0.2169,,,,,0.1813,0.1814,0.1384,0.0943,0.0855,0.0611,0.0499,,,,,,,,-0.0189,-0.0188,-0.0194,-0.0191,-0.0058,-0.0045,-0.0061
2000-02-13,31.576,130.6649,N,0.044,0.0505,0.0442,0.029,0.0156,0.0162,0.0038,0.0082,0.0097,0.0048,0.0038,0.0004,0.0092,0.0181,0.0174,0.0354,0.0474,0.0485,0.0544,0.0438,0.0319,0.0075,-0.0025,-0.0057,-0.006,-0.0073,-0.0159,-0.0236,-0.0405,-0.0406
2000-02-13,31.576,130.6649,NE,,0.1215,0.1083,0.0884,0.0728,0.0652,0.0535,0.0502,0.0465,0.0427,0.0241,0.0037,0.0012,-0.0022,-0.0063,-0.0033,-0.0022,0.001,0.0084,0.0112,0.0197,0.0134,0.0296,0.0059,0.019,-0.009,-0.0056,-0.0152,-0.017,-0.0113
2000-02-13,31.576,130.6649,NO,,-0.0325,-0.0357,-0.0393,-0.0336,-0.0564,-0.0295,-0.0359,-0.03,-0.0318,-0.0209,-0.0159,-0.0109,-0.003,0.0024,0.0149,0.0217,0.0309,0.0355,0.0398,0.0432,0.0344,0.021,0.006,0.0041,-0.0045,-0.0204,-0.022,-0.0264,-0.0314
2000-02-13,31.576,130.6649,O,0.0805,0.0631,0.0235,-0.0363,-0.0843,-0.0566,-0.0093,-0.0119,-0.0241,-0.0161,0.011,,,,,,,,-0.0363,,-0.0714,-0.0178,0.0217,0.0437,0.0339,0.0146,0.0013,-0.0146,-0.017,-0.0217
2000-02-13,31.576,130.6649,S,,0.2596,0.1771,0.0626,0.0626,0.0262,0.0884,0.0105,,,,,,,,,,,,,,,,,,,,,,
2000-02-13,31.576,130.6649,SE,-0.1385,-0.1177,-0.0911,-0.0443,-0.0156,0.0207,0.0506,0.055,0.0636,0.0202,-0.0033,-0.0003,-0.0562,-0.082,-0.051,-0.0372,-0.0379,-0.0099,-0.0669,,,,,,,,,,,
2000-02-13,31.576,130.6649,SO,,0.2413,0.2032,0.0625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-17,31.5787,130.6612,E,0.3768,0.2641,0.1284,0.0368,-0.0356,-0.0705,-0.0607,-0.0426,-0.031,-0.0266,-0.018,-0.0188,-0.021,-0.0361,-0.0306,-0.0206,-0.0155,-0.0093,-0.0089,0.006,0.0147,0.0164,0.0131,0.0074,0.0161,0.0269,0.0222,0.0088,-0.004,0.0004
2000-04-17,31.5787,130.6612,N,0.3029,0.3001,0.1762,0.0287,-0.1166,-0.087,-0.0597,-0.0584,-0.0209,0.0036,0.0105,0.0171,0.0147,0.0115,-0.0006,-0.008,-0.0019,0.011,0.0067,0.0122,0.0091,0.0117,0.0088,0.0106,0.0147,0.0125,0.0145,0.0121,0.0137,0.0146
2000-04-17,31.5787,130.6612,NE,,0.2921,0.1745,0.0537,-0.053,-0.0604,-0.0399,-0.0217,-0.012,-0.0019,-0.0049,-1e-04,-0.0066,0.0004,0.0054,0.0019,0.005,0.0086,0.0039,0.0059,0.0056,0.0084,0.0031,-0.005,-0.0089,-0.0103,-0.0084,-0.0068,-0.0017,1e-04
2000-04-17,31.5787,130.6612,NO,,0.2541,0.1586,0.0365,-0.1007,-0.128,-0.0827,-0.0499,-0.0213,-0.0084,0.0106,0.0225,0.0337,0.0348,0.0407,0.0263,0.0237,0.0043,-0.0053,-0.0063,-0.0115,-0.0106,-0.0071,0.0011,-1e-04,0.0038,0.0045,0.0066,0.013,0.0217
2000-04-17,31.5787,130.6612,O,,0.4143,0.3124,0.2165,0.0363,-0.0228,-0.0093,-0.005,0.0072,0.0019,0.0082,0.0059,0.0076,0.0074,0.0051,-0.0016,-0.001,-0.0008,-0.0018,-0.0043,-0.0027,0.0056,0.0119,0.0041,0.0015,-0.0012,-0.0038,-0.0062,-0.0073,-0.0036
2000-04-17,31.5787,130.6612,S,,0.5299,0.4091,0.326,0.2353,0.2279,0.1501,0.0829,0.0095,-0.0004,0.018,0.0051,0.0143,0.0324,0.017,0.0294,0.0302,0.0263,0.0293,0.0055,-0.0211,-0.0213,-0.0232,-0.0245,-0.0258,-0.0274,-0.0284,-0.0297,-0.031,-0.032
2000-04-17,31.5787,130.6612,SE,,0.4142,0.3698,0.2893,0.1943,0.0438,-0.0107,-0.0271,0.0025,0.0141,0.0113,0.0484,0.0567,0.0657,0.0744,0.0719,0.0648,0.0743,0.055,0.0253,-0.0147,-0.0315,-0.0404,-0.0424,-0.049,-0.0444,-0.0449,-0.0455,-0.052,-0.0561
2000-04-17,31.5787,130.6612,SO,0.4882,0.4549,0.3892,0.2533,0.1401,0.0598,0.0193,-0.0233,-0.0153,0.0036,-0.0032,0.0123,0.0052,-0.0016,-0.0027,-0.0042,-0.0077,-0.0105,-0.0056,-0.0016,-0.0136,0.0081,-0.0092,-0.0138,-0.01,-0.0081,0.0022,0.0053,0.0083,0.0136
2000-05-03,31.5807,130.6562,E,0.2571,0.2152,0.1726,0.1288,0.0719,0.0374,-0.0552,-0.0668,-0.0662,-0.0588,-0.0407,-0.0298,-0.0271,-0.0324,-0.0366,-0.0336,-0.0362,-0.0245,-0.0247,-0.0096,0.0059,0.0186,0.0268,0.0333,0.0349,0.034,0.027,0.0204,0.0091,-0.0075
2000-05-03,31.5807,130.6562,N,,0.1145,0.104,0.0865,0.0772,0.08,0.0667,0.0645,0.0411,0.0182,0.0121,0.0125,0.023,0.0157,-0.0127,-0.0163,-0.0107,-0.0158,-0.0271,0.0123,0.0155,0.0068,0.01,0.0015,-0.0229,-0.0204,0.0114,-0.0097,0.0065,0.027
2000-05-03,31.5807,130.6562,NE,,0.1314,0.1225,0.1227,0.1239,0.1278,0.1082,0.1023,0.0782,0.0763,0.0588,0.0267,0.0224,-0.0066,-0.0077,0.0007,0.0235,0.0425,0.0335,0.0157,0.0031,0.0125,0.0058,-0.0184,-0.0321,-0.0416,-0.0471,-0.0547,-0.0503,-0.0485
2000-05-03,31.5807,130.6562,NO,0.2565,0.2092,0.1834,0.1549,0.104,,,,,,,,,,,,,,,,,,,,-0.025,-0.0078,-0.0065,0.0038,0.0016,0.0058
2000-05-03,31.5807,130.6562,O,,0.2372,0.2234,,,,0.0893,0.0462,0.0039,-0.0074,0.0071,0.0167,0.0072,0.0026,-0.0019,0.0024,0.0023,-0.0032,0.0003,-0.0004,0.004,-0.0003,-0.0048,-0.0103,-0.0112,-0.0123,-0.0107,-0.0053,-0.0008,0.0038
2000-05-03,31.5807,130.6562,S,,0.3294,0.2396,0.1526,0.0545,0.0144,0.0111,0.0072,0.0041,0.0005,-0.0002,-0.0053,-0.0086,-0.0112,-0.0065,-0.0017,0.0007,0.0029,-0.0005,0.0025,0.0013,0.003,0.0012,0.0018,-0.0004,-0.0013,0.001,-0.002,0.005,0.0048
2000-05-03,31.5807,130.6562,SE,0.2829,0.2833,0.1966,0.0777,0.023,-0.0052,-0.0152,-0.0157,-0.0132,-0.0129,-0.0168,-0.0181,-0.0091,1e-04,0.0053,-0.0039,-0.0087,-0.0006,0.0098,0.013,-0.0114,-0.0182,-0.0207,-0.0211,-0.0185,0.0008,0.0194,0.0127,0.0063,0.004
2000-05-03,31.5807,130.6562,SO,0.2902,0.2929,0.2865,0.1532,0.1807,0.0663,0.0222,-0.0021,-0.0042,-0.0072,-0.0143,-0.015,-0.0209,-0.0286,-0.0281,-0.0282,-0.0205,0.0038,-0.0139,-0.0012,-0.0007,0.0074,0.001,0.0042,0.0007,-0.0006,0.0007,0.0086,0.009,0.0153
2000-09-24,31.5787,130.6609,E,0.619,0.426,0.1785,0.0091,-0.0329,-0.0445,-0.0319,-0.0165,-0.0245,-0.0285,-0.024,-0.0284,-0.044,-0.0518,-0.0547,-0.0363,-0.0184,-0.0098,-0.0201,0.0117,0.01,0.0052,0.0064,0.0204,0.0385,0.0399,0.0268,0.0035,-0.01,-0.0081
2000-09-24,31.5787,130.6609,N,0.6225,0.3339,0.2933,0.1684,0.0244,-0.0454,-0.0426,-0.0189,-0.01,0.0028,0.0044,0.0148,0.0182,0.0144,0.0153,-0.0041,0.0004,-0.0031,0.0048,-0.0046,-0.0005,-0.0052,0.0007,-0.0016,-0.0091,-0.0018,-0.0028,0.0029,0.0107,0.0148
2000-09-24,31.5787,130.6609,NE,,0.4043,0.2029,0.0584,-0.004,-0.0006,0.0343,0.0252,0.0255,0.0113,0.0073,-0.0205,-0.0337,-0.0319,-0.0304,-0.0248,-0.0187,-0.0104,-0.0132,-0.0084,-0.0045,0.0057,0.0158,0.0271,1e-04,0.0088,0.0043,0.0083,0.0056,-0.0022
2000-09-24,31.5787,130.6609,NO,,0.3654,0.2577,0.0953,0.0019,-0.0415,-0.037,-0.018,0.0025,0.0064,0.0136,0.0052,-0.0061,-0.0051,-0.0105,0.0015,0.0067,0.0161,0.0258,0.0106,0.0012,-0.0054,-0.006,-0.0005,-0.0015,-0.0019,-0.0021,-0.0034,0.0024,0.0061
2000-09-24,31.5787,130.6609,O,,,,,0.0678,0.0255,0.0318,0.0438,0.0237,,,,,,,,,,,,,,-0.0306,-0.0286,-0.0147,-0.0073,-0.0093,-0.0112,-0.0025,0.0031
2000-09-24,31.5787,130.6609,S,,0.5894,0.2654,0.1252,0.1252,0.1002,0.0665,0.0507,-0.0202,0.0059,-0.0071,-0.0205,-0.0104,0.001,0.0166,0.0272,0.0297,0.046,0.0113,-0.0351,-0.0402,-0.0405,-0.0407,-0.0412,-0.0415,-0.0417,-0.0363,-0.0366,-0.034,-0.0259
2000-09-24,31.5787,130.6609,SE,,0.5081,0.351,0.1181,0.0348,0.0223,0.0183,0.0704,0.0525,0.082,0.0504,0.083,0.0754,0.0858,0.0855,0.0969,0.1028,0.0768,0.0485,0.0021,-0.0406,-0.0449,-0.0591,-0.0622,-0.0629,-0.0549,-0.0533,-0.0597,-0.0541,-0.06
2000-09-24,31.5787,130.6609,SO,0.7579,,,,,,,,-0.0948,-0.0732,-0.0729,-0.0207,-0.0431,-0.0011,0.0045,0.0182,0.0348,0.0316,0.018,0.0053,0.0023,-0.0007,0.0019,-0.0037,0.0038,1e-04,-0.004,-0.006,-0.0037,-0.003
2000-12-29,31.5714,130.6604,E,,0.061,0.0608,0.0614,0.0637,0.0694,0.0711,0.0686,0.0581,0.0439,0.0237,-0.0043,-0.0256,-0.0353,-0.03,-0.0223,-0.012,0.0105,0.029,0.0286,0.0145,-0.0035,-0.0206,-0.0373,-0.0477,-0.0543,-0.0619,-0.074,-0.0552,
2000-12-29,31.5714,130.6604,N,0.0675,0.0632,0.0448,0.0337,0.0242,0.0197,0.0193,0.0105,0.0057,0.0013,0.0056,0.0136,0.0161,0.015,0.0015,-0.0188,0.0041,0.0034,,,,,,,,,,,,
2000-12-29,31.5714,130.6604,NE,,0.0686,0.058,0.053,0.0518,0.0515,0.0515,0.044,0.0206,-0.0057,-0.0283,-0.0353,-0.018,0.0003,0.0042,1e-04,-0.0071,-0.0065,0.0095,0.0234,0.0333,0.0232,0.0112,0.0026,-0.0059,-0.0215,-0.0354,-0.0444,-0.0631,-0.0542
