date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-25,43.3767,144.0101,E,,,-0.0307,-0.0102,0.0153,0.021,0.0173,0.0072,0.0064,0.0098,0.0138,0.0202,0.0202,0.0066,-0.0141,-0.0034,0.0069,0.0108,0.0071,0.0006,-0.0075,-0.0052,-0.0078,-0.0092,-0.0106,-0.0086,-0.0016,0.0246,0.0218,0.019
2000-05-25,43.3767,144.0101,N,,0.0288,0.0352,0.0469,0.0282,0.0124,0.0117,-0.0086,0.0103,-0.004,-0.0342,0.0011,0.0297,0.0468,0.0502,0.0219,0.0313,0.0021,-0.0223,-0.0322,-0.0374,-0.0295,-0.0303,-0.0273,-0.0283,-0.0231,-0.001,0.0136,0.0201,0.0142
2000-05-25,43.3767,144.0101,NE,0.0796,0.0684,,-0.0443,-0.0193,0.0009,0.014,0.0157,0.0072,0.0076,-0.0531,0.0044,0.0048,0.0009,0.0148,0.0108,0.015,0.0296,0.0259,0.0078,0.016,0.0323,0.0071,0.0123,0.0211,-0.0069,-0.0066,0.0058,0.0103,0.0177
2000-05-25,43.3767,144.0101,NO,,0.0176,0.019,0.009,-0.0114,-0.0152,-0.0166,-0.0183,-0.0126,-0.0138,-0.0399,-0.0283,-0.0203,0.0016,0.0141,0.0202,0.0303,0.0388,0.0354,0.0333,0.0115,0.0069,-0.0423,-0.0284,0.0419,0.0351,0.0178,0.0115,0.0153,0.0029
2000-05-25,43.3767,144.0101,O,,0.0918,0.0918,0.081,0.0803,0.0689,0.0594,0.0611,0.0596,0.0679,0.0871,0.0673,0.0336,0.0187,0.0633,0.0685,0.0631,0.0474,0.0175,-0.0182,-0.0209,-0.0322,-0.0165,-0.0163,-0.0246,-0.0301,-0.0753,-0.0899,-0.1,-0.0882
2000-05-25,43.3767,144.0101,S,,0.0998,0.0727,0.0839,0.0653,0.0603,0.0454,0.0446,0.042,0.0307,0.0199,0.0176,0.0128,0.0133,0.0234,0.0219,0.0102,-0.0051,-0.0209,-0.0267,-0.0185,-0.0177,-0.0115,-0.0143,-0.0103,-0.0106,-0.0108,-0.0027,0.0083,0.0069
2000-05-25,43.3767,144.0101,SE,0.1049,0.1012,0.0489,0.0303,0.0171,0.0598,0.0475,0.0202,0.03,0.0327,0.0248,0.0197,0.0057,-0.0219,-0.0384,-0.0222,0.0015,0.0146,0.0096,0.0073,0.0179,0.0196,0.0288,0.0129,-0.0059,-0.0027,-0.0119,-0.0175,-0.0309,-0.0163
2000-05-25,43.3767,144.0101,SO,,0.1016,0.0995,0.1103,0.1214,0.1123,0.0955,0.0864,0.078,0.0734,0.0532,0.0289,0.0055,-0.0009,-0.0325,-0.0374,-0.0119,-0.0057,-0.0132,-0.0037,-0.0047,-0.0028,-0.0071,0.0031,0.0013,-0.0019,-0.0038,0.0035,-0.0087,-0.0092
2000-06-26,43.3786,144.0117,E,0.0826,0.0757,0.0805,0.0775,0.0772,0.0791,0.0704,0.06,0.0578,0.0529,0.0432,0.0329,0.0206,0.009,-0.0084,-0.0105,-0.0175,-0.0227,-0.0199,-0.0185,-0.0131,-0.0107,-0.011,-0.0054,-0.0083,-0.0064,-0.007,-0.0075,-0.001,0.0173
2000-06-26,43.3786,144.0117,N,,0.0755,0.0553,0.0594,0.042,0.0243,0.0088,-0.018,-0.0003,0.0131,0.0148,0.0287,0.0323,0.0179,0.0207,0.0057,-0.015,-0.0037,-0.0091,-0.0159,-0.0392,-0.0373,-0.0257,-0.0338,-0.0056,-0.0334,0.0136,0.0328,0.0356,0.0284
