date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-20,50.8567,155.5653,E,0.3503,0.3246,0.3073,0.2803,0.2317,0.2177,0.1974,0.1889,0.1895,0.1703,0.1522,0.1269,0.0981,0.0876,0.065,0.0243,-0.0121,-0.0441,-0.0513,-0.0286,-0.0373,-0.0371,-0.04,-0.0466,-0.0487,-0.0633,-0.0447,-0.0505,-0.0489,-0.033
2000-09-20,50.8567,155.5653,N,0.1363,0.1357,0.1213,0.0999,0.0842,0.0612,0.051,0.0327,0.0331,0.0305,0.0281,0.0272,0.0212,0.0092,-0.0061,-0.0053,-0.001,-0.0002,-0.0126,-0.0112,-0.0156,-0.0212,-0.0158,-0.0105,-0.0049,-0.006,-0.0013,-0.0002,0.0007,0.0042
2000-09-20,50.8567,155.5653,NE,,0.1984,0.1854,0.1634,0.1391,0.1179,0.1179,0.1242,0.1244,0.1018,0.0626,0.0252,0.0117,0.0074,0.0086,0.0076,0.002,0.0008,-0.001,0.002,0.0017,0.0019,0.0076,0.0052,0.0088,-0.0003,0.0143,0.0033,0.0123,0.0049
2000-09-20,50.8567,155.5653,NO,0.1251,0.0998,0.0712,0.0338,-0.0078,-0.061,-0.0605,-0.0485,-0.046,-0.0337,-0.0251,-0.0163,-0.0089,-0.0094,-0.0065,0.0095,0.0172,0.0233,0.0293,0.0302,0.0326,0.0191,0.0046,-0.0085,-0.0044,-0.0027,0.0028,0.0037,-0.0008,0.0025
2000-09-20,50.8567,155.5653,O,,0.0331,0.0035,-0.0233,-0.0375,-0.0358,-0.0326,-0.0387,-0.037,-0.0077,0.0119,0.0276,0.0236,0.0196,0.022,0.0229,0.0153,0.0053,0.0137,0.0162,0.0222,0.0194,-0.002,-0.0087,-0.0165,-0.0188,0.0004,-0.0002,0.006,0.0157
2000-09-20,50.8567,155.5653,S,0.2694,0.257,0.2325,0.2282,0.2275,0.2097,0.2046,0.1884,0.1541,0.1099,0.0121,-0.0718,-0.1443,-0.1274,-0.124,-0.1159,-0.0604,-0.0554,-0.0311,0.0084,-0.0205,0.0607,0.0262,0.0522,0.0186,-0.0652,-0.1114,-0.1143,-0.0778,-0.095
2000-09-20,50.8567,155.5653,SE,,0.3265,0.2996,0.2767,0.2625,0.2271,0.2064,0.1458,0.0621,-0.0233,-0.0817,-0.0797,-0.077,-0.0691,-0.053,-0.0529,-0.0497,-0.0413,0.0255,0.0247,0.0253,0.0157,0.0191,0.0357,-0.029,-0.0424,-0.0459,-0.0484,-0.0544,-0.0181
2000-09-20,50.8567,155.5653,SO,,-0.0068,-0.0257,-0.0433,-0.0511,-0.049,-0.037,-0.028,-0.0189,-0.0118,-0.0029,0.0015,0.0144,0.0228,0.028,0.0237,0.021,0.0172,0.0095,-0.0006,-0.009,-0.0144,-0.0091,-0.0053,-0.0094,-0.0015,-0.0048,-0.0124,-0.0092,-0.0135
2000-11-30,50.8587,155.5629,E,0.0151,-0.0051,-0.0095,-0.0098,0.0023,0.0066,0.0064,0.002,0.0122,0.012,0.012,0.0076,0.0075,0.0076,0.0074,-0.0045,-0.0055,-0.0053,-0.008,-0.0054,-0.0066,-0.0062,-0.0045,-0.0015,0.0026,0.0008,0.0007,0.001,0.0015,0.0034
2000-11-30,50.8587,155.5629,N,0.014,0.0142,0.0013,0.0009,0.0011,0.0006,0.0004,-0.0056,-0.0068,-0.0077,-0.0092,-0.0077,0.0032,0.0035,0.0017,0.0008,0.0006,0.0005,-0.0006,0.0051,0.0052,0.0035,0.0075,0.0043,-0.0007,0.0019,0.0007,-0.0004,-0.0011,-0.0051
2000-11-30,50.8587,155.5629,NE,,0.016,-0.002,0.0032,0.0032,0.0033,0.0067,0.0066,0.0027,0.0029,0.0067,0.0024,0.0009,0.0008,0.001,0.0009,0.0006,0.0007,0.0006,0.0005,0.0004,-0.0033,-0.0015,0.002,-0.0,-0.0002,-0.0006,-0.0029,-0.003,-0.0029
2000-11-30,50.8587,155.5629,NO,,0.001,-0.0036,-0.0004,-0.0016,-0.0028,-0.0042,-0.0014,-0.0023,-0.0017,-0.0035,-0.0024,-0.0003,-0.0026,-0.005,-0.0064,-0.0095,-0.0034,-0.0025,-0.0038,-0.0017,0.0033,0.0034,0.0027,0.0014,0.0015,0.0024,0.0055,0.007,0.0048
2000-11-30,50.8587,155.5629,O,0.0287,0.0286,0.0283,0.0169,0.016,0.0106,-0.0,-0.0054,-0.0023,0.0076,-0.0036,0.0007,-0.001,-0.0006,-0.004,-0.0046,-0.0058,-0.0054,0.0003,-0.0004,-0.0012,-0.0022,0.0006,0.0007,-1e-04,-0.0011,1e-04,0.002,0.0011,0.0019
2000-11-30,50.8587,155.5629,S,,0.0269,0.0268,0.0138,0.0136,0.0052,0.0061,-0.0007,0.0013,0.0012,-0.0022,-0.0044,-0.0035,-0.0028,0.0023,0.0021,-0.0023,-0.0043,-0.0043,-0.0043,-0.0042,-0.004,-0.0039,-0.0038,-0.0034,-0.0031,-0.0029,-0.0024,-0.001,0.0005
2000-11-30,50.8587,155.5629,SE,0.0278,0.0274,0.0029,0.0054,0.0031,0.0005,-0.0009,-1e-04,0.0009,0.0011,0.008,0.0034,0.0108,0.0105,0.0019,0.002,0.0014,0.0015,0.0017,0.0004,0.0008,-0.0034,-0.0066,-0.0066,-0.0066,-0.0061,-0.0064,-0.0079,-0.0062,-0.0066
2000-11-30,50.8587,155.5629,SO,0.018,0.0136,0.0134,0.0005,0.0004,0.0004,0.0005,-0.0017,0.0004,-0.0066,-0.0019,0.0029,0.0019,0.0009,-0.0026,0.0031,0.0026,0.0089,0.0074,0.0042,-1e-04,-0.004,-0.0042,-0.0005,-1e-04,-0.0008,0.0032,0.0015,-0.0012,-0.0022
2001-09-14,50.8567,155.5653,E,0.3089,0.2863,0.2777,0.2357,0.1944,0.1795,0.1701,0.1605,0.153,0.1423,0.1283,0.1086,0.0962,0.078,0.0412,-0.002,-0.0297,-0.0637,-0.0482,-0.0422,-0.0434,-0.0443,-0.0462,-0.0427,-0.043,-0.0498,-0.0436,-0.039,-0.0362,-0.0286
