date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,12.8904,40.5725,E,0.1188,0.0866,0.0495,0.0092,0.0174,0.0118,0.0128,-0.0054,0.0036,0.0045,0.0135,-0.0031,-0.0087,-0.0029,-0.0065,-0.0042,0.0011,0.0008,-0.0033,-0.0042,-0.0049,-0.0054,-0.0081,-0.0027,0.0039,0.0042,0.007,0.0041,0.0062,0.0077
2000-02-05,12.8904,40.5725,N,,0.0258,0.0143,-0.0217,-0.0548,-0.0589,-0.0514,-0.0208,0.0028,0.0081,0.0031,0.013,0.0258,0.0039,-0.0084,-0.013,-0.0075,-0.0068,-0.0025,0.0015,0.001,-0.0049,-0.0078,0.0019,0.0052,-0.0015,-0.0029,0.0024,-0.0056,-0.0052
2000-02-05,12.8904,40.5725,NE,,0.032,0.0499,0.0283,-0.002,-0.0219,-0.0063,-0.0032,-0.0027,0.014,0.0157,0.0088,0.0054,-0.0007,-0.0054,0.0008,-0.0009,-0.0052,-0.0085,-0.0068,-0.0094,-0.0052,-0.0024,-0.0025,0.0018,-0.0019,0.0013,0.0086,-0.0044,0.0095
2000-02-05,12.8904,40.5725,NO,,-0.0112,-0.0374,-0.0623,-0.098,-0.1131,-0.1026,-0.0754,-0.0649,-0.0401,-0.0388,-0.006,0.0099,0.0096,0.0108,0.0164,0.016,0.0237,0.0091,0.0276,0.0358,0.0115,-0.0021,0.0019,0.003,0.0045,0.0035,-0.0036,-0.0015,-0.0069
2000-02-05,12.8904,40.5725,O,,0.0259,0.0007,0.0031,0.0048,-0.0457,-0.0589,-0.0581,-0.045,-0.0103,0.0088,0.0141,0.0073,0.0,0.0037,0.0031,0.0108,0.0109,0.0168,0.0144,0.0147,0.017,0.0088,0.0023,-0.0065,-0.0095,-0.0138,-0.015,-0.0113,-0.0056
2000-02-05,12.8904,40.5725,S,0.1156,0.063,0.0092,-0.0143,0.0204,0.013,-0.0029,-0.0084,-0.0117,-0.0056,-0.008,-0.0069,-0.0008,0.0066,0.0104,0.0102,0.0115,0.0112,0.0078,0.001,-0.0013,-0.0049,0.0007,0.0004,-0.0069,-0.0065,-0.0108,-0.0084,-0.0105,-0.0072
2000-02-05,12.8904,40.5725,SE,,0.1551,0.0885,0.034,0.0043,0.0041,0.005,0.0046,0.0003,0.004,-0.0007,-0.003,-0.0031,-0.0018,0.0019,-0.0004,-0.0053,-0.0043,-0.0046,-0.006,-0.0066,-0.0027,-0.0044,-0.0029,-0.0029,0.0005,-0.002,-0.0009,0.0006,-0.0009
2000-02-05,12.8904,40.5725,SO,,0.0831,0.0464,0.0032,-0.0034,0.0132,0.0189,0.0128,-0.0013,-0.0173,-0.0163,-0.01,0.0011,-0.0045,0.0029,0.0077,0.0054,0.0006,-0.0035,-0.008,-0.006,-0.0005,0.0046,0.0072,0.0077,0.0007,-0.0016,-0.0032,-0.0047,-0.0047
2000-05-11,12.8909,40.5794,E,,-0.0395,-0.0384,-0.0238,-0.0161,-0.0079,-0.005,-0.0148,-0.0093,-0.0015,0.0165,0.0243,0.0354,0.0372,0.0365,0.0264,0.019,0.0148,0.001,-0.0111,-0.0246,-0.0285,-0.0183,-0.0077,-0.0088,-0.0082,-0.0044,0.0013,0.0065,-0.0068
2000-05-11,12.8909,40.5794,N,,0.0446,0.0559,0.0721,0.0676,0.0644,0.062,0.0701,0.0625,0.067,0.0503,0.0407,0.033,-0.0095,-0.0422,-0.0374,-0.0085,-0.0065,-0.0025,-1e-04,-0.005,-0.0042,-0.0127,-0.0064,-0.0133,0.0019,0.0066,0.0138,0.0197,0.017
2000-05-11,12.8909,40.5794,NE,0.0589,0.0383,0.0389,0.0273,0.0247,0.0229,0.0279,0.041,0.0271,0.0647,0.0336,0.0239,0.008,0.0077,-0.01,-0.0178,-0.0231,-0.006,-0.001,-0.0078,-0.0068,-0.0062,-0.0035,0.0069,0.0071,0.0053,-0.0011,-0.0069,-0.0069,-0.0057
2000-05-11,12.8909,40.5794,NO,,0.0875,0.0956,0.0856,0.0899,0.0742,0.0911,0.0854,0.0781,0.0741,0.0593,0.034,0.0282,0.0136,-0.0045,-0.0225,-0.0398,-0.0306,-0.0271,-0.023,-0.0259,-0.021,-0.0206,-0.0084,-0.0083,0.0018,0.0118,0.0128,0.0141,0.0073
2000-05-11,12.8909,40.5794,O,,0.105,0.0827,0.0529,0.0213,0.0089,0.0043,-0.002,-0.0005,-0.0045,0.0026,0.0105,-0.003,-0.0044,-0.0165,-0.0211,-0.0276,-0.019,-0.0107,0.0099,0.0204,0.0211,0.0299,0.0285,0.0249,0.0205,0.0053,-0.0102,-0.0199,-0.0273
2000-05-11,12.8909,40.5794,S,0.1303,0.0703,0.0623,0.0467,0.0431,0.0325,0.0268,0.0282,0.016,-0.0056,0.0183,0.0297,0.0675,0.0718,0.0671,0.0503,0.0309,0.0076,0.0119,-0.0452,-0.0699,-0.081,-0.0135,0.0007,0.0042,-0.011,-0.0243,-0.045,-0.0323,-0.0121
2000-05-11,12.8909,40.5794,SE,0.0599,0.0008,0.0099,-0.0026,0.0063,0.0101,-0.003,0.0061,0.0157,-0.0006,0.0081,0.0106,0.0031,0.0008,-1e-04,-0.004,-0.0051,0.0035,0.0083,0.0107,0.0102,0.0023,-0.0017,-0.0073,-0.0053,-0.0115,-0.0105,-0.0058,-0.0005,0.004
2000-05-11,12.8909,40.5794,SO,,0.1141,0.0937,0.0699,0.0399,0.0109,-0.0039,0.0054,0.0163,-0.0265,-0.0182,-0.0105,-0.0158,-0.0122,-0.0056,-0.0145,-0.0188,-0.0015,-0.0036,0.0026,0.014,0.0153,0.0204,0.0115,0.0157,0.0133,0.0108,-0.0067,-0.024,-0.0181
2000-08-31,12.8896,40.5722,E,0.1607,0.1574,0.1286,0.0718,0.0477,-0.0172,0.0418,0.0189,0.0135,0.0036,-0.0057,0.0014,-1e-04,-0.0003,0.0023,0.0012,1e-04,-0.0127,-0.0123,-0.01,-0.0061,-0.0145,-0.013,-0.0127,-0.0172,-0.0072,-0.0014,0.0087,0.0208,0.0192
2000-08-31,12.8896,40.5722,N,,0.1209,0.0583,-0.0109,-0.0662,-0.1212,-0.1187,-0.0965,-0.0751,-0.0175,1e-04,0.0178,0.0219,0.0259,0.0343,0.0365,0.0236,0.0072,0.0079,0.0201,-0.0037,-0.0273,-0.0242,-0.0121,-0.0046,0.0132,0.0192,0.0135,0.0137,0.0114
2000-08-31,12.8896,40.5722,NE,,0.1133,0.102,0.057,0.0045,-0.0204,-0.0558,-0.0505,0.0002,0.0218,-0.0031,0.0169,0.0118,0.0346,0.0166,0.0185,0.0121,0.002,-0.0085,-0.0049,-0.0173,-0.0179,-0.0294,-0.0223,-0.027,-0.0084,0.0043,0.0163,0.0247,0.0006
2000-08-31,12.8896,40.5722,NO,,0.0791,0.0407,-0.0125,-0.0545,-0.0755,-0.0664,-0.0316,-0.0156,-0.0182,-0.007,0.0088,0.0182,0.011,0.0111,0.0104,0.0117,0.0329,0.0327,0.0266,0.0082,-0.0017,-0.0006,1e-04,0.014,0.0158,0.0206,0.008,0.0109,0.0046
