date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-10-23,-0.4311,-91.1243,E,0.1179,0.0872,0.0477,0.0388,0.0123,0.0007,0.0013,-0.0004,-0.0078,-0.002,-0.0047,-0.0061,-0.0069,-0.0079,-0.0114,-0.0096,-0.0055,0.0043,0.0064,0.0018,0.0041,0.0109,0.0106,0.0044,0.0135,0.0138,0.0142,0.0119,0.0077,0.0015
2000-10-23,-0.4311,-91.1243,N,0.0767,0.0596,0.0348,0.0095,-0.0094,-0.0114,0.0055,0.0031,-0.0119,-0.0109,-0.0135,0.0059,0.0137,0.0134,0.015,0.0111,0.0145,0.0101,0.0065,-0.0005,0.0007,-0.0041,0.0002,-0.0027,-0.0041,-0.0043,-0.0071,-0.0116,-0.0165,-0.0278
2000-10-23,-0.4311,-91.1243,NE,,0.0821,0.0454,-0.003,-0.0189,-0.0233,-0.0244,-0.0237,-0.0255,-0.0256,-0.0223,-0.0164,-0.0114,-0.0069,-0.0031,-0.0036,0.018,0.0158,0.0113,0.0101,0.0204,0.0175,0.0169,0.0133,0.0122,0.0014,-0.0003,-0.0101,-0.0058,-0.0071
2000-10-23,-0.4311,-91.1243,NO,,0.0484,0.0412,0.0379,0.0302,0.014,0.0025,-0.0037,0.0061,0.0073,-0.0091,-0.0197,-0.014,-0.0178,-0.0067,-0.007,-0.0096,-0.0113,-0.0117,-0.0043,-0.0092,0.0018,0.0032,0.007,-0.0113,-0.0097,0.0081,0.0031,0.017,0.0168
2000-10-23,-0.4311,-91.1243,O,,0.1052,0.0975,0.0831,0.0683,0.0371,0.0184,-0.0034,-0.0134,-0.007,-0.0056,-0.0103,-0.0037,-0.0017,1e-04,-0.0018,-0.0041,-0.0036,0.0021,1e-04,-0.0034,-0.0042,-0.0011,-0.005,0.0004,0.0022,0.0026,-0.0012,-0.0066,-0.0036
2000-10-23,-0.4311,-91.1243,S,,0.0479,0.0289,0.0159,-0.002,-0.0194,-0.0287,-0.0102,-0.0098,-0.002,-0.0121,-0.0145,-0.0148,-0.0203,-0.019,0.0078,0.0107,0.0189,0.015,-0.0052,-0.0072,0.0044,-0.0038,-0.0055,-0.0011,1e-04,0.0071,0.012,0.0213,0.0238
2000-10-23,-0.4311,-91.1243,SE,,0.0912,0.0721,0.0552,0.036,0.0158,0.0038,0.0075,-0.0029,0.0246,0.0032,0.0124,0.0029,-0.0131,-0.004,-0.0022,0.0042,0.0055,-0.0029,-0.0032,-0.0138,-0.0038,0.003,0.0116,0.0058,-0.0061,0.0009,0.0057,0.0081,0.0131
2000-10-23,-0.4311,-91.1243,SO,,0.0533,0.0533,0.038,0.0284,0.0011,0.0008,-0.0037,-0.0155,-0.0097,0.0004,0.002,0.0116,-0.005,-0.018,-0.0179,-0.0035,0.0101,0.0088,0.0078,-0.0044,-0.0048,0.0004,0.0026,0.0063,-0.0008,0.0014,0.0025,-0.0013,-0.0016
2001-10-26,-0.4316,-91.1238,E,,0.1042,0.0635,0.0334,0.0211,0.0087,0.0068,0.0045,0.0047,0.0022,-0.009,-0.0035,-0.0057,-0.0107,-0.0139,-0.0118,-0.0141,-0.0017,-0.0007,0.0054,0.0052,0.0081,0.0008,0.0033,0.0078,0.008,0.0156,0.0103,0.0051,0.0091
2001-10-26,-0.4316,-91.1238,N,0.0605,0.0442,0.0218,0.02,0.0194,0.0164,0.0211,0.013,0.0073,0.015,0.0112,0.011,0.0073,0.0069,0.0028,0.0013,0.004,-0.0077,-0.0078,-0.0079,-0.0052,-0.0061,-0.0047,-0.0052,-0.0062,-0.0094,-0.0084,-0.0111,-0.0063,0.0007
2001-10-26,-0.4316,-91.1238,NE,,0.0686,0.0429,0.002,-0.0117,-0.0186,-0.0115,-0.0069,-0.0144,-0.0145,-0.0148,-0.0182,-0.0185,-0.012,-0.0027,0.0053,0.0041,0.0075,0.0044,0.0138,0.0243,0.0204,0.0124,0.0078,0.0087,0.0006,-0.0019,0.0044,-0.0049,-0.0085
2001-10-26,-0.4316,-91.1238,NO,,0.0266,0.0298,0.0207,0.0168,0.0214,0.0168,0.003,-0.0028,-0.0085,-0.0171,-0.01,-0.0171,-0.0166,-0.009,-0.0024,-0.0023,-0.0017,0.0076,0.0012,-0.0124,0.0019,-0.0116,-0.0045,0.0025,0.0124,0.0092,0.0108,-0.0002,0.0025
2001-10-26,-0.4316,-91.1238,O,,0.0918,0.0961,0.0668,0.0305,0.0288,0.005,0.0097,0.0061,0.0019,0.0025,-0.0045,-0.0026,-0.0038,-0.0024,-0.0024,-1e-04,-0.0021,-0.0023,-0.0016,-0.0026,-0.0021,-0.002,0.0009,0.0021,0.0012,-0.0012,-0.0025,-0.0058,-0.0016
2001-10-26,-0.4316,-91.1238,S,,0.0289,0.0209,0.0199,0.0106,-1e-04,-0.001,-0.008,-0.0156,1e-04,-0.0046,-0.0138,-0.0144,-0.0133,-0.014,-0.0221,-0.0033,0.011,0.0131,0.0202,0.0041,-0.0215,-0.0148,0.0012,-0.0006,-0.0004,-0.0014,0.0096,0.0212,0.0252
2001-10-26,-0.4316,-91.1238,SE,,0.0581,0.0493,0.0459,0.0458,0.036,0.0217,-0.0035,-0.0091,0.0009,0.0008,0.0081,0.0213,-0.0064,-0.0117,-0.0025,-0.0018,-0.0054,-0.0074,-0.0013,0.002,-0.0019,-0.0051,-0.0095,-0.001,0.0015,0.0088,0.0094,0.0017,0.0102
