date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-21,-41.8784,-72.5772,E,0.3867,0.3769,0.3749,0.3109,0.2151,0.1461,0.1705,0.1736,0.1557,0.1213,0.0668,0.0369,0.0063,0.0014,-0.0102,-0.0172,-0.0197,-0.0169,-0.0105,-0.0218,-0.0244,-0.0239,-0.0217,-0.0155,-0.0067,-0.0131,-0.0171,-0.022,-0.0222,-0.0256
2000-02-21,-41.8784,-72.5772,N,-0.1597,-0.1479,-0.1093,-0.1088,-0.065,-0.0374,-0.0213,-0.0031,0.0289,0.0703,0.0867,0.0947,0.0111,-0.0056,-0.0216,-0.0459,-0.0479,-0.0415,-0.0196,-0.0074,-0.0028,-0.0051,-0.0037,-0.0018,0.0052,0.0145,-0.0086,-0.0137,-0.0112,-0.0176
2000-02-21,-41.8784,-72.5772,NE,,0.3168,0.3272,0.3229,0.2886,0.2701,0.2207,0.1696,0.1008,0.0685,0.0534,0.0262,1e-04,0.0045,-0.0071,-0.009,-0.0232,-0.0328,-0.0334,-0.035,-0.0254,-0.0148,-0.0153,-0.0067,-0.0082,-0.015,-0.0037,-0.0051,-0.0237,-0.02
2000-02-21,-41.8784,-72.5772,NO,,0.2139,0.1954,0.0394,-0.0901,-0.1275,-0.1678,-0.1376,-0.1428,-0.0874,0.0193,0.0054,0.0486,0.086,0.0128,0.0609,0.0252,0.0237,0.0108,-0.0118,-0.0074,-0.0144,-0.0129,-0.0106,-0.0073,-0.0129,-0.0184,-0.028,-0.0289,-0.033
2000-02-21,-41.8784,-72.5772,O,,0.0738,0.0336,-0.096,-0.1426,-0.1351,-0.1427,-0.089,-0.0411,-0.0334,-0.0524,-0.0279,-0.0213,-0.0141,0.0004,0.0055,0.0069,0.0484,0.0533,0.0495,0.044,0.0372,0.0474,0.0473,0.0531,0.0162,0.0002,-0.016,-0.0145,-0.0157
2000-02-21,-41.8784,-72.5772,S,0.0992,0.0999,0.0843,0.0624,0.0543,0.0108,-0.0017,-0.0068,0.0157,0.0254,0.0273,0.0202,0.0079,0.013,0.0092,0.0166,0.021,0.0048,0.0144,0.0143,0.0023,-0.0019,-0.0061,-0.0103,-0.006,-0.0026,-0.0042,-0.0136,-0.0068,0.0015
2000-02-21,-41.8784,-72.5772,SE,0.3554,0.3468,0.3229,0.2843,0.1973,0.1307,0.0811,0.0741,0.0773,0.0959,0.1106,0.1245,0.1444,0.1368,0.1032,0.0063,-0.0136,-0.0381,-0.0056,0.0197,0.0226,-0.0049,-0.0214,-0.0057,-0.0051,-0.039,-0.0521,-0.0838,-0.0927,-0.1024
2000-02-21,-41.8784,-72.5772,SO,,0.0907,0.0776,0.0653,0.0013,0.0008,0.0021,0.0024,0.0008,-0.0032,-0.0064,-0.0226,-0.0037,-0.0119,-0.0006,-0.005,-0.003,-0.0035,0.0004,0.0027,0.0032,0.0042,0.0027,0.0027,0.0019,-0.0008,-0.0003,0.0011,-0.0003,-0.0016
2000-03-08,-41.8791,-72.5823,E,,0.1261,0.1249,0.1172,0.1139,0.136,0.1475,0.1511,0.1874,0.123,0.0561,0.0361,-0.0269,-0.0409,-0.049,-0.0036,0.0381,0.0412,0.0475,0.0259,-0.0022,-0.0234,-0.0482,-0.0435,-0.0274,-0.0209,-0.0263,-0.0314,-0.0597,-0.0322
2000-03-08,-41.8791,-72.5823,N,0.0446,0.0491,0.0463,0.0351,0.0409,0.0233,0.0129,0.0216,0.0251,0.0324,0.0583,0.0459,0.0347,0.0682,0.0849,0.0524,0.0329,-0.0846,-0.1341,-0.0938,-0.0051,0.0359,0.0571,0.0994,0.0871,0.1104,0.0301,-0.0281,-0.0475,-0.0772
