date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-11,-24.2901,-67.7814,E,,-0.0064,-0.0211,-0.0317,-0.0367,-0.0369,-0.0369,-0.0325,-0.0185,-0.0128,-0.0044,0.0134,0.0167,0.0119,0.005,-0.0028,-0.0055,-0.0045,-0.0008,0.0011,-0.0025,0.0019,0.0034,0.0119,0.0257,0.026,0.0178,0.0002,-0.0179,-0.0288
2000-05-11,-24.2901,-67.7814,N,,0.0421,0.0118,-0.0005,-0.0197,-0.0254,-0.0268,-0.0279,-0.0157,-0.0165,0.0122,-0.0024,0.0082,0.007,0.006,0.0089,0.0039,0.007,0.0062,0.0014,0.0007,0.0014,-0.003,0.0002,-0.001,-0.0024,0.0016,0.001,0.001,-0.0015
2000-05-11,-24.2901,-67.7814,NE,-0.0168,-0.016,-0.0484,-0.0568,-0.0554,-0.0543,-0.0489,-0.0197,0.0015,0.0119,0.0076,-0.0005,-0.0056,-0.0025,-0.0009,-0.003,-0.0031,-0.0039,0.0033,0.0049,0.0113,0.007,0.0078,0.0079,0.0121,0.0076,0.003,-0.0062,-0.0166,-0.0308
2000-05-11,-24.2901,-67.7814,NO,0.0431,0.0517,0.0471,0.0429,0.0431,0.0239,0.0264,0.0117,0.0085,0.0026,-0.0031,0.0026,-0.0019,-0.0063,0.0026,0.002,0.0019,0.0022,0.0064,0.005,0.0041,0.0081,0.0075,0.0056,-0.0012,-0.0041,-0.0027,-0.0021,-0.0028,-0.001
2000-05-11,-24.2901,-67.7814,O,,0.0654,0.0611,0.0345,0.0208,0.0152,-0.0011,-0.0089,-0.0074,-0.0161,-0.0207,-0.0144,-0.0061,0.0072,0.0037,0.0092,0.0136,0.0127,0.006,0.0044,0.003,0.0055,0.0028,0.001,-0.0033,-0.0045,-0.0096,0.0032,0.0035,0.0085
2000-05-11,-24.2901,-67.7814,S,,0.0525,0.0451,0.0331,0.019,0.0092,-0.0006,-0.018,-0.0172,-0.0072,-0.0071,-0.0074,-0.0009,0.0092,0.0147,0.008,0.002,-0.0023,-0.0014,-0.0061,-0.0076,-0.0127,-0.0126,-0.0119,-0.0113,-0.0066,0.0017,-0.0014,0.0034,0.0059
2000-05-11,-24.2901,-67.7814,SE,0.0179,0.0221,0.0074,0.009,0.0075,0.0044,0.0112,0.0073,0.0137,0.0014,0.0115,0.0021,0.0135,-0.0029,0.0026,-0.0037,-0.0047,-0.0057,0.0014,-0.0062,-0.0015,-0.0065,-0.0028,-0.0028,0.0011,-0.0008,-0.0013,-0.0031,-0.0026,-0.0081
2000-05-11,-24.2901,-67.7814,SO,,0.0024,-0.0114,-0.0291,-0.0368,-0.0125,-0.0108,-0.0133,-0.0081,0.0156,0.0267,0.0333,0.0394,0.0213,0.0062,-0.0115,-0.0065,-0.0141,-0.0182,-0.0255,-0.0236,-0.0238,-0.0178,-0.0153,0.0007,0.0077,0.0192,0.0087,0.0051,-0.0092
2000-07-30,-24.2926,-67.779,E,0.0981,0.0747,0.057,0.0432,0.0286,0.0114,0.0141,-0.0029,0.0106,0.0173,0.0139,0.0107,0.0057,-0.0,0.0065,0.0017,1e-04,0.0033,-0.0015,-0.0095,-0.012,-0.017,0.0002,0.0012,-0.0034,-0.0103,-0.0029,-0.0028,-0.0091,0.0005
2000-07-30,-24.2926,-67.779,N,,0.1595,0.1362,0.1084,0.0625,0.0217,0.0215,0.0132,0.0121,0.0052,0.0045,-0.0066,-0.003,-0.0057,-0.0016,-0.0022,0.0018,0.0038,0.0092,0.0093,0.0163,0.0095,-0.0213,-0.0228,-0.0273,-0.0096,0.002,0.0093,0.014,0.0006
