date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-16,10.4635,-84.703,E,,0.8044,0.5634,0.5018,0.3571,0.1745,0.0305,-0.0251,,,,,,,-0.0488,-0.0316,-0.024,-0.0266,-0.02,-0.0219,-0.0016,0.0098,0.0095,-0.0117,-0.0296,-0.0295,-0.023,-0.029,-0.0324,-0.0443
2000-09-16,10.4635,-84.703,N,0.7582,0.5465,0.2859,0.2557,0.2285,0.2215,0.2096,0.0355,0.038,0.0267,0.0427,0.0761,0.0643,0.0547,0.0667,-0.0246,-0.0287,-0.0227,-0.0116,-0.0182,-0.0155,-0.0233,-0.0197,-0.0102,-0.0049,0.0005,-0.0,-0.0083,-0.0005,0.0003
2000-09-16,10.4635,-84.703,NE,,0.6691,0.3181,0.2551,0.1164,0.1602,0.0528,0.0255,-0.0356,-0.0371,0.087,0.0905,0.0655,-0.0402,-0.0368,-0.0201,-0.0099,0.0209,0.0157,0.0245,0.0252,0.0035,0.003,-0.0149,-0.0172,-0.0187,-0.0142,-0.0229,-0.0183,0.0236
2000-09-16,10.4635,-84.703,NO,,0.7293,0.1957,0.0277,-0.0217,-0.0381,-0.0521,-0.0373,-0.0363,-0.0163,-0.0088,-0.012,-0.0173,-0.0026,-0.0046,0.0045,0.0144,0.0214,0.0231,0.0071,0.0188,0.016,0.0256,-0.004,-0.0125,-0.0108,-0.0141,-0.0128,-0.0083,-0.007
2000-09-16,10.4635,-84.703,O,,0.8906,0.72,0.4108,0.2066,0.1352,0.1173,0.0683,0.0746,0.014,-0.0035,-0.0246,-0.0317,-0.0298,-0.0018,0.0007,0.0107,-0.0129,-0.0107,-0.0105,-0.0098,-0.0112,-0.0079,-0.0053,-0.0094,-0.0084,0.0012,0.0247,0.0027,0.0055
2000-09-16,10.4635,-84.703,S,,0.6879,0.3926,0.2773,0.0307,0.015,0.0092,0.0043,0.0124,0.0097,0.0059,0.0035,0.0051,0.0032,-0.0007,-0.0047,-0.0034,-0.0042,-0.0051,-0.0095,-0.0111,-0.013,-0.0101,-0.0076,0.0146,0.0102,0.0063,-0.0036,0.016,0.0054
2000-09-16,10.4635,-84.703,SE,,0.5667,0.3335,0.1031,0.0413,0.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0
2000-09-16,10.4635,-84.703,SO,,0.7023,0.5824,0.3597,0.195,0.187,0.1172,0.0885,0.0298,0.0047,-0.005,-0.0254,-0.0163,-0.026,-0.0305,-0.0141,0.0045,0.0058,0.0053,0.0023,-0.0092,-0.0093,-0.0092,-0.0104,-0.0047,-0.0067,0.0016,0.0075,0.0076,0.0136
2001-06-15,10.463,-84.7038,E,0.7399,0.5148,0.3068,0.1905,,,0.0009,0.0013,0.0128,0.0048,0.0109,0.0094,-0.0112,-0.0039,-0.0152,-0.0099,-0.0023,0.0037,-0.0039,-0.0221,-0.0128,-0.0137,0.0042,0.0192,0.0064,0.0002,-0.0022,-0.0317,,-0.0361
2001-06-15,10.463,-84.7038,N,0.7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-15,10.463,-84.7038,NE,,0.5946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-15,10.463,-84.7038,NO,,0.7188,0.5287,0.4102,0.1902,0.0682,0.0282,-0.0002,-0.0002,,,,,,,,,,,,,,,,,,,,-0.0,0.0
2001-06-15,10.463,-84.7038,O,,,0.4542,0.3049,0.1855,0.103,0.0537,0.0137,-0.0123,-0.0232,,-0.0195,0.0107,,0.0168,-0.0114,-0.0136,-0.0118,-0.0153,-0.0078,-0.0094,0.0052,0.0069,0.0187,,,,,,
2001-06-15,10.463,-84.7038,S,,0.9562,0.8489,0.6163,0.3793,0.152,0.0957,0.0724,0.0298,-0.0043,-0.0173,-0.0249,-0.0211,-0.0373,-0.0268,-0.0135,-0.0141,-0.0203,-0.0117,-0.0097,-0.0134,-0.009,0.0045,0.0049,-0.0008,0.0011,-1e-04,-0.0112,-0.0105,-0.0116
