date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-23,36.4062,138.5237,E,0.1846,0.1714,0.1478,0.1141,0.0797,0.0547,0.0193,-0.0217,0.0042,0.0128,-0.0004,0.0036,0.0132,0.0176,0.0142,0.0094,0.0061,-0.0039,-0.0149,-0.0228,-0.0209,-0.0174,0.0031,0.0198,0.0118,0.0099,0.0131,0.008,0.0028,0.0033
2000-05-23,36.4062,138.5237,N,0.176,0.1434,0.1071,0.0746,0.072,0.04,0.0283,0.0196,0.0096,0.0234,0.0256,0.0248,0.018,0.012,0.0026,0.0004,0.0178,0.0342,0.0335,0.0247,0.0177,0.0115,0.0152,0.0054,0.0097,0.0081,0.0046,0.0013,0.01,0.0097
2000-05-23,36.4062,138.5237,NE,,0.1481,0.1353,0.1146,0.0761,0.0397,0.0581,-0.0309,0.0232,0.0188,0.0321,0.0192,-0.0055,-0.0121,-0.0107,0.0053,-0.0061,0.0011,-0.0089,-0.0021,-0.0063,-0.0044,0.0081,-0.0078,0.0023,-0.0003,0.0022,0.013,-0.0105,0.0372
2000-05-23,36.4062,138.5237,NO,,0.1064,0.0927,0.0787,0.0572,0.0357,0.0229,0.0084,-0.0038,-0.0203,-0.0326,-0.0449,-0.0254,-0.0003,0.0104,-0.0114,0.0081,0.0207,-0.0406,0.0239,-0.0007,-0.013,0.006,-0.0113,0.0068,0.0059,0.0233,0.0405,0.0486,0.0682
2000-05-23,36.4062,138.5237,O,,0.1518,0.1471,0.1378,0.1261,0.0904,0.081,0.0692,0.0598,0.0534,0.051,0.0511,0.0695,0.0477,0.0282,-0.0263,-0.0451,-0.0431,-0.0452,-0.0552,-0.0687,-0.0827,-0.0839,-0.0861,-0.0204,0.0283,0.0544,0.0812,0.0858,0.086
2000-05-23,36.4062,138.5237,S,0.247,0.237,0.1936,0.1289,0.0632,0.0126,-0.0164,-0.0194,-0.0155,-0.0143,-0.0142,-0.0171,-0.0146,-0.0149,-0.0159,-0.0138,0.019,0.0033,0.0261,0.0079,-0.0149,-0.0173,-0.0219,-0.022,-0.0139,-0.0126,-0.0036,0.0084,0.0239,0.0339
2000-05-23,36.4062,138.5237,SE,,0.2094,0.1524,0.1034,0.0174,-0.0091,0.0055,-0.0313,-0.008,-0.0287,-0.033,-0.0335,-0.0198,0.0127,0.0204,0.0234,0.0191,0.0201,0.0207,0.0243,0.0238,0.0203,0.0052,0.0185,-0.0189,-0.0091,-0.0191,-0.0314,-0.0365,-0.0388
2000-05-23,36.4062,138.5237,SO,,0.115,0.1101,0.0983,0.0795,0.0466,0.0373,0.0369,0.0326,0.0383,0.0529,0.0461,0.0546,0.0524,0.0337,0.0162,0.0129,0.0092,0.0136,0.0094,0.0039,0.0023,-0.0003,-0.0093,-0.021,-0.0206,-0.0033,-1e-04,-0.0161,-0.0359
2002-03-10,36.4033,138.5272,E,0.1442,0.0554,0.0202,0.0167,0.019,0.0231,0.0136,0.0161,0.0143,0.0097,0.0077,0.0113,0.0116,0.0023,0.001,-0.0039,-0.003,-0.0047,-0.0247,-0.028,-0.0294,-0.0019,-1e-04,-0.0035,-0.0113,-0.015,-0.0097,-0.0128,-0.0092,-0.0117
2002-03-10,36.4033,138.5272,N,,0.1522,0.0855,0.0473,0.0177,0.0187,0.0123,-0.0068,0.0023,0.0041,-0.0153,-0.017,-0.0186,-0.0205,-0.0178,-0.0228,-0.0212,-0.0209,-0.0197,-0.0124,-0.0098,-0.0096,-0.0098,-0.0102,-0.0073,-0.0073,-0.0007,0.0055,0.0067,0.0163
2002-03-10,36.4033,138.5272,NE,0.1145,0.1147,0.0486,0.0156,-0.0022,-0.0068,-0.0063,-0.0018,-0.0015,-0.0004,0.0007,-0.0009,0.0004,-0.0007,0.0002,0.0011,0.0017,0.0022,0.0004,0.0015,-0.0003,-0.0016,-0.0012,-0.0009,0.002,0.0005,1e-04,0.0014,0.0005,0.0052
2002-03-10,36.4033,138.5272,NO,-0.0152,-0.0179,-0.0172,-0.0212,-0.0179,-0.0097,0.0178,0.022,0.0279,0.0364,0.0329,0.0408,0.0563,0.0366,-0.0098,0.0418,0.0492,0.0083,0.0308,-0.0196,-0.0014,-0.0418,-0.0418,-0.0234,-0.0405,-0.0094,-0.0022,-0.0038,0.0077,0.008
2002-03-10,36.4033,138.5272,O,,0.1449,0.1103,0.1012,0.0926,0.076,0.0627,0.0413,0.0201,0.0104,0.0045,-0.0214,-0.0392,-0.044,-0.046,-0.0458,-0.0445,-0.0458,-0.0394,-0.0247,-0.0111,0.0032,-0.0375,0.0002,0.0059,0.009,0.0134,0.0225,0.0156,0.0142
2002-03-10,36.4033,138.5272,S,,0.1234,0.0518,0.0781,0.0326,0.0096,0.0138,-0.0013,0.0074,0.0052,0.007,0.0153,0.0226,0.0097,0.0036,0.0162,0.0111,0.0108,0.0113,0.0268,0.0113,-0.0012,-0.024,-0.0123,-0.0087,-0.0027,-0.0287,-0.0125,-0.0063,-0.031
2002-03-10,36.4033,138.5272,SE,,0.1507,0.0576,0.034,0.0304,0.0302,0.0221,0.0172,0.017,0.0123,0.0074,0.0301,0.0066,0.0328,0.0386,0.0401,0.0364,-0.0203,-0.0319,-0.0389,-0.0372,-0.0377,-0.0368,-0.0244,-0.0249,-0.0128,-0.0136,-0.0107,-0.0041,-0.0014
2002-03-10,36.4033,138.5272,SO,0.1335,0.1334,0.1205,0.1073,0.1031,0.0598,0.0341,-0.0137,-0.0338,-0.0324,-0.0202,0.0065,0.0068,-0.0209,-0.0441,-0.0601,-0.0474,-0.0478,-0.0416,-0.0178,-0.0036,0.0185,0.0299,0.0343,0.0328,0.023,0.024,0.0198,0.0088,-0.0027
