date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-06-30,35.742,81.6557,E,-0.0166,-0.0188,-0.0142,-0.0076,-0.01,-0.008,-0.01,-0.0085,-0.003,0.0009,0.0042,-0.0005,0.0024,0.0024,-0.0027,-0.0036,-0.0005,-0.0005,-0.0005,-0.0032,-0.004,-0.0072,-0.0056,-0.0074,-0.0022,0.0046,0.0085,0.012,0.0132,0.0086
2001-06-30,35.742,81.6557,N,,0.002,0.004,0.0056,0.0097,0.0133,0.0163,0.028,0.0306,0.0298,0.0235,0.0246,0.0123,0.0072,0.0054,0.009,0.0126,0.0052,0.0008,0.0019,-0.0,-0.0048,-0.01,-0.0079,-0.0083,-0.012,-0.0064,-0.0105,-0.0114,-0.0064
2001-06-30,35.742,81.6557,NE,0.0041,,0.0013,0.0076,0.0116,0.0096,0.0081,0.0059,0.0097,0.0097,0.0127,0.0163,0.0159,0.0104,0.0078,0.007,0.0051,0.0008,0.0005,-0.0019,-0.0063,-0.0059,-0.0054,-0.01,-0.0088,-0.0065,-0.0021,-0.0042,-0.0075,-0.0046
2001-06-30,35.742,81.6557,NO,0.0189,,0.0201,0.0161,0.0069,0.0143,0.0205,0.0113,0.0136,0.0032,0.0008,-0.0095,-0.0101,-0.0066,0.001,0.0087,0.0108,0.0126,0.0142,0.0113,-0.0032,-0.0048,-0.0213,-0.0221,-0.0125,0.0043,0.004,0.0054,-0.0008,-0.0038
2001-06-30,35.742,81.6557,O,0.033,0.0356,0.0274,0.0227,0.0125,0.0025,1e-04,0.0034,0.0047,0.0032,-0.0028,0.0003,0.0025,-0.0008,-0.0034,-0.0085,-0.0085,-0.0075,-0.0025,-0.0014,-0.0054,0.0003,-0.0025,0.0043,0.007,0.0136,0.0071,0.0071,0.0062,-0.0004
2001-06-30,35.742,81.6557,S,,0.0464,0.0441,0.0447,0.0332,0.0273,0.026,0.0211,0.0206,0.009,0.0038,-0.0056,-0.0065,-0.0061,-0.0077,-0.0034,-0.0049,-0.0036,-0.0031,-0.0035,-0.0033,-0.0038,-0.0061,-0.0072,-0.0049,-0.0016,-0.0015,-0.0004,0.0002,-0.0015
2001-06-30,35.742,81.6557,SE,,0.0309,0.026,0.0164,0.0088,0.0112,0.0164,0.0166,0.0164,0.0185,0.0215,0.0216,0.0183,0.0152,0.0122,0.0046,0.002,0.0068,0.0052,0.0047,0.0047,0.0003,-0.0004,-0.0004,-0.0073,-0.0126,-0.0146,-0.0152,-0.0171,-0.0131
2001-06-30,35.742,81.6557,SO,,0.0496,0.0443,0.0386,0.0255,0.0227,0.0182,0.0129,0.0126,0.0085,0.0035,0.0021,0.0017,-0.0083,-0.0064,-0.0004,-0.0003,0.0061,0.0032,-0.0008,-0.0065,-0.0063,-0.006,-0.006,-0.0054,-0.0054,-0.0048,-0.0041,-0.0045,-0.003
2003-04-17,35.7369,81.6497,E,0.0128,0.0084,-0.0003,-0.0041,-0.0038,-0.003,-0.0019,-0.0013,0.0033,0.0071,0.0076,0.0076,0.0063,0.0065,0.0086,0.0046,0.0011,-0.0006,-0.002,-0.0047,-0.0033,-0.0016,-0.0071,-0.006,-0.0024,-0.0002,0.0015,-0.0027,-0.0013,-0.0046
2003-04-17,35.7369,81.6497,N,,0.0152,0.0127,0.0103,0.0024,-0.0002,-0.0032,-0.0032,-0.0032,0.0022,0.0019,0.0029,0.0026,-0.0011,0.0038,0.0056,0.007,0.0089,0.0045,0.0041,0.001,-0.0019,-0.0063,-0.0084,-0.0076,-0.0032,0.0012,0.001,0.0041,0.0032
2003-04-17,35.7369,81.6497,NE,0.0073,0.0074,0.0077,0.0028,-0.0021,-0.0063,-0.0072,-0.007,-0.0069,-0.0072,-0.0077,-0.0077,-0.0031,-0.0028,-0.0018,-0.0013,-0.0014,-0.0016,-0.001,0.0016,0.0016,0.0012,0.0044,0.0047,0.0051,0.0002,0.0023,-0.0,0.0,-0.0003
2003-04-17,35.7369,81.6497,NO,,0.0166,0.0103,0.0183,0.0177,0.0099,-0.0066,-0.0141,-0.0162,-0.0156,-0.0127,-0.0043,-0.0022,0.0076,0.0117,0.0138,0.0098,0.0122,0.0101,0.0022,-0.0018,-0.0027,-0.001,-0.0025,-0.0035,-0.0021,-0.0038,-0.003,-0.0018,-0.003
2003-04-17,35.7369,81.6497,O,0.0265,0.0222,0.0176,0.013,0.013,0.0092,0.009,0.0093,0.009,-0.0006,-0.0,0.0023,0.0026,0.0008,0.0011,-0.0029,-0.0023,-0.002,-0.0022,-0.0026,-0.0029,-0.0029,-0.0013,-0.0018,-0.0018,-0.0013,-0.0009,0.0034,0.0034,0.0037
2003-04-17,35.7369,81.6497,S,,0.0215,0.0214,0.016,0.0133,0.0109,0.013,0.0083,0.0036,0.0012,-0.0011,-0.0017,-0.0017,-0.001,0.007,0.0075,0.0095,-0.0036,0.0023,0.0018,0.0088,-0.0042,-0.0047,-0.0068,-0.0044,-0.0036,-0.0019,0.0017,0.0007,-1e-04
