date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-23,35.7448,81.6428,E,,0.0093,0.0077,0.0076,0.0035,0.0032,0.01,0.0029,0.0029,0.0047,0.0039,0.0039,0.0002,-0.002,-0.0008,-0.0,0.0016,0.0039,0.0058,0.002,-0.0028,-0.0029,-1e-04,-0.0039,-0.0054,-0.0044,-0.0005,0.0018,-0.0009,0.0002
2000-03-23,35.7448,81.6428,N,0.022,0.0223,0.0235,0.0185,0.0119,0.0157,0.0131,0.0098,0.0085,0.0091,0.005,0.0022,0.0025,0.0021,0.0012,0.0004,-0.001,-0.0018,-0.0021,-0.0038,-0.0004,-0.0008,-0.0004,-0.0018,-0.0041,-0.0027,-0.0029,-0.0057,-0.0012,-0.0007
2000-03-23,35.7448,81.6428,NE,,0.0164,0.0127,0.0094,0.0118,0.0118,0.0142,0.0097,0.0063,0.0056,0.005,0.0025,-0.0012,-0.0029,-0.0007,-0.0021,0.0007,0.0004,-0.0027,-0.0013,-0.0037,-0.0011,0.0018,-0.0004,-0.0006,-0.0017,-0.0009,0.0006,0.0,-0.0006
2000-03-23,35.7448,81.6428,NO,0.0275,0.0308,0.0211,0.0159,0.0091,0.0098,0.011,0.011,0.0109,0.0137,0.0133,0.0138,0.0092,0.008,0.005,0.0023,-0.0009,-0.0038,-0.0044,-0.0056,-0.0053,-0.0061,-0.0062,-0.0062,-0.0019,-0.0006,-0.0005,-0.0008,0.0004,0.0021
2000-03-23,35.7448,81.6428,O,0.0333,0.0192,0.0151,0.0143,0.0094,0.009,0.0106,0.0076,0.0041,0.0049,0.0061,0.0098,0.0088,0.0058,0.0012,0.0009,-0.0013,-0.0003,0.0018,-0.0017,-0.0057,-0.0061,-0.0066,-0.0059,-0.0044,-0.0046,-0.0044,-0.001,0.0028,0.007
2000-03-23,35.7448,81.6428,S,,0.0044,0.0051,0.0018,0.0057,0.0058,0.0082,0.0059,0.003,0.0036,0.0003,-0.0052,0.0017,0.0033,-0.0023,-0.0024,-0.0012,-0.0004,0.0016,0.0033,0.0025,-1e-04,0.0025,-0.0011,-0.0016,-0.0023,-0.0023,-0.0006,-0.003,-0.001
2000-03-23,35.7448,81.6428,SE,,0.0122,0.0109,0.0064,0.0003,0.0045,0.0036,0.0054,0.0062,0.0118,0.0134,0.012,0.013,0.011,0.0102,0.0064,0.003,0.0046,0.0061,0.0037,0.0023,0.0003,0.0004,-0.0022,-0.0047,-0.0063,-0.0076,-0.0084,-0.0127,-0.0125
2000-03-23,35.7448,81.6428,SO,,0.0153,0.0171,0.0084,0.0011,0.0016,0.0045,0.0078,0.0017,0.0029,0.0036,0.0031,-0.0009,-0.0009,-0.0022,-0.0008,-0.0021,0.0015,0.0042,-0.0006,-0.0007,0.001,0.0009,-0.0016,0.0011,-0.0005,-0.0012,-0.0008,0.0035,-0.0015
2000-05-10,35.7348,81.6437,E,,0.0445,0.034,0.0279,0.0234,0.02,0.0192,0.0197,0.0206,0.0148,0.0069,0.0003,0.0015,-0.0019,-0.0078,0.0005,0.0004,0.0008,-0.0044,-0.0055,-0.0037,0.0017,0.0017,0.0044,0.0037,0.0005,-0.0006,-0.0051,-0.0112,-0.0143
2000-05-10,35.7348,81.6437,N,,0.0218,0.0117,0.0094,0.0051,0.0091,0.0033,-0.0005,-0.0012,-0.0017,-0.0018,-0.0022,-0.0007,0.0007,0.0045,0.0028,1e-04,0.0005,-0.0006,-0.0024,-0.0073,-0.0064,-0.0086,-0.0105,-0.007,-0.0071,-0.0007,0.0061,0.0124,0.016
