date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-13,32.8848,131.0846,E,0.4761,0.3972,0.3494,0.2497,0.1438,0.0777,0.0308,-0.0088,-0.0179,-0.0156,-0.0102,0.0144,0.0158,0.0095,-0.0002,-0.0095,,-0.0013,-0.0056,-0.016,,,,,,,,,,
2000-02-13,32.8848,131.0846,N,,0.4182,0.3706,0.3429,0.3171,0.2598,0.1242,-0.0042,-0.0108,-0.0122,-0.0073,-0.0045,-0.0048,0.0027,-0.0021,0.0009,0.0062,0.008,0.0087,-0.0036,0.0055,-0.0038,-0.0069,-0.0035,-0.0099,-0.0045,-0.0036,0.0111,0.0045,0.0103
2000-02-13,32.8848,131.0846,NE,,0.4615,0.3969,0.3265,0.2323,0.1654,0.08,0.0422,0.0086,-0.0106,-0.0242,-0.0236,-0.0193,-0.0094,-0.0044,0.0145,,-0.0003,0.0023,-0.0063,-0.0046,0.0018,0.0084,0.0284,,,,,,
2000-02-13,32.8848,131.0846,NO,,0.3632,0.3503,,0.1979,0.2411,0.0961,0.0435,0.0045,-0.0258,-0.0211,-0.0235,-0.0307,-0.0271,-0.0264,-0.012,-0.0263,-0.0245,-0.0099,-0.0011,0.0039,0.0045,0.0006,0.0118,0.0183,0.0004,-0.0012,0.01,0.0162,0.022
2000-02-13,32.8848,131.0846,O,,0.3696,,0.1003,0.0253,-0.0102,-0.0342,-0.0295,-0.034,-0.0346,-0.0366,-0.0392,-0.0379,-0.0305,-0.0222,-0.0198,-0.0163,-0.0244,-0.0307,-0.0337,-0.0224,-0.0252,0.013,0.006,0.0035,0.0325,0.0603,0.0684,0.0866,0.0791
2000-02-13,32.8848,131.0846,S,,,0.2855,0.153,,-0.0207,-0.0165,0.0206,0.0016,-0.0075,-0.008,-0.0102,-0.0102,-0.0111,-0.0042,-0.0003,-0.0032,-0.001,0.0029,0.0046,0.0048,0.0031,0.0018,0.0011,-0.0018,-0.0033,-0.0014,0.0016,-0.0016,-0.0028
2000-02-13,32.8848,131.0846,SE,,,0.269,0.169,0.1257,0.0591,0.0205,0.0173,0.0087,-0.0051,-0.0088,-0.0093,-0.0135,-0.0139,-0.0115,-0.0188,-0.0101,-0.0053,-0.0051,-0.0067,0.0009,0.0005,0.0032,0.0048,0.0055,0.0032,0.0021,0.0003,0.0087,0.0044
2000-02-13,32.8848,131.0846,SO,,,0.2523,0.1136,0.0437,0.0055,-0.0312,-0.03,-0.0095,-0.0025,-0.0079,0.0028,0.004,0.0084,0.0084,0.011,0.0122,0.0173,0.0107,0.0092,0.0041,0.0005,0.0007,-0.0041,-0.0064,-0.0088,-0.009,-0.0034,-0.0112,-0.0098
2000-04-17,32.8848,131.0856,E,,,0.2275,0.1376,0.0868,0.0666,0.0272,0.0069,0.0044,0.0024,-0.0027,-0.0027,0.004,0.0032,-0.0009,-0.0056,-0.0088,-0.0108,-0.007,-0.0075,-0.0049,-0.0039,-0.0009,0.0009,0.0007,0.0003,0.0016,0.0034,0.0051,0.0023
2000-04-17,32.8848,131.0856,N,,,,0.1127,-0.0031,-0.0374,-0.0273,-0.0205,-0.0172,-0.0195,-0.0094,-0.0024,-0.0024,-0.0005,0.0122,0.0222,0.0236,0.0143,0.0162,0.0035,0.0005,-0.0065,-0.0018,0.0061,0.0048,-0.0083,-0.0063,-0.0088,-0.009,-0.0033
2000-04-17,32.8848,131.0856,NE,,,,0.1821,0.0242,0.0014,-0.0166,-0.0153,-0.0081,-0.0146,-0.013,-0.012,-0.01,-0.0074,-0.0023,0.0005,0.0019,0.0093,0.0014,-0.0099,-0.0108,-0.0119,-0.0084,-0.0106,-0.0087,-0.0078,0.0002,0.0066,0.0187,0.0123
2000-04-17,32.8848,131.0856,NO,,0.2895,,0.1651,0.1248,-0.0014,-0.018,-0.0223,-0.0466,-0.0486,-0.0455,-0.0359,-0.0331,-0.027,-0.0412,-0.0273,-0.0183,-0.0094,-0.0065,0.0077,0.0025,0.011,0.0379,0.0155,0.0054,0.0181,0.0156,0.0113,-0.0008,0.0187
2000-04-17,32.8848,131.0856,O,,0.2834,0.2501,0.1521,0.0687,0.0424,-0.0191,-0.0364,-0.0431,-0.0467,-0.0366,-0.0361,-0.0357,-0.0293,-0.0136,-0.0068,-0.0046,0.0012,0.0014,0.0055,0.014,0.0107,0.0103,0.0097,0.0139,0.0155,0.0184,0.0356,0.0536,0.0614
2000-04-17,32.8848,131.0856,S,,0.3036,0.3552,0.2136,0.2055,0.1136,0.0193,0.008,0.0161,-0.0218,0.0086,-0.0088,-0.0161,-0.0089,-0.0092,-0.0079,-0.0083,-0.0039,0.0055,0.0083,0.0086,0.0063,0.0059,0.0077,0.0065,0.0024,-0.0009,-0.0039,-0.0064,-0.0047
2000-04-17,32.8848,131.0856,SE,,0.3247,0.3089,0.2223,0.1482,0.0917,0.0578,0.0329,0.0031,0.0015,0.0168,0.0077,-1e-04,-0.0035,-0.0061,-0.0133,-0.0095,-0.0123,-0.0076,-0.0025,-0.0051,0.0004,-0.0021,-0.0002,-0.0026,0.0009,0.0046,0.0033,0.0059,0.0073
2000-04-17,32.8848,131.0856,SO,,0.2677,0.2452,0.1824,0.0804,0.0475,0.0254,0.0097,-0.0067,-0.0017,-0.0105,-0.0037,0.0035,0.0006,0.001,0.0031,0.0012,0.0028,0.0014,0.0117,0.0088,0.0046,0.0011,0.0012,-0.0032,-0.0048,-0.0073,-0.0079,-0.0052,-0.0057
2000-05-03,32.8848,131.0846,E,0.2935,0.2304,0.1944,0.1273,0.0413,0.0318,0.0248,0.036,0.0157,-0.0079,-0.0138,-0.0061,-0.006,-0.0097,-0.0063,-0.0065,-0.0013,-0.0026,-0.0024,0.0007,0.0081,0.0085,0.0088,0.0092,0.0031,-0.0013,-0.0004,0.0016,-0.001,-0.003
2000-05-03,32.8848,131.0846,N,,0.3045,0.2434,0.2358,0.2291,0.1703,0.0644,-0.0097,-0.0296,-0.0357,-0.0343,-0.0245,-0.0185,-0.0094,-0.0003,0.0021,0.0018,-0.0006,0.0059,0.0066,0.0088,0.0172,0.0156,0.0009,-0.007,-0.0016,0.0052,0.0016,-0.0027,0.0006
2000-05-03,32.8848,131.0846,NE,,0.3367,0.2157,0.1732,0.1035,0.0588,0.0092,-0.0149,-0.0374,-0.0436,-0.0429,-0.0453,-0.0379,-0.0352,-0.0258,-0.0192,-0.0088,-0.0121,-0.0075,-0.0078,0.0,-0.0056,0.016,0.0147,0.0187,0.0186,0.0222,0.0245,0.0168,0.024
