date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-21,53.2525,158.8329,E,,0.0291,0.025,0.0167,,,,,,,,,,,,,,,,,,,-1e-04,-1e-04,-1e-04,-0.0,-0.0,-0.0,-0.0,-0.0
2000-03-21,53.2525,158.8329,N,0.0392,0.0392,0.032,0.0279,0.0201,0.0159,0.0125,0.0056,0.0051,0.0063,0.0048,-0.001,-0.0028,0.0015,-0.0018,-0.0042,-0.0063,-0.0051,-0.0041,-0.0004,-0.003,-0.001,0.002,0.0025,0.002,0.0015,0.0014,0.0007,,-0.0036
2000-03-21,53.2525,158.8329,NE,0.0334,0.0299,0.0241,0.0143,0.0076,0.0049,,,,,,,,,,,,,,,,,0.0085,,-0.0003,-0.001,-0.0016,-0.0022,-0.0027,0.0007
2000-03-21,53.2525,158.8329,NO,,0.0141,0.0087,0.0055,0.0033,0.0019,0.0039,-0.0017,-0.0013,0.0038,-0.0006,-0.0037,-0.0023,-0.0004,1e-04,0.003,0.0026,0.0007,-0.001,0.0045,0.0047,0.0036,0.0024,0.0016,0.0005,-0.0011,-0.0029,-0.0063,-0.0083,-0.0082
2000-03-21,53.2525,158.8329,O,0.0036,0.0002,-0.0075,-0.0153,-0.0114,-0.0149,-0.011,-0.0029,-0.0014,0.0009,-0.0,0.0034,0.0072,0.0076,0.0099,0.0113,0.0086,0.0096,0.0084,0.0041,1e-04,0.0003,-0.0061,,,-0.0103,-0.0121,-0.0149,-0.0163,-0.0191
2000-03-21,53.2525,158.8329,S,,0.0136,,,,,,,,,,,,,,,,,,,,,,0.0025,0.0013,0.0017,0.0022,0.0009,-0.0002,0.0013
2000-03-21,53.2525,158.8329,SE,0.0359,0.0324,0.0265,0.0227,0.0241,,,,,,,,,,,,,,,,,,,,0.0013,0.0023,0.0004,-1e-04,-0.0006,-0.0023
2000-03-21,53.2525,158.8329,SO,-0.0069,-0.0112,-0.013,,,,,,,,,-0.0078,-0.0088,-0.0073,-0.005,-0.0005,0.004,0.0051,0.0094,0.0125,0.0109,0.0087,0.0063,0.0023,0.001,-0.0041,-0.0023,-0.0027,-0.0012,-0.0014
2000-06-02,53.253,158.8356,E,,,,,,,,,,0.0318,0.011,-0.0016,-0.0015,-0.0014,-0.0013,-0.0011,-0.001,-0.0009,-0.0008,-0.0007,-0.0007,-0.0005,-0.0004,-0.0002,-1e-04,0.0,1e-04,0.0003,0.0004,0.0005
2000-06-02,53.253,158.8356,N,0.0741,0.0748,0.0187,0.0115,0.0022,0.0003,-0.0049,0.0008,0.0033,0.0123,0.0122,0.0095,0.0086,0.01,0.0143,0.0152,0.0131,0.0069,-0.0029,-0.0066,-0.0112,-0.0087,-0.0069,-0.0077,-0.0072,-0.0037,-0.0056,-0.0047,-0.0005,0.0004
2000-06-02,53.253,158.8356,NE,0.1053,,0.043,,0.0224,0.0197,0.017,0.0164,0.0167,0.0158,0.0143,0.0062,0.0024,0.0007,-0.0071,0.0026,0.0027,0.0097,0.0104,0.0127,0.0123,0.0059,0.0029,-0.0043,-0.0078,-0.0074,-0.0071,-0.0063,-0.0016,-0.0008
2000-06-02,53.253,158.8356,NO,,0.0149,-0.0115,-0.0187,-0.0184,-0.0213,-0.0147,-0.004,0.0004,0.005,0.0174,0.0317,0.0339,0.0425,0.0401,0.0286,0.0139,-0.0136,-0.013,-0.0179,-0.0366,-0.0343,-0.0403,-0.0394,-0.0407,-0.0365,-0.0278,-0.0198,-0.0251,-0.0312
2000-06-02,53.253,158.8356,O,-0.0373,-0.0559,-0.0586,-0.0552,-0.0505,-0.0469,-0.0389,-0.0335,-0.0285,-0.0331,-0.032,-0.035,-0.0283,-0.0175,-0.0148,0.0086,0.006,0.0178,0.0187,0.0259,0.0177,0.0162,0.0077,-0.0063,-0.0206,-0.0207,-0.0221,-0.0187,-0.006,-0.013
2000-06-02,53.253,158.8356,S,,0.1131,0.0977,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-02,53.253,158.8356,SE,0.1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-02,53.253,158.8356,SO,0.0068,0.0043,-0.0059,-0.0093,-0.0138,-0.0089,-0.003,0.0015,-0.0102,-0.0246,-0.0074,0.0079,0.0241,,,,0.0955,,,0.0647,0.0577,0.0353,0.0331,0.021,0.0081,0.0063,0.0004,-0.014,-0.0403,
2001-04-09,53.2517,158.8378,E,0.2328,0.2232,0.1791,0.1616,0.1415,0.1325,0.1201,0.1136,0.1185,0.1298,0.1096,0.0759,0.047,0.0313,0.0188,-0.0043,-0.0141,-0.027,-0.0247,-0.0289,-0.0265,-0.0257,-0.0253,-0.0231,-0.0231,-0.0199,-0.016,-0.0138,-0.01,-0.006
2001-04-09,53.2517,158.8378,N,0.1077,0.0967,0.088,0.094,0.0965,0.0986,0.0774,0.0801,0.0658,0.0588,0.0481,0.0403,0.024,0.0134,0.0075,-0.0038,-0.0019,-0.0029,0.0007,-0.0089,-0.001,-0.008,0.0049,0.0046,0.0024,-0.009,-0.0052,-0.0161,-0.0138,-0.0188
2001-04-09,53.2517,158.8378,NE,,0.1407,0.1348,0.1208,0.1182,0.0971,0.0882,0.0822,0.0705,0.0945,0.0765,0.071,0.0101,-0.0152,-0.0128,-0.015,-0.0083,-0.0108,-0.0065,-0.0038,-0.0026,0.003,0.0018,-0.0005,-0.0016,-0.0031,-0.0005,0.0008,-0.0009,-0.0014
2001-04-09,53.2517,158.8378,NO,0.0486,0.0514,0.0658,0.0798,0.0825,0.0959,0.0989,0.0933,0.0764,0.0648,0.0595,0.0144,0.0107,-0.0297,-0.0285,-0.0322,-0.0285,-0.0217,-0.0234,-0.012,-0.0089,-0.0064,-0.0053,-0.0067,0.0021,0.0041,-0.005,-0.016,-0.0213,-0.0215
2001-04-09,53.2517,158.8378,O,-0.0226,-0.008,0.0026,0.0133,0.0199,0.0261,0.0383,0.046,0.0613,0.024,0.0218,0.0035,-0.0079,-0.0146,-0.0304,-0.0397,-0.0327,-0.0311,-0.0233,-0.02,-0.0182,-0.0179,-0.0085,-0.0099,-0.0062,-0.0027,0.0014,0.0,0.002,0.0094
2001-04-09,53.2517,158.8378,S,0.1321,0.1253,0.1186,0.0613,0.0467,0.0389,0.0249,0.0201,0.0186,0.0122,-0.0035,0.0007,-0.0108,-0.0131,-0.0287,-0.0136,-0.0124,-0.0056,0.0065,0.0182,0.0109,0.0122,0.0096,0.0178,0.0272,0.0118,-0.0028,-0.0145,-0.0013,-0.0074
2001-04-09,53.2517,158.8378,SE,,0.2021,0.1507,0.1268,0.1118,0.0986,0.0906,0.0741,0.0584,0.0437,0.0341,0.0231,0.0022,-0.0114,-0.0113,-0.0134,-0.0194,-0.0156,-0.0144,-0.0155,-0.0162,-0.0072,0.0127,0.0133,0.0101,0.0013,-0.0135,-0.0208,-0.0199,-0.019
2001-04-09,53.2517,158.8378,SO,,0.1037,0.1031,0.0872,0.0362,0.021,0.0097,0.0055,-0.0011,0.0003,0.0084,0.0086,0.0145,0.0201,0.0287,0.0359,0.0314,0.0237,-0.005,-0.0026,-0.0217,-0.0274,-0.028,-0.0264,-0.0231,-0.025,-0.0191,-0.0176,-0.0148,-0.0142
2001-10-02,53.2552,158.8365,E,0.1794,0.1517,0.1047,0.0667,0.0391,0.0429,0.0181,0.0133,0.0093,0.0069,0.0036,0.0036,0.0017,0.0007,0.0004,-0.0016,-0.003,-0.0046,-0.0051,-0.0058,-0.0059,-0.0067,-0.0074,-0.0083,-0.0091,-0.005,-0.0034,1e-04,0.0016,0.0074
2001-10-02,53.2552,158.8365,N,0.0895,0.0894,,,,-0.0063,-0.0009,-0.0034,-0.0122,0.0004,0.0037,0.0013,0.0008,0.0042,0.005,0.0025,-0.0019,-0.0025,-0.0049,0.0008,,,-0.0063,-0.0067,-0.0032,0.0002,0.0041,0.004,0.004,0.0037
2001-10-02,53.2552,158.8365,NE,,0.1124,0.0773,0.0359,0.0151,0.0102,0.0076,0.0059,0.0048,0.011,0.0077,0.0095,-0.0021,-0.0059,-0.0071,-0.0053,-0.0031,-0.0026,-0.0032,-0.0055,-0.0062,-0.0021,-0.0048,-0.0015,0.0,-0.0002,0.0016,0.0043,0.0064,0.0012
2001-10-02,53.2552,158.8365,NO,,0.0704,0.0339,0.0339,,,,,,,,0.0032,0.0031,0.003,0.001,,0.0028,-0.005,,,0.0064,,,,,,,,,
2001-10-02,53.2552,158.8365,O,,,,,,0.0092,0.0087,0.012,0.0133,0.0034,,,-0.0057,-0.005,-0.0063,-0.0107,-0.003,-0.0018,-0.002,0.0012,-0.0113,-0.0042,-0.0008,-0.0007,0.0008,-0.0017,-0.0046,-0.0032,0.002,0.0072
2001-10-02,53.2552,158.8365,S,,0.0287,0.0285,-0.0096,-0.0037,-0.0015,0.0095,0.0059,-0.0039,-0.0057,-0.0056,-0.0013,0.012,0.0391,0.023,0.0258,0.0214,-0.0007,-0.0106,-0.0146,-0.0149,-0.0157,-0.0104,-0.0065,-0.0053,-0.0029,0.0023,0.0055,0.0093,0.0107
2001-10-02,53.2552,158.8365,SE,,0.0958,0.0518,0.0343,0.0208,0.0208,0.0187,0.0131,0.0128,0.0148,0.0088,0.0205,0.0316,-0.0088,0.0108,-0.0071,-0.0068,-0.0157,-0.0157,-0.0133,-0.0111,-0.0061,-0.001,0.0045,0.0077,0.0133,0.0158,0.0202,0.0219,0.0262
2001-10-02,53.2552,158.8365,SO,,0.019,,-0.0147,-0.0224,-0.0185,-0.0262,-0.0379,-0.0301,-0.0243,-0.0147,0.004,,-0.0206,-0.0073,0.0112,0.0168,0.0166,0.0075,0.0035,-0.0003,-0.0004,-0.0004,0.0032,0.0031,0.0013,-0.0007,-0.0007,-0.0046,-0.0009
2002-01-22,53.2536,158.8351,E,0.0852,0.0798,0.0477,0.038,0.0212,0.0127,0.0127,0.0166,0.0208,0.0198,0.0167,0.0083,0.0126,0.0054,-0.0094,-0.0108,-0.0133,-0.0133,-0.0122,-0.0115,-0.01,-0.009,-0.0065,-0.0046,-0.0025,-0.0008,0.0012,0.0039,0.0059,0.0074
2002-01-22,53.2536,158.8351,N,0.0445,0.033,0.0217,0.0176,0.0178,0.0147,0.011,0.0113,0.0102,0.0085,0.0086,0.0065,0.0054,0.0056,0.0017,0.004,0.0029,-0.0051,0.0016,-0.0043,-0.0037,-0.0049,-0.006,-0.0053,-0.0015,-0.0047,-0.0079,-0.0059,-0.0033,-0.0029
2002-01-22,53.2536,158.8351,NE,,0.071,0.0453,0.0433,0.0437,0.0462,0.0466,0.0417,0.0411,0.0229,0.0114,0.0074,-0.005,-0.0042,-0.0076,-0.0071,-0.0021,-0.0059,-0.0009,1e-04,-0.0013,0.0016,-0.0021,-0.0018,-0.0014,-0.0069,-0.004,-0.0037,0.0007,-0.0031
2002-01-22,53.2536,158.8351,NO,0.012,0.0119,0.0079,0.0,-1e-04,-0.0002,0.0017,-0.0002,-0.0004,-0.0043,0.0031,-0.0008,-0.0008,-0.0008,0.0028,0.0026,-0.001,-0.0011,0.0023,0.0022,0.0022,0.0021,0.002,-0.0014,-0.0015,-0.002,-0.0022,-0.0056,-0.0023,-0.0042
2002-01-22,53.2536,158.8351,O,0.0211,0.0131,0.0087,0.008,0.0039,0.0035,0.0031,0.0046,0.0042,0.0021,0.0022,0.0011,-0.0032,-0.003,-0.0002,-0.0003,-0.0002,-0.0002,-0.0005,-0.0009,0.0022,0.002,0.0016,0.0013,0.001,0.0007,0.0003,-1e-04,-0.0003,-0.0006
2002-01-22,53.2536,158.8351,S,0.0664,0.0524,0.0386,0.0219,0.0098,0.0099,0.014,0.0154,0.0111,0.0119,0.0171,0.0231,0.0312,0.0234,0.0153,0.0003,-0.0036,-0.0148,-0.0054,-0.0138,-0.0081,-0.0125,-0.0027,-0.0127,-0.001,-0.0088,0.0008,-0.0009,-0.0023,-0.0017
2002-01-22,53.2536,158.8351,SE,,0.059,0.0458,0.0186,0.0065,-0.0099,-0.0108,-0.0066,-0.0062,-0.0062,-0.0028,-0.0011,0.0044,0.0176,0.0237,0.0224,0.0159,0.0002,-0.0117,-0.0165,-0.0143,-0.0105,-0.0111,-0.0073,-0.0035,0.0017,0.0061,0.0099,0.0125,0.0155
2002-01-22,53.2536,158.8351,SO,0.0255,0.0217,0.0138,0.0099,0.0059,0.0058,0.0018,0.0017,0.0055,0.0055,-0.0026,-0.0026,-0.0028,-0.0028,-0.0028,-0.0029,-0.003,0.0008,0.0008,0.0006,0.0007,0.0005,0.0004,0.0004,0.0005,0.0005,0.0041,0.0041,0.004,0.0039
2002-06-08,53.2552,158.8369,E,,0.1556,0.0917,0.0522,0.0235,0.0107,0.0059,0.0053,0.0045,0.0038,0.0034,0.0034,0.0031,0.001,0.0006,-0.0002,-0.0009,-0.0017,-0.0025,-0.003,-0.0036,-0.0021,-0.0026,-0.0008,-0.003,-0.0039,-0.0046,-0.0043,0.0025,0.0104
2002-06-08,53.2552,158.8369,N,0.0942,0.0945,0.0632,0.0543,0.0546,0.0627,0.0305,0.0356,0.0009,-0.003,-0.0059,-0.0008,0.0021,0.0048,0.0031,0.0044,0.004,-0.0031,-0.0076,-0.0072,-0.0056,-0.0028,-0.0028,-0.0022,-0.0015,-0.0005,0.0007,0.002,0.0047,0.0077
2002-06-08,53.2552,158.8369,NE,0.2098,0.1126,0.0648,0.0312,0.0191,0.0149,0.0005,-0.0017,-0.0018,0.0022,0.0063,0.0042,0.0081,0.0059,0.0017,0.0015,-0.0026,-0.0027,-0.0028,-0.003,-0.003,-0.0031,-0.0031,0.0009,0.0009,0.0009,0.0008,0.0009,0.0008,-0.0033
2002-06-08,53.2552,158.8369,NO,,-0.0126,-0.0409,-0.0465,-0.0409,-0.0393,-0.0451,-0.0378,-0.0327,-0.0202,-0.0151,-0.0173,-0.0073,-0.003,0.0018,0.0035,0.0136,0.0105,0.0161,0.0073,0.0056,0.0007,-0.0058,-0.0104,-0.0127,-0.0116,-0.0074,-0.0026,0.0046,0.0113
2002-06-08,53.2552,158.8369,O,0.0834,0.042,0.0256,0.0168,0.012,0.0013,-0.0116,-0.015,-0.0198,-0.0209,-0.0201,-0.0191,-0.0161,-0.0102,-0.0036,-0.0007,0.002,0.0015,0.0004,-0.0026,-0.0051,0.0034,-0.002,-0.002,-0.0015,-0.0057,-0.0068,-0.0085,-0.0153,-0.0181
2002-06-08,53.2552,158.8369,S,,0.1261,,-0.0062,-0.0359,-0.0222,-0.0142,0.013,0.0131,0.0036,-0.0026,-0.0102,-0.014,-0.0035,0.0036,0.0196,0.0051,0.0195,0.0153,0.008,0.0029,-0.0192,-0.0179,-0.0122,-0.0215,0.0074,0.0119,0.0119,0.0155,
2002-06-08,53.2552,158.8369,SE,0.2018,0.1265,0.1266,0.055,0.0549,0.0272,0.0193,0.0153,0.0233,0.0232,0.0193,0.0221,0.0261,-0.0144,-0.0158,-0.0144,-0.0143,-0.0129,-0.0126,-0.0118,-0.0109,-0.0094,-0.0079,-0.0027,-0.0004,-0.0019,-0.0011,-0.0002,0.0019,0.0076
2002-06-08,53.2552,158.8369,SO,0.0553,0.0869,0.0253,,,,,,,,,-0.0592,-0.0374,-0.0135,-0.0039,-0.0012,0.0003,-0.0035,-0.0007,0.0055,0.0016,0.0,-0.0064,-0.0042,-0.0029,-0.0002,0.0097,-0.0056,0.0007,-1e-04
2002-09-28,53.2522,158.8396,E,,0.1391,0.1339,0.1322,0.1235,0.1024,0.0817,0.079,0.0845,0.0828,0.0757,0.0651,0.0495,0.0339,0.0138,-0.0008,-0.0086,-0.0171,-0.0194,-0.0183,-0.0212,-0.0241,-0.0228,-0.0206,-0.0196,-0.0191,-0.0171,-0.0133,-0.0146,-0.0136
2002-09-28,53.2522,158.8396,N,0.037,0.0381,0.043,0.0369,0.0393,0.0487,0.0463,0.0593,0.0435,0.0306,0.0221,0.0083,0.0002,0.0083,-0.0017,-0.0044,-0.0074,0.0004,-0.007,-0.0033,-0.0023,-0.0002,-0.0062,-0.0083,-0.0101,-0.0123,-0.0106,-0.0068,-0.001,0.0005
2002-09-28,53.2522,158.8396,NE,0.0961,0.0916,0.0881,0.0843,0.0775,0.0717,0.0681,0.0639,0.0583,0.0479,0.0371,0.0295,,0.0128,0.0016,0.001,-0.0022,-0.0031,-0.007,-0.0042,-0.0035,-0.0019,0.0018,0.0037,0.0038,-0.0004,0.0033,0.0005,0.0048,0.0048
