date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-24,-35.6501,-70.7576,E,-0.0997,-0.0993,-0.0939,-0.0891,-0.0894,-0.0734,-0.0576,-0.0393,-0.0261,-0.0089,-0.0039,-0.0156,-0.0221,-0.0074,0.0079,0.0247,0.0298,0.0345,0.0404,0.0459,0.0444,0.0565,0.073,0.0537,0.0372,-0.0092,-0.0481,-0.0683,-0.0187,-0.0369
2000-03-24,-35.6501,-70.7576,N,,0.0472,0.0456,0.0173,-0.0168,-0.0691,-0.0897,-0.067,-0.1936,-0.0976,-0.0515,-0.0539,-0.0119,0.0163,0.0309,0.0297,0.0347,0.0288,0.0343,0.0358,0.0294,0.0303,0.029,0.0279,0.0231,0.0186,0.0146,0.0077,0.0029,0.0029
2000-03-24,-35.6501,-70.7576,NE,-0.0029,0.0042,0.002,0.0208,0.0237,0.0296,0.0289,0.0221,0.0412,0.0596,0.076,0.0875,0.0877,0.0585,0.0438,0.002,-0.031,-0.036,-0.0281,-0.0271,-0.0082,0.0102,0.0153,-0.0117,-0.0044,0.0429,0.0494,0.0718,0.077,0.0873
2000-03-24,-35.6501,-70.7576,NO,,0.0749,0.061,0.0477,0.0434,0.0423,0.0469,0.059,0.0513,0.0546,0.0374,0.0465,-0.0065,0.0211,0.0122,0.0264,0.01,0.0104,-0.0399,-0.0329,-0.0239,-0.0185,-0.0153,-0.0091,0.0015,-0.0025,0.0174,0.0232,0.0284,0.0305
2000-03-24,-35.6501,-70.7576,O,0.1482,0.1293,0.11,0.0821,0.0468,-0.0221,-0.1293,-0.1292,-0.1334,-0.1334,-0.1334,-0.1333,-0.1332,-0.0468,0.0117,0.0182,0.0313,0.0101,-0.0098,-0.0223,-0.0332,-0.0266,-0.0198,0.0284,0.0245,0.055,0.07,0.0612,0.0493,0.0394
2000-03-24,-35.6501,-70.7576,S,,0.1385,0.1381,0.1,0.0509,0.0108,0.0295,0.0632,0.0195,0.0302,0.0412,0.072,0.052,0.041,0.0237,-0.0238,-0.0849,-0.0861,-0.0721,-0.0015,0.0305,0.0235,-0.036,-0.0434,-0.0552,-0.0577,-0.0498,-0.0487,0.0218,0.0369
2000-03-24,-35.6501,-70.7576,SE,0.0576,0.0419,0.007,-0.0607,-0.1222,-0.0349,0.031,0.0718,0.0644,0.0512,0.053,0.0389,-0.002,0.0117,-0.0281,-0.1115,-0.0525,0.0362,0.0405,0.0247,0.0373,0.009,0.0196,-0.0021,-0.0026,0.0054,-0.0187,0.0056,-0.0354,-0.0355
2000-03-24,-35.6501,-70.7576,SO,0.272,0.2321,0.1835,0.1526,0.1073,0.0456,-0.0087,-0.0144,-0.0144,-0.0213,-0.0281,-0.0293,-0.0293,-0.0281,-0.027,-0.0247,-0.0235,-0.0293,-0.0344,-0.0413,0.0447,0.0675,0.0913,0.09,0.0746,0.0513,-0.0122,-0.0628,-0.0922,-0.1249
2001-03-02,-35.6557,-70.7607,E,,0.3306,0.2453,0.159,0.0899,-0.0572,-0.0718,-0.0739,-0.0732,-0.0711,-0.0725,-0.069,-0.0711,-0.0739,-0.0809,-0.0864,-0.0892,-0.0947,-0.079,-0.0098,0.0611,0.0592,0.0405,0.0474,0.046,0.0462,0.0406,0.0526,0.0468,0.0409
2001-03-02,-35.6557,-70.7607,N,,0.2732,0.186,0.0611,0.0603,0.0538,0.0843,0.0819,0.0418,-0.027,0.0576,-0.0469,-0.0271,-0.0319,-0.0537,-0.0857,-0.1128,-0.101,-0.0524,0.0193,0.0525,0.0575,0.0401,-0.0056,-0.0294,-0.0209,-0.0193,-0.0222,-0.0077,-0.0135
