date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-05-05,-6.1407,155.1956,E,,,,,,,,,,,,,,,,,,,,,,,,-0.0165,0.0077,0.008,0.0093,0.0096,0.0074,0.0031
2002-05-05,-6.1407,155.1956,N,,,,,0.3037,0.2237,0.1093,0.087,0.0712,0.0509,0.0248,0.0064,0.0028,-0.0008,-0.0024,-0.0066,-0.0072,-0.0085,-0.0096,-0.0104,-0.0137,-0.0077,-0.0034,-0.002,-0.0044,-0.0043,-0.0096,-0.0054,0.0003,0.0022
2002-05-05,-6.1407,155.1956,NE,,,,,,,,,,,,,,,,,,,,,,,,-0.0836,-0.0346,-0.0374,0.0015,0.0017,0.0056,0.0321
2002-05-05,-6.1407,155.1956,NO,,0.1417,0.115,0.083,0.1062,0.066,0.0085,0.0216,0.0015,-0.0551,0.1516,0.0888,0.0262,-0.0642,-0.1202,-0.0214,-0.0331,-0.0861,-0.052,-0.0815,-0.0259,-0.0257,-0.0243,0.0042,0.0208,-0.0444,-0.057,-0.0421,-0.0016,0.0104
2002-05-05,-6.1407,155.1956,O,,-0.1925,-0.3063,-0.2568,-0.217,-0.0757,-0.031,-0.0644,-0.0249,-0.0021,0.0356,0.0757,0.0954,-0.0335,-0.0994,-0.061,0.0212,0.0513,0.0413,0.0373,-0.0895,-0.0773,-0.0893,-0.1033,-0.074,-0.0478,-0.035,-0.0056,0.0152,0.0695
2002-05-05,-6.1407,155.1956,S,,0.3814,0.2767,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-05,-6.1407,155.1956,SO,,0.3391,0.1473,0.1026,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-16,-6.1369,155.1964,E,0.6246,0.5199,0.436,0.4046,0.2303,0.1003,,,,,,,,,,,,,,,,0.0076,0.0045,0.0031,0.0016,,-0.0058,-0.0033,1e-04,0.0044
2003-01-16,-6.1369,155.1964,N,,,0.4009,0.1814,0.0999,,,,,,,-0.0065,-0.011,-0.0119,-0.0031,0.0004,0.0091,0.0094,0.0061,0.0095,0.0041,0.0042,0.0017,0.0006,0.0016,-0.0005,-0.0008,0.0005,-0.0017,-0.0192
2003-01-16,-6.1369,155.1964,NE,,0.4371,0.3395,0.1263,0.1462,,,,,,,-0.0076,-0.0075,-0.0152,-0.0051,0.003,0.0143,0.0183,0.0182,0.0273,0.0245,0.0256,0.0115,0.0122,0.0071,-0.0004,0.0022,-0.0224,-0.0222,-0.0209
2003-01-16,-6.1369,155.1964,NO,,0.5722,0.4106,0.1093,0.126,0.0649,0.0174,0.0543,,,,,,,,,,,-0.0401,-0.0336,-0.0044,-0.0202,-0.0201,-0.0196,-0.008,0.0151,-0.0013,-0.0122,-0.008,0.0021
2003-01-16,-6.1369,155.1964,O,,0.5016,0.3461,0.3215,0.2842,0.2263,0.1535,0.0918,-0.0151,-0.0521,-0.0402,-0.0598,0.0631,0.0715,,,,-0.059,-0.0453,-0.0618,-0.0513,-0.0343,-0.011,0.0125,0.0147,0.0187,0.0167,0.0138,0.0074,-0.0068
2003-01-16,-6.1369,155.1964,S,,,,,0.3745,0.3281,0.2265,0.0371,-0.0741,,,,,,,,,,,,,,,-0.0152,,,0.0014,0.0016,0.0028,0.0093
2003-01-16,-6.1369,155.1964,SE,,0.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2003-01-16,-6.1369,155.1964,SO,,0.428,0.3308,0.2665,0.2094,0.1391,0.0507,-0.0004,-0.0542,-0.0926,,,,,,,,,-0.0283,,,,,,,0.0281,,,,
2005-05-13,-6.1372,155.1964,E,,,,,,0.1946,0.003,,-0.0113,-0.0327,-0.0278,0.001,0.005,0.0106,0.0187,0.0233,0.0212,0.0227,0.0145,0.0116,0.0218,0.0116,0.0042,-0.0031,-0.0014,-0.0087,-0.0089,-0.0035,0.0057,-0.0526
2005-05-13,-6.1372,155.1964,N,,,0.888,0.6725,0.229,0.0536,0.0909,0.0646,0.0338,0.0138,-0.0149,-0.0174,-0.0245,-0.0127,-0.001,0.004,-0.001,0.006,0.0119,0.0108,0.0171,0.0221,0.0219,0.0222,0.0067,0.0142,0.0142,0.0046,0.0071,0.0075
2005-05-13,-6.1372,155.1964,NE,,,0.7258,0.4478,0.3215,0.1345,0.0438,0.0284,0.013,-0.015,-0.0101,-0.011,-0.0048,0.004,0.0053,-0.0022,0.0015,-0.0004,0.0025,0.0013,-0.0041,0.0044,0.0052,-0.0021,-0.0044,0.0008,0.003,-0.0004,0.0054,-0.0015
2005-05-13,-6.1372,155.1964,NO,,0.8753,0.8787,0.5644,,,,0.2167,0.1287,0.0935,0.0789,0.0334,-0.0045,-0.0244,-0.0399,-0.04,-0.0354,-0.03,-0.0275,-0.0212,-0.016,-0.0109,-0.0056,-0.0051,-0.0042,0.004,0.0076,0.0138,0.0176,0.0212
2005-05-13,-6.1372,155.1964,O,,0.8538,,,,0.1664,0.131,0.0446,0.0634,-0.0703,-0.0589,-0.0381,-0.1084,-0.0805,-0.073,-0.0613,-0.0801,-0.0524,-0.1164,-0.0946,-0.0712,-0.062,-0.0515,-0.0219,-0.0214,-0.0034,0.0013,-0.0072,-0.0119,0.0081
2005-05-13,-6.1372,155.1964,SO,,-0.803,,,,,-0.4253,-0.3672,-0.1448,-0.147,-0.0949,-0.0951,0.0017,0.0631,0.0004,-0.044,0.0982,0.1176,0.0106,0.029,-0.0119,0.0617,0.123,0.069,0.0088,-0.0397,-0.0091,0.0063,-0.0628,-0.202
2007-04-17,-6.1367,155.1961,E,,0.7056,0.6997,0.4806,0.2664,0.0141,,,,,0.0042,0.0168,0.0315,0.0301,0.027,0.0211,0.0263,0.0165,0.0207,0.0167,0.0125,0.0045,0.0013,0.0036,0.0106,0.0064,0.0006,-0.009,-0.0133,-0.0176
2007-04-17,-6.1367,155.1961,N,,,0.34,0.1722,0.033,-0.0023,0.0027,0.0178,0.0215,0.0195,0.0136,0.0047,-0.002,-0.0014,-0.0026,-0.0066,-0.0019,-0.0009,-0.0094,-0.0091,-0.0104,-0.0159,-0.017,-0.0094,-0.0044,0.001,-0.0059,0.0015,0.0015,0.0071
2007-04-17,-6.1367,155.1961,NE,,0.5524,0.4245,0.1773,0.1346,0.0371,0.0075,0.0172,0.0231,0.015,0.0184,0.0036,0.0042,0.0005,-0.013,-0.0214,-0.0159,-0.0031,-0.0111,-0.0073,-0.009,-0.0016,0.0118,0.0104,0.0082,0.0041,0.0032,0.0021,0.0032,0.0017
2007-04-17,-6.1367,155.1961,NO,,0.5491,0.4155,0.1585,0.0989,0.0406,0.0826,0.1004,0.0587,0.0377,-0.0052,-0.0044,-0.0262,-0.0257,-0.0238,-0.0196,-0.0193,-0.0226,-0.0133,-0.0169,-0.0206,-0.0189,-0.0154,-0.0128,-0.0047,0.0016,0.0143,0.016,0.0211,0.026
2007-04-17,-6.1367,155.1961,O,,0.8269,0.6172,0.3143,0.1752,0.1681,0.0591,0.0341,0.07,-0.0392,-0.0503,-0.0931,-0.1376,-0.0828,0.0006,0.0253,-0.0381,-0.0353,0.0132,0.0374,0.0371,0.007,0.0037,-0.0399,-0.0475,-0.0189,-0.0494,0.0675,0.003,-0.0284
2007-04-17,-6.1367,155.1961,S,,,,,,,,0.0555,,0.0135,,0.0063,0.004,0.005,0.0039,0.0021,0.0,-0.0022,-0.0042,-0.0059,-0.0071,-0.0084,-0.0102,-0.0123,-0.0139,-0.0146,0.0006,0.0164,0.015,0.0063
2007-04-17,-6.1367,155.1961,SE,,,,,,,,,,0.0208,0.0169,0.0175,0.0023,0.0114,0.0028,0.0035,0.0043,-0.0085,-0.0128,-0.0119,-0.0163,-0.0209,-0.0202,-0.0274,-0.0314,-0.0319,0.0119,0.0127,0.0117,0.0115
2007-04-17,-6.1367,155.1961,SO,,,,,,-0.1175,-0.1338,,-0.1751,-0.1088,-0.0834,,,,0.0625,0.0384,0.0202,0.164,0.078,0.0248,0.0636,0.0383,0.0169,0.0329,0.0343,0.0016,-0.4068,-0.4089,0.3363,0.2603
2007-05-03,-6.1364,155.1964,E,0.9114,0.9059,0.5475,0.3605,0.1422,0.0008,0.0433,0.0532,0.0409,0.0183,-0.0299,-0.0276,,0.0175,0.0171,0.0188,0.0168,0.0217,0.0175,0.0122,-0.0024,0.0034,0.0064,0.0096,0.0122,0.002,-0.0061,-0.0039,-0.0096,-0.0063
2007-05-03,-6.1364,155.1964,N,,,0.3456,0.1444,0.0478,0.0145,0.0052,0.0053,0.0049,0.0062,-0.0021,-0.0017,-0.0037,0.0055,0.0029,0.0051,0.0091,0.0115,0.0075,0.0088,0.0124,0.0071,0.0075,0.0049,0.0092,-0.0048,-0.0167,-0.0036,-0.0049,0.0005
2007-05-03,-6.1364,155.1964,NE,,0.5208,0.3387,0.1122,0.0323,0.0231,0.0096,-0.0075,-0.0107,-0.0063,0.0017,0.0017,0.0003,0.0054,0.0199,0.0143,-0.0044,0.0018,-0.0317,-0.0115,-0.0049,-0.0014,0.0061,0.0038,0.0083,0.0159,0.0056,0.0,-0.0018,-0.01
2007-05-03,-6.1364,155.1964,NO,,0.6511,0.5935,0.1695,0.2593,0.0813,0.0708,0.0806,0.0358,0.0255,0.0168,0.0042,-0.0183,-0.021,-0.0212,-0.0238,-0.0232,-0.0213,-0.0137,-0.0151,-0.0188,-0.016,-0.0133,-0.0035,-0.0014,-0.002,0.011,0.0253,0.0259,0.0331
2007-05-03,-6.1364,155.1964,O,0.753,,0.7369,0.7124,0.5338,0.4201,0.2784,0.1712,0.1113,0.0353,-0.0654,-0.0663,-0.0967,-0.0936,-0.0705,-0.071,-0.064,-0.0998,-0.0918,-0.0636,-0.0208,-0.003,,0.0261,-0.0118,-0.0087,0.0127,0.0253,0.0417,0.0277
2007-05-03,-6.1364,155.1964,S,,,,,,,,,,,,,,,0.0109,0.0122,0.0072,0.0052,0.0022,-0.0006,-0.0049,-0.0034,-0.0072,-0.0086,-0.0132,-0.0148,-0.0097,0.0032,0.0119,0.0173
2007-05-03,-6.1364,155.1964,SE,,,,,,,0.0779,0.0136,0.0013,0.0021,0.0091,0.0009,0.0031,-0.0035,-0.0084,-0.0124,-0.0079,-0.0111,-0.0058,-0.0034,0.002,-0.0115,-0.0167,-0.0189,-0.0068,-0.0155,0.0064,0.0238,0.0026,-0.0006
2007-05-03,-6.1364,155.1964,SO,,,,0.0836,-0.0351,-0.0727,-0.0427,0.0773,-0.0076,0.0178,-0.0086,-0.0511,-0.0587,-0.0336,-0.0404,-0.0343,-0.0276,-0.0677,-0.0483,-0.0538,-0.0717,-0.1025,-0.1456,-0.1621,-0.2285,0.0566,0.0567,0.0559,0.1878,0.1744
2009-04-06,-6.1364,155.1961,E,0.991,0.9897,0.8557,0.5095,0.1683,-0.0187,-0.0064,0.0054,0.0098,0.0008,-0.0053,0.0105,0.051,,,,-0.0087,0.0055,0.009,0.0086,0.0022,0.0014,-0.0013,-0.0098,-0.0038,0.0029,0.0135,0.0082,-1e-04,-0.003
2009-04-06,-6.1364,155.1961,N,,,0.8017,0.413,0.2314,0.1146,0.0288,0.0137,0.0033,-0.0,0.0005,0.0056,0.0051,0.0019,-0.0003,0.0021,0.0051,0.01,0.0244,0.0251,0.027,0.026,0.0203,0.0142,0.0005,0.0014,0.002,-0.0052,-0.0114,-0.0262
2009-04-06,-6.1364,155.1961,NE,,0.9178,0.5876,0.2746,0.0706,-0.0013,-0.0158,-0.0169,-0.0053,-0.0025,0.0003,-0.0,-0.0045,0.0045,0.0032,-0.0003,-0.0046,0.0005,0.0083,0.0066,-0.0051,0.0022,0.0112,0.0113,0.0067,0.0145,0.0004,-0.0052,-0.0081,-0.0156
