date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-06,-3.6099,144.8212,E,-0.0216,-0.0232,-0.0265,-0.0389,-0.0289,-0.0195,0.0042,-0.0082,1e-04,0.0077,0.002,-0.0083,0.0043,-0.0047,-0.0069,-0.0072,-0.0085,-0.0044,0.0004,-0.0041,-0.0057,-0.002,-0.002,-0.0085,-0.006,-0.0016,0.003,0.0044,0.0018,0.0038
2000-09-06,-3.6099,144.8212,N,-0.031,-0.0242,-0.0317,-0.0328,-0.0234,-0.0057,0.0073,0.0102,0.0075,0.0081,-0.0084,-0.0152,-0.023,-0.0274,-0.0206,-0.0124,0.0013,0.0017,-0.0071,0.0026,0.0031,-0.0071,-0.0127,-0.0025,-0.0021,0.0035,-0.0009,-1e-04,0.0004,0.0011
2000-09-06,-3.6099,144.8212,NE,,-0.0088,-0.0141,-0.0165,-0.0228,-0.0092,-0.0008,-0.0045,0.0198,0.0051,0.0157,-0.0094,-0.0103,-0.0016,-0.0055,-0.0029,-0.0034,-0.0024,-0.0015,-0.0002,-0.0082,-0.0144,-0.0111,-0.0078,-0.0057,-0.0027,-0.0025,-0.0002,-0.0026,-0.004
2000-09-06,-3.6099,144.8212,NO,,-0.0303,-0.0303,-0.0322,-0.0303,-0.0342,-0.0283,-0.0298,-0.0245,-0.0222,-0.0093,-0.0085,-0.0077,-0.0052,-0.0111,-0.0043,0.0041,0.0165,0.0152,0.0195,0.0146,-0.0018,-0.0096,-0.0244,-0.0079,-0.033,-0.0179,-0.0107,-0.0004,0.0081
2000-09-06,-3.6099,144.8212,O,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2000-09-06,-3.6099,144.8212,SE,,,,,-0.0211,-0.0099,-0.0187,0.0062,-0.0191,-0.0196,-0.0197,-0.025,-0.0249,-0.0245,-0.0249,-0.0115,-0.0127,0.0127,0.0298,0.0367,0.0275,0.0121,-0.0002,-0.0002,-0.0023,-0.0023,-0.0076,-0.0074,-0.0142,-0.01
2000-09-06,-3.6099,144.8212,SO,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
2001-01-28,-3.614,144.8222,E,0.058,0.0367,0.0395,0.0614,0.0645,0.0594,0.0613,0.0322,0.0191,0.0036,0.0037,-0.003,-0.0079,0.0069,-0.0216,-0.0039,-0.0172,-0.0227,-0.0152,-0.0175,-0.0094,-0.0071,0.0006,0.0026,0.0035,0.0025,-0.0008,-0.0027,-0.0009,0.0017
2001-01-28,-3.614,144.8222,N,0.1732,0.1738,0.1591,0.1443,,,,,,,,,,,,,,,,,-0.0018,-0.0016,-0.0015,-0.0012,-0.001,0.0007,-0.0006,-0.0004,-0.0003,-0.0002
2001-01-28,-3.614,144.8222,NE,,0.0886,0.074,0.0695,0.0651,0.0642,0.0659,0.0673,0.0327,0.0215,0.0162,0.013,0.0083,-0.0011,-0.0126,-0.0104,-0.0153,-0.0148,-0.0128,-0.0077,-0.009,-0.0054,-0.0114,-0.0032,0.0064,1e-04,-0.0015,0.004,0.0073,0.0092
