date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-02-18,12.2807,93.8616,E,0.0993,0.0993,0.0938,0.0808,0.0711,0.0675,0.0637,0.0419,0.0254,0.0185,0.0008,0.0053,0.0144,0.0042,-0.0308,-0.005,0.0161,0.0149,-0.0083,-0.0217,-0.0711,-0.071,-0.0535,-0.0544,-0.0609,-0.0632,-0.0012,0.032,0.0716,0.0958
2001-02-18,12.2807,93.8616,N,-0.1882,0.147,0.1235,0.1416,0.1638,0.1302,0.1306,0.1292,0.1511,0.1588,0.1347,0.1098,0.1088,0.1307,0.0583,0.0083,-0.0318,-0.0455,0.0197,-0.0514,-0.1112,-0.1332,-0.1038,-0.0972,-0.0874,-0.0633,-0.0361,-0.0147,-0.0013,0.0208
2001-02-18,12.2807,93.8616,NE,,0.063,0.0398,0.0442,0.0606,0.0541,0.0335,0.0065,0.0198,0.0054,-0.0064,-0.0486,-0.036,-0.0188,-0.0501,-0.024,-0.0475,-0.0411,-0.0367,0.001,0.0252,0.0287,0.0364,0.0476,0.0485,0.0639,0.0429,0.0293,-0.0048,-0.0207
2001-02-18,12.2807,93.8616,NO,,0.133,0.199,0.1814,0.1681,0.1566,0.1502,0.1252,0.1142,0.0845,0.0637,0.0164,-0.0286,-0.0836,-0.1055,-0.1081,-0.1054,-0.0943,-0.0758,-0.0648,-0.0426,0.0035,0.0173,0.0247,0.0321,0.0275,0.0223,0.016,0.0105,0.0026
2001-02-18,12.2807,93.8616,O,0.0602,0.0519,0.0436,0.0436,0.0585,0.0716,0.0539,0.046,0.0431,0.0766,0.0408,-0.0004,-0.0234,-0.0273,-0.0131,-0.0151,-0.0064,-0.07,-0.0531,-0.044,-0.0298,-0.0113,0.0004,0.0096,0.0231,0.0146,-0.0019,-0.002,-0.0035,-0.0026
2001-02-18,12.2807,93.8616,S,,0.03,0.0175,0.0091,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,0.0143,0.0612,0.0527,0.0509,0.0593,0.049,0.0398,0.031,0.0216,0.0094,-0.0139,-0.0245,-0.0239,-0.0341,-0.0327,-0.0326,-0.0354,-0.0435,-0.0578,-0.0739
2001-02-18,12.2807,93.8616,SE,,0.1148,0.1106,0.0813,0.0728,0.0644,0.0558,0.0558,0.0601,0.0558,0.0516,0.0387,0.0216,-0.0132,-0.0263,-0.0307,-0.0145,-0.0573,-0.0395,-0.0309,-0.0312,-0.0504,-0.0433,-0.0344,-0.0352,-0.0254,-0.0083,0.0164,-0.0028,0.0003
2001-02-18,12.2807,93.8616,SO,,0.0057,-0.0027,-0.0196,-0.028,-0.0062,0.0088,0.0281,0.0477,0.0298,0.0213,0.0158,0.0098,0.0059,0.0031,0.0057,-0.0063,-0.0201,-0.0107,-0.0098,-0.0099,-0.0264,-0.0071,0.002,0.0155,0.0039,-0.0227,-0.0244,-0.0284,0.0004
2002-02-21,12.2799,93.8589,E,,0.14,0.1284,0.1198,0.0995,0.079,0.0584,0.048,0.0376,0.0306,0.0236,0.0236,0.0025,0.006,-0.0259,-0.0501,-0.0546,-0.064,-0.0605,-0.068,-0.0757,-0.0693,-0.0618,-0.0396,-0.0032,0.055,0.0717,0.1191,0.1318,0.1389
2002-02-21,12.2799,93.8589,N,,-0.0085,0.0094,-0.0289,-0.0357,-0.058,-0.0647,-0.058,-0.0445,-0.0377,-0.031,0.0293,0.0527,0.0903,0.1145,0.1011,0.0989,0.1035,0.0659,0.0539,0.056,-0.0414,-0.0142,-0.0223,-0.0461,-0.0796,-0.1347,-0.1352,-0.1146,-0.1403
2002-02-21,12.2799,93.8589,NE,0.1094,0.0939,0.0872,0.0804,0.0467,0.0399,0.0262,0.0194,0.0262,0.0331,0.0194,0.0056,0.0159,0.0449,0.0285,0.0474,0.0338,0.0199,0.0184,0.0285,0.0124,0.0262,0.0327,0.0032,0.0055,-0.0258,0.0016,-0.0199,-0.0293,-0.0155
