date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-02-18,12.2807,93.8616,E,,-0.0049,0.001,-0.0096,-0.0132,-0.0147,-0.0058,-0.0088,-0.0136,-0.018,-0.0197,-0.0024,0.0014,0.0105,0.0027,-0.001,0.0073,0.0186,0.0304,0.0238,0.041,-0.0068,-0.0344,-0.0353,-0.051,-0.0634,-0.0374,0.0219,0.0415,0.0773
2001-02-18,12.2807,93.8616,N,0.0486,0.0472,0.0186,0.0224,0.0605,0.0028,0.0453,0.0562,0.0654,0.0504,0.026,0.0147,1e-04,0.0172,-0.0269,-0.0454,-0.0232,0.0109,0.014,0.01,-0.0298,-0.0499,-0.0221,-0.009,0.0166,0.0273,0.0242,-0.0049,-0.0422,-0.0604
2001-02-18,12.2807,93.8616,NE,,-0.0107,0.0013,0.0101,0.0566,0.0506,0.0363,0.0182,0.0217,0.0189,0.0115,-0.0292,-0.0363,-0.0172,-0.0382,-0.0295,-0.0164,-0.012,-0.0171,-0.0029,-0.0022,0.0279,0.0112,0.0287,0.0188,0.0126,-0.0034,0.006,0.0191,0.0098
2001-02-18,12.2807,93.8616,NO,,0.1402,0.1272,0.1218,0.1164,0.1193,0.1051,0.0795,0.0765,0.0643,0.0299,0.0025,-0.0286,-0.0459,-0.0372,-0.0426,-0.0446,-0.0285,0.0087,0.0368,0.0674,0.091,0.0711,0.0239,-0.0008,-0.01,-0.0194,-0.0273,-0.0306,-0.0325
2001-02-18,12.2807,93.8616,O,0.1555,0.1402,0.1283,0.1182,0.09,0.0771,0.0698,,0.0273,0.0434,0.011,-0.0113,-0.0262,-0.0156,-0.0028,0.0068,0.0204,-0.0265,-0.0094,0.0078,0.0186,0.0228,0.0096,-0.0077,-0.0023,0.001,-0.0145,-0.0085,-0.0161,-0.0227
2001-02-18,12.2807,93.8616,S,,0.0542,0.0586,0.0493,0.0497,0.0596,0.0607,0.0498,0.0602,0.0775,0.0801,0.0701,0.0469,0.0464,0.0545,0.0485,0.0451,0.0315,0.0213,0.0221,0.0055,0.0012,-0.0009,-0.0011,-0.007,-0.0124,-0.0291,-0.05,-0.0821,-0.1116
2001-02-18,12.2807,93.8616,SE,,-0.0182,-0.0267,-0.0575,-0.0548,-0.0107,-0.0153,-0.0321,-0.0211,0.0103,0.0374,0.0379,0.0208,0.0088,-0.0206,-0.0195,-0.0274,-0.0387,-0.0441,0.0198,0.0063,-0.0192,-0.0154,-0.0159,-0.018,-0.0228,-0.0237,0.0057,0.0162,0.0298
2001-02-18,12.2807,93.8616,SO,,0.1299,0.1163,0.089,0.0745,0.065,0.0509,0.0491,0.0605,0.0392,0.0161,0.0235,0.0125,0.001,0.0026,0.007,-0.0143,-0.0209,-0.0082,0.0018,-0.0155,-0.0052,0.0077,0.0228,0.0126,-0.0036,-0.012,-0.0177,-0.0233,-0.0162
2002-02-21,12.2799,93.8589,E,,0.0815,0.0728,0.08,0.0684,0.0308,0.0082,0.005,-0.0055,0.0142,0.0329,0.0225,0.0006,0.0221,0.012,0.0033,-0.0114,-0.0195,-0.0295,-0.0281,-0.0562,-0.063,-0.0509,-0.0346,-0.0097,0.0209,0.0549,0.0625,0.0358,-0.0095
2002-02-21,12.2799,93.8589,N,,0.0619,0.0501,0.0358,0.0222,-0.0049,0.015,0.0258,0.0424,0.0305,-0.0076,-0.0134,-0.0015,0.008,0.0205,0.0258,0.0177,0.0131,-0.0144,-0.024,-0.0336,-0.0308,-0.0114,-0.0357,-0.0396,-0.0385,-0.0128,0.0108,0.0199,0.0172
2002-02-21,12.2799,93.8589,NE,,0.1033,0.0935,0.0803,0.0596,0.0564,0.0484,0.0451,0.0497,0.041,0.0272,-0.0073,0.0042,0.0233,0.0079,0.0179,0.0069,0.0004,0.0081,0.0077,0.0117,0.0171,0.0123,0.0066,-0.0036,-0.0039,-0.0064,-0.0206,-0.0274,-0.0309
2002-02-21,12.2799,93.8589,NO,,0.1376,0.1086,0.0897,0.0714,0.0628,0.0727,0.057,0.0516,0.0288,0.0206,0.0316,0.0064,0.011,0.0144,0.0042,-0.0265,-0.0506,-0.0351,-0.0163,-0.0052,0.0107,0.0014,0.0149,0.0136,0.017,0.0111,0.0027,-0.0283,-0.0372
2002-02-21,12.2799,93.8589,O,0.1315,0.1087,0.0623,0.073,0.055,0.0286,0.0183,0.0167,-0.009,0.0063,-0.0126,-0.0088,-0.011,-0.0027,-0.0012,-0.0067,-0.0181,-0.0026,0.0038,0.0119,0.0297,0.0258,0.0146,-0.0064,-0.0211,-0.0165,-0.0129,-0.0073,-0.006,-0.018
2002-02-21,12.2799,93.8589,S,0.2129,0.2052,0.1771,0.1462,0.1389,0.1352,0.1383,0.1268,0.0892,0.0601,0.0381,0.0323,0.047,0.0862,0.0621,0.0567,0.041,0.0058,-0.0351,-0.0605,-0.0547,-0.051,-0.0573,-0.0301,-0.0183,-0.003,-0.0094,-0.0136,-0.021,-0.0511
2002-02-21,12.2799,93.8589,SE,,0.1131,0.1041,0.0928,0.0557,0.0316,0.0342,0.0413,0.0437,0.0337,0.0399,0.0475,0.0557,0.0576,0.0241,0.0016,-0.0188,-0.0081,-0.0182,-0.0224,-0.0211,-0.0226,-0.0104,-0.003,-0.0103,-0.0211,-0.0126,0.0046,0.0169,0.026
2002-02-21,12.2799,93.8589,SO,,0.1509,0.1234,0.0952,0.0998,0.0931,0.0519,0.0381,0.0267,0.0281,0.0072,0.0137,0.0031,0.03,0.0195,0.0163,-0.0008,-0.0056,-0.0074,-0.002,-0.0039,-0.011,-0.0139,-0.0133,0.0048,-0.0059,-0.0055,-0.0006,-0.0067,-0.0024
2003-01-23,12.2809,93.8613,E,,0.0018,-0.0071,-0.0196,-0.0457,-0.0362,-0.0746,-0.0618,-0.0532,-0.032,0.0035,-0.0133,0.0252,0.0314,0.0176,0.0287,0.0222,0.0189,0.0012,-0.009,-0.0228,-0.035,-0.0364,-0.0528,-0.0529,-0.0035,0.0344,0.0691,0.0952,0.0901
