date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-29,-8.2365,115.3796,E,,-0.0232,-0.0289,-0.0462,-0.0517,-0.0738,-0.0796,-0.0549,-0.0516,-0.0387,-0.025,-0.0172,-0.0134,-0.0022,0.0075,0.0381,0.0317,0.0066,0.0166,0.011,0.014,0.0196,0.0141,0.0087,0.006,0.0066,-0.0009,0.0009,-0.0034,-0.0182
2000-04-29,-8.2365,115.3796,N,,0.0458,0.0351,0.0259,0.0128,-0.0033,-0.0188,-0.0258,-0.0342,-0.033,0.0011,0.0018,0.0231,0.0268,0.0099,-0.0106,-0.0218,-0.0131,-0.0054,-0.0031,-0.0029,0.0153,0.0224,0.0257,0.0097,-0.008,-0.0194,0.0036,-0.0315,-0.0084
2000-04-29,-8.2365,115.3796,NE,,0.1002,0.0886,0.0698,0.0414,0.0037,-0.0216,-0.0311,-0.0223,-0.0102,-0.0023,-0.0154,-0.0153,-0.0135,-0.0138,-0.018,-0.0272,-0.0266,-0.0025,0.0096,0.0257,0.019,0.0311,0.0209,0.0339,0.0323,0.013,0.0031,-0.0275,-0.0578
2000-04-29,-8.2365,115.3796,NO,0.0356,0.0478,0.039,0.029,0.004,-0.019,-0.0161,-0.0428,-0.0531,-0.0394,-0.0062,0.02,0.0265,0.0311,0.028,0.0048,-0.0155,-0.0201,-0.0013,-0.0003,0.0038,-0.0052,0.0034,0.0165,0.0026,-0.0087,-0.0014,0.0045,-0.0099,-0.0246
2000-04-29,-8.2365,115.3796,O,,0.0633,0.0529,0.0212,0.0136,0.0095,0.0013,-0.0153,-0.0154,-0.0075,0.0057,0.0245,0.0235,0.0264,0.009,-0.003,-0.0112,-0.0136,-0.0016,0.0073,0.009,-0.0089,-0.0066,-0.0026,0.0035,0.0038,0.0025,0.0045,-0.0082,-0.0089
2000-04-29,-8.2365,115.3796,S,0.0793,0.0587,0.0233,0.0469,0.0645,0.0617,0.0501,0.0409,0.015,0.0002,-0.0077,-0.0125,-0.0064,0.0017,0.0066,0.0157,0.0034,-0.0059,-0.0075,0.0005,0.0041,-0.0003,-0.0035,-0.0108,-0.004,-0.0016,-0.0063,0.0051,0.007,0.0077
2000-04-29,-8.2365,115.3796,SE,,0.0633,0.0574,0.0643,0.0681,0.0484,0.0238,-0.0006,0.0018,0.0061,0.0011,0.0008,0.0111,0.0134,0.0147,0.0139,0.017,0.0095,0.0089,0.0058,-0.0163,-0.0105,-0.0126,-0.016,-0.012,0.0054,0.0035,0.0069,-0.0048,-0.0052
2000-04-29,-8.2365,115.3796,SO,,0.031,-0.0004,0.0111,0.0111,-0.0124,-0.0097,-0.0093,-0.0147,-0.0279,-0.0303,-0.0465,-0.026,-0.0163,-0.0048,0.0095,0.0188,0.0039,0.0019,-0.0033,-0.0032,-0.0045,-0.0021,-0.0093,-0.0079,-0.0062,-0.0026,0.0063,0.0161,0.0207
2000-07-02,-8.2367,115.3798,E,,0.0424,0.0265,0.0213,0.019,-0.0127,-0.0536,-0.0514,-0.0456,-0.0201,-0.0038,0.0054,0.0069,0.0058,0.0143,0.0055,0.0216,0.0068,0.0084,0.0007,0.0007,0.0019,0.0052,-0.0028,0.0022,0.0055,-0.0017,-0.001,-0.0098,-0.0166
2000-07-02,-8.2367,115.3798,N,,0.015,-0.0149,-0.0164,-0.0189,-0.043,-0.0373,-0.0339,-0.0278,-0.0116,0.0067,-0.0006,0.0045,-0.0063,-0.0049,-0.0124,0.0099,0.0085,0.0071,0.0244,0.0174,0.0177,0.0138,-0.0116,-0.0309,-0.0268,-0.042,-0.005,-0.0635,-0.0549
