date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2003-02-26,55.9738,160.5846,E,,0.1602,0.1566,0.1525,0.1473,0.1416,0.1361,0.1348,0.1209,0.0979,0.0559,0.0259,-0.0155,-0.0251,-0.0276,-0.0256,-0.024,-0.0215,-0.0184,-0.0138,-0.0089,-0.0063,-0.0041,-0.0078,-0.0037,-0.0003,0.0013,0.0039,0.0077,0.0102
2003-02-26,55.9738,160.5846,N,0.1054,0.0933,0.09,0.0539,0.0374,0.0188,0.0087,0.0054,0.0137,0.0166,0.0277,0.0407,0.0285,0.0239,0.0106,0.0047,0.0022,0.0057,0.0046,0.0111,0.0102,0.0043,-0.0087,-0.014,-0.0219,-0.0215,-0.0247,-0.0287,-0.0238,-0.0045
2003-02-26,55.9738,160.5846,NE,0.1546,0.1293,0.1168,0.1125,0.1118,0.082,0.0813,0.0079,0.0018,-0.0022,0.0072,-0.0021,0.0093,0.0011,0.0102,0.0143,-0.004,0.0161,-0.0042,0.0014,-0.0047,-0.0161,-0.0185,-0.0268,-0.0382,-0.0412,-0.0453,-0.0425,-0.0379,-0.0331
2003-02-26,55.9738,160.5846,NO,,0.0459,0.0313,0.0342,0.0041,-0.022,-0.0174,-0.0143,-0.0015,-0.0036,-0.0095,-0.0081,-0.0092,-0.0089,-0.0103,-0.0088,-0.0121,-0.014,-0.0208,-0.0193,-0.0156,-0.0131,0.0013,0.0071,0.0127,0.012,0.0281,0.0278,0.0364,0.0422
2003-02-26,55.9738,160.5846,O,0.0143,0.0143,0.0201,0.0233,0.0231,0.0097,0.0003,0.0107,0.0114,0.0036,-0.0019,-0.0116,-0.0203,-0.0265,-0.0381,-0.0293,-0.0166,-0.01,0.0034,0.0084,0.0185,0.0099,0.0114,0.038,0.0446,0.0411,0.0278,0.0214,0.0111,0.0076
2003-02-26,55.9738,160.5846,S,0.1515,0.1172,0.1211,0.1071,0.1057,0.0875,0.0633,0.0458,0.0308,0.0183,0.0004,-0.0026,-0.0061,-0.0138,-0.0166,-0.0173,-0.0146,-0.0163,-0.0189,-0.0181,-0.0157,-0.0147,-0.0176,-0.0164,-0.0043,-0.0029,-0.0019,0.0072,0.0161,0.0249
2003-02-26,55.9738,160.5846,SE,0.1886,0.1593,0.1429,0.1366,0.1464,0.1385,0.1353,0.0375,0.0121,0.0009,-0.0023,-0.0031,-0.002,-0.0004,0.001,0.0026,0.0002,-0.0033,-0.0058,-0.005,-0.0041,-0.0036,-0.0021,-0.0013,-0.0007,-1e-04,0.001,0.0014,0.0019,0.0028
2003-02-26,55.9738,160.5846,SO,0.0747,0.0746,0.0715,0.0617,0.0437,0.0183,-0.0135,-0.0466,-0.0673,-0.0566,-0.0427,-0.0302,-0.0053,0.001,-0.0026,0.0004,0.0022,0.011,0.0201,0.0164,0.0124,0.004,-0.0058,-0.0046,-0.0034,-0.0044,-0.002,-0.0067,-0.0159,-0.024
2003-05-26,55.9777,160.5948,E,0.1173,0.0689,0.0326,0.0148,0.0066,0.0063,0.0058,0.005,0.006,0.0116,0.0108,-0.002,-0.0026,-0.0037,-0.0087,-0.0099,-0.007,-0.0002,-0.0014,-0.0028,-0.0059,-0.0008,-0.0055,-0.0023,0.0049,0.0047,0.0041,-0.0004,0.0019,0.0011
2003-05-26,55.9777,160.5948,N,0.1469,0.1541,0.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-26,55.9777,160.5948,NE,,0.1524,0.0874,0.0445,0.0326,0.0286,0.0286,,0.0406,,,,,,,,,,,,,,,,,,,,,
2003-05-26,55.9777,160.5948,NO,0.1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-26,55.9777,160.5948,O,,,,0.0194,0.0169,0.0144,,,0.0048,0.0111,0.0055,-0.0073,-0.0086,-0.0053,0.0124,0.0217,0.0067,-0.0002,-0.0125,-0.0095,,,,,,,,,,
