date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-30,11.5226,124.54,E,,0.0245,-0.0208,-0.0275,-0.0257,-0.0189,-0.0207,-0.0253,-0.0105,-0.0227,-0.0242,-0.019,-0.0046,-0.0016,-0.0031,-0.0034,-0.0028,1e-04,0.0034,0.0051,0.0015,-0.0029,0.0076,0.0141,0.0127,0.0072,0.0014,-0.0031,-0.0023,-0.0041
2000-08-30,11.5226,124.54,N,,0.0485,0.0381,0.029,0.0269,0.0134,0.0118,0.027,0.0043,0.001,0.0014,,0.0059,0.0092,0.0053,-0.006,-0.0051,-0.0045,-0.0064,-0.0032,0.0044,0.0011,0.004,0.004,0.0002,-0.0065,-0.0101,-0.0096,-0.0025,-0.0037
2000-08-30,11.5226,124.54,NE,,-0.0195,-0.0234,-0.0167,-0.0021,0.0007,-0.0041,-0.0042,-0.02,-0.0199,-0.0345,-0.0296,-0.0237,-0.0159,-0.0101,0.0016,-0.0125,0.0037,0.0102,0.0067,0.0146,0.0241,0.0091,-0.0025,-0.006,-0.0052,0.0082,0.006,0.0183,0.0206
2000-08-30,11.5226,124.54,NO,,0.0397,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2000-08-30,11.5226,124.54,O,,0.0865,0.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-30,11.5226,124.54,S,0.0863,0.0795,0.0624,,,,-0.0064,-0.0073,-0.0038,0.0054,0.0092,0.0061,-0.0013,-0.001,-0.0043,-0.0051,-0.0014,0.0008,0.001,,,,,,,,,,,
2000-08-30,11.5226,124.54,SE,,0.0533,0.0305,0.0056,0.0026,-0.0373,-0.0445,-0.0448,-0.0397,-0.0265,-0.0253,-0.0175,-0.0151,-0.0228,-0.0295,-0.0225,-0.0124,0.0002,-0.0078,0.0134,1e-04,0.0173,0.0168,0.0267,0.0266,0.0177,0.0176,0.0097,0.0111,0.0194
2000-08-30,11.5226,124.54,SO,,0.0807,0.0677,0.0397,0.033,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-29,11.5208,124.5312,E,-0.0354,-0.0305,-0.0232,-0.0233,-0.0238,-0.0181,-0.0149,-0.0146,0.0589,0.1437,0.1397,0.0654,-0.01,-0.0073,-0.0072,-0.0081,-0.0085,-0.0112,-0.0137,-0.0098,-0.0069,-0.0039,-0.0048,-0.0077,-0.0051,-0.0044,-0.0073,-0.0066,-0.0056,-0.0055
2001-05-29,11.5208,124.5312,N,0.1914,0.1734,,,,,,,,,-0.174,-0.1135,-0.0815,0.0439,0.0197,-0.0012,-0.0185,-0.0241,,,,,,0.0011,0.0018,-0.0063,-0.0091,-0.0126,-0.0188,-0.0282
