date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,8.2145,39.0864,E,,0.1159,0.1002,0.0977,0.0635,0.0444,0.0295,0.0158,0.0057,0.0076,-0.0295,-0.0438,-0.0453,-0.0337,-0.0237,-0.0211,-0.0069,-0.0013,0.0059,0.0087,0.0052,0.0055,0.0069,0.0128,0.0134,0.01,0.008,0.0096,0.0022,0.0067
2000-02-05,8.2145,39.0864,N,,0.0687,0.0605,0.0546,0.0338,0.0216,0.0277,0.0354,0.0365,0.0323,0.0232,0.0159,0.0175,0.0216,0.0212,0.0258,0.0248,0.0228,0.0085,-0.0141,-0.0293,-0.0467,-0.0434,-0.0246,-0.0141,-0.003,-0.0014,0.0042,0.0089,0.0118
2000-02-05,8.2145,39.0864,NE,0.0575,,0.0675,0.062,0.0569,0.0471,0.0511,0.0484,0.0377,0.0163,0.0082,0.0025,-0.0064,-0.0147,-0.0077,-0.0023,0.0041,0.0077,0.0015,0.0074,0.0071,0.0059,0.0084,0.007,0.0136,0.0019,-0.0066,-0.0073,-0.0171,-0.0205
2000-02-05,8.2145,39.0864,NO,0.0322,,0.0274,0.0252,0.0115,0.0134,-0.0063,-0.0029,-0.0031,-0.0029,-0.0055,-0.0152,-0.0058,0.0042,0.0115,0.0215,0.0271,0.0238,0.0256,0.0279,0.022,0.0041,-0.0049,-0.019,-0.0226,-0.0195,-0.0206,-0.0228,-0.0115,0.0062
2000-02-05,8.2145,39.0864,O,,0.0422,0.0386,0.0313,0.0231,0.0109,0.0033,-0.0033,-0.0016,0.0024,0.0082,0.0038,0.013,0.0034,0.004,-0.0054,-1e-04,-0.0017,1e-04,-0.0119,-0.0245,-0.0267,-0.0197,-0.012,-0.0034,0.0019,0.0034,0.0087,0.0079,0.0103
2000-02-05,8.2145,39.0864,S,,0.076,0.0704,0.0597,0.0513,0.0384,0.0391,0.0232,0.0106,-0.0027,-0.0126,-0.0373,-0.0401,-0.023,0.0069,0.0319,0.0457,0.0398,0.0404,0.0257,-0.0011,-0.0124,-0.0363,-0.0353,-0.0321,-0.0032,-0.0006,-0.0003,-0.0011,-0.0131
2000-02-05,8.2145,39.0864,SE,0.0261,,0.0098,-0.0202,-0.0357,-0.056,-0.0566,-0.0386,-0.0252,-0.008,-0.0129,-0.0125,0.0067,0.0021,0.0186,0.0169,0.0097,0.0132,0.0148,0.0068,0.0049,-1e-04,-0.0117,-0.0035,-0.0099,1e-04,0.0105,0.0034,-0.0047,-0.0091
2000-02-05,8.2145,39.0864,SO,0.001,,-0.0055,-0.0074,-0.0067,-0.0103,-0.0152,-0.0091,-0.0054,0.0085,0.0124,0.026,0.0431,0.0346,0.0398,0.0098,0.005,0.0122,-0.0211,-0.009,-0.0128,-0.0174,-0.0158,-0.0173,-0.0101,-0.0075,0.0058,0.0126,0.0102,0.0164
2000-12-05,8.2148,39.0864,E,,0.0672,0.047,0.0303,0.0066,-0.011,-0.0088,-0.0002,-0.0088,-0.0241,-0.0352,-0.0329,-0.0347,-0.034,-0.0359,-0.0352,-0.0344,-0.0348,-0.025,-0.0079,0.0013,0.0017,-0.0039,0.0007,0.0104,0.02,0.0332,0.043,0.0425,0.0489
2000-12-05,8.2148,39.0864,N,,0.0945,0.0891,0.0738,0.0429,0.0264,0.0255,0.0331,0.0329,0.0288,0.0298,0.0181,0.0185,0.016,0.0148,0.0197,0.0206,0.0176,0.0116,-0.0094,-0.0182,-0.0351,-0.0363,-0.0249,-0.013,-0.0062,0.0027,0.0033,0.0011,0.0044
