date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-04-03,-41.3261,-72.6164,E,,0.0802,0.0845,0.0794,0.0855,0.0925,0.0933,0.0876,0.065,0.0539,0.0535,0.0367,0.0471,0.0431,0.052,0.0301,0.0366,0.0178,0.0173,-0.0472,-0.06,-0.0967,-0.1023,-0.096,-0.0903,-0.0685,-0.072,-0.0165,0.0065,-0.0165
2001-04-03,-41.3261,-72.6164,N,,0.1302,0.1023,0.0866,0.0632,0.0368,0.0431,0.0158,-0.015,-0.0699,-0.085,-0.0967,-0.0988,-0.078,-0.0557,-0.0655,-0.0535,-0.04,-0.0418,0.039,0.0273,0.0313,0.0067,0.0199,0.0238,0.0242,0.0426,0.0482,0.0472,0.0519
2001-04-03,-41.3261,-72.6164,NE,0.1612,0.1172,0.0833,0.0608,0.0435,0.0242,0.0074,-0.0122,-0.0424,-0.0606,-0.0694,-0.0605,-0.0649,-0.0226,-0.0221,-0.0323,0.0116,0.0543,0.0444,0.0572,0.0534,0.0525,0.0455,0.0329,0.0296,0.0157,0.0139,0.0106,-0.0199,-0.0302
2001-04-03,-41.3261,-72.6164,NO,0.2572,0.2322,0.2258,0.1812,0.1672,0.1141,0.0701,0.0547,0.0415,0.0156,0.0009,0.0207,0.0061,-0.0033,0.0123,-0.029,-0.0319,-0.0348,-0.0159,-0.0268,-0.0196,-0.0033,-0.0182,-0.0012,0.0046,-0.0038,0.0048,-0.001,-0.0053,-0.0053
2001-04-03,-41.3261,-72.6164,O,,0.2638,0.2152,0.158,0.0565,0.0201,0.0178,-0.0103,-0.0034,-0.0034,-0.0107,-0.0082,-0.0132,-0.013,-0.0162,-0.0174,-0.0169,-0.0169,-0.0192,-0.0125,-0.0085,-0.0054,-0.0025,0.0068,0.0154,0.0122,-0.0032,-0.0059,-0.005,-0.0016
2001-04-03,-41.3261,-72.6164,S,,0.2362,0.1473,0.1588,0.0746,-0.0039,-0.0058,-0.0232,-0.0278,-0.0239,-0.0408,-0.0179,0.015,0.019,0.0104,-0.0074,0.0048,-0.0253,-0.0276,-0.0034,-0.0253,0.0302,0.0218,0.0348,0.0091,-0.018,0.0104,0.0067,-0.0053,-0.0028
2001-04-03,-41.3261,-72.6164,SE,0.0942,0.0908,0.0764,0.0587,0.041,-0.012,0.0317,-0.0008,-0.0095,0.0287,-0.0254,-0.0024,0.017,-0.0134,-0.0091,-0.0,0.0041,0.0053,0.0031,0.0021,0.0055,0.009,0.0047,0.0051,0.0086,0.0161,0.0123,0.0291,0.02,0.0284
2001-04-03,-41.3261,-72.6164,SO,0.2492,0.2386,0.1963,0.1156,0.0751,0.0549,0.0479,0.0624,0.0568,0.0467,0.0224,0.0151,0.0011,-0.0053,0.017,0.0269,0.0285,0.0316,0.0324,-0.0025,-0.023,-0.0281,-0.0345,-0.0229,-0.021,-0.0237,0.0028,-0.0022,-0.0099,-0.0118
2001-09-03,-41.3258,-72.6167,E,,0.0344,0.0347,0.035,0.0379,0.0364,0.0369,0.0337,0.0339,0.0311,0.0294,0.0279,0.0232,0.015,0.023,0.0146,0.0118,0.0006,-0.014,-0.026,-0.032,-0.032,-0.0362,-0.034,-0.0279,-0.0252,-0.0213,-0.0072,-0.0071,-0.014
2001-09-03,-41.3258,-72.6167,N,0.0384,0.0326,0.0235,0.0202,0.0093,0.0014,-0.0072,-0.0169,-0.0393,-0.0486,-0.0637,-0.0658,-0.053,-0.0369,-0.003,0.0041,0.0167,0.0176,0.0136,0.0146,0.0108,0.0098,0.0105,0.0105,0.0047,0.012,0.0128,0.0071,0.0073,0.0085
2001-09-03,-41.3258,-72.6167,NE,,0.055,0.0458,0.0335,0.0319,0.021,0.0106,0.0009,-0.0125,-0.027,-0.0338,-0.036,-0.0331,-0.0327,-0.0384,-0.042,-0.0213,0.0108,0.0313,0.0336,0.0325,0.0262,0.023,0.0199,0.0166,0.0113,0.0068,0.0028,-0.0047,-0.009
2001-09-03,-41.3258,-72.6167,NO,0.0738,0.069,0.07,0.062,0.0658,0.0546,0.0416,0.0434,0.0302,0.0233,0.0128,0.005,-0.0008,0.0107,0.0078,0.0082,0.0075,0.0024,-1e-04,-0.0042,-0.0074,-0.0121,-0.0132,-0.0057,-0.0052,-0.009,-0.0064,-0.0059,-0.0068,-0.0056
