date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-04-12,-37.9257,-71.4451,E,,0.1806,0.1467,0.0998,0.0491,0.0183,0.0313,0.0544,0.0589,0.0579,0.0465,0.0155,0.0053,-0.0152,-0.0209,-0.0189,-0.0183,-0.0181,-0.0151,-0.0127,-0.0108,-0.0096,-0.0074,-0.0059,-0.0053,-0.0022,0.0008,0.0025,0.0052,0.0113
2001-04-12,-37.9257,-71.4451,N,,0.1028,0.0572,0.037,0.0208,-0.0287,-0.0375,-0.0268,-0.0315,-0.0171,-0.0126,-0.0022,0.0,0.0173,0.0123,0.0102,0.0034,0.0031,0.0079,0.0072,0.0031,0.0064,-0.0007,-0.005,-0.0172,-0.0087,-0.0123,-0.0204,-0.0158,-0.014
2001-04-12,-37.9257,-71.4451,NE,0.1915,0.1506,0.0839,0.0295,0.0231,0.0347,0.0431,0.0484,0.0308,0.0165,0.0033,-0.0031,-0.0143,-0.0118,-0.0207,-0.0233,-0.0199,-0.0118,-0.0062,-0.0017,-0.0077,-0.0083,-0.0018,-0.0094,0.0036,0.0113,0.0195,0.0217,0.0313,0.0168
2001-04-12,-37.9257,-71.4451,NO,0.1098,0.1086,0.0927,0.0872,0.0758,0.077,0.0667,0.0507,0.0207,0.0181,0.0106,0.01,0.0079,-0.0022,-0.0096,-0.0162,-0.0099,-0.0022,-0.0091,-0.0057,-0.0062,0.0055,0.0088,-0.0076,0.0129,0.0287,0.027,0.0186,-0.0026,-0.0141
2001-04-12,-37.9257,-71.4451,O,,0.0908,0.055,0.0471,0.0426,0.0422,0.0386,0.0187,0.0149,0.0021,-0.0003,-0.0045,-0.0068,-0.0141,-0.01,-0.0059,-0.008,-0.006,-0.0067,-0.0033,0.0019,0.0083,0.0047,0.0086,0.007,0.0034,0.0117,0.0157,0.0213,0.0224
2001-04-12,-37.9257,-71.4451,S,,0.0879,0.0068,-0.0229,-0.019,0.0172,0.0097,-0.0198,-0.0217,-0.0319,-0.0093,0.0147,0.0125,0.0297,0.0327,0.0395,0.0365,0.033,0.0196,0.0217,0.0035,-0.0044,-0.0165,-0.0148,-0.025,-0.0173,-0.0083,-0.0075,0.0053,0.0036
2001-04-12,-37.9257,-71.4451,SE,0.1473,0.1354,0.1015,0.0591,0.0387,0.0339,0.0463,0.0163,0.0302,-0.009,-0.0104,-0.006,-0.0016,-0.0033,0.0019,-0.005,0.0013,-0.0017,-0.0022,0.0049,-0.0079,0.0063,-0.0036,-0.008,0.0013,0.0019,0.0014,-0.0022,-0.0029,-0.0056
2001-04-12,-37.9257,-71.4451,SO,0.0988,0.0641,0.0132,-0.0134,0.013,0.0288,0.0404,0.0361,0.0207,0.0085,-0.0026,-0.0103,-0.0277,-0.0224,-0.0241,-0.0289,-0.0177,-0.0103,-0.0143,-0.0194,-0.0243,-0.0159,-0.0087,-0.0029,0.0206,0.0278,0.0119,0.0037,0.0091,0.0183
2001-08-09,-37.9311,-71.4436,E,0.0105,0.0097,0.011,0.0172,0.0219,0.0138,0.0182,0.014,0.0096,0.0024,0.0002,0.0031,0.002,-0.0008,-0.0008,-1e-04,0.0002,-0.0002,0.0029,0.0044,0.0061,0.0032,-0.0002,-0.0033,-0.0043,-0.0038,-0.0021,-0.0029,-0.0029,-0.0033
2001-08-09,-37.9311,-71.4436,N,,0.0104,-0.011,-0.0187,-0.0154,-0.0145,-0.0059,-0.0055,-0.0066,-0.0067,-0.0034,0.002,0.003,0.0032,0.0043,0.0053,0.0055,0.0033,0.006,0.006,0.0035,0.0026,0.0005,0.0013,0.0004,-0.0002,0.0018,0.0034,0.0044,-0.0018
2001-08-09,-37.9311,-71.4436,NE,0.0095,0.0101,0.0059,0.0018,-0.0045,-0.0104,-0.004,-0.0048,-1e-04,0.0002,-0.0021,0.0028,0.0025,-0.0027,0.002,0.0014,0.0042,0.0042,0.0025,0.0009,-0.0013,-0.0016,0.0027,-0.0008,-0.0008,-0.0002,0.002,0.0009,-0.0008,-0.0014
2001-08-09,-37.9311,-71.4436,NO,0.037,0.0315,0.0196,0.0071,0.0067,0.006,0.0085,0.0064,0.0053,0.0056,0.0054,0.0045,0.0068,0.0105,0.0049,-1e-04,-0.01,-0.0146,-0.0142,-0.0081,-0.006,-0.0021,0.0005,-0.0022,-0.0022,0.0,0.0007,0.0039,0.0107,0.0077
2001-08-09,-37.9311,-71.4436,O,,0.0462,0.0368,0.031,0.0189,0.018,0.017,0.0137,0.0159,0.0153,0.0177,0.0148,0.0081,0.0029,-0.0108,-0.0199,-0.0002,-0.0129,-0.0041,-0.0235,-0.015,-0.0094,-0.0073,-0.008,-0.009,-0.0098,0.0029,0.0185,0.0249,0.0246
2001-08-09,-37.9311,-71.4436,S,,0.0317,0.0214,0.0234,0.0098,0.0079,0.0084,0.0037,0.0051,0.0026,0.0015,-0.0007,-0.0014,-0.002,-0.0017,-0.0012,0.008,0.0009,-0.0094,-0.0137,-0.0144,-0.0161,-0.0167,-0.0127,-0.0017,0.0023,0.0058,0.0098,0.013,0.013
2001-08-09,-37.9311,-71.4436,SE,,0.0353,0.027,0.0242,0.0237,0.0248,0.0239,0.0179,0.0154,0.0126,0.0091,0.0056,0.006,0.0029,0.003,0.0067,0.0075,0.0066,0.0041,0.007,0.0086,0.0072,-0.0043,-0.0033,-0.0089,-0.0145,-0.0053,-0.0094,-0.0149,-0.0119
2001-08-09,-37.9311,-71.4436,SO,,0.0344,0.0275,0.0228,0.0226,0.0139,0.0162,0.0068,0.0021,-0.0034,-0.0028,-0.0052,-0.0044,-0.003,-0.005,-0.0056,-0.002,0.0014,0.0087,0.0113,0.0121,0.008,0.005,-0.0005,-0.0002,-0.0043,-0.0019,-0.0026,0.0018,-0.0003
2002-01-16,-37.9259,-71.4472,E,,0.0993,0.0757,0.0565,0.0399,0.0206,0.0107,0.0018,-0.0018,-0.0011,-0.0016,-0.0066,-0.0072,-0.0062,-0.0041,-0.006,-0.0067,-0.0067,-0.0063,-0.0057,-0.0029,-0.0026,0.0002,-0.001,0.0038,0.004,-0.0052,-0.0053,-0.005,-0.0051
2002-01-16,-37.9259,-71.4472,N,0.0925,0.0876,0.0902,0.0816,0.0698,0.0719,0.0547,0.0226,0.016,0.0296,0.0297,0.0221,-1e-04,-0.0079,-0.0121,-0.0163,-0.0108,-0.0159,-0.0115,-0.0031,-0.001,0.0006,0.0007,0.0011,0.0022,0.0024,0.0044,0.0023,0.0025,0.0043
2002-01-16,-37.9259,-71.4472,NE,,0.0801,0.0755,0.0521,0.04,0.0221,0.009,-0.0017,-0.0099,-0.0089,-0.0074,-0.0018,-1e-04,0.0002,0.0011,0.0023,0.0051,0.0051,0.0012,-0.0038,-0.003,0.0008,-0.0006,-0.0023,-0.0043,-0.0065,-0.0053,-0.0046,-0.0037,-0.0031
