date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-10,4.2034,9.1653,E,,0.1531,0.0663,0.0202,0.018,0.0181,0.0178,0.033,0.0328,0.03,0.0223,0.0177,-0.0051,-0.0147,-0.005,-0.0036,-0.0085,-0.0196,-0.0285,-0.0237,-0.018,-0.0024,0.0003,-0.0043,-0.0101,-0.0009,-0.0,0.0185,0.0314,0.0276
2000-12-10,4.2034,9.1653,N,,0.155,0.0938,0.031,0.0041,0.0086,0.0076,0.0134,-0.0166,-0.018,-0.0942,-0.0988,-0.1121,-0.0939,-0.0445,-0.0619,-0.0565,-0.0442,-0.0283,-0.0141,0.0197,0.0381,0.0482,0.0364,0.0406,0.0522,0.0364,0.0271,0.0283,0.025
2000-12-10,4.2034,9.1653,NE,0.1361,0.0784,0.0418,0.0212,-0.0413,-0.0449,-0.0683,-0.0175,-0.0218,-0.0113,-0.0046,-0.0124,0.0036,-0.0,0.018,0.0174,0.0097,0.0054,0.0121,0.0103,0.0093,0.0089,0.0043,0.0035,-0.0145,-0.0037,-0.0091,0.0004,0.0042,0.0182
2000-12-10,4.2034,9.1653,NO,0.2766,0.2168,0.133,0.0869,0.059,0.0308,0.0387,0.0286,0.0197,-0.0029,-0.0159,-0.0202,-0.017,-0.02,-0.0195,-0.0228,-0.0307,-0.0303,-0.033,-0.0248,-0.0065,0.0157,0.0098,0.0291,0.0018,0.0161,0.0163,0.0139,0.0016,-0.0109
2000-12-10,4.2034,9.1653,O,,0.1488,0.1326,0.1184,0.1085,0.1215,0.1053,0.0822,0.0596,0.0379,0.0236,0.0072,-0.0099,-0.0291,-0.0282,-0.0141,-0.0159,-0.0189,-0.0224,-0.0024,-0.0033,0.0025,-1e-04,-0.0006,0.0005,-0.0005,0.0018,0.0023,0.002,-0.0025
2000-12-10,4.2034,9.1653,S,0.2428,0.181,0.1372,0.056,0.0136,0.0715,0.0963,0.1214,0.1462,0.1079,0.1006,-0.0135,-0.0144,-0.033,-0.0331,-0.0339,-0.0357,-0.0368,-0.0378,-0.038,-0.0385,-0.04,-0.0414,-0.042,-0.0424,-0.0432,-0.0443,-0.038,-0.0091,0.0054
2000-12-10,4.2034,9.1653,SE,,0.0954,0.0256,-0.0019,-0.0125,-0.0209,-0.0514,-0.0509,-0.0444,-0.0753,-0.0681,-0.0329,-0.0122,-0.014,-0.0067,-0.0052,0.0092,0.0194,0.0221,0.022,0.0357,0.0217,0.019,0.0061,-0.0058,-0.0133,-0.0036,0.0194,0.0291,0.045
2000-12-10,4.2034,9.1653,SO,0.2029,0.1614,0.1457,0.0829,0.0449,0.0241,0.0253,0.0246,0.0564,0.0514,0.0019,0.023,0.0061,0.0221,0.0017,0.0078,0.0076,-0.0154,-0.0196,-0.0236,-0.0365,-0.0287,-0.0446,-0.047,-0.0489,-0.0382,-0.0261,-0.0259,-0.0313,-0.0394
2001-12-29,4.2031,9.1653,E,,0.1857,0.1343,0.0975,0.0618,0.0446,0.0371,0.0419,0.0493,0.0518,0.0552,0.0516,0.0464,0.0195,0.0039,0.0023,-0.0069,-0.0166,-0.0267,-0.0283,-0.0264,-0.0162,-0.0041,-0.003,-0.0074,-0.0046,0.0019,1e-04,0.0079,0.0096
2001-12-29,4.2031,9.1653,N,,0.1689,0.0773,0.0265,-0.0162,-0.0094,0.0003,-0.0248,-0.0593,-0.058,-0.1289,-0.1387,-0.1331,-0.1135,-0.06,-0.0421,-0.0355,-0.0291,-0.0214,-0.0054,0.0192,0.0376,0.0358,0.0356,0.0401,0.0352,0.0441,0.0264,0.0447,0.0281
2001-12-29,4.2031,9.1653,NE,0.1294,0.1004,0.0665,0.0546,-0.013,-0.0284,-0.0527,-0.0399,-0.0358,-0.0168,-0.0108,-0.0049,0.0009,-0.0118,0.0102,0.0097,0.0057,0.0021,0.007,0.0147,0.0168,0.0067,-0.0022,0.0125,-0.0026,0.0091,0.0014,-0.0024,0.006,0.0176
2001-12-29,4.2031,9.1653,NO,0.2148,0.1695,0.1189,0.084,0.0633,0.0375,0.0439,0.0277,0.0039,-0.0111,-0.0234,-0.0237,-0.0169,-0.0192,-0.0149,-0.0196,-0.0243,-0.0261,-0.0188,-0.0056,0.0037,0.0075,0.0048,0.0087,0.0036,0.0096,0.0055,0.0153,0.0002,-0.0094
2001-12-29,4.2031,9.1653,O,,0.1468,0.1422,0.1397,0.1232,0.1057,0.0737,0.0474,0.0348,0.0143,-0.001,-0.0127,-0.0199,-0.0148,-0.0098,-0.0103,-0.0053,-0.0068,0.0052,0.0104,0.0119,0.0184,0.0338,0.0338,,,,,,
2001-12-29,4.2031,9.1653,S,,0.1934,0.1183,0.0498,0.023,0.0456,0.0873,0.1321,0.1469,0.1409,0.13,0.0297,0.0153,-0.0426,-0.0417,-0.0431,-0.0415,-0.0419,-0.0409,-0.0403,-0.039,-0.0378,-0.0363,-0.034,-0.0322,-0.0307,-0.0295,-0.0102,0.0177,0.029
2001-12-29,4.2031,9.1653,SE,0.188,0.139,0.0716,0.0566,0.0415,0.0515,0.0438,-0.0166,0.0117,-0.0656,-0.0921,-0.0301,0.0069,-0.006,0.0118,0.0067,0.0163,0.0162,0.0136,0.0161,0.0266,0.0119,0.0131,-0.0036,-0.0078,-0.0114,-0.0014,0.0065,0.0127,0.0225
2001-12-29,4.2031,9.1653,SO,0.1652,0.1277,0.1233,0.0738,0.0971,0.0601,0.0663,0.0274,0.04,0.0356,0.0203,0.0164,0.0203,0.0183,0.0116,0.0061,0.0048,0.0126,0.014,0.0209,-0.0236,-0.0115,-0.0337,-0.0315,-0.0467,-0.0358,-0.0199,-0.0307,-0.0302,-0.0365
2003-01-01,4.2058,9.1731,E,,-0.0374,-0.0638,-0.0711,-0.0709,-0.0603,-0.0624,-0.0626,-0.0503,-0.0119,-0.002,0.0074,0.0229,0.04,0.0436,0.032,0.0349,0.0083,0.0634,0.0709,0.0841,0.0667,0.0567,0.0314,0.0377,0.004,-0.0092,-0.0092,-0.0284,-0.0111
2003-01-01,4.2058,9.1731,N,,0.1785,0.1369,0.1154,0.0966,0.0494,0.0146,0.0061,-0.004,0.0283,0.053,0.0587,0.0447,0.0161,-0.0156,-0.0357,-0.0464,-0.051,-0.0386,-0.0283,-0.0122,-0.0015,0.014,0.0168,0.0102,0.0048,0.0025,0.0022,0.0045,0.005
2003-01-01,4.2058,9.1731,NE,0.2021,0.1404,0.1136,0.0787,0.067,0.0559,0.0516,0.0466,0.0422,0.0443,0.0478,0.0582,0.0538,0.056,0.0492,0.0424,0.0419,0.0145,-0.0149,-0.031,-0.0559,-0.0517,-0.0438,-0.0254,-0.0232,-0.0121,-0.0025,-0.0143,-0.0171,-0.0147
2003-01-01,4.2058,9.1731,NO,0.2458,0.1997,0.1732,0.1244,0.0824,0.046,0.0349,0.0413,0.0416,0.0454,0.04,0.0207,-0.0154,-0.0337,-0.0383,-0.0405,-0.0345,-0.0269,-0.0167,-0.0107,-0.0047,-0.0029,-0.0102,-0.0104,-0.0158,-0.0108,-0.0047,0.0092,0.0229,0.0469
2003-01-01,4.2058,9.1731,O,,0.1483,0.1379,0.1179,0.0485,0.056,0.042,0.0342,0.0494,0.055,0.006,-0.0218,-0.0156,-0.0025,-0.0046,-0.0012,0.0024,0.0072,-0.0018,0.0054,0.0089,-0.0003,-0.0031,-0.0092,-0.0164,-0.0161,-0.0135,-0.0117,-0.0092,-0.0067
2003-01-01,4.2058,9.1731,S,0.1689,0.0977,0.0324,0.0014,-0.0364,-0.0371,-0.0327,-0.0275,-0.0281,-0.027,-0.0179,0.0014,0.0172,0.0336,0.0387,0.0344,0.0475,0.0286,0.0339,0.0224,0.0191,0.0185,0.0178,-0.0046,-0.036,-0.0309,-0.0468,-0.0023,-0.005,-0.0051
2003-01-01,4.2058,9.1731,SE,,0.1661,0.1063,0.0784,0.0501,0.0258,0.0204,0.0228,0.0391,0.0396,0.0402,0.033,0.0186,-0.0076,-0.0201,-0.0051,-0.0491,-0.0524,-0.0435,-0.0346,-0.0241,-0.0094,-0.0077,0.0228,0.0475,0.0373,0.0045,-0.0114,-0.0216,-0.0357
2003-01-01,4.2058,9.1731,SO,,0.0879,0.058,-0.0157,-0.0084,0.0094,0.0376,0.0447,0.054,0.0204,0.0519,0.0343,0.0394,0.0353,0.0024,-0.0019,-0.0142,-0.0291,-0.03,-0.0316,-0.0418,-0.018,-0.0351,-0.036,-0.0316,-0.0171,-0.0171,-0.0141,-0.0083,0.0046
2003-12-19,4.2053,9.1731,E,,0.0396,0.0405,0.0408,0.0359,0.0426,0.0412,0.0401,0.0223,0.0118,0.0322,0.0385,,,,,,,,,,,,,,,,,,
2003-12-19,4.2053,9.1731,N,,0.1174,0.079,0.0553,0.036,0.0182,0.0041,-0.0038,-0.018,-0.0041,0.0038,0.0138,0.0057,-0.0119,-0.0201,-0.0242,-0.0318,-0.027,-0.0237,-0.0176,-0.0152,-0.0086,-0.0002,-0.0011,0.0008,0.01,0.0148,0.0181,0.021,0.0236
