date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-11,-41.2558,-72.262,E,,0.0396,0.0049,-0.0019,-0.0077,-0.0135,-0.0223,-0.017,-0.0061,0.0011,-0.022,-0.0218,-0.0142,-0.0118,-0.0249,-0.0232,-0.0106,0.0028,0.0133,0.0085,0.0005,0.0004,0.0106,0.0048,0.002,0.0055,0.0071,0.0112,0.0069,0.0019
2000-01-11,-41.2558,-72.262,N,,0.0738,0.0559,0.0645,0.0437,0.0572,0.0528,0.0503,0.028,0.0298,-0.001,-0.0187,-0.0184,-0.0027,0.0214,0.0226,0.0165,0.0045,0.0111,-0.0022,-0.0156,-0.0159,-0.0276,-0.0251,-0.0158,-0.0111,-0.0055,0.0049,0.0135,0.0171
2000-01-11,-41.2558,-72.262,NE,,0.0597,0.0483,0.0191,0.0146,-0.0151,-0.0086,-0.0101,-0.004,-0.0104,-0.0266,-0.0277,-0.0284,-0.0183,0.0093,0.0131,0.0179,0.0244,0.0229,0.0229,0.0166,0.0006,-0.0067,-0.0056,-0.0155,-0.0192,-0.0104,-0.0027,0.0114,0.0144
2000-01-11,-41.2558,-72.262,NO,0.0557,0.0365,0.0032,-0.0142,-0.0387,-0.0299,0.0028,0.008,0.0184,0.0404,0.0357,0.0129,0.0157,0.0046,0.0128,0.0049,0.0067,0.0054,0.0065,0.0069,0.0081,-0.0051,-0.0045,-0.0122,-0.012,-0.0143,-0.0099,-0.0137,-0.0043,-0.0081
2000-01-11,-41.2558,-72.262,O,,0.0684,0.0481,0.0587,0.0658,0.0397,0.0134,0.0052,-0.009,-0.0056,-0.0224,0.0008,0.0068,0.0103,0.0043,0.0038,-0.0036,-0.0102,0.002,-0.0005,0.0002,-0.0012,-0.0078,-0.002,-0.0019,-0.001,-0.0022,-0.0017,-0.0008,-0.0012
2000-01-11,-41.2558,-72.262,S,,0.115,0.1064,0.105,0.0916,0.0527,0.0272,0.0137,0.0017,-0.0024,-0.0057,-0.0072,-0.0049,-0.0035,-0.0017,-0.0027,-0.0035,-0.0038,-0.002,0.0017,-0.0018,-0.0014,0.0003,-0.005,-0.0019,-0.0013,-0.0017,1e-04,0.0032,0.0054
2000-01-11,-41.2558,-72.262,SE,0.1021,0.0948,0.0791,0.0454,0.0155,0.0047,0.0011,-0.0087,-0.0017,-0.0018,-0.0043,-0.0097,-0.0108,-0.013,-0.016,-0.0149,-0.0066,0.0013,0.0072,0.0023,0.0061,0.0081,0.004,0.0014,-0.003,-0.0014,-0.003,-0.0024,0.0017,0.0034
2000-01-11,-41.2558,-72.262,SO,0.0772,0.0906,0.0752,0.0688,0.0578,0.0551,0.0472,0.0368,0.0262,0.0082,-0.0073,-0.0122,-0.0112,-0.0042,0.0031,0.0012,-0.0087,-0.0109,-0.0095,-0.0138,-0.0103,-0.007,-0.0052,0.0098,0.0084,0.0089,0.0054,0.0068,0.0054,0.0003
2000-01-27,-41.2568,-72.2594,E,,0.0779,0.066,0.0537,0.033,0.0223,0.0283,0.0309,0.0033,-0.0123,-0.0153,-0.0143,-0.0041,-0.0053,-0.0168,-0.01,-0.0041,0.0119,-0.0094,-0.0078,0.0066,0.0048,0.0122,0.0021,0.0016,0.0072,0.0086,0.0028,-0.0057,0.0042
2000-01-27,-41.2568,-72.2594,N,0.0948,0.0948,0.0541,0.0142,0.0187,-1e-04,0.0146,0.0202,0.0312,0.03,0.0251,0.025,0.0242,0.0045,-0.0124,-0.0196,-0.021,-0.0142,-0.013,-0.0163,-0.0112,1e-04,-0.0015,0.0042,-0.0044,-0.0097,0.0017,0.0092,0.0056,0.0139
