date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2005-07-12,-45.8984,-72.9692,E,,0.0189,0.0188,,,,,,0.0177,0.0177,0.0162,0.0167,0.0264,0.0072,,,,,,,-0.0021,-0.0028,-0.0028,0.0007,-1e-04,-0.0013,-0.0003,-0.0011,-0.0032,-0.0033
2005-07-12,-45.8984,-72.9692,N,,,-0.0026,-0.0014,-0.005,-0.0047,-0.0056,-0.0042,0.0064,0.0067,-0.0009,-0.0021,-0.0014,-0.0012,-0.001,0.0003,0.0018,0.0021,0.0014,0.0019,0.0024,0.0028,-0.0054,-0.0047,-0.0053,-0.0048,-0.0036,0.0021,0.0051,0.0003
2005-07-12,-45.8984,-72.9692,NE,,,,0.0033,,0.0099,0.0108,0.0009,,,,,0.0058,0.0027,-0.0047,0.0071,0.0078,-0.0012,-0.0004,0.0017,0.0029,0.0027,-0.0031,-0.004,-0.0025,-0.0036,-0.0022,-0.0017,-0.0011,-0.0002
2005-07-12,-45.8984,-72.9692,NO,-0.0047,-0.0049,-0.0143,-0.0147,-0.0126,-0.0113,-0.0018,-0.0008,-0.0003,-1e-04,0.0012,0.0022,0.0026,0.0043,0.0042,0.0049,0.0058,-0.0038,0.0049,-0.0024,-0.0028,-0.0028,-0.0025,-0.0024,-0.0007,0.0004,0.0011,0.0018,0.0028,0.0041
2005-07-12,-45.8984,-72.9692,O,,0.0117,0.0113,0.0114,0.0113,0.0115,0.0108,0.0058,0.0015,0.0104,0.0118,0.0121,0.0116,0.0115,0.0013,0.0018,0.0014,0.0005,0.0012,-0.0071,-0.0068,-0.0071,-0.008,-0.0069,-0.0056,-0.0043,-1e-04,0.0036,0.0027,0.0059
2005-07-12,-45.8984,-72.9692,S,,,0.0039,0.002,0.0017,-1e-04,0.0011,0.0024,0.0021,0.0006,0.0007,0.0074,0.0003,-0.0,-0.0009,0.001,-0.0014,0.0013,-0.0067,-0.0006,1e-04,0.003,-0.0026,-0.007,-0.0009,0.0015,0.0025,0.0012,-0.0011,-0.0008
2005-07-12,-45.8984,-72.9692,SE,,,,,0.0009,,,,,,,,,,,,0.0004,-0.0105,0.0103,0.0101,0.005,,-0.0089,-0.0083,0.0022,,0.0111,0.0002,-0.0002,0.0002
2005-07-12,-45.8984,-72.9692,SO,0.0051,0.0074,,0.0067,0.0078,0.0015,-0.0039,0.0073,0.0062,0.0051,0.0079,0.009,0.0064,0.0049,0.0074,0.0083,0.0064,0.0047,-0.0004,-0.0023,-0.0043,-0.0033,-0.0018,-0.0015,-0.0029,-0.0033,-0.0079,-0.0052,-0.001,-0.0
2018-12-15,-45.8964,-72.9661,E,,0.0182,0.0164,0.0154,0.014,0.0117,0.0096,0.008,0.0057,0.0033,0.0012,-1e-04,-0.0016,-0.0007,-0.0012,-0.0011,-0.0012,-0.0006,-0.0003,0.0008,0.0007,0.0004,0.0006,-0.0002,-0.0016,-0.0022,-0.0024,-0.0024,-0.0014,-0.0026
2018-12-15,-45.8964,-72.9661,N,-0.016,-0.0165,-0.0173,-0.0159,-0.017,-0.013,-0.0111,-0.0056,-0.0015,0.0019,0.0041,0.0054,0.0088,0.0062,0.0066,0.0078,0.0041,0.0056,0.0033,0.0013,-0.0066,-0.0089,-0.0089,-0.0054,-0.0061,-0.0056,-0.0023,0.0009,0.0043,0.0071
2018-12-15,-45.8964,-72.9661,NE,,0.0036,0.0043,0.0054,0.007,,0.0127,0.0043,0.0089,0.0063,-0.0029,0.0051,-0.0043,-0.0036,-0.0043,-0.0031,-0.0034,-0.0036,-0.002,0.0023,0.0025,0.0016,-0.0006,-0.003,-0.0033,-0.003,-0.002,-0.0004,0.0011,0.0042
2018-12-15,-45.8964,-72.9661,NO,,0.0074,0.0065,0.0045,0.0032,0.0003,0.0004,-0.0005,0.0013,0.0002,-1e-04,-0.0012,-0.0008,-0.0019,-0.0018,-0.0027,-0.0025,-0.0035,-0.0047,-0.002,0.0004,-0.0019,0.0004,0.0004,0.0004,1e-04,0.0002,-0.0004,-0.0015,0.0006
2018-12-15,-45.8964,-72.9661,O,0.0152,0.0134,0.0107,0.0071,0.0051,0.002,0.0013,-0.0003,-0.0004,0.0006,-0.0004,-0.0013,-0.002,-0.0024,-0.0016,-0.0008,0.0003,1e-04,0.0014,0.0021,0.0015,0.0006,0.0,-0.0004,0.0006,0.0009,0.0003,1e-04,-0.0002,0.0013
2018-12-15,-45.8964,-72.9661,S,0.0178,0.0174,0.0142,0.0143,0.0084,0.0058,0.0037,0.0023,0.0023,0.0016,0.0018,0.0002,-0.0019,-0.0025,-0.0003,-0.0003,0.0004,-0.0,-0.0012,-0.001,-0.0009,-0.0008,-0.0005,-1e-04,0.0,-1e-04,0.0003,0.0004,0.0007,0.0007
2018-12-15,-45.8964,-72.9661,SE,,0.016,0.0133,0.0104,0.0078,0.0054,0.0026,0.0007,0.0012,0.0014,0.0015,-0.0009,-1e-04,-0.0007,-0.0008,-0.001,-0.0008,-0.0015,,,,,,,,,,,-0.0029,-0.002
2018-12-15,-45.8964,-72.9661,SO,,0.0183,0.0169,0.0134,0.0078,0.0052,0.0045,0.0032,-1e-04,-0.0014,-0.0018,-0.0003,-0.0017,-0.0016,-0.0015,-0.0016,-0.0026,-0.0016,-0.0028,-0.0017,-0.0017,-0.0016,-0.0013,0.0003,0.0005,-1e-04,0.001,0.001,0.0011,0.0014
