date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-22,-42.836,-72.6506,E,-0.0163,-0.0112,-0.01,-0.0275,-0.034,-0.0209,0.001,0.0057,0.0095,0.009,-0.0077,-0.0133,-0.0085,-0.0096,-0.0153,-0.0208,-0.0189,-0.0086,0.0065,0.0107,0.0271,0.0157,0.0016,0.0049,0.0063,0.0064,0.0069,-0.0186,-0.0215,-0.03
2000-08-22,-42.836,-72.6506,N,,0.0529,0.0455,0.0318,0.02,0.0202,0.0227,0.0203,0.0205,0.0205,0.0127,0.0251,0.0222,0.007,-0.0132,-0.0107,-0.0152,-0.0257,-0.0273,-0.0173,-0.0258,-0.009,0.0032,0.0032,0.0145,0.0131,0.0119,-0.0005,-0.0031,-0.0119
2000-08-22,-42.836,-72.6506,NE,,-0.0051,-0.006,-0.0162,-0.016,-0.0165,-0.0078,-0.0026,0.0005,-0.0084,-0.0068,-0.0032,-0.0117,-0.0127,-0.017,-0.0067,0.0067,0.0174,0.0203,0.0281,0.0319,0.0292,0.0117,0.0141,0.0104,0.0037,-0.0067,-0.0129,-0.0259,-0.0255
2000-08-22,-42.836,-72.6506,NO,0.1192,0.1061,0.0849,0.0888,0.067,0.0518,0.0383,0.0278,0.0043,-0.0261,-0.0279,-0.0305,-0.0324,-0.0041,0.0034,0.0125,0.006,0.0016,0.0138,-0.0005,-0.0048,-0.0075,0.0105,0.0109,0.0029,0.0008,-0.0021,-0.012,-0.0113,-0.0157
2000-08-22,-42.836,-72.6506,O,,0.1404,0.1296,0.1167,0.0871,0.0585,0.0308,0.0,-0.0101,0.0059,0.0142,0.0114,-0.0033,-0.0123,0.0026,0.003,0.0063,0.0025,-0.002,-0.0065,-0.0141,-0.0091,,,,,,0.0004,0.0003,0.0004
2000-08-22,-42.836,-72.6506,S,0.0721,0.0626,0.0525,0.0492,0.0413,0.0394,0.0294,0.0303,0.0259,0.025,0.0176,0.0137,0.0086,-0.0063,-0.0185,-0.0179,-0.013,-0.01,-0.0,-0.006,-0.0072,-0.0005,0.0019,0.0079,0.0055,0.0065,0.0059,0.0063,0.0104,0.0051
2000-08-22,-42.836,-72.6506,SE,0.031,0.0314,0.0284,0.0279,0.0175,0.0097,0.0025,0.0014,0.0055,-0.0021,0.0119,0.0076,0.004,0.0152,0.0093,0.0139,0.013,0.0171,0.0021,0.0027,0.0057,0.0028,0.0012,-0.0003,-0.004,-0.0021,-0.0027,-0.0021,-0.007,-0.0062
2000-08-22,-42.836,-72.6506,SO,,0.1221,0.1064,0.0892,0.0802,0.0558,0.0354,0.0212,0.0164,0.0096,0.0056,0.013,0.0049,0.0077,0.0044,-0.0105,-0.026,-0.0217,-0.0191,-0.017,-0.0148,-0.0122,-0.0098,-0.0077,-0.0046,-0.0017,0.001,0.004,0.007,0.0085
2001-04-03,-42.836,-72.651,E,-0.006,-0.0076,-0.0161,-0.0273,-0.0306,-0.0276,-0.017,0.0032,0.0072,0.012,0.0106,-0.0099,-0.0223,-0.0199,-0.0221,-0.0253,-0.0248,-0.0138,-0.0018,0.0097,0.0141,0.0206,0.0168,0.0047,0.0098,0.0179,-0.0045,-0.0138,-0.0198,-0.0131
2001-04-03,-42.836,-72.651,N,0.0874,0.0776,0.0436,0.0436,0.0196,0.0158,0.0174,0.0171,0.0119,0.0121,0.0127,0.0044,0.0046,0.0051,-0.0137,-0.0142,-0.0097,-0.0028,-0.006,-0.0247,-0.0299,-0.024,-0.0101,0.0035,0.0049,0.0147,0.0086,0.0109,-0.0004,-0.0087
2001-04-03,-42.836,-72.651,NE,,0.0316,0.0114,-0.0147,-0.0192,-0.0188,-0.0044,-0.0016,0.0033,-0.0048,-0.0104,-0.0105,-0.0084,-0.0154,-0.0226,-0.0208,-0.0066,0.0206,0.0206,0.0241,0.0452,0.0312,0.0176,0.0106,0.0088,0.004,0.0009,-0.0079,-0.0185,-0.0346
