date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-04,41.9768,128.0847,E,,0.0957,0.0854,0.0747,0.0632,0.056,0.0497,0.0349,0.0188,-0.0016,-0.018,-0.0165,-0.0031,0.0185,0.01,-0.0018,-0.0059,-0.0089,-0.002,-0.0043,0.0031,0.0068,0.0013,0.0047,0.0088,0.0094,0.0097,-0.0026,-0.0088,-0.013
2000-09-04,41.9768,128.0847,N,,-0.0165,-0.0135,-0.0084,-0.0117,-0.0066,0.0083,0.0305,0.0106,0.0031,-0.0057,,0.0103,0.0203,0.0099,-0.0084,,,,,,,-0.0179,-0.0168,-0.0191,-0.0111,-0.008,0.0065,-0.0062,-0.0128
2000-09-04,41.9768,128.0847,NE,0.061,0.0659,0.0602,0.0401,0.0287,0.0269,0.0228,-0.007,-0.0099,-0.0218,-0.0255,-0.022,-0.0054,-0.0032,-0.0266,-0.0193,-0.0094,-0.005,-0.0005,0.0066,0.0047,-0.0005,0.0067,0.0101,0.0123,0.0073,0.0008,0.0117,-0.0013,-0.02
2000-09-04,41.9768,128.0847,NO,0.0241,0.0019,0.0018,0.0131,0.0006,0.0108,0.0061,-0.0303,0.0098,-0.0073,-0.0107,0.0027,0.0045,-0.0146,0.0086,0.0085,0.0041,-0.0076,-0.0113,-0.0108,-0.014,-0.0094,-0.0017,0.0045,0.005,0.0083,0.009,0.0163,0.0179,0.001
2000-09-04,41.9768,128.0847,O,0.0418,0.006,0.0055,-0.0067,-0.0043,-0.0014,0.0089,-0.0003,-0.0013,-0.0035,-0.0084,-0.0203,-0.0076,0.0003,0.0041,1e-04,-0.0026,-0.006,-0.0112,-0.0107,-0.0085,0.0021,0.0067,0.0162,0.015,0.0139,0.0087,-0.0,-0.0053,-0.018
2000-09-04,41.9768,128.0847,S,,0.0747,0.0685,0.0568,0.0572,0.0558,0.0514,0.0457,0.0546,0.0403,0.0347,0.0028,-0.018,-0.0285,-0.0292,-0.0299,-0.0334,-0.0247,-0.0066,-0.0006,-0.001,-0.0006,-0.0109,0.0034,-0.0027,-0.001,0.0049,0.0131,0.0125,0.0044
2000-09-04,41.9768,128.0847,SE,0.0461,0.0479,0.0445,0.0383,0.0375,0.0355,0.0205,0.0162,0.0171,0.0075,0.0025,0.0009,-0.0118,0.0019,-0.0003,-0.0088,-0.0065,-0.0029,-0.0007,0.01,0.0112,0.0026,-0.0039,-0.0093,-0.0097,-0.0055,-0.0013,0.0013,0.0042,0.0072
2000-09-04,41.9768,128.0847,SO,0.0004,-0.0391,-0.0027,-0.0128,-0.0199,-0.0057,-0.0054,0.002,0.007,0.0098,0.0114,0.0091,0.0144,0.0073,0.0091,0.0061,0.0066,0.0109,0.0069,0.0055,-0.0073,-0.0096,0.0028,-0.0091,-0.0155,-0.0125,-0.0212,-0.0351,-0.0415,-0.0416
2001-05-02,41.9807,128.077,E,,0.1077,0.0614,0.0236,,-0.0025,0.001,0.029,-0.0003,0.0118,-0.0187,0.0254,-0.0084,-0.0537,-0.0426,-0.0368,-0.0508,-0.0416,-0.0221,-0.0114,0.0023,-0.0106,0.0117,0.0124,0.0159,0.0105,0.0064,0.0203,0.017,0.0033
2001-05-02,41.9807,128.077,N,,-0.0174,-0.0727,-0.0551,-0.0906,,,-0.0638,-0.0368,-0.0406,-0.0289,-0.0423,-0.0454,-0.0599,-0.0433,-0.0088,0.0373,0.0469,0.0398,0.0601,0.0563,-0.0189,-0.0122,0.0006,0.0201,0.019,-0.0058,-0.0046,0.0078,0.0033
