date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-11,48.9784,153.4806,E,0.2248,0.2007,0.1718,0.154,0.1175,0.063,0.0147,-0.013,-0.0238,-0.0293,-0.0162,0.0004,0.0072,0.0179,0.0156,0.0032,-0.0127,-0.019,-0.0179,-0.0186,-0.0142,-0.014,-0.0186,-0.0179,-0.0194,-0.0169,-0.0125,-0.0058,0.0114,0.0226
2000-09-11,48.9784,153.4806,N,,0.0732,0.0639,0.038,0.0354,0.0348,0.028,0.0435,0.0437,0.0355,0.0314,0.0215,0.0162,-0.0031,-0.0086,-0.0304,-0.0178,-0.012,-0.007,-0.0023,-0.0067,-0.0045,-0.0007,-0.004,-0.0089,-0.0044,-0.0075,0.0055,0.0052,0.0214
2000-09-11,48.9784,153.4806,NE,0.1716,0.1617,0.1513,0.132,0.1246,0.118,0.0998,0.067,0.0597,0.0057,0.0105,0.0189,0.0046,0.0114,0.0134,0.0028,-0.0151,-0.0131,-0.0153,-0.0203,-0.0299,-0.0306,-0.0297,-0.0296,-0.016,0.0047,-0.0171,0.0089,0.0013,-0.0018
2000-09-11,48.9784,153.4806,NO,0.0674,0.0325,0.0078,-0.011,-0.0353,-0.0237,-0.0156,-0.009,-0.0134,-0.0106,0.0027,0.0117,0.021,0.0369,0.0359,0.0428,0.0256,0.0005,0.006,-0.0118,0.0086,-0.0035,-0.0065,-0.0062,0.0037,0.0037,-0.0022,-0.0024,-0.0109,-0.0073
2000-09-11,48.9784,153.4806,O,,0.0074,-0.0031,0.0121,0.0119,0.0127,0.0017,-0.0014,-0.0003,-0.0119,-0.0275,-0.0582,-0.0489,-0.0327,-0.021,-0.0145,-0.0021,0.0005,0.057,0.051,0.0609,0.0568,0.0486,0.0472,0.0017,-0.0287,-0.0265,-0.0141,-0.0075,0.0007
2000-09-11,48.9784,153.4806,S,0.172,0.1597,0.1415,0.0908,0.0578,0.028,0.03,0.0134,0.0051,-0.002,-0.0051,-0.0055,0.0016,0.0023,0.0135,0.0309,0.0184,0.0004,-0.0051,0.0071,0.0134,0.0057,-0.0029,0.0022,0.0127,0.0074,0.0032,-0.0042,-0.0057,0.0006
2000-09-11,48.9784,153.4806,SE,,0.2038,0.1911,0.1487,0.0881,0.0561,0.0266,-0.0027,-0.018,-0.0183,-0.0108,-0.0017,0.0039,0.0041,0.0094,-0.0046,0.0054,0.0084,-0.0019,-0.0054,-0.0187,-0.0178,-0.0169,-0.0081,-0.0114,-0.0111,-0.0098,-0.0089,-0.0072,-0.0055
2000-09-11,48.9784,153.4806,SO,0.0723,0.061,0.0589,0.0435,0.0332,0.0309,0.0279,0.0135,-0.0045,-0.0065,-0.0189,-0.0118,-0.006,-0.0111,-0.0139,-0.0066,-0.0044,0.0114,0.0139,0.0117,0.0071,0.0128,0.0139,0.0207,0.0056,0.0086,-0.0052,-0.0299,-0.044,-0.0687
2001-04-07,48.9812,153.4737,E,,0.0102,0.0131,0.0208,0.0246,0.0098,-0.0004,0.0,0.0003,-0.0003,0.0028,0.0067,0.0066,0.0053,0.0062,0.0074,0.0047,1e-04,-0.0034,-0.0005,0.004,0.0048,-0.0007,-0.0013,0.0048,-0.004,-0.0057,-0.0042,-0.0037,-0.007
2001-04-07,48.9812,153.4737,N,,0.0368,0.0344,0.0265,0.0263,0.0169,0.0171,0.0148,0.0163,0.0135,0.0071,0.009,0.0015,-0.0015,0.0012,0.0009,-0.0007,-0.0028,-0.0038,-0.0038,-0.004,-0.0039,-0.0035,-0.005,-0.005,-0.0051,-0.005,-0.0048,-0.0046,-0.0044
