date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-09,46.5294,150.8791,E,0.0645,0.0517,0.0276,0.0182,0.0196,0.0236,0.0279,0.0282,0.0239,0.0281,0.0408,0.0471,0.0533,0.0533,0.035,0.0114,-0.0107,-0.0167,-0.0089,-0.0064,-0.0105,-0.0139,-0.0187,-0.0104,-0.0099,-0.0051,-0.0011,-0.0013,-0.0017,-0.0032
2000-09-09,46.5294,150.8791,N,,0.0916,0.089,0.0859,0.0638,0.0358,0.0209,0.0104,0.0045,0.0065,0.002,-0.0021,-0.0028,-0.0074,-0.0087,-0.0127,-0.0096,-0.0093,-0.0093,-0.0063,-0.0095,-0.01,-0.006,-0.0016,0.0076,0.0026,0.0153,0.0098,0.0157,0.0136
2000-09-09,46.5294,150.8791,NE,0.0457,0.0236,0.0165,0.0223,0.0068,0.0024,0.0019,-0.0015,-0.0012,-0.0002,0.0002,0.0012,0.003,0.0093,0.0172,0.0173,0.0053,0.002,-0.0013,0.0029,0.0048,-0.0038,-0.0071,-0.0258,-0.0238,-0.0198,-0.0105,-0.0058,-0.002,-0.0029
2000-09-09,46.5294,150.8791,NO,0.0671,0.0642,0.071,0.0665,0.0589,0.04,0.0301,0.0167,0.0071,-0.0014,-0.0086,-0.0194,-0.0358,-0.0361,-0.0421,-0.0445,-0.0448,-0.0096,0.0019,0.0106,0.0163,0.0263,0.0364,0.042,0.0293,0.0295,0.0123,0.018,0.0101,0.0069
2000-09-09,46.5294,150.8791,O,0.1324,0.1356,0.107,0.0871,0.0627,0.0235,0.0079,0.0025,0.0016,0.0019,-0.0046,0.0077,0.0118,0.0068,0.003,-0.0089,-0.0146,-0.0117,-0.0195,-0.0093,-0.0055,0.007,0.0012,-0.0216,-0.0265,-0.0284,-0.0498,-0.0543,-0.0493,-0.0487
2000-09-09,46.5294,150.8791,S,,0.1422,0.0915,0.0843,0.0455,0.0316,0.0231,0.0095,0.0036,-0.0117,-0.0154,-0.0167,-0.0164,-0.0124,-0.0022,-0.0023,-0.0019,-0.0068,-0.007,-0.0041,-0.0118,-0.0051,-0.0023,0.0024,0.0114,0.0128,0.0125,0.0191,0.0156,0.0173
2000-09-09,46.5294,150.8791,SE,0.0643,0.0588,0.0469,0.0397,0.0298,0.0108,0.0116,-0.0073,-0.0036,-0.0222,0.0124,-0.0195,-0.0004,-0.019,0.0231,0.0013,-1e-04,-0.0015,0.0008,0.0022,0.0012,0.0076,0.0059,0.0031,0.0035,0.0031,-0.0006,0.0068,-0.0011,0.0062
2000-09-09,46.5294,150.8791,SO,0.1138,0.1079,0.0865,0.0425,0.0253,0.016,0.0055,0.0019,-0.0069,-0.0134,-0.0219,-0.026,-0.0298,-0.0298,-0.0303,-0.0294,-0.029,-0.0275,-0.0279,-0.0286,-0.0284,-0.0275,-0.016,-0.0008,0.0106,0.0299,0.0405,0.0368,0.0427,0.0413
2001-03-04,46.5315,150.8798,E,,,,,,,0.0068,0.0027,,,,-0.0011,,,,,-0.0007,0.0017,0.0081,,-0.0005,-0.0005,-0.0004,-0.0007,-0.0005,-0.0004,-0.0004,-0.0005,-0.0004,-0.0004
2001-03-04,46.5315,150.8798,N,,-0.0299,-0.0274,-0.0222,-0.0177,-0.0156,-0.013,-0.0062,-0.0047,-0.0014,-0.0044,-0.002,-0.0035,-0.0056,-0.002,-0.0051,-0.0049,-0.0051,-0.0047,-0.0012,-0.0008,-0.0016,0.0008,0.0007,0.0015,-0.0009,-0.0027,-0.0023,0.0016,0.0019
2001-03-04,46.5315,150.8798,NE,0.0069,,0.0113,0.0158,0.0174,0.0154,0.0151,0.0149,0.0112,0.0052,0.0097,0.0083,-0.0089,-0.0082,-0.0079,-0.0112,-0.0109,-0.0071,-0.0062,-0.0022,-0.0014,-0.0018,-0.0053,-0.0052,-0.005,-0.0056,-0.0027,-0.0004,-0.0004,-0.0002
2001-03-04,46.5315,150.8798,NO,,,,-0.0076,-0.0069,0.0039,0.0041,0.0031,0.0038,0.0029,0.005,0.0002,1e-04,1e-04,0.0042,0.0048,0.0015,0.0018,-0.0015,-0.0014,-0.0012,-0.0007,-0.0009,-1e-04,0.0002,-0.0002,-0.0003,-1e-04,-0.0004,-0.0037
