date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-01,-2.686,37.8782,E,,0.1895,0.1625,0.1235,0.0991,0.0956,0.07,0.0686,0.0551,0.0547,0.0374,0.0331,0.0325,0.0419,0.0331,-0.0003,-0.0041,-0.0042,-0.0133,0.0296,0.0183,-0.0077,-0.0144,-0.041,-0.0506,-0.0543,0.0006,0.0036,0.0005,0.0118
2000-03-01,-2.686,37.8782,N,0.1664,0.1582,0.1103,0.0625,-0.0085,-0.0417,-0.0267,-0.0293,-0.037,-0.028,0.026,0.0403,0.0233,-0.014,-0.0269,-0.0198,-0.0076,0.0008,0.0036,0.0173,0.0292,0.0158,0.0045,-0.0206,-0.0212,-0.0074,-0.0132,-0.0156,-0.0166,-0.0176
2000-03-01,-2.686,37.8782,NE,,0.134,0.1119,0.0601,-0.0044,0.0435,0.0207,0.0045,-0.0113,-0.0325,-0.0232,-0.0321,-0.0383,-0.0085,0.0117,0.0362,0.0688,0.081,0.0751,0.0705,0.0529,0.0384,0.0367,0.0317,0.0161,-0.0107,-0.0409,-0.0561,-0.0611,-0.0782
2000-03-01,-2.686,37.8782,NO,,0.0399,0.0527,0.0479,0.0382,0.0525,0.0441,0.0061,-0.044,-0.0538,-0.058,-0.0461,-0.0279,-0.0511,-0.0679,-0.0038,-0.0059,0.002,0.0027,-0.0019,-0.0021,0.001,-0.0098,-0.0006,0.0325,0.0357,0.0491,0.0487,0.0305,0.0082
2000-03-01,-2.686,37.8782,O,0.034,0.0154,0.0004,-0.0309,-0.0589,-0.0603,-0.0419,-0.0261,-0.0347,-0.0309,-0.0094,0.0417,0.0471,0.0559,0.0063,-0.0144,-0.0112,-0.0124,-0.007,0.0012,0.0046,0.0057,-0.0127,-0.0206,-0.0364,-0.0247,-0.0139,-0.0201,0.0068,-0.0215
2000-03-01,-2.686,37.8782,S,,0.2521,0.1718,0.1409,0.077,0.0265,0.0241,0.0131,0.0028,-0.0038,-0.0076,-0.015,-0.0155,-0.0151,-0.0112,-0.0056,-0.0166,-0.017,-0.0176,-0.0178,-0.0131,-0.0157,-0.0127,-0.0113,-0.0082,-0.0058,-0.0019,-0.002,0.0003,-0.001
2000-03-01,-2.686,37.8782,SE,0.2416,0.2146,0.1767,0.1245,0.1103,0.0924,0.0931,0.0939,0.0714,0.0545,0.0332,-0.0287,-0.0211,-0.0232,-0.0226,-0.0474,-0.0449,-0.0481,-0.048,-0.0391,-0.0266,-0.0237,-0.0172,-0.0056,0.0032,-0.0013,0.0063,0.0159,0.0308,0.0355
2000-03-01,-2.686,37.8782,SO,,0.1122,0.0706,0.0302,-0.0037,-0.0207,-0.0298,-0.0293,-0.0362,-0.028,-0.0161,-0.0116,-0.0117,-0.003,0.0067,0.0095,0.006,0.0029,0.0107,0.0014,0.0022,0.0013,-0.0033,0.0116,0.0112,0.0155,0.0255,0.0255,0.0329,0.033
2000-07-07,-2.686,37.8787,E,,0.099,0.0682,0.075,0.0748,0.0646,0.0482,0.0367,0.0218,0.0203,0.0197,0.0184,0.0157,0.0184,0.0229,0.0239,0.0096,0.0069,0.003,0.0082,0.0078,0.0057,0.0054,-0.0228,-0.0278,-0.0308,0.0054,0.0052,0.0188,0.0187
2000-07-07,-2.686,37.8787,N,0.0955,0.0686,0.0413,-0.0002,-0.0127,-0.0035,-0.0038,0.0004,0.0006,0.0532,0.0281,0.028,0.0135,-0.0233,-0.0221,-0.0191,-0.018,-0.0161,-0.0154,-0.0179,-0.0255,-0.0307,-0.0297,-0.0261,-0.0255,-0.0223,-0.0102,-0.0257,-0.0269,-0.0278
2000-07-07,-2.686,37.8787,NE,,0.0191,-0.0292,-0.0411,-0.0585,-0.0188,-0.0377,-0.0418,-0.0273,-0.0185,-0.0088,-0.0011,0.0031,0.0088,0.0726,0.0753,0.0605,0.057,0.0563,0.0433,0.0298,0.0082,0.0065,-0.0102,-0.0218,-0.0317,-0.0416,-0.0344,-0.047,-0.0517
2000-07-07,-2.686,37.8787,NO,,0.0551,0.0415,0.0198,0.0117,0.02,-0.0049,-0.0193,-0.022,-0.0157,-0.0191,-0.0076,0.0109,0.0146,0.0018,0.0018,0.001,-0.0029,-0.0053,-0.0138,0.0037,0.0126,0.0229,0.0186,0.0092,0.0092,0.0039,-0.0069,-0.0144,-0.0171
