date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-29,-2.69,37.8836,E,,0.152,0.1507,0.1191,0.0133,0.001,0.0033,-0.0118,-0.0244,-0.0146,-0.0007,-0.0036,-0.0143,-0.0164,-0.0244,0.006,0.0124,0.0093,0.0167,0.0392,0.0172,0.0056,0.0142,-0.0138,0.0216,0.0212,0.0158,0.0016,-0.0212,-0.017
2000-01-29,-2.69,37.8836,N,,0.1392,0.1226,0.0986,0.0945,0.0909,0.069,0.0635,0.0912,0.1197,0.1287,0.0847,0.0524,0.0331,0.0257,0.0227,0.0286,0.0166,0.0051,0.0228,-0.0056,-0.0181,-0.0387,-0.0459,-0.0393,-0.0355,-0.013,-0.0235,-0.0355,-0.0275
2000-01-29,-2.69,37.8836,NE,0.292,0.2671,0.2466,0.2362,0.2337,0.1842,0.1183,0.0972,0.0806,0.0621,0.0497,0.0381,0.0266,0.0191,0.015,0.0541,0.0558,0.0476,0.0073,-0.0104,-0.0094,-0.0334,-0.035,-0.0362,-0.0371,-0.0365,-0.0366,-0.036,-0.036,-0.035
2000-01-29,-2.69,37.8836,NO,,0.2197,0.2042,0.1847,0.1672,0.1622,0.1405,0.1166,0.0951,0.0872,0.0567,0.07,0.0816,0.0695,0.0535,0.029,0.0479,0.0427,0.0355,0.0389,0.0316,0.0122,-0.0193,-0.0171,-0.0297,-0.0433,-0.0639,-0.0874,-0.0652,-0.0819
2000-01-29,-2.69,37.8836,O,-0.0063,0.0103,0.0118,-0.0243,0.0012,0.0256,0.0465,0.0612,0.0728,0.054,0.0268,0.0162,0.0087,0.0111,0.0045,-0.0044,0.0048,0.0121,0.0142,-0.0061,-0.0143,-0.0237,-0.0199,-0.0132,-0.011,-0.0147,-0.0128,-0.0042,0.0045,0.0109
2000-01-29,-2.69,37.8836,S,,0.073,0.0839,0.0645,0.0468,0.0354,0.0263,0.0328,0.0378,0.0457,0.02,0.0203,0.0011,0.0114,-0.0129,0.0031,0.0089,0.0044,-0.0037,-0.0144,-0.0177,-0.0257,-0.0187,-0.017,-0.0162,-0.0063,-0.0031,-0.0036,-0.0056,0.0007
2000-01-29,-2.69,37.8836,SE,,0.1378,0.1278,0.0897,0.0637,0.0211,-0.0216,-0.0214,0.0543,0.0288,-0.0081,-0.0157,-0.0101,-0.0112,-0.0104,-0.0081,0.014,0.036,0.0423,0.0115,-0.0088,-0.0108,-0.0243,-0.0138,0.0013,0.0068,0.0185,0.0044,-0.0099,-0.0205
2000-01-29,-2.69,37.8836,SO,,0.0565,0.0677,0.0654,0.0193,0.0583,0.0383,0.0519,0.0575,0.0494,0.0708,0.0419,0.0422,0.0075,0.026,0.039,0.0482,0.0312,0.0197,-0.0036,-0.0203,-0.0545,-0.0614,-0.0541,-0.0519,-0.0431,-0.0486,-0.0207,-0.01,0.0134
2000-03-01,-2.686,37.8782,E,,0.1835,0.1537,0.1179,0.0915,0.0816,0.0609,0.0553,0.0404,0.0389,0.0305,0.0281,0.0225,0.0304,0.0277,-0.0103,-0.007,-0.0071,-0.0175,0.0207,0.0144,-0.0074,-0.0198,-0.0423,-0.0471,-0.0547,-0.0006,0.0075,0.0176,0.017
2000-03-01,-2.686,37.8782,N,0.1537,0.142,0.0936,0.0439,-0.0226,-0.0502,-0.0342,-0.029,-0.0362,-0.0273,0.0221,0.047,0.0147,-0.0258,-0.0276,-0.0332,-0.0128,-0.0093,-0.0026,0.0181,0.0255,0.0102,0.0076,-0.0113,-0.0162,-0.0058,-0.0073,-0.0111,-0.0095,-0.0167
2000-03-01,-2.686,37.8782,NE,,0.0793,0.0642,0.0202,-0.021,0.0412,0.0319,0.0351,0.0206,-0.0089,-0.0209,-0.0454,-0.0354,-0.0186,0.0221,0.0275,0.0778,0.0792,0.0713,0.0722,0.0543,0.024,0.0453,0.025,0.0134,-0.0321,-0.0464,-0.06,-0.0627,-0.0715
2000-03-01,-2.686,37.8782,NO,,0.038,0.0416,0.0271,0.0117,0.0092,-0.0136,-0.0371,-0.0368,-0.0222,-0.0101,-0.035,-0.0317,-0.0537,-0.0504,-0.0097,0.0118,0.0085,-0.0055,-0.0062,-0.0079,-0.0277,-0.0196,0.0126,0.0264,0.0211,0.0398,0.0334,0.0239,0.0157
2000-03-01,-2.686,37.8782,O,-0.0119,-0.0092,-0.0275,-0.0302,-0.054,-0.0453,-0.0304,-0.0302,-0.0272,-0.0292,-0.0279,0.0077,0.0046,0.0014,-0.0181,-0.0154,-0.0176,-0.006,0.0033,-0.0004,0.0038,0.0079,0.0074,0.0078,0.0093,0.0027,0.0069,-0.0034,-0.0027,-0.0215
2000-03-01,-2.686,37.8782,S,,0.1589,0.0959,0.082,0.0368,0.0,-0.0009,-0.0103,-0.0148,-0.0142,-0.0136,-0.0184,-0.0147,-0.0117,-0.0052,-0.0017,-0.0033,-0.005,-0.0049,-0.0069,-0.0029,0.0008,-0.0031,-0.0015,-0.0049,-0.0029,-0.0006,-0.0032,-0.0044,-0.0112
2000-03-01,-2.686,37.8782,SE,,0.1465,0.1182,0.0853,0.0611,0.0659,0.0558,0.0562,0.0749,0.0449,0.0429,-0.0021,-0.0037,-0.0088,-0.0092,-0.016,-0.0127,-0.0153,-0.0156,-0.0413,-0.0457,-0.0378,-0.0036,-0.0113,-0.0008,-0.0011,0.0033,0.0127,0.0277,0.0268
2000-03-01,-2.686,37.8782,SO,,0.1036,0.0637,0.0246,-0.0081,-0.0241,-0.0327,-0.032,-0.0386,-0.0306,-0.0182,-0.0136,-0.0138,-0.0051,0.0045,-0.0003,0.0071,1e-04,0.0069,-0.0006,-0.0008,-0.0021,-0.0068,0.0012,0.0104,0.0107,0.022,0.0259,0.0296,0.0295
2000-07-07,-2.686,37.8787,E,,0.0781,0.046,0.0487,0.0537,0.0478,0.032,0.0254,0.0076,0.0149,0.0112,0.008,0.005,0.0052,0.0129,0.015,-0.0022,-0.0105,-0.004,0.0044,0.0047,0.0016,-0.0035,-0.0202,-0.0264,-0.0205,0.0115,0.0099,0.0215,0.0193
2000-07-07,-2.686,37.8787,N,0.0408,0.0195,0.0051,-0.0044,-0.0064,0.0045,0.0012,0.0034,-0.0039,0.0595,0.0321,0.0166,0.0074,-0.0265,-0.0306,-0.0243,-0.0251,-0.0206,-0.015,-0.0214,-0.0095,-0.0038,0.0028,0.0043,0.0033,0.0013,-0.0071,-0.015,-0.0199,-0.0189
