date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-29,52.8221,-169.9492,E,,0.0633,0.0633,0.0633,0.0051,0.0051,0.0007,0.006,0.0043,0.0027,0.0,0.0,0.0,0.0,0.0013,0.0064,0.0122,0.0064,0.0064,0.0063,0.0038,0.0032,0.0008,0.0004,0.0003,0.0043,0.0,0.0,0.0009,0.0009
2000-01-29,52.8221,-169.9492,N,0.0499,0.0502,0.0229,0.0197,0.0159,0.0164,0.0188,0.0212,0.0087,0.0054,-0.0036,-0.0005,0.0065,-0.0013,-0.0036,-0.0056,-0.0037,-0.0037,-0.0022,-0.0024,-0.003,-0.0051,-0.0028,-0.0032,-0.0041,0.0015,0.0019,0.0074,0.0091,0.0017
2000-01-29,52.8221,-169.9492,NE,,0.0419,0.0409,0.0296,0.0171,0.014,0.0081,0.01,0.0092,0.0097,0.0131,-0.0089,-0.0085,-0.0074,-0.0075,-0.0055,-0.0011,-0.0009,-0.0009,0.0028,0.0012,0.0035,-0.0009,-0.0081,-0.0081,-0.0021,0.012,0.0141,0.0047,-0.0056
2000-01-29,52.8221,-169.9492,NO,,0.044,0.0406,0.0219,0.019,0.017,0.0166,0.0234,0.0218,0.0084,0.0068,0.0041,0.0031,0.0015,0.0007,1e-04,-0.0048,-0.0081,-0.0107,-0.0128,-0.0119,-0.0101,-0.0055,-0.0029,0.0018,0.0008,0.007,0.0074,0.0128,0.0135
2000-01-29,52.8221,-169.9492,O,0.0594,0.0593,0.0553,0.0552,0.0121,0.0118,0.0121,0.0017,-0.0038,-0.0046,-0.0047,-0.0011,-0.0076,-0.005,-0.0041,-0.003,0.0003,0.0002,0.0021,0.0006,0.0068,0.0063,0.0043,0.0032,0.0024,0.0022,-0.0004,-0.0045,-0.0066,-0.0073
2000-01-29,52.8221,-169.9492,S,,0.0495,0.022,0.0197,0.0132,0.0095,0.0087,0.0057,0.0024,0.0006,0.0024,0.0032,0.0039,0.0006,-0.0057,-0.006,-0.0093,-0.0107,-0.0089,-0.007,-0.0057,-0.0025,-0.0038,-0.0051,,0.0183,0.0135,0.013,0.0168,-0.0119
2000-01-29,52.8221,-169.9492,SE,,0.0316,0.006,0.0055,0.009,0.0078,0.0035,0.0004,0.0005,-0.0012,0.004,0.0032,-0.0026,-0.0024,-0.0023,0.0002,0.0003,-0.0032,-0.0031,-0.0029,-0.0028,-0.0027,-0.0026,-0.0024,-0.0023,-0.0022,-0.002,0.0046,0.002,0.0119
2000-01-29,52.8221,-169.9492,SO,0.07,0.0418,0.0142,0.013,0.0111,0.013,0.008,0.0093,0.0075,0.0072,0.0032,0.0023,0.0031,-0.0026,-0.004,-0.0056,-0.0088,-0.0103,-0.0083,-0.0094,-0.007,0.0006,0.0078,0.0087,0.0047,0.0021,0.0016,0.0024,0.003,-0.0
2000-08-24,52.821,-169.9461,E,,0.2174,-0.0091,-0.0823,-0.1228,-0.1374,-0.0333,0.0437,0.0518,0.0281,0.0349,0.0115,-0.0162,-0.0252,-0.0342,-0.0371,-0.0101,-0.0083,-0.0136,-0.008,-0.0093,-0.0087,0.0087,0.0118,0.0012,0.0072,0.0155,-0.0016,-0.0057,0.0026
2000-08-24,52.821,-169.9461,N,,0.0525,0.0401,0.0249,0.0213,0.0198,0.0096,0.011,-0.005,0.0044,0.0057,0.0043,0.018,0.0048,0.0,0.0008,0.0066,0.0012,0.008,0.0105,0.0113,0.0138,0.0071,0.001,0.002,0.0006,0.002,-0.0075,-0.0111,-0.0136
2000-08-24,52.821,-169.9461,NE,0.1121,0.1467,0.0028,-0.0566,-0.0414,-0.0256,0.0165,0.0146,-0.0056,-0.014,0.0091,-0.0079,0.0074,0.0237,0.0296,0.0202,0.0042,0.022,0.0121,0.0086,0.0083,0.0125,0.002,0.0004,0.0015,0.0206,0.0112,0.001,-0.0024,0.0015
2000-08-24,52.821,-169.9461,NO,-0.0047,-0.021,-0.0178,-0.016,-0.0154,-0.0064,-0.002,0.0107,0.008,0.0088,0.0028,-0.0006,-1e-04,0.0119,0.0226,0.0236,0.0169,0.0149,-0.0,-0.0151,0.0055,-0.0071,0.0097,0.0037,-0.0003,0.0136,0.0234,0.0265,0.0223,0.0245
2000-08-24,52.821,-169.9461,O,-0.0076,0.0175,0.0087,-0.0086,-0.0108,-0.0092,-0.0005,-0.0002,0.0062,0.0074,0.0105,0.0101,0.0143,0.0105,0.0092,0.0055,0.0068,0.0177,0.0195,0.0205,0.028,0.0281,0.0041,-0.0133,-0.0153,-0.009,-0.0071,-0.0042,-0.0028,0.0016
2000-08-24,52.821,-169.9461,S,0.2646,0.2493,0.2178,0.1023,0.1379,0.0985,0.0879,0.0767,0.0381,-0.0046,0.014,-0.0082,-0.0056,0.001,0.0047,0.0016,0.0009,-0.014,-0.0084,-0.0139,-0.0109,-0.0167,-0.0137,0.0007,-0.0008,0.008,0.0176,0.0286,0.02,0.0239
2000-08-24,52.821,-169.9461,SE,,0.2798,0.1957,0.1635,0.1208,0.0954,0.0949,0.0907,0.0826,0.0269,-0.0095,-0.0259,-0.0271,-0.0238,-0.0274,-0.0313,-0.0259,-0.0271,-0.0324,-0.0237,-0.0171,-0.0148,-0.0124,-0.0031,-0.0024,0.0046,0.0063,0.015,0.0106,0.0162
2000-08-24,52.821,-169.9461,SO,,0.0938,0.0085,0.0261,-0.0127,-0.0198,-0.0158,-0.0179,-0.005,0.0141,0.0286,0.0362,0.0578,0.0316,0.0261,0.0209,0.008,-0.0068,0.0333,-0.0495,-0.0746,-0.0943,-0.0946,,,,,,,
