date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-27,11.5384,-85.6186,E,0.1288,0.1186,0.0799,0.0717,0.0668,0.0582,0.0427,0.0413,0.04,-0.0397,-0.0121,-0.0366,-0.028,-0.0308,-0.0292,-0.0284,-0.0217,-0.0122,0.0547,0.0566,0.0224,-0.0196,-0.0169,-0.0143,-0.0159,-0.0137,-0.012,-0.0095,-0.0042,-0.0015
2000-01-27,11.5384,-85.6186,N,,0.1785,0.1655,-0.0104,-0.0158,-0.0226,-0.0299,-0.0327,-0.0327,-0.0339,-0.0384,-0.0387,-0.0369,-0.0247,0.0481,0.0635,0.0109,0.0107,0.0161,0.0212,0.0193,-0.0315,-0.0236,-0.0053,0.0066,0.0088,0.0101,0.0065,0.0055,0.0108
2000-01-27,11.5384,-85.6186,NE,,0.2042,0.1782,,,,0.0031,0.0008,0.0012,-0.0155,-0.0047,-0.0071,-0.0122,-0.017,-0.0015,-0.009,-0.0105,-0.0131,-0.0156,0.0449,0.0418,0.0394,0.0465,0.0353,0.0156,0.0018,-0.0113,-0.0053,-0.0113,-0.0128
2000-01-27,11.5384,-85.6186,NO,0.1145,0.1142,0.0856,0.0415,0.0375,0.0327,0.0344,0.0345,0.0431,0.0603,0.0453,-0.0288,-0.0168,-0.0167,-0.0156,-0.0105,-0.0114,-0.0155,-0.0125,-0.0096,-0.0012,0.0103,-0.011,-0.0073,-0.0083,-0.0173,-0.0054,-0.0028,-0.0026,0.0059
2000-01-27,11.5384,-85.6186,O,,0.0967,0.0344,0.0296,0.0232,0.0213,0.0261,0.0339,0.0451,0.0234,0.025,0.0254,0.0236,-0.0162,-0.0177,-0.0192,-0.0291,-0.0271,-0.0339,-0.0356,-0.0131,-0.0073,-0.004,0.0045,0.0128,0.0202,0.0196,0.0196,0.0005,0.0032
2000-01-27,11.5384,-85.6186,S,0.1499,0.1198,0.1117,0.1089,0.0962,0.0615,0.0575,0.0453,0.0196,0.0249,0.0234,0.0085,0.0186,0.0298,0.0233,0.0057,0.0047,-0.0182,-0.0165,-0.0102,-0.0343,-0.0338,-0.0301,-0.0243,-0.0245,-0.0104,-0.0202,-0.0178,-0.0151,-0.0114
2000-01-27,11.5384,-85.6186,SE,,0.1342,0.1094,0.0729,0.0648,0.0536,0.0496,0.0223,0.0191,0.0481,0.034,-0.0023,-0.0006,0.0017,,,0.0074,-0.0315,-0.0288,-0.0282,-0.0226,-0.0183,-0.0166,-0.0156,-0.0085,-0.0051,0.0085,0.0132,0.0125,0.0064
2000-01-27,11.5384,-85.6186,SO,,0.0908,0.0491,0.0248,0.0211,0.0203,0.0088,0.0027,0.0031,0.0177,0.0133,0.027,0.0119,0.0168,0.0109,0.0043,0.0051,0.0063,0.0028,0.0048,0.0019,0.0007,-0.0045,-0.0051,-0.0096,-0.0099,-0.0067,-0.0135,-0.009,0.0066
2000-11-10,11.5389,-85.6181,E,0.1012,0.1012,0.0976,0.087,0.0636,0.0563,0.0144,-0.0291,-0.0293,-0.0294,-0.0287,-0.0281,-0.0249,-0.0252,-0.0254,0.0235,0.045,0.0545,0.0164,-0.02,-0.0215,-0.0209,-0.0213,-0.0203,-0.0124,-0.0081,0.0016,0.0084,0.015,0.0113
2000-11-10,11.5389,-85.6181,N,,0.0585,0.0386,0.0266,0.0293,0.0239,0.0217,0.0233,0.0237,0.0116,,,,,,,,,,,,,,,,0.0179,0.0075,0.0194,0.0407,0.0219
2000-11-10,11.5389,-85.6181,NE,,0.0187,0.0061,-0.0077,-0.0131,-0.014,-0.019,-0.0177,-0.0262,-0.0237,-0.0197,-0.0068,-0.0094,-0.0045,-0.0106,0.0173,0.0037,0.0459,0.0646,0.0567,0.0489,0.0127,0.0125,-0.0098,-0.0108,-0.0088,-0.0013,0.0039,0.0028,0.0142
2000-11-10,11.5389,-85.6181,NO,0.0431,-0.0924,-0.0952,-0.0967,-0.0875,-0.0494,-0.0142,0.0019,-0.0039,0.0099,0.015,0.0225,-0.0516,,,,,,,,,,,,,,-0.0193,-0.0151,-0.0049,0.0176
2000-11-10,11.5389,-85.6181,O,,0.0845,0.0729,0.0471,0.0187,0.0337,0.033,0.0332,0.0452,0.0416,0.0349,-0.0149,-0.0353,-0.029,-0.0192,-0.0173,-0.0122,-0.0068,0.0005,0.0121,0.0064,0.0085,0.0074,0.0112,-0.0043,-0.0098,-0.0162,-0.0077,-0.0097,0.0015
2000-11-10,11.5389,-85.6181,S,0.1469,0.0963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-10,11.5389,-85.6181,SE,,0.0927,0.0728,0.0639,0.0702,0.0458,0.0488,0.0508,-0.0055,-0.0121,-0.0152,-0.0197,-0.0159,-0.0107,-0.0069,-0.0132,-0.0022,0.0325,,,,,,,,,,,,
2000-11-10,11.5389,-85.6181,SO,,0.0783,,,,,,,,,,,,-0.0262,-0.0133,-0.0064,0.0003,-0.0045,0.0147,-0.0004,0.0059,-0.0078,-0.0196,-0.0199,-0.0219,0.0299,0.0043,-0.0136,-0.0141,0.0056
2001-10-28,11.5405,-85.6186,E,0.1106,-0.0104,-0.0101,-0.0178,-0.0133,-0.0093,-0.0147,-0.0083,-0.0146,0.0449,0.0726,0.0689,0.0171,-0.0198,-0.012,-0.0152,-0.0364,-0.0354,-0.027,-0.0264,-0.0264,-0.0222,-0.014,-0.0118,-0.0122,-0.0032,0.0062,0.0156,0.0232,0.0285
2001-10-28,11.5405,-85.6186,N,,,0.1785,0.0565,0.0615,0.0634,0.0599,0.0624,,0.071,0.0724,,,,,,,,,,,,,,,,,,,
2001-10-28,11.5405,-85.6186,NE,,0.0906,-0.0376,-0.0249,-0.0249,-0.0255,-0.0158,-0.0131,-0.0045,-0.008,0.0085,0.0081,0.0552,0.0609,-0.015,-0.0303,-0.0364,-0.035,-0.0437,-0.0503,-0.0489,-0.0383,-0.0192,-0.0085,0.0022,0.0081,0.022,0.0167,0.0261,0.0246
2001-10-28,11.5405,-85.6186,NO,0.1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-28,11.5405,-85.6186,O,,0.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-28,11.5405,-85.6186,S,,0.1135,0.1059,0.0897,0.0763,0.0853,0.0901,0.0612,0.0326,0.0244,0.0188,0.0169,0.0195,0.0185,0.0068,0.0011,-0.0084,-0.011,-0.018,-0.0134,-0.0087,-0.0136,-0.0187,-0.0032,-0.0087,-0.0349,-0.0319,-0.0177,-0.0056,-0.0008
2001-10-28,11.5405,-85.6186,SE,,0.0513,0.0459,0.0361,0.0279,0.0196,0.0242,0.0262,0.0259,0.0261,0.0274,0.0165,0.0135,-0.0055,-0.0156,-0.0136,-0.0207,-0.0194,-0.0186,-0.0166,-0.0213,-0.0199,-0.0114,-0.0027,-0.0029,-0.0004,-0.0016,-0.0015,0.0084,-0.0018
2001-10-28,11.5405,-85.6186,SO,0.0888,0.0876,0.0873,0.0823,0.0773,0.0723,0.0345,-0.0064,-0.0193,0.0303,0.0305,,,,,,,,,,,,,,,,,,,
2001-11-13,11.5349,-85.625,E,0.0646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-13,11.5349,-85.625,N,,0.0424,,-0.0164,-0.0162,-0.016,-0.0032,0.0201,0.0406,0.0371,0.02,0.013,0.0061,0.0061,-0.0016,-0.0084,-0.0161,-0.016,-0.0158,-0.0159,-0.0162,-0.0164,-0.0041,-0.0041,-0.001,0.0051,-0.0144,-0.016,-0.0168,-0.0178
2001-11-13,11.5349,-85.625,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005,-0.0085
2001-11-13,11.5349,-85.625,NO,0.0273,0.0135,-0.0082,-0.0254,-0.0364,-0.0406,-0.0316,-0.0009,0.0165,0.0178,0.0062,0.0445,0.0413,0.0214,0.0148,0.001,0.0009,-0.0036,-0.0109,-0.0152,-0.0247,-0.0272,-0.0296,-0.028,-0.0269,-0.0167,0.003,0.0054,-0.0108,-0.0358
2001-11-13,11.5349,-85.625,O,,-0.0008,-0.0084,-0.0227,-0.0511,-0.0568,-0.0645,-0.0741,-0.0754,-0.0755,-0.0669,-0.0474,-0.0324,-0.0202,-0.0105,-0.0015,0.0043,0.0188,0.0247,0.0218,0.0184,0.014,0.0237,0.0236,0.0292,0.0244,-0.0028,-0.0218,-0.0256,-0.0414
2001-11-13,11.5349,-85.625,S,,0.0025,0.0071,0.0093,0.0595,0.051,0.0365,0.0325,0.0243,0.0304,0.024,0.0109,-0.0249,-0.0178,-0.015,-0.0071,-0.0002,0.0035,-0.0069,-0.0259,-0.0182,-0.0074,0.0107,0.0087,0.0101,0.0136,0.0044,-0.0011,-0.0065,-0.0075
2001-11-13,11.5349,-85.625,SE,,-0.0015,,,,,0.0395,,0.0431,,,,,0.0181,0.0442,0.0532,0.0094,-0.0177,-0.0343,-0.0431,-0.0237,-0.0031,0.0155,0.0108,0.0155,-0.0015,0.0161,-0.0388,-0.0207,-0.0368
2001-11-13,11.5349,-85.625,SO,0.0285,0.0086,0.0031,0.0131,0.0142,0.0202,-0.0183,-0.0147,-0.0148,-0.0103,-0.0007,0.0023,-0.0002,-0.002,0.0007,-0.0121,1e-04,0.0023,0.0076,0.014,0.015,0.0039,0.0047,-0.004,0.0058,0.0017,0.0055,-0.0033,-0.0086,-0.0012
2002-06-25,11.5346,-85.6208,N,,0.0427,-0.0075,-0.0074,-0.0043,-0.0054,0.0012,-0.0012,-0.0021,-0.0055,-0.0064,-0.0057,-0.0096,-0.0125,-0.0129,-0.0087,-0.0097,-0.0112,-0.014,-0.0144,-0.0069,0.0056,0.0066,0.0053,0.0031,-0.0032,-0.0104,-0.0039,-0.0137,-0.0114
2002-06-25,11.5346,-85.6208,NE,,,0.0003,0.0003,0.0006,0.0018,0.0066,0.0026,0.0003,0.0009,0.0002,-0.002,-0.0019,-0.0024,-0.0004,0.0039,0.0017,0.0002,-0.0029,-0.0045,,,,,,,,,,
2002-06-25,11.5346,-85.6208,NO,-0.0267,-0.0323,-0.0277,-0.0382,-0.0385,-0.0357,-0.0339,-0.0156,0.0002,0.0097,0.0114,0.0096,0.0034,0.0106,0.0025,-0.0015,-0.0027,-0.0015,0.004,-0.0013,-0.0075,-0.0047,-0.0019,-0.0005,0.0039,0.0043,0.0068,0.0051,0.0053,0.0017
2002-06-25,11.5346,-85.6208,O,,-0.023,-0.0324,-0.0355,-0.0296,-0.0227,0.0169,0.0115,0.0067,0.0158,0.0151,0.0139,0.0116,0.013,-0.0117,-0.0184,-0.0184,-0.0176,-0.0038,-0.0063,-0.0092,-0.0065,-0.0075,-0.0012,0.0041,1e-04,0.0036,0.0064,0.0084,0.0116
2002-06-25,11.5346,-85.6208,S,,0.0148,0.0151,0.0091,0.0093,0.0108,0.0042,-0.0021,0.0016,-0.0022,0.0044,0.0072,0.0078,-0.0026,-0.0028,,,,,,,,,,,,,,,
2002-06-25,11.5346,-85.6208,SO,0.0114,0.0039,-1e-04,-0.0046,-0.0052,-1e-04,0.0008,0.0144,0.0154,0.0139,0.0122,0.005,-0.0108,-0.0226,,,,,,,,,,,,,,,,
2003-11-03,11.5389,-85.6225,N,,0.0339,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-03,11.5389,-85.6225,NO,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-03,11.5389,-85.6225,S,,0.0547,,,,0.0192,,,,,,,,-0.0065,-0.0046,0.0003,-0.0038,-0.0143,-0.016,-0.0096,-0.0045,-0.0047,0.0016,-0.0008,0.0123,0.0181,0.0208,0.0227,-0.0123,-0.0222
2003-11-03,11.5389,-85.6225,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1e-04,1e-04,0.0002
2003-11-03,11.5389,-85.6225,SO,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-05,11.5389,-85.6181,E,0.1455,,,,,,,-0.0068,-0.0165,-0.0173,-0.0139,-0.0184,-0.01,-0.0079,-0.0138,0.0521,0.0621,0.0557,0.0225,-0.0174,-0.0091,-0.0088,-0.0243,-0.0196,-0.0226,-0.0213,-0.0202,-0.0148,-0.0085,0.0039
2003-12-05,11.5389,-85.6181,N,,0.0601,0.0541,0.0447,0.0316,0.0319,0.0151,0.0019,-0.0063,-0.0178,-0.0252,-0.0298,0.0487,0.0418,0.0272,-0.0115,-0.0055,0.0193,0.0137,-0.0268,-0.0461,-0.0363,-0.024,-0.0108,-0.0018,0.0058,0.0152,0.0241,0.0253,0.0184
2003-12-05,11.5389,-85.6181,NE,,0.0508,,,,,,,-0.0277,-0.0223,-0.0265,-0.0192,-0.0217,-0.0119,-0.0187,0.0068,0.0575,0.0536,0.0499,0.0534,0.0531,0.0339,0.016,0.012,-0.001,-0.0036,0.0071,0.011,0.0125,0.0125
2003-12-05,11.5389,-85.6181,NO,0.1388,-0.0385,-0.0321,-0.0328,-0.0338,0.0056,0.0524,0.0559,0.069,0.0615,0.0094,0.0061,-0.0333,-0.011,-0.0069,0.014,0.0264,-0.0096,-0.0149,-0.0103,0.0082,-0.0022,-0.0138,-0.0124,-0.0149,-0.0302,-0.016,-0.0086,-0.0026,0.0024
2003-12-05,11.5389,-85.6181,O,,0.0966,0.0925,0.0885,0.0228,0.0106,0.0175,0.0242,0.0309,0.0274,0.0343,0.0161,0.0095,0.017,0.0192,-0.0245,-0.0259,-0.0225,-0.019,-0.0052,-0.0064,-0.0053,0.0007,0.0097,0.0179,0.0132,-0.0007,-0.0019,,
2003-12-05,11.5389,-85.6181,S,0.1703,0.1328,0.1242,0.1177,0.102,0.0705,0.0416,-0.0266,-0.0346,-0.0331,,,,,,,,,,,,,0.0053,,,,,,,-0.0455
2003-12-05,11.5389,-85.6181,SE,,0.1304,0.114,0.1035,0.0851,,,,,0.0166,0.0044,-0.0061,-0.0092,-0.0051,0.0015,-0.001,0.0063,-0.0034,0.0061,-0.0123,-0.0166,-0.0148,-0.0148,-0.0093,-0.0051,-0.0034,-0.0023,-0.0002,0.0027,0.0033
2003-12-05,11.5389,-85.6181,SO,,0.1057,0.0953,0.0861,0.0677,0.0277,0.0144,-0.0107,-0.004,0.0091,-0.0006,0.009,-0.0026,-0.0208,-0.0205,-0.0145,-0.0104,-0.0075,0.0025,-0.0129,-0.0005,-0.0176,-0.0112,0.0035,0.0149,0.0131,-0.0024,-0.0027,-0.0034,0.0038
2004-10-20,11.5408,-85.6222,E,,0.0576,0.0577,0.0505,0.0356,,,0.0269,,,,,,,,,,,,,,,,,,0.0079,,,,
2004-10-20,11.5408,-85.6222,NE,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-20,11.5408,-85.6222,NO,0.0983,0.0908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-20,11.5408,-85.6222,O,,0.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-20,11.5408,-85.6222,S,,0.06,0.0487,0.0475,0.0516,0.0412,0.0344,0.0306,0.0345,0.0341,0.0337,,,,-0.0203,-0.0205,-0.0206,-0.0193,-0.0167,-0.0203,-0.0211,-0.0173,-0.0106,-0.0084,-0.0058,0.0081,0.0078,0.0114,-0.0083,0.0023
