date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-04,-37.8446,-71.1568,E,,0.1246,0.0611,-0.0156,-0.0511,-0.0149,0.0281,0.0687,0.0782,0.077,0.0959,0.1073,0.1021,0.0837,0.0634,0.0416,-0.0579,-0.1617,-0.1649,-0.1181,-0.0494,0.0081,0.009,1e-04,0.0277,0.0533,0.0548,0.0564,0.0447,0.0589
2000-01-04,-37.8446,-71.1568,N,,0.3437,0.2937,0.2699,0.1804,-0.0061,-0.0531,-0.0589,-0.0726,-0.0841,-0.0835,-0.0841,-0.0323,-0.0054,0.0574,0.046,0.0403,0.0551,0.0942,0.0904,0.0811,0.0127,-0.0279,-0.0416,-0.0537,-0.0031,0.0321,0.0323,0.0377,0.0363
2000-01-04,-37.8446,-71.1568,NE,0.2812,0.2424,0.1729,0.0466,-0.0649,-0.08,-0.0935,-0.0935,-0.0918,-0.0954,-0.0412,-0.0223,0.0253,0.0808,0.0445,0.0108,0.0557,0.0338,0.0244,0.0165,-0.016,-0.0478,-0.0595,-0.0632,-0.0493,-0.0249,-0.0177,0.0342,0.0788,0.0739
2000-01-04,-37.8446,-71.1568,NO,0.1603,0.1152,-0.0002,0.0411,-0.0661,-0.0115,-0.0065,0.0012,-0.0215,-0.0281,-0.012,0.0419,0.0356,0.047,0.0553,0.0737,0.0651,0.0809,0.0657,0.0261,-0.0937,-0.1108,-0.1096,-0.0751,-0.0152,0.0053,0.0071,0.0377,0.0673,0.0772
2000-01-04,-37.8446,-71.1568,O,,0.1279,0.0019,-0.0281,0.0229,0.0229,-0.0281,-0.0499,-0.0499,-0.0499,-0.05,-0.0499,-0.05,-0.05,-0.05,-0.05,-0.05,0.048,-0.0325,-0.0199,0.112,0.0824,-0.05,-0.05,-0.05,-0.05,-0.0501,-0.05,-0.0372,0.1316
2000-01-04,-37.8446,-71.1568,S,,0.2302,0.1935,0.1548,0.1526,0.1163,0.0939,0.0636,0.031,-0.0115,-0.0849,-0.0415,-0.0164,0.057,0.0631,0.0665,0.0627,0.0602,0.0418,0.0294,0.0198,0.0215,0.0188,0.004,0.0089,-0.0327,-0.0848,-0.0956,-0.0697,-0.0041
2000-01-04,-37.8446,-71.1568,SE,0.1766,0.1782,0.151,0.1483,0.1036,0.0953,0.0861,0.0779,0.0642,0.0514,0.0192,-0.0586,-0.0603,-0.0224,0.0257,0.0486,0.0307,0.0178,0.0287,0.0031,0.0051,0.0012,0.0202,0.0144,-0.0044,0.0072,-0.0061,-0.0082,0.0086,-0.0031
2000-01-04,-37.8446,-71.1568,SO,0.1221,0.1235,0.0345,0.0457,-0.0392,0.0441,0.0357,0.0071,0.0292,0.0219,0.0503,0.0519,0.0604,0.0393,0.0427,0.0172,0.0186,0.0181,0.0129,0.0036,0.0059,0.0094,0.0413,0.0234,0.0159,0.0137,-0.0022,-0.0099,-0.0598,-0.0771
2000-01-11,-37.8554,-71.1574,E,0.1875,0.1234,0.0717,-0.029,-0.0154,-0.0273,0.0193,0.1033,0.112,0.0654,-0.0473,-0.0827,-0.0829,-0.1305,-0.0651,-0.0673,-0.0733,-0.0741,-0.0976,-0.0869,0.0387,0.0916,0.1006,0.1122,0.0865,0.0932,0.0716,0.0881,0.0913,0.0855
2000-01-11,-37.8554,-71.1574,N,,-0.1192,-0.1287,,,,,,,-0.3607,,,,,,0.0342,0.022,0.0194,0.025,0.0197,0.0153,0.0237,0.0211,-0.0042,-0.0007,0.0187,0.0186,0.0167,0.0142,0.0128
2000-01-11,-37.8554,-71.1574,NE,0.39,0.3044,0.1878,0.0188,-0.0193,-0.0681,-0.0845,-0.083,-0.0876,-0.0724,-0.0901,-0.0859,-0.0902,-0.1041,-0.1147,-0.0816,-0.0687,-0.0221,0.0752,0.0664,0.0958,0.1064,0.0929,0.0706,0.0445,0.0317,-0.0194,0.0036,-0.019,-0.0142
2000-01-11,-37.8554,-71.1574,NO,,,,,,,,,0.0995,0.0597,0.0104,-0.0139,-0.0165,-0.0116,0.004,0.0128,0.0142,0.026,0.0211,0.0225,0.0195,-0.0091,0.0162,0.0027,0.0075,0.0193,0.027,0.0089,-0.0059,-0.021
2000-01-11,-37.8554,-71.1574,O,,,,,,,,,0.0908,0.0946,0.0419,0.0904,0.1153,0.1209,0.1344,0.146,0.1389,0.1457,0.041,-0.0947,-0.1323,-0.1668,-0.1792,-0.1674,-0.0397,0.0246,0.0443,0.0673,0.08,0.0833
2000-01-11,-37.8554,-71.1574,S,,0.3517,,,,,0.0293,0.0316,,,,,,0.0028,-0.0146,0.0072,-0.0209,-0.0283,-0.0342,-0.0394,-0.0439,-0.0247,-0.0243,-0.0446,0.077,-0.058,-0.058,-0.0588,-0.0608,-0.0608
2000-01-11,-37.8554,-71.1574,SE,,0.1413,0.1482,0.1444,0.0768,-0.0867,-0.1941,,,,,,,,,0.1201,0.1158,0.0464,0.0995,0.0887,-0.1152,-0.0035,0.047,0.0504,0.0513,0.0409,0.0155,-0.0153,-0.0428,-0.0917
2000-01-11,-37.8554,-71.1574,SO,,,,,,,,,,0.0839,0.0915,0.0798,0.0612,0.0726,0.0691,0.0598,0.0598,0.0849,0.0671,0.0938,0.0502,0.0009,,-0.2648,-0.2016,-0.16,-0.035,-0.0163,-0.0069,-0.1069
2000-01-20,-37.8556,-71.1564,E,,,0.0127,-0.0772,-0.1022,-0.0979,-0.0944,0.0333,,,,,,0.1164,0.0355,-0.0058,-0.0429,-0.0791,-0.0639,-0.0937,-0.0871,-0.0842,-0.0609,0.0385,0.0699,0.0458,0.0984,0.0532,0.0772,0.0974
2000-01-20,-37.8556,-71.1564,N,,,,,-0.0931,-0.1388,-0.1462,-0.1496,-0.1523,-0.1551,-0.1357,-0.1194,-0.0661,-0.0213,-0.0581,0.101,0.0958,0.0911,0.098,0.088,0.0245,0.0305,0.0197,0.0002,0.0005,0.002,-0.0115,0.0069,-0.031,-0.0341
2000-01-20,-37.8556,-71.1564,NE,,,,-0.0103,-0.0473,-0.0458,-0.0561,-0.0253,-0.0566,0.0058,-0.0061,-0.0194,-0.0698,-0.0922,-0.0717,-0.0423,0.0584,0.0957,0.1169,0.1291,0.1174,0.0991,0.0827,0.0352,-0.0064,0.003,-0.0502,0.0007,0.0082,0.0122
2000-01-20,-37.8556,-71.1564,NO,,,,,,,,,,,,,,,,,,,,0.0429,0.0454,0.0479,0.0414,0.0393,0.0071,-0.0015,-0.0179,-0.055,-0.0592,-0.0282
2000-01-20,-37.8556,-71.1564,O,0.1111,,,,,,,,,,,,,,,,,,,,-0.0385,,0.0301,0.0289,0.0252,0.0078,-0.0354,-0.0064,,0.0314
2000-01-20,-37.8556,-71.1564,S,,,,,,,,,,,,,,,,,,,0.0043,-0.0031,-0.0077,-0.0133,-0.0189,-0.02,-0.0216,-0.0226,-0.0236,0.1846,0.1799,0.1439
2000-01-20,-37.8556,-71.1564,SE,,,,,,-0.0869,,,0.1274,,,,,,0.0787,-0.1074,-0.1237,-0.0981,-0.0159,0.0275,-0.0003,0.0215,0.0142,-0.0295,0.0092,0.0137,0.0099,0.0099,0.0053,-0.0034
2000-01-27,-37.8556,-71.1564,E,0.2308,0.1359,-0.0156,-0.1573,-0.1844,-0.1824,-0.1827,-0.1375,-0.0251,0.1905,0.1523,0.1121,0.1318,0.1371,0.094,0.0916,0.1006,0.0448,-0.0067,-0.0759,-0.0318,0.0454,0.0452,0.0706,-0.0143,0.0337,0.0249,0.04,0.0678,0.0841
