date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-18,-0.6738,-78.4375,E,,,,,-0.0314,-0.0331,-0.0395,-0.0496,-0.0508,-0.0386,,0.0464,,,,,,,,,,0.0029,-0.0018,0.0043,-0.0011,0.011,0.0124,0.0058,0.0066,-0.0127
2000-12-18,-0.6733,-78.4372,E,,-0.0576,-0.0619,,,,,,,,0.0175,,,,,,,,,,,,,,,,,,,
2000-12-18,-0.6727,-78.4369,E,,,,-0.1101,,,,,,,,,0.0227,0.0533,0.0559,0.0424,0.0434,0.0287,0.0316,0.0392,-0.0059,,,,,,,,,
2000-12-18,-0.6738,-78.4375,N,,,,,,0.0072,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-18,-0.6733,-78.4372,N,,0.0145,0.0127,0.0155,0.0146,,0.0022,,-0.0041,-0.0051,-0.0054,-0.0068,-0.0099,-0.0177,-0.0221,-0.0277,-0.0214,-0.0158,-0.0039,0.008,0.0126,0.0127,0.0139,0.012,,,,,,0.013
2000-12-18,-0.6727,-78.4369,N,,,,,,,,-0.0008,,,,,,,,,,,,,,,,,0.0123,0.0101,0.0098,0.0112,0.0117,
2000-12-18,-0.6738,-78.4375,NE,,,,,,,,0.0157,,,,,0.0033,,,,-0.0118,,,,-0.02,,,-0.0147,,,,,,
2000-12-18,-0.6733,-78.4372,NE,0.0373,0.0302,0.0323,0.0285,0.0231,0.0195,0.0192,,0.0136,0.0101,0.0034,,,0.0,-0.0034,,,-0.013,-0.0135,,,-0.0211,,,,,,,,
2000-12-18,-0.6727,-78.4369,NE,,,,,,,,,,,,0.0085,,,,-0.0075,,,,-0.0173,,,-0.0185,,-0.0035,0.0021,0.0069,0.0102,0.0069,0.0155
2000-12-18,-0.6738,-78.4375,NO,,,,,,,,,,,,,,-0.0115,,,,-0.0023,0.0066,1e-04,0.0035,0.0031,0.0032,0.0041,0.0082,0.0124,0.0163,0.0169,0.0198,0.0218
2000-12-18,-0.6733,-78.4372,NO,0.0244,0.0224,0.0183,0.0177,0.0143,,0.0016,-0.0028,-0.0031,-0.0033,-0.0075,-0.0065,-0.0095,,,-0.0132,-0.0115,,,,,,,,,,,,,
2000-12-18,-0.6727,-78.4369,NO,,,,,,0.0055,,,,,,,,,-0.0127,,,,,,,,,,,,,,,
2000-12-18,-0.6738,-78.4375,O,,,,,,,,,,,,,0.0003,,,,-0.0038,-0.0027,-0.0011,-0.0056,-0.0163,-0.0183,-0.0178,-0.0197,-0.0191,-0.0185,-0.0133,-0.0064,-1e-04,0.0141
2000-12-18,-0.6733,-78.4372,O,,0.023,0.019,0.0193,0.0203,0.0181,0.0131,0.0113,0.0057,0.0007,-0.0006,-0.0032,,,0.0016,-0.0026,,,,,,,,,,,,,,
2000-12-18,-0.6727,-78.4369,O,,,,,,,,,,,,,,-0.0027,,,,,,,,,,,,,,,,
2000-12-18,-0.6738,-78.4375,S,,,,,,,,0.0027,0.0052,0.0037,0.0053,0.0075,0.0057,0.0038,0.0024,-0.0024,-0.0032,-0.0038,-0.0042,-0.002,-0.0008,-1e-04,-0.0012,-0.0002,-0.0037,-0.0022,0.0005,-0.0053,-0.0046,-0.0068
2000-12-18,-0.6733,-78.4372,S,,0.0422,0.0314,0.0232,0.0103,0.0035,0.0013,,,,,,,,,,,,,,,,,,,,,,,
2000-12-18,-0.6738,-78.4375,SE,,,,0.0208,,0.002,0.0023,-0.0,,0.0028,0.0022,0.0043,-1e-04,0.0019,,1e-04,0.0007,,0.0027,0.0035,0.0035,,,,,-0.0002,-0.003,-0.0015,,
2000-12-18,-0.6733,-78.4372,SE,0.0493,0.0476,,,0.0211,,,,0.0039,,,,,,,,,0.0183,,,,,,,,,,,,
2000-12-18,-0.6727,-78.4369,SE,,,0.0553,,,,,,,,,,,,,,,,,,,0.0541,-0.0534,0.0076,-0.0104,,,,0.009,0.0202
2000-12-18,-0.6738,-78.4375,SO,,,,,,,,,,,,,,,,-0.0021,-0.0035,-0.0086,-0.0086,-0.0086,-0.0087,,,-0.0088,-0.0087,-0.0088,-0.0088,-0.0087,-0.0084,-0.0064
2000-12-18,-0.6733,-78.4372,SO,0.0526,0.0466,0.0425,0.0426,0.0442,0.0387,0.037,0.0327,0.0347,0.0308,0.0289,0.0288,0.0249,0.0126,0.0089,,,,,,,-0.0088,-0.0088,,,,,,,
2001-01-03,-0.6735,-78.4375,E,,,,0.0059,0.0061,0.0044,0.0049,,,,,0.0108,0.0094,0.0073,0.0026,0.0006,-0.0015,-0.0009,-0.001,-0.0011,-0.0032,-0.0002,-0.0018,-0.0024,-0.005,-0.0056,-0.002,0.0,0.0028,0.0077
2001-01-03,-0.6735,-78.4372,E,,,,,,,,0.0021,0.0002,-0.0026,0.009,,,,,,,,,,,,,,,,,,,
2001-01-03,-0.6735,-78.4378,N,,,,,,,,,,,,,,,,-0.0052,-0.005,-0.009,-0.0163,-0.0147,-0.0139,-0.01,-0.0065,,,,,0.0065,0.0049,0.0047
2001-01-03,-0.6735,-78.4375,N,,,,,,,,,,,,,,,,,,,,,,,,-0.0009,,,,,,
2001-01-03,-0.6735,-78.4372,N,,,,,,,,,,,,,,,,,,,,,,,,,-1e-04,0.0016,0.0016,,,
2001-01-03,-0.6735,-78.4378,NE,,,,,,,,,,,,,,,,0.0009,1e-04,-0.0004,-0.0032,-0.0023,-0.0033,-0.0021,-0.0034,-0.0011,-0.0017,,,,0.0036,0.0063
2001-01-03,-0.6735,-78.4375,NE,,,,,,,,,,,0.0,,,,0.0019,,,,,,,,,,,-0.002,0.0002,-1e-04,,
