date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,12.591,40.4831,E,0.0807,0.0597,0.0446,0.0356,0.0238,0.0422,0.0306,0.0262,0.0238,0.012,-0.0004,0.015,0.0258,0.024,0.0175,0.015,0.0209,0.0113,-0.0033,-0.0048,-0.0103,-0.0018,-0.0046,-0.0008,-0.0019,-0.004,-0.0112,-0.0167,-0.0254,-0.0279
2000-02-05,12.591,40.4831,N,0.0043,0.0195,0.0143,-0.0005,-0.0065,-0.0098,-0.0043,0.0032,-0.0032,0.0038,0.02,0.023,0.0148,0.0076,0.0006,-0.0066,-0.0156,-0.0132,-0.0097,-0.0102,-0.0073,-0.011,-0.0056,-0.0035,-0.0013,0.003,0.0011,0.0061,0.0122,0.0119
2000-02-05,12.591,40.4831,NE,,0.0455,0.0325,0.0305,0.0283,0.0086,0.0132,0.0109,0.0104,0.0127,0.0133,0.0128,0.012,0.0174,0.0082,0.0074,0.0037,-0.0039,-0.0031,-0.005,-0.0062,0.0067,0.0058,0.0008,-0.001,0.0012,0.0065,1e-04,-0.014,-0.0241
2000-02-05,12.591,40.4831,NO,,0.071,0.0612,0.0373,0.0344,0.0191,0.0086,0.0241,0.0141,0.0071,0.0054,0.001,0.0031,-0.0005,-0.007,-0.0038,-0.0058,-0.0058,-0.0036,-0.0071,-0.0012,0.0074,0.0154,0.0142,0.0114,-0.0043,-0.0073,-0.0086,-0.0056,-0.0133
2000-02-05,12.591,40.4831,O,,0.081,0.079,0.0645,0.0277,0.0162,0.0079,0.0012,-0.0019,-0.0027,-0.0031,-0.0106,1e-04,-0.0018,0.0008,-0.0032,-0.0016,0.0046,0.0083,0.0036,0.0147,0.0114,0.0126,0.01,-0.002,-0.0012,-0.0063,-0.0033,-0.0154,-0.0163
2000-02-05,12.591,40.4831,S,,0.0753,0.0528,0.0215,0.0102,0.0034,-0.0102,-0.0055,0.0249,0.046,0.059,0.053,0.0221,0.0107,-0.002,-0.0091,-0.0242,-0.0065,-0.0023,0.0027,-0.0096,-0.0071,-0.006,-0.0082,-0.0113,-0.0113,-0.0037,-0.0002,-0.014,-0.0081
2000-02-05,12.591,40.4831,SE,,0.034,0.0305,0.0264,0.0047,-0.0046,0.0005,0.0153,1e-04,0.0022,0.0024,0.0125,0.0252,0.026,0.0284,0.0259,0.0111,0.0073,0.0136,0.0078,-0.0064,-0.0071,-0.0214,-0.0226,-0.0249,-0.0226,-0.0116,0.0026,0.0069,-0.0017
2000-02-05,12.591,40.4831,SO,,0.0384,0.0324,0.0327,0.0177,-0.0163,-0.0355,-0.0299,-0.0421,-0.0329,-0.027,-0.0275,-0.0269,-0.0212,-0.0241,-0.0214,-0.0185,-0.0062,0.0181,0.0074,0.0264,0.0292,0.0198,0.0155,0.0141,-0.0104,1e-04,0.0196,0.0156,-0.0026
2000-05-11,12.5937,40.4821,E,0.1,0.092,0.0575,0.0705,0.0589,0.0496,0.0394,0.0327,0.0354,0.0283,0.0474,0.0558,0.0512,0.049,0.0363,0.0362,0.0195,0.0029,-0.0183,-0.0291,-0.0429,-0.029,-0.0325,-0.0342,-0.0145,-0.0058,-0.0015,0.0013,0.0074,0.0171
2000-05-11,12.5937,40.4821,N,,-0.0134,-0.0136,-0.0114,-0.021,0.0027,-0.0086,-0.0106,0.0076,-0.0053,0.0047,0.0045,0.0044,-0.0029,-0.0106,-0.0083,-0.0102,-0.0096,-0.0148,-0.014,-0.0003,0.009,0.0032,0.0075,0.0097,0.0128,0.0194,0.0036,0.0033,-0.0026
