date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-24,-35.5788,-70.75,E,0.1264,0.1167,0.0895,0.0945,0.059,0.0452,0.014,0.0158,0.0186,0.0442,0.0516,0.0803,0.0888,0.1045,0.1015,0.0886,0.0398,0.0127,-0.0124,-0.0286,-0.0196,-0.027,-0.0398,-0.066,-0.062,-0.0671,-0.0341,0.0066,0.0227,0.0079
2000-03-24,-35.5788,-70.75,N,0.0507,0.0466,0.0287,0.0276,0.0043,-0.009,0.0077,0.0202,0.0254,0.0015,0.0069,0.0025,0.0136,0.0177,0.0061,-0.0105,-0.0162,-0.0133,-0.0494,-0.0474,-0.0293,-0.0249,-0.0261,-0.0105,-0.0084,-0.0011,0.0231,0.03,0.0383,0.0397
2000-03-24,-35.5788,-70.75,NE,,-0.1422,-0.1212,-0.1043,-0.0942,-0.095,-0.1056,-0.0533,-0.0238,0.0074,0.0446,0.0802,0.123,0.1488,0.1496,0.1516,0.1313,0.1219,0.0937,0.0165,-0.0305,-0.0434,-0.0577,-0.0286,-0.042,-0.069,-0.0908,-0.1186,-0.1095,-0.0652
2000-03-24,-35.5788,-70.75,NO,0.1054,0.09,0.0612,0.0414,0.0606,0.0198,-0.0014,0.0086,-0.0023,-0.0066,0.0044,-0.0204,-0.0337,-0.0531,-0.0354,-0.0441,-0.0582,-0.0594,-0.0545,-0.0302,-0.0166,0.0094,0.0498,0.0336,0.0862,0.0513,0.0893,0.0602,0.0255,-0.0069
2000-03-24,-35.5788,-70.75,O,,0.2686,0.2491,0.2299,0.1369,0.0777,0.0433,0.0412,0.0461,0.053,0.0774,0.0664,0.0681,0.0789,0.0764,0.0797,0.0809,0.0876,0.0898,0.0715,0.0526,-0.0009,-0.0042,-0.0739,-0.0921,-0.0921,-0.0909,-0.0887,-0.0887,-0.0898
2000-03-24,-35.5788,-70.75,S,0.2125,0.1779,0.1693,0.1139,0.0961,0.1038,0.1101,0.1031,0.0551,0.066,0.0782,0.0898,0.0945,0.0755,-0.0119,0.0278,-0.0183,-0.002,0.0077,-0.0068,0.0007,0.0184,-0.0115,-0.0079,-0.041,-0.0341,-0.0564,-0.0833,-0.0705,-0.0657
2000-03-24,-35.5788,-70.75,SE,,0.03,-0.0007,-0.0227,-0.0663,-0.058,-0.0549,-0.0529,-0.0332,-0.0309,-0.0304,-0.0168,-0.0021,0.011,0.0229,0.0314,0.0533,0.0867,0.0964,0.101,0.0614,0.0751,0.0348,-0.0631,-0.0186,-0.0354,-0.0242,0.0038,0.0048,0.019
2000-03-24,-35.5788,-70.75,SO,,0.3556,0.3099,0.2435,0.1835,0.1269,0.104,0.1047,0.0807,0.0687,0.0344,-0.0123,-0.0268,-0.0246,-0.0084,0.0083,0.0756,-0.0164,-0.0332,-0.0374,-0.0375,-0.0374,-0.0368,-0.0372,-0.0372,-0.0268,-0.0329,-0.0039,-0.0362,-0.0161
2001-03-02,-35.5753,-70.7503,E,0.1981,0.1663,0.1432,0.1093,0.0583,0.0186,-0.0509,-0.0007,-0.0612,-0.0057,-0.0183,0.0436,0.0294,0.0336,0.0288,-0.0077,0.0155,0.0149,0.0267,0.0501,0.0726,0.0724,0.0527,0.021,0.0003,0.009,0.0099,-0.0185,-0.0313,-0.0192
2001-03-02,-35.5753,-70.7503,N,0.0747,0.0547,0.0872,0.1216,0.149,0.1635,0.1601,0.1667,0.1496,0.1614,0.146,0.1622,0.1484,0.1379,0.099,0.0173,0.0676,-0.0183,-0.0348,-0.0223,-0.0084,-0.0594,-0.0703,-0.0783,-0.0749,-0.0766,-0.078,-0.0271,0.0378,0.0606
