date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-27,-35.5829,-70.7445,E,,0.1124,0.0849,0.0728,0.0386,-0.0126,-0.025,-0.0084,0.025,0.0215,-0.0095,-0.0257,-0.0448,-0.0512,-0.0253,-0.0277,-0.0223,-0.028,-0.0187,-0.0168,0.0019,0.0081,0.0042,0.001,0.0052,0.0069,0.0011,0.002,0.0089,-0.0041
2000-01-27,-35.5829,-70.7445,N,,0.0552,0.0641,0.0766,0.0863,0.086,0.0617,0.0186,-0.0043,-0.0115,-0.0266,-0.0167,-0.0705,-0.0288,-0.0299,-0.0137,0.0244,0.0407,0.0377,0.0349,0.0331,0.0267,0.0182,0.0184,0.0077,-0.0035,-0.0133,-0.0093,-0.0075,-0.0042
2000-01-27,-35.5829,-70.7445,NE,0.0372,0.047,0.0393,0.0439,0.0467,0.0398,0.0131,0.023,0.0175,0.0175,-0.0046,-0.0159,-0.0183,-0.0223,-0.0144,-0.0185,-0.012,-0.0046,0.0063,-0.0031,0.0037,-0.002,0.0156,0.0116,0.0073,-0.0112,-0.0185,0.0056,0.01,0.0113
2000-01-27,-35.5829,-70.7445,NO,0.0571,0.0708,0.0624,0.0543,0.0378,0.008,0.0115,0.0124,0.0376,0.0395,0.0345,0.009,-0.0048,-0.0217,-0.0254,-0.004,0.0709,0.0422,-0.0015,-0.0053,-0.0043,-0.0004,-0.0015,-0.011,-0.0168,-0.0229,-0.0206,0.0132,0.0154,0.0288
2000-01-27,-35.5829,-70.7445,O,,0.0865,0.0804,0.0799,0.0726,0.0774,0.0793,0.0541,0.0682,0.0631,0.0448,0.007,-0.0522,-0.0572,-0.0485,-0.0143,0.0126,0.0284,0.0361,0.0398,0.0499,0.0276,0.0159,0.0347,0.0251,0.02,-0.0216,-0.0388,-0.0498,-0.0468
2000-01-27,-35.5829,-70.7445,S,,0.2069,0.1402,0.1012,0.0917,0.0586,-0.0226,-0.0199,-0.0189,0.0241,0.0193,0.0256,0.0219,0.0225,0.0474,0.0125,-0.0008,-0.0232,-0.0373,-0.0399,-0.044,-0.044,-0.048,,,,-0.0437,-0.0686,-0.0611,-0.0477
2000-01-27,-35.5829,-70.7445,SE,,0.1473,0.1362,0.008,-0.0436,-0.0889,-0.0578,-0.0424,-0.0104,-0.0134,-0.0122,-0.0159,-0.0089,-0.0104,-0.0132,-0.0033,-0.0099,0.0057,-0.0042,0.0016,-0.009,-0.015,-0.0141,0.048,0.0099,0.0255,-0.0013,0.0074,0.0111,-0.0108
2000-01-27,-35.5829,-70.7445,SO,0.2534,0.2368,0.2108,0.0986,0.0744,0.0472,0.0132,0.0142,0.0085,-0.0007,-0.0193,-0.0223,-0.0302,0.0316,0.0323,-0.0093,-0.0352,,,,,,,,,,,,,
2000-02-05,-35.5802,-70.7435,E,,0.2602,0.2079,0.1884,0.2038,0.1846,0.1418,0.1478,0.1625,0.1519,0.1329,0.1118,0.0845,0.0422,0.0206,-0.017,-0.0382,-0.0397,-0.0373,-0.042,-0.024,-0.0207,-0.0288,-0.0213,-0.0093,-0.0088,-0.0063,0.0053,-0.001,0.0009
2000-02-05,-35.5802,-70.7435,N,,0.2909,0.2719,0.2087,0.1357,0.1431,0.1007,0.0719,0.0426,0.0177,0.0111,-0.0111,-0.0219,-0.0167,-0.0205,-0.0031,0.0315,0.0685,0.0781,0.0362,-0.0122,-0.0652,-0.0797,-0.0728,-0.0796,-0.0468,0.019,0.0331,0.0695,0.0551
