date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-05,-7.2015,109.9208,E,0.1861,0.1383,0.1032,0.0688,0.0535,0.0684,0.0399,0.0229,-0.011,-0.0282,0.0139,-0.0333,-0.0026,0.0143,0.032,0.0178,0.0076,-0.0155,-0.0188,-0.019,-0.0178,-0.0109,-0.0165,-0.0028,0.0043,1e-04,-0.0026,-0.0028,-0.0141,-0.0165
2000-12-05,-7.2015,109.9208,N,0.1691,0.15,0.113,0.086,0.0751,0.0734,0.0629,0.0651,0.0371,0.0303,0.019,0.0215,-0.006,-0.0204,-0.0252,-0.0122,0.0101,0.0165,0.0126,0.0072,-0.0206,-0.0281,-0.0185,-0.006,0.005,-0.0109,-0.0191,-0.0116,-0.0098,-0.0052
2000-12-05,-7.2015,109.9208,NE,,0.1576,0.0926,0.07,0.0697,0.0779,0.0772,0.0744,0.06,0.054,0.0517,0.0388,0.0457,0.0377,0.0177,0.0046,-0.0061,-0.023,-0.0157,-0.0186,-0.0237,-0.0223,-0.0224,-0.0197,-0.0196,-0.0201,-0.0187,-0.0157,-0.0122,-0.0093
2000-12-05,-7.2015,109.9208,NO,,0.2122,0.1828,0.1313,0.0846,0.05,0.0263,0.0225,0.0318,0.0124,-0.0045,-0.0085,-0.0163,-0.0101,-0.0017,-0.0008,-0.0029,0.0181,0.0186,0.0083,-0.0069,-0.019,-0.0021,-0.0161,0.0041,-0.0209,0.0,0.0028,-0.0313,-0.0353
2000-12-05,-7.2015,109.9208,O,,0.2251,0.1609,0.1398,0.1089,0.0785,0.086,0.0558,0.0407,0.0316,0.019,0.0385,0.0369,0.0017,-0.0081,-0.0109,-0.0199,-0.0064,0.0031,0.0095,0.021,0.0216,0.0185,-0.0217,-0.0314,-0.046,-0.0732,-0.0569,-0.05,-0.0209
2000-12-05,-7.2015,109.9208,S,0.1518,0.1381,0.1075,0.0648,0.0443,0.0233,-0.0102,-0.0171,-0.0026,0.0147,0.0307,0.0399,0.0379,0.0289,0.0222,-0.0141,-0.0182,-0.0025,0.0097,-0.0073,-0.0066,-0.0119,0.0073,0.0078,0.0019,0.0005,-0.0011,-0.0082,-0.0064,-0.0073
2000-12-05,-7.2015,109.9208,SE,,0.1077,0.0697,0.0171,-0.0019,-0.0228,-0.0393,-0.0571,-0.0651,-0.0674,-0.0613,-0.0487,-0.0267,0.0188,0.0346,0.0286,0.0258,0.012,0.0025,-0.0121,-0.0116,-0.0028,0.0082,0.0143,-0.0046,-0.0136,-0.0256,-0.0183,-0.0237,0.0108
2000-12-05,-7.2015,109.9208,SO,,0.1535,0.1367,0.1357,0.0955,0.0282,-0.0101,-0.0046,0.0135,0.0009,0.0105,0.0171,0.0132,0.0041,0.0172,0.0247,0.0206,0.0322,0.0289,0.0167,0.0186,0.0202,0.0048,-0.0063,-0.025,-0.028,-0.0365,-0.0371,-0.038,-0.0512
2001-04-28,-7.2018,109.9206,E,0.1817,0.1278,0.1088,0.0405,0.0077,-0.0075,-0.0053,0.0149,0.0313,0.0373,0.0354,0.0065,-0.0055,-0.0145,-0.0081,-0.0126,-0.0187,-0.0333,-0.0278,-0.0125,-0.0015,0.0187,0.0041,0.0023,-0.0062,-0.0023,-0.0057,-0.0019,-0.0258,-0.0263
2001-04-28,-7.2018,109.9206,N,0.2031,0.1764,0.1541,0.1174,0.0597,0.0272,0.0122,0.0069,0.0138,0.0198,0.0207,0.009,0.0063,-0.0147,-0.0254,-0.0217,-0.001,0.0151,0.0204,0.013,-0.0087,-0.0162,-0.0183,-0.0198,-0.0104,-0.0069,-0.0161,-0.0175,-0.0143,-0.0046
