date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-30,-7.22,109.9042,E,,0.0093,0.0095,0.0224,0.0407,0.0621,0.0627,0.063,0.0417,0.0302,0.0381,-0.018,-0.025,-0.0387,-0.0334,-0.0207,-0.0145,-0.0106,-0.0018,0.0188,0.0073,0.0064,-0.0051,-0.0141,-0.0087,-0.0015,-0.0051,-0.0044,-0.0071,-0.0051
2000-07-30,-7.22,109.9042,N,,0.0316,0.0128,-0.0024,-0.0101,-0.0036,0.0039,0.0207,0.039,0.0306,0.0056,-0.0229,-0.0163,-0.0106,-0.0049,-0.0079,-0.0174,-0.027,0.0115,0.0225,0.0156,0.0203,0.0175,-0.0055,-0.0146,-0.0114,-0.0068,0.0034,0.0113,0.0134
2000-07-30,-7.22,109.9042,NE,0.0329,-0.01,-0.0231,-0.0202,-0.0236,-0.0157,0.0362,0.0423,0.0392,0.0119,0.0025,0.0064,-0.0111,-0.0196,-0.0138,-0.0131,-0.0062,-0.012,-0.0055,-0.0131,-0.0027,-0.001,0.0034,-0.0005,-0.0069,0.0137,0.0069,-0.0,-0.0052,-0.0173
2000-07-30,-7.22,109.9042,NO,0.0179,0.0146,-0.0165,-0.022,-0.0304,-0.0242,-0.0098,-0.0047,0.0002,0.0228,0.0372,0.0439,0.0298,0.027,0.0005,0.0056,-0.0005,-0.0087,-0.0118,-0.0106,-0.0031,-0.004,0.0052,-0.0014,-0.0087,0.0008,0.0021,0.0006,-0.0032,0.0021
2000-07-30,-7.22,109.9042,O,,-0.0079,-0.0096,0.0014,-0.0068,0.0225,0.0131,0.0147,0.0379,0.0354,0.0338,0.0111,-0.0082,-0.006,-0.0203,0.004,0.0125,0.0173,0.0144,0.0108,0.0277,0.0249,0.0054,0.0031,0.0004,-0.0204,-0.0258,-0.025,-0.0299,-0.0377
2000-07-30,-7.22,109.9042,S,,0.0508,0.0153,-0.0007,0.0008,-0.0026,0.0005,0.0058,-0.0035,-0.0077,0.0019,-0.0137,-0.0036,-0.0088,-0.0133,-0.0083,-0.012,-0.0114,-0.0107,-0.0027,-0.0099,-0.0078,-0.0211,-0.0131,0.0033,0.0176,0.0173,0.0117,-0.0043,0.0054
2000-07-30,-7.22,109.9042,SE,0.0702,0.0504,0.0253,0.0209,0.0151,0.0439,0.0269,-0.0061,0.0117,-0.0032,0.0015,-0.007,-0.0287,-0.0206,0.0065,0.0267,0.0365,0.0199,0.0242,0.0227,0.0283,0.0282,0.001,-0.0138,-0.0236,-0.0223,-0.0249,-0.0242,-0.0351,-0.0312
2000-07-30,-7.22,109.9042,SO,0.0338,0.0114,0.0048,0.0027,0.0109,0.0207,0.024,0.0246,0.0341,0.0277,0.0227,0.0059,0.0075,0.027,0.0234,0.0176,0.0048,-0.0119,-0.0052,0.0026,-0.0041,0.0006,-0.0026,-0.023,-0.0094,-0.0243,-0.0127,-0.016,-0.0071,-0.01
2000-12-05,-7.22,109.904,E,,0.0408,0.0231,0.0215,0.057,0.0768,0.07,0.0806,0.0626,0.032,0.0245,-0.0213,-0.0331,-0.0336,-0.0212,-0.0029,-0.0052,0.0173,0.0202,0.028,0.0331,0.0108,0.0057,0.0021,-0.0075,-0.0005,-0.0105,-0.0183,-0.0284,-0.0376
2000-12-05,-7.22,109.904,N,,0.0426,0.0382,0.0146,-0.0028,-0.0018,0.0055,0.0086,0.0521,0.048,0.0136,-0.0076,-0.0344,-0.029,-0.0201,-0.0103,-0.0097,-0.026,-0.0401,-0.0029,0.0168,0.0217,0.0157,-0.0018,-0.0099,-0.0157,-0.0046,-0.0105,-0.0067,-0.0067
