date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-20,-7.193,109.8839,E,,0.3733,0.1738,0.1235,0.0228,-0.0149,-0.0141,0.0175,-0.0275,-0.0154,-0.0124,-0.0213,-0.028,-0.0173,-0.0102,-0.0007,0.0034,0.0049,0.0049,0.0093,0.0077,0.0049,0.0048,-0.0035,-0.0055,-0.0067,0.004,0.0118,0.0138,0.0043
2000-01-20,-7.193,109.8839,N,,0.2132,0.1494,0.125,0.0101,0.0043,-0.0097,-0.0165,-0.018,-0.0041,0.007,0.009,0.011,0.0039,-0.0026,-0.0081,-0.0005,0.0017,-0.0017,0.0039,0.0018,0.0172,-0.009,-0.0097,-0.0073,-0.0041,0.005,0.0082,0.0029,-0.0194
2000-01-20,-7.193,109.8839,NE,0.3543,0.3036,0.1544,0.0959,0.0877,0.0675,0.0671,-0.0127,-0.0084,-0.004,-0.0078,-0.0068,0.0041,0.0006,-0.0013,-0.005,-0.0022,-0.0041,-0.0051,-0.0093,-0.0048,-0.0026,-0.0103,-0.0025,-0.0033,0.0109,0.0084,0.0038,0.0009,0.0008
2000-01-20,-7.193,109.8839,NO,,0.229,0.1421,0.1171,0.0427,-0.0187,-0.0056,0.0089,0.007,0.0121,0.019,0.0185,0.0116,0.0122,-0.0024,-0.0037,-0.0076,-0.0107,-0.008,-0.0076,-0.0077,-0.0077,-0.0111,-0.0059,-0.001,0.0027,0.0027,-0.0017,0.0014,0.005
2000-01-20,-7.193,109.8839,O,0.3269,0.2306,0.1242,-0.0382,-0.0548,-0.0499,-0.016,0.0227,0.0278,0.0307,0.026,0.0062,-0.0132,-0.0076,-0.0042,0.0077,-0.0033,-0.0073,-0.0069,-0.0004,-0.0005,1e-04,-0.0127,0.0069,0.0247,0.0073,-0.001,0.0031,-0.0093,-0.0175
2000-01-20,-7.193,109.8839,S,,0.4586,0.3728,0.2815,0.213,0.1871,0.1731,0.1741,0.0355,0.029,0.0251,0.0103,-0.0015,-0.0066,-0.0111,-0.0138,-0.0152,-0.008,0.0006,-0.0044,-0.0017,-0.0049,0.0018,-0.0059,-0.0134,-0.0167,-0.0106,-0.0092,-0.0108,-0.0102
2000-01-20,-7.193,109.8839,SE,,0.4106,0.3112,0.2376,0.1449,0.1358,0.0295,0.0212,0.0222,-0.0017,-0.0153,-0.0153,-0.0215,-0.0207,-0.0175,-0.0095,-0.0119,-0.0109,0.0014,0.0063,0.0082,-0.0009,1e-04,-0.0019,0.0016,-0.0014,-0.0081,0.0029,0.0079,0.0121
2000-01-20,-7.193,109.8839,SO,,0.3258,0.2199,0.1985,0.078,-0.0008,-0.0037,-0.0033,-0.0019,0.0069,0.0069,-0.007,-0.017,-0.0223,-0.0098,0.0078,0.0144,0.0112,0.0169,0.0025,0.0056,-0.0025,-0.0037,-0.0022,-0.0055,-0.008,-0.002,-0.0046,-0.0047,0.0063
2000-05-11,-7.193,109.8836,E,,0.3337,0.1971,0.123,-0.0183,-0.0221,-0.019,-0.0115,-0.0384,-0.0279,-0.0276,-0.0311,-0.0247,-0.0164,-0.0163,0.004,0.0231,0.0184,0.0172,0.0219,0.0194,0.0148,0.0191,-0.0116,-0.0111,-0.0028,0.0091,0.0123,0.0043,0.0002
2000-05-11,-7.193,109.8836,N,,0.267,0.1843,0.1146,0.0925,-0.0119,-0.0138,-0.0144,-0.0141,-0.014,0.0029,0.0078,0.0129,0.0142,0.0028,-0.004,-0.0091,-0.0122,-0.0096,-0.0287,-0.001,0.001,0.0181,0.0279,0.0084,0.0055,0.01,0.01,0.0039,0.0028
2000-05-11,-7.193,109.8836,NE,0.377,0.3396,0.1736,0.0887,0.0688,0.059,0.0495,0.0014,-0.0332,-0.0273,-0.0176,-0.0101,-0.0018,0.0046,-0.0016,0.0063,0.0086,0.0057,-0.0019,-0.0012,-0.0017,-0.0057,0.0026,0.0062,-0.0142,-0.0023,-0.0051,-0.0025,-0.0013,0.0116
2000-05-11,-7.193,109.8836,NO,,0.257,0.1396,0.0915,0.0191,-0.0338,-0.0296,-0.0238,-0.0137,-0.0096,-0.0089,-0.0143,-0.0169,-0.0191,-0.0117,0.0047,0.0136,0.0072,0.0047,0.006,-0.002,-0.0049,-0.0092,-0.0062,0.0041,0.0072,0.0028,0.007,0.0047,0.0059
