date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-11-13,1.6982,127.8819,E,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,-0.0272,0.0189,-0.0078,-0.0042,-0.0015
2000-11-13,1.6982,127.8819,NO,,,,,,,,,,,0.013,-0.0132,-0.0297,0.0174,0.0867,0.0793,0.0784,0.0585,0.0348,0.0056,0.0074,-0.0101,-0.0158,-0.0214,-0.0429,-0.0288,-0.0342,-0.0352,-0.038,-0.0321
2000-11-13,1.6982,127.8819,O,,,0.0181,0.0033,0.0208,0.048,0.0225,0.0236,0.0847,0.0896,0.0894,0.0785,0.0542,0.0448,0.0232,0.013,0.0225,0.0126,0.0076,1e-04,-0.0109,-0.0207,-0.0367,-0.0397,-0.0506,-0.0505,-0.0508,-0.0326,-0.0238,-0.0194
2000-11-13,1.6982,127.8819,S,,0.1536,0.1281,0.1069,0.0377,0.0013,-0.0249,-0.0356,-0.0335,-0.0288,-0.0489,-0.0173,-0.003,-0.0086,-0.0043,-0.0098,-0.0284,-0.0199,-0.0138,-0.018,0.0073,0.0008,0.0125,0.0169,0.0125,0.0048,0.0034,0.0147,0.0244,0.043
2000-11-13,1.6982,127.8819,SE,,0.1826,0.1522,0.08,0.0145,-0.025,-0.0007,-0.018,-0.0163,-0.0234,-0.0091,-0.0092,0.0077,0.0193,0.0084,-0.0073,-0.0183,,,,,,,,,,-0.0091,-0.0175,0.0127,0.0168
2000-11-13,1.6982,127.8819,SO,,0.0273,0.0073,-0.0031,-0.009,-0.0389,-0.052,-0.0344,-0.037,-0.0298,-0.0058,-0.0182,-0.0059,0.0046,-0.0007,0.0128,0.0021,0.0179,0.0335,0.0335,0.0265,0.0212,0.0208,0.0153,0.0126,0.0044,-0.0093,-0.0253,-0.0186,-0.0326
2001-03-05,1.6952,127.8784,E,,0.0836,0.074,0.0696,0.0685,0.059,0.0366,0.0119,0.0089,0.0055,-0.005,,,,,,,,,,,-0.0151,,,-0.0034,0.0025,-0.0017,-0.0218,-0.0263,
2001-03-05,1.6952,127.8784,N,0.0204,0.0048,-0.0028,0.0047,-0.0217,-0.0475,-0.0421,-0.0281,-0.0174,0.0049,0.0031,0.0043,0.0101,0.0165,0.0114,0.0022,-0.0067,-0.0129,-0.0142,-0.0291,0.047,0.0112,0.0108,0.0257,0.036,0.0451,0.0504,0.0346,0.0059,-0.0028
2001-03-05,1.6952,127.8784,NE,,0.0511,0.0482,0.0419,0.0295,0.0167,0.0037,-0.0078,-0.0143,-0.0054,0.0005,0.0101,0.0322,0.0146,-0.0074,-0.0085,-0.0271,,,-0.0412,-0.0072,-0.0006,,,,,,,,
2001-03-05,1.6952,127.8784,NO,,-0.0234,-0.0648,-0.018,0.032,-0.0009,-1e-04,0.0065,0.0088,-0.0103,-0.0254,,,,,,,,,,,,,,,,,,,
2001-03-05,1.6952,127.8784,O,,-0.0022,-0.0185,0.0014,0.006,0.0035,0.0062,-0.0081,0.0259,0.0207,-0.0017,-0.0091,-0.0086,-0.0176,-0.0226,-0.0244,0.0088,0.0143,0.0096,-0.0015,0.0217,0.0152,0.004,-0.0,-0.0283,-0.0413,-0.0396,,,
2001-03-05,1.6952,127.8784,S,,0.0027,0.0104,-0.0079,-0.0072,0.0017,-0.0051,0.0026,0.0101,0.0141,0.0216,0.0326,0.0372,0.0211,-0.0036,-0.0417,-0.045,-0.0302,-0.0174,-0.0252,-0.0197,-0.0159,-0.0062,0.0012,0.0017,0.006,0.0057,0.0048,0.008,0.0126
