date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-11,48.9544,153.9271,E,0.0529,0.0405,0.0184,0.0109,0.006,0.0009,-0.0148,-0.0276,-0.0349,-0.0307,-0.0188,-0.0103,-0.0013,0.0035,0.0039,0.006,0.0034,0.0124,0.0241,0.0216,0.0214,0.0209,0.0129,0.0054,0.0017,0.0099,0.0109,0.0122,0.0081,0.0196
2000-09-11,48.9544,153.9271,N,0.0696,0.0698,0.0563,0.0545,0.0443,0.0399,0.0356,0.0327,0.0216,0.0193,0.0042,-0.001,-0.0205,-0.0194,-0.0193,-0.0183,-0.0169,-0.0157,-0.007,-1e-04,0.0049,0.0156,0.0102,0.0101,-0.0066,-0.0048,-0.0058,0.0031,0.0024,0.0069
2000-09-11,48.9544,153.9271,NE,,0.0626,0.0521,0.0275,0.0203,0.0045,-1e-04,-0.0143,-0.0198,-0.0218,-0.0206,-0.021,-0.0196,-0.0144,-0.0075,-0.0135,-0.0126,-0.0132,-0.0135,-0.0102,-0.0029,-0.0006,0.0039,0.021,0.0155,0.0132,0.0109,0.0119,0.0103,0.0071
2000-09-11,48.9544,153.9271,NO,,0.1135,0.1014,0.097,0.091,0.0699,0.0228,0.009,0.007,0.0035,0.0006,-0.0024,-0.006,-0.0085,-0.0122,-0.0113,-0.0131,-0.008,-0.0008,0.0076,0.0235,0.018,0.0195,0.0071,-0.0064,-0.0126,-0.0203,-0.0209,-0.025,-0.0278
2000-09-11,48.9544,153.9271,O,0.0836,0.0788,0.0701,0.055,0.048,0.0339,-0.0022,-0.0238,-0.0261,-0.028,-0.0324,-0.0359,-0.0382,-0.0398,-0.0446,-0.0449,-0.0409,-0.0372,-0.0264,-0.0202,-0.0185,-0.0172,-0.0102,0.0023,0.0139,0.0205,0.0317,0.0376,0.0416,0.0477
2000-09-11,48.9544,153.9271,S,0.0706,0.0643,0.0292,0.0344,0.0264,0.0206,0.01,0.0074,0.0034,0.0087,0.0009,-0.0061,-0.0093,-0.0066,-0.0075,-0.0079,-0.0098,-0.0055,-0.0011,0.0009,0.001,-0.0007,-0.0033,-0.0007,-0.0004,-0.0005,-0.0018,0.0009,0.0035,0.0034
2000-09-11,48.9544,153.9271,SE,,0.0594,0.0489,0.026,0.022,0.0236,0.0171,0.0133,0.0135,0.0091,0.0099,-0.0257,-0.0059,-0.0292,-0.0256,-0.0152,-0.0156,-0.0161,-0.0139,-0.0166,-0.023,-0.0217,-0.0108,0.0038,0.0117,0.0198,0.0274,0.0358,0.0396,0.0438
2000-09-11,48.9544,153.9271,SO,,0.0241,0.0172,0.0201,-0.0024,-0.0176,-0.015,-0.0063,-0.0042,-0.0022,-0.0003,-0.0048,-0.001,0.0055,0.0093,0.0117,0.0093,0.005,0.0019,0.0011,-0.0004,0.0003,0.0026,0.0032,-0.003,-0.0032,-0.003,0.0002,0.0015,-0.0024
2001-04-07,48.9625,153.9301,E,-0.0012,-0.0013,-0.0034,-0.005,-0.0017,0.0026,0.0038,0.0044,0.0053,0.0033,0.0033,0.0026,0.0014,0.0007,-0.0007,-0.0017,-0.002,1e-04,0.0009,-0.0002,-0.0005,0.0008,0.0011,0.0013,0.0014,-1e-04,-0.0009,-0.001,-0.0034,-0.0026
2001-04-07,48.9625,153.9301,N,-0.0061,-0.006,-0.0057,-0.0051,-0.0063,-0.0062,-0.0055,-0.0042,-0.0031,-0.0021,0.0012,-0.0007,-0.0008,-0.0003,-0.0027,0.0014,0.0018,0.0002,-0.0,-0.0004,-0.001,-0.0022,-0.0052,-0.0052,-0.0015,-0.0021,-0.0011,-0.0011,-0.0009,-0.0004
2001-04-07,48.9625,153.9301,NE,,-0.0053,-0.0051,-0.0046,-0.0056,-0.0066,-0.0015,-0.0003,0.0043,0.0046,0.0015,0.0009,0.0007,-0.0009,-0.0008,-0.0007,-0.0011,0.0002,0.0015,0.0019,0.0016,0.0006,1e-04,-0.0003,0.0005,0.0014,-0.0021,-0.0032,-0.0033,-0.0023
2001-04-07,48.9625,153.9301,NO,,0.011,0.0094,0.0077,0.0062,0.0025,0.0005,0.0011,0.0014,0.0017,-0.0016,0.0007,0.003,0.0034,-0.0005,-0.0026,-0.0043,-0.0044,-0.0042,-0.004,-0.0018,-0.0032,-0.0012,-0.0022,-0.0016,-0.0005,0.0002,0.0006,0.0012,0.0013
2001-04-07,48.9625,153.9301,O,,0.0185,0.0144,0.0124,0.0145,0.0102,0.006,0.0061,0.0062,0.0022,0.002,0.0021,-0.0019,-0.0019,-0.0019,-0.0019,-0.0018,-0.0018,-0.0017,-0.0016,-0.0015,-0.0014,-0.0013,-0.0013,-0.0011,0.0018,-0.0009,-0.0009,-0.0008,-0.0007
2001-04-07,48.9625,153.9301,S,-0.0074,-0.0081,-0.007,-0.0061,-0.0064,-0.0072,-0.0105,-0.0111,-0.0165,-0.0175,-0.0156,-0.0138,-0.0101,-0.01,-0.0075,-0.0077,0.0003,0.0004,0.0006,-0.0008,0.0024,-0.0006,-0.0002,0.0014,0.0045,0.0061,0.0096,0.0109,0.0114,0.0113
2001-04-07,48.9625,153.9301,SE,,0.0006,-0.0012,-0.0002,0.0017,-0.0021,-0.007,-0.0141,-0.0138,-0.006,-0.0022,-0.0063,-0.0014,0.0018,-0.0023,-0.0023,0.0018,0.0015,0.0015,0.0015,0.0018,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0018,0.0016,0.0015
2001-04-07,48.9625,153.9301,SO,0.0138,0.0095,0.0058,0.0059,0.0058,0.0035,0.0017,0.0015,0.0016,0.0021,0.0019,-0.0008,0.0,0.0018,0.0026,-0.0022,0.0002,-0.0024,-0.0035,-0.0027,-0.0028,-0.0017,0.0,0.0015,0.0011,0.002,0.002,0.0029,0.0042,0.0048
