date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-01-07,17.3609,-93.2295,E,,-0.0832,-0.0795,-0.0679,-0.0491,-0.0159,0.0209,0.0711,0.1196,0.1247,0.13,0.1174,0.1082,0.0963,0.0628,0.0268,-0.0142,-0.0304,-0.0339,-0.04,-0.0362,-0.0225,-0.0007,0.0065,0.0114,-0.0063,-0.0151,-0.0403,-0.04,-0.0495
2001-01-07,17.3609,-93.2295,N,,-0.0757,-0.0739,-0.0715,-0.0498,-0.0145,0.0549,0.1059,0.1243,0.0746,-0.0084,-0.0509,-0.0702,-0.0539,-0.0108,0.0201,0.0249,0.0307,0.0322,0.0219,0.0192,0.0166,0.0119,0.0037,-0.0016,-0.0103,-0.0203,-0.0198,-0.0028,0.01
2001-01-07,17.3609,-93.2295,NE,-0.13,-0.1268,-0.1205,-0.1068,-0.0132,0.0781,0.134,0.1601,0.0797,0.0537,-0.0223,-0.0347,-0.0157,-0.016,0.0057,0.0125,0.0065,-0.0026,-0.0047,-0.0045,-0.0111,-0.0194,-0.0244,-0.0193,-0.0133,-0.008,0.0056,0.0024,0.0274,0.0325
2001-01-07,17.3609,-93.2295,NO,0.0414,,0.0408,0.0437,0.0463,0.0577,0.0675,0.0765,0.0864,0.0345,-0.0134,-0.0424,-0.046,-0.0525,-0.0581,-0.0655,-0.0576,0.0016,0.0363,0.0444,0.0353,0.0274,0.0268,0.0159,0.0112,0.0057,0.0026,-0.0008,-0.0051,-0.002
2001-01-07,17.3609,-93.2295,O,,0.0286,0.0313,0.0312,0.0235,0.0263,0.0315,0.0421,0.0261,0.0299,0.0163,0.0024,-0.0235,-0.0401,-0.05,-0.0547,-0.055,-0.055,-0.0403,0.0087,0.0538,0.0571,0.0439,0.0254,0.0128,-0.0094,-0.028,-0.0304,-0.0272,-0.0142
2001-01-07,17.3609,-93.2295,S,,-0.025,-0.0173,-0.0135,-0.0201,-0.0138,0.034,0.0787,0.0911,0.0951,0.0875,0.0804,0.0795,0.08,0.0812,0.0627,0.0096,0.0058,-0.003,-0.0096,-0.0046,-0.0182,-0.0112,-0.0232,-0.0356,-0.0428,-0.0518,-0.0536,-0.0637,-0.0694
2001-01-07,17.3609,-93.2295,SE,-0.0893,,-0.0738,-0.0675,-0.0616,-0.041,-0.0206,0.019,0.0442,0.0582,0.0642,0.0765,0.0906,0.0798,0.0985,0.067,0.0432,0.0328,0.0129,0.0049,-0.0118,-0.0181,-0.0059,0.0088,0.0003,-0.0378,-0.0507,-0.0771,-0.0796,-0.0852
2001-01-07,17.3609,-93.2295,SO,0.0042,,0.004,0.0042,0.0042,0.0042,0.0304,0.0515,0.0645,0.0594,0.0462,0.0567,0.054,0.0438,0.052,0.0289,0.0189,-0.0107,-0.0062,-0.019,-0.0013,0.0006,-0.0016,-0.0116,-0.0126,-0.018,-0.0105,-0.0088,-0.0102,-0.0142
2001-03-28,17.3609,-93.2295,E,,-0.119,-0.1164,-0.1114,-0.1025,-0.0794,-0.0469,0.0362,0.1246,0.0985,0.0774,0.0673,0.057,0.0486,0.038,0.0333,-0.0018,-0.0163,-0.0193,-0.0241,-0.0271,-0.0209,-0.005,0.0022,-0.0019,-0.01,-0.0101,-0.0243,-0.03,-0.0386
2001-03-28,17.3609,-93.2295,N,,-0.1645,-0.162,-0.1627,-0.1458,-0.1003,0.0133,0.1092,0.1459,0.075,-0.0061,-0.0605,-0.0993,-0.0788,-0.0379,-0.0062,0.0259,0.0278,0.0284,0.0198,0.0178,0.0179,0.0139,0.0062,-0.0009,-0.013,-0.0195,-0.0175,0.0036,0.0328
2001-03-28,17.3609,-93.2295,NE,-0.1826,-0.1847,-0.1798,-0.1665,-0.0722,0.0429,0.1232,0.1713,0.1241,0.0856,-0.0162,-0.0547,-0.0543,-0.0461,-0.0167,0.0067,0.0228,0.0241,0.0201,0.0166,0.0108,0.0018,-0.0119,-0.0171,-0.0187,-0.0255,-0.021,-0.0165,0.0221,0.0272
2001-03-28,17.3609,-93.2295,NO,-0.0709,,-0.0702,-0.0635,-0.0632,-0.0568,-0.0347,0.0049,0.0511,0.0635,0.0352,-0.0283,-0.0649,-0.0717,-0.0688,-0.0584,-0.047,0.0002,0.0302,0.0332,0.0239,0.0185,0.0195,0.0129,0.0119,0.0106,0.0063,0.0024,0.0055,0.0026
2001-03-28,17.3609,-93.2295,O,,-0.0312,-0.0313,-0.0311,-0.0312,-0.0222,-0.0089,0.0284,0.0384,0.0554,0.0429,0.059,0.0322,0.0052,-0.0212,-0.0343,-0.0421,-0.0396,-0.0013,0.0194,0.0383,0.0293,0.0181,-0.001,-0.0166,-0.0312,-0.0358,-0.0236,-0.0115,0.0008
2001-03-28,17.3609,-93.2295,S,,-0.0721,-0.0722,-0.0769,-0.0713,-0.0548,0.007,0.0764,0.1144,0.1101,0.1011,0.0829,0.0758,0.0881,0.0885,0.076,0.0225,0.0059,-0.0042,-0.0155,-0.0178,-0.0228,-0.0213,-0.0292,-0.0448,-0.0487,-0.056,-0.0619,-0.066,-0.0701
2001-03-28,17.3609,-93.2295,SE,-0.109,,-0.0987,-0.0961,-0.0927,-0.0722,-0.06,0.0061,0.0381,0.0571,0.0535,0.0572,0.0568,0.0466,0.0556,0.0462,0.037,0.0296,0.0236,-0.0023,-0.0123,-0.0163,-0.0113,-0.001,-0.0011,-0.0256,-0.0376,-0.0605,-0.0578,-0.0675
2001-03-28,17.3609,-93.2295,SO,-0.048,,-0.0487,-0.0547,-0.0486,-0.0417,-0.0102,0.0484,0.0795,0.0742,0.0699,0.059,0.0556,0.0556,0.067,0.0428,0.0242,0.0058,0.0023,-0.0106,-0.0217,-0.0287,-0.0289,-0.0295,-0.0285,-0.0262,-0.0265,-0.0215,-0.0144,-0.0255
2002-01-10,17.3609,-93.2295,E,,-0.0931,-0.0716,0.0039,-0.0273,-0.0294,0.0052,0.0544,0.1131,0.1232,0.1319,0.1278,0.1122,0.0972,0.0642,0.0179,-0.0235,-0.0384,-0.0322,-0.0377,-0.0349,-0.0182,0.0081,0.0174,0.0159,0.0012,-0.006,-0.0377,-0.0425,-0.0508
2002-01-10,17.3609,-93.2295,N,,-0.0984,-0.0826,-0.0631,0.0002,0.0306,0.1146,0.0909,0.1297,0.0849,0.0039,-0.0444,-0.0674,-0.0547,-0.0013,0.0222,0.0252,0.0298,0.0344,0.028,0.0233,0.018,0.011,-0.0012,-0.0127,-0.0173,-0.0232,-0.0231,-0.002,0.0216
2002-01-10,17.3609,-93.2295,NE,-0.1308,-0.1051,-0.0634,0.003,0.1155,0.1542,0.1458,0.144,0.0751,0.0418,-0.0158,-0.0236,-0.0048,-0.0118,0.0136,0.0077,0.0036,-0.0034,-0.01,-0.0118,-0.0131,-0.0183,-0.0224,-0.0196,-0.0139,-0.0059,0.0023,0.0086,0.0299,0.0285
2002-01-10,17.3609,-93.2295,NO,0.0359,,0.0356,0.04,0.0332,0.0306,0.0562,0.0563,0.0494,0.0321,0.0012,-0.0292,-0.0379,-0.0472,-0.0544,-0.0641,-0.0644,-0.0122,0.0295,0.0381,0.0312,0.0272,0.0257,0.0219,0.0182,0.0057,0.0038,-0.0018,0.0012,0.0002
2002-01-10,17.3609,-93.2295,O,,0.007,0.0094,0.021,0.0678,0.0771,0.0625,0.0463,0.0323,0.0323,0.0153,-0.0003,-0.023,-0.04,-0.0526,-0.0526,-0.0525,-0.0525,-0.0272,0.0146,0.0468,0.0576,0.0431,0.0273,0.0097,-0.0065,-0.0241,-0.0288,-0.0287,-0.0186
2002-01-10,17.3609,-93.2295,S,,-0.042,-0.0328,-0.0204,0.0316,0.0777,0.1051,0.1101,0.1154,0.093,0.0864,0.084,0.078,0.0815,0.0786,0.0665,0.0221,0.0031,-0.0057,-0.0034,-0.0054,-0.016,-0.0145,-0.0236,-0.0376,-0.0446,-0.0542,-0.0592,-0.0635,-0.0702
2002-01-10,17.3609,-93.2295,SE,-0.1071,,-0.0935,-0.0774,-0.0565,-0.0675,-0.0155,0.0197,0.0405,0.0514,0.0613,0.0775,0.0921,0.0895,0.0979,0.0675,0.042,0.029,0.0137,-0.0042,-0.0223,-0.0214,-0.005,0.0108,0.0029,-0.0328,-0.0484,-0.0748,-0.0772,-0.0843
2002-01-10,17.3609,-93.2295,SO,-0.0199,,-0.0156,0.0285,0.0412,0.0564,0.069,0.0708,0.0683,0.0631,0.0493,0.0517,0.0494,0.045,0.0572,0.0345,0.0297,-0.0128,-0.0134,-0.0113,-0.0076,-0.001,-0.0084,-0.0112,-0.0118,-0.014,-0.014,-0.0121,-0.0152,-0.0266
2002-11-10,17.3609,-93.2295,E,,-0.22,-0.2153,-0.1664,-0.152,-0.1375,-0.129,-0.1065,-0.0291,0.0054,0.0239,0.0416,0.0466,0.0562,0.0438,0.0287,-0.0196,-0.0324,-0.0377,-0.0394,-0.0422,-0.0205,-0.0017,0.0212,0.0255,0.0196,0.0223,0.0255,0.0284,0.0166
2002-11-10,17.3609,-93.2295,N,,-0.1592,-0.1497,-0.1209,-0.084,-0.0206,0.0745,0.0679,0.0996,0.0731,0.0099,-0.0299,-0.0471,-0.036,0.0009,0.0175,0.0295,0.0244,0.0194,0.0144,0.0102,0.0093,0.0064,-0.0,-0.0057,-0.0094,-0.0156,-0.0167,-0.0069,0.0067
2002-11-10,17.3609,-93.2295,NE,-0.1533,-0.1478,-0.1272,-0.0835,0.073,0.1266,0.1111,0.1203,0.0743,0.0566,-0.0078,-0.0183,0.003,-0.0057,0.0062,0.01,0.0029,-0.001,-0.0086,-0.0098,-0.0121,-0.0121,-0.017,-0.0168,-0.0109,-0.014,0.0058,-0.0013,0.0374,0.0258
2002-11-10,17.3609,-93.2295,NO,-0.0294,,-0.0221,-0.0038,-0.0002,-0.0,0.0222,0.0346,0.033,0.0286,0.0146,-0.0219,-0.041,-0.0433,-0.0459,-0.0487,-0.0493,-0.0199,0.0136,0.0269,0.0239,0.0182,0.0177,0.0088,0.0082,0.0078,0.0079,0.003,0.0029,0.0103
2002-11-10,17.3609,-93.2295,O,,-0.0162,-0.0154,-0.0072,0.0381,0.0492,0.0438,0.0402,0.0253,0.0203,0.0044,-0.0114,-0.018,-0.0185,-0.0193,-0.0208,-0.0226,-0.0238,-0.0231,-0.0191,0.0332,0.0376,0.0235,0.0121,0.0048,-0.0052,-0.0158,-0.0141,-0.013,0.0011
2002-11-10,17.3609,-93.2295,S,,-0.072,-0.0772,-0.0777,-0.0556,-0.0329,-0.0027,0.0089,0.0085,-0.0017,-0.003,-0.0026,0.0027,0.017,0.0117,0.0151,-0.0012,-0.0167,-0.0281,-0.0408,-0.0283,-0.0323,-0.0273,-0.0273,-0.0266,-0.0307,-0.0228,-0.0322,-0.043,-0.0465
2002-11-10,17.3609,-93.2295,SE,-0.0786,,-0.0691,-0.0709,-0.0639,-0.0607,-0.0271,-0.0083,-0.0004,0.0139,0.0224,0.0267,0.0324,0.0345,0.0377,0.0265,0.016,0.0034,0.0023,-0.0028,-0.0057,-0.0077,0.0054,0.0138,0.0129,-0.0058,-0.022,-0.0393,-0.0344,-0.0407
2002-11-10,17.3609,-93.2295,SO,-0.024,,-0.026,-0.0245,0.0078,0.0158,0.027,0.0248,0.0197,0.022,0.013,0.0111,0.015,0.0079,0.0162,0.0072,-0.0043,-0.0153,-0.0097,-0.0043,-0.0006,-0.0018,-0.0056,-0.004,-0.0203,-0.0217,-0.0155,-0.0132,-0.0133,-0.002
2003-02-14,17.3609,-93.2295,E,,-0.0931,-0.0585,0.0135,0.0028,0.0259,0.0451,0.0661,0.1147,0.1151,0.1183,0.1123,0.1007,0.0958,0.0616,0.0389,-0.0132,-0.024,-0.0227,-0.0371,-0.0388,-0.0287,-0.0073,1e-04,0.0034,-0.0092,-0.0138,-0.0333,-0.0332,-0.0421
2003-02-14,17.3609,-93.2295,N,,-0.0989,-0.0831,-0.0616,0.0025,0.0365,0.105,0.0975,0.117,0.0739,0.006,-0.0475,-0.0661,-0.0538,-0.0015,0.0214,0.0254,0.0307,0.0327,0.0238,0.0152,0.0142,0.0104,0.0014,-0.0043,-0.015,-0.0237,-0.0262,-0.009,0.0267
2003-02-14,17.3609,-93.2295,NE,-0.1436,-0.118,-0.076,0.0004,0.0871,0.1433,0.1233,0.1396,0.0838,0.0478,-0.0087,-0.0272,-0.0161,-0.0125,0.0072,0.0121,0.0089,-0.0009,-0.0051,-0.0045,-0.0074,-0.0129,-0.0185,-0.0179,-0.0146,-0.0147,-0.0026,0.0009,0.0275,0.0281
2003-02-14,17.3609,-93.2295,NO,-0.0031,,-0.0031,1e-04,-0.0026,0.0325,0.0605,0.0616,0.061,0.0458,0.014,-0.0251,-0.0609,-0.0627,-0.0621,-0.0608,-0.0409,0.0028,0.0302,0.0339,0.03,0.0202,0.0201,0.0135,0.0132,0.0057,0.0014,-0.0031,-0.0053,-0.0008
2003-02-14,17.3609,-93.2295,O,,-0.0004,0.0105,0.0299,0.1002,0.1216,0.1153,0.0847,0.0471,0.0517,0.0274,0.005,-0.0123,-0.0331,-0.0442,-0.0544,-0.0522,-0.0503,-0.0195,0.0185,0.0474,0.0476,0.0366,0.0074,-0.0007,-0.0161,-0.0278,-0.0345,-0.0244,-0.0133
2003-02-14,17.3609,-93.2295,S,,-0.0484,-0.0374,-0.0143,0.0582,0.0752,0.0941,0.1107,0.1223,0.1149,0.1014,0.0966,0.092,0.0969,0.0922,0.075,0.0188,0.0077,-0.0027,-0.0078,-0.0123,-0.0179,-0.0186,-0.0259,-0.0441,-0.0531,-0.0608,-0.0659,-0.0743,-0.0806
