date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-12,1.505,36.3252,E,,,0.1134,0.0967,0.0754,0.0561,0.0381,0.0375,0.0305,0.0213,0.0141,-0.0038,0.0118,0.0098,0.0214,0.0245,0.022,0.0156,-0.0005,-0.0163,-0.0289,-0.0492,-0.0378,-0.0264,-0.0065,0.0063,0.0091,0.0009,-0.0126,-0.0176
2000-02-12,1.505,36.3252,N,0.141,0.1341,0.118,0.1182,0.1114,0.1044,0.0956,0.0815,0.0604,0.0464,0.0395,0.0318,-0.0176,-0.0483,-0.0483,-0.0378,-0.0483,-0.0239,0.0163,0.0093,-0.0183,-0.0294,-0.0295,-0.0227,-0.0225,-0.022,-0.0362,-0.0215,-0.0126,-0.0058
2000-02-12,1.505,36.3252,NE,,0.0936,0.0903,0.0893,0.0954,0.0719,0.0527,0.0532,0.0387,0.0399,0.0395,0.0214,0.0166,0.0135,0.0178,0.0153,0.0141,0.0088,0.009,0.0061,0.005,0.005,-0.0075,-0.012,-0.0273,-0.0176,-0.0283,-0.0212,-0.0078,-0.0054
2000-02-12,1.505,36.3252,NO,,0.1181,0.0908,0.0772,0.0598,0.027,0.0206,0.0137,0.0227,0.0456,0.0211,0.0052,-0.005,0.0063,-0.0065,-0.0013,-0.0232,-0.0064,-0.0358,-0.0354,-0.0386,-0.0322,-0.0154,-0.0072,-0.0087,0.0022,0.0119,0.0023,0.0106,0.011
2000-02-12,1.505,36.3252,O,,,0.1317,0.1142,0.1061,0.0923,0.0711,0.0495,0.0466,0.0456,0.0129,-0.0243,-0.0275,-0.0297,-0.0292,-0.0243,-0.0141,-0.0146,-0.0133,-0.0164,-0.0186,-0.008,1e-04,0.0003,0.0097,0.0188,0.0179,0.0174,0.0204,0.0212
2000-02-12,1.505,36.3252,S,0.1208,0.1247,0.1144,0.1094,0.0917,0.0767,0.055,0.0292,0.0065,-0.0179,-0.0423,-0.039,-0.0121,0.0014,0.0246,0.0394,0.0475,0.031,0.0067,-0.0115,-0.0009,-0.0008,-0.0118,-0.0398,-0.0231,-0.0027,0.0151,0.0221,0.0409,0.0437
2000-02-12,1.505,36.3252,SE,,0.1211,0.1109,0.0674,0.0397,0.0283,0.0241,0.0252,0.0214,0.0213,0.0366,0.0407,0.0503,0.0403,0.0366,0.0323,0.0007,-0.0068,-0.0233,-0.0442,-0.0434,-0.0445,-0.0353,-0.0263,-0.0118,0.0047,0.0082,0.0152,0.0229,0.0205
2000-02-12,1.505,36.3252,SO,,0.0505,0.0545,0.0382,0.049,0.0349,0.0186,0.0435,0.041,0.0282,0.0158,-0.0099,-0.0384,-0.0429,-0.0269,-0.0293,-0.0026,-0.0149,0.0214,0.0004,-0.0296,0.0247,-0.0131,0.0274,0.02,0.0109,0.0211,0.0112,0.0134,0.0186
2000-03-15,1.5055,36.3268,E,,,0.0661,0.0416,0.0253,0.008,0.0128,0.0153,0.0136,0.0094,0.0122,0.0206,0.016,0.007,-0.0018,0.0023,-0.0088,-0.0193,-0.03,-0.0417,-0.0373,-0.0303,-0.0231,-0.013,0.0098,0.016,0.0114,-0.0045,-0.0072,-0.026
2000-03-15,1.5055,36.3268,N,0.2281,0.21,0.2101,0.2091,0.2102,0.1716,0.131,0.0795,-0.0038,-0.015,-0.0234,-0.0194,0.0005,0.0276,0.0157,-0.008,-0.001,0.0032,-0.0066,-0.0084,-0.0028,0.006,0.0207,0.0228,-0.0037,-0.0206,-0.0216,-0.0242,-0.0315,-0.0345
