date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2003-03-17,13.603,40.663,E,,0.8981,0.439,0.3194,0.2649,0.2024,0.1987,0.2147,-0.0013,-0.0067,-0.0053,-0.0129,-0.0234,-0.0132,-0.0211,-0.0213,-0.0009,-0.0254,-0.0017,-0.0109,-0.0104,0.0158,0.0139,0.0174,0.0185,0.0074,0.0151,0.001,0.0082,0.0011
2003-03-17,13.603,40.663,N,,0.9698,0.7741,0.4723,0.1996,0.0866,0.0676,0.0424,0.0162,0.0163,-0.0038,-0.0207,-0.0169,-0.0147,-0.0115,-0.0069,-0.0059,-0.0056,-0.0037,-0.002,-0.0015,-0.0015,-0.0003,0.0013,-0.0012,-0.0011,-0.002,-0.0038,0.0002,0.0073
2003-03-17,13.603,40.663,NE,,0.8932,0.7113,0.3185,0.1177,0.0664,0.0898,0.1598,0.1461,0.041,0.0223,0.0263,0.0027,-0.0058,-1e-04,-0.0249,-0.0322,-0.0277,-0.0397,-0.0365,-0.0357,-0.0281,-0.0151,-0.0048,0.0033,0.007,0.0182,0.0042,0.0176,0.0146
2003-03-17,13.603,40.663,NO,,0.7337,0.3454,0.2895,0.1492,0.0536,0.0663,0.054,0.0143,0.0237,0.0266,0.0181,0.0145,0.0093,0.0159,-0.0169,-0.0205,-0.0162,-0.016,0.0052,-0.0371,-0.0455,-0.0359,-0.036,-0.0491,0.0113,-0.0407,-0.0347,-0.0238,-0.008
2003-03-17,13.603,40.663,O,0.9392,0.3513,0.1079,0.0854,0.078,0.0453,0.0382,0.0184,0.0058,0.0066,-0.005,0.0017,0.0147,0.0267,0.0198,0.0135,0.0106,0.013,0.0197,0.0117,-0.0049,-0.0143,-0.0187,-0.0133,-0.011,-0.0106,-0.0113,-0.0171,-0.0177,-0.0177
2003-03-17,13.603,40.663,S,,0.2352,0.1828,0.122,0.0567,0.024,0.0271,-0.0156,-0.018,-0.0179,-0.0015,0.0045,-0.0026,0.0063,0.0096,0.0072,0.0121,0.0103,0.0041,-0.0058,0.0014,0.0039,0.0111,-0.003,-0.006,-0.0024,-0.0162,-0.0215,-0.009,0.0048
2003-03-17,13.603,40.663,SE,0.5019,0.4379,0.2935,0.2252,0.1257,0.1581,0.2015,0.1894,0.1541,0.0795,0.0057,-0.0063,-0.0162,-0.008,-0.0233,-0.0241,-0.0132,-0.0313,-0.0641,-0.0255,-0.0146,-0.0183,-0.0136,-0.0112,-0.0088,-0.0062,0.0062,0.0054,0.0033,0.0051
2003-03-17,13.603,40.663,SO,,0.3051,0.1265,0.0981,0.0868,0.0483,0.0188,0.0049,0.0081,0.0028,0.0026,0.0013,-0.0044,-0.0055,0.003,0.0072,-0.0005,0.0077,0.0018,0.0014,0.0022,0.0024,-0.0038,-0.0021,-0.003,-0.0002,-0.0049,0.0014,0.0012,0.0003
2013-04-21,13.6033,40.6633,E,,0.9102,0.8755,0.5892,0.3508,0.2754,0.2741,0.0398,0.0183,0.0018,-0.0004,-0.0022,-0.01,-0.0128,-0.0125,-0.0144,-0.0169,-0.0114,-0.0124,-0.0117,-0.0107,-0.016,-0.0189,-0.0127,-0.0055,-0.0068,-0.0081,-0.0134,-0.0048,-0.0114
2013-04-21,13.6033,40.6633,N,,0.9334,0.9341,0.7751,0.5227,0.3225,0.1514,0.0653,0.0459,0.0144,-0.0329,-0.0475,-0.0556,-0.0154,-0.017,-0.023,-0.0201,-0.0097,-0.0092,-0.0075,-0.0157,0.0074,0.0117,0.01,0.014,0.0056,0.0078,0.0088,0.0123,0.0157
2013-04-21,13.6033,40.6633,NE,,0.9284,0.8938,0.5548,0.3152,0.2328,0.2242,0.2118,0.0581,0.0217,1e-04,-0.008,-0.0049,-0.0067,-0.0194,-0.0316,-0.0302,-0.0287,-0.0239,-0.0189,-0.0147,-0.0104,-0.0075,-0.0033,-0.0,-0.0018,0.003,0.0042,0.01,0.0098
2013-04-21,13.6033,40.6633,NO,,0.94,0.8528,0.6453,0.4228,0.2031,0.0844,0.0382,0.0185,0.0202,0.038,0.0184,0.0165,-0.0394,-0.0331,-0.041,-0.0274,-0.0431,-0.0305,-0.0323,-0.0315,-0.0281,-0.0234,-0.0305,-0.0353,-0.0282,-0.023,-0.0275,-0.0154,-0.02
2013-04-21,13.6033,40.6633,O,0.8883,0.9291,0.9741,0.8597,0.547,0.2692,0.1052,0.0704,0.0576,0.0511,0.0432,0.0445,0.0458,0.0468,0.0349,0.0413,0.0388,0.0167,0.0025,0.012,-0.009,-0.0131,-0.0196,-0.0151,-0.0204,-0.0269,-0.0249,-0.032,-0.0406,-0.0351
2013-04-21,13.6033,40.6633,S,,0.9451,0.5022,0.3323,0.1942,0.1421,0.1082,0.0965,-0.001,-0.0174,0.0106,0.0115,0.0097,0.0079,-0.0016,-0.0114,-0.0169,-0.0156,-0.0132,-0.0149,-0.021,-0.0097,-1e-04,-0.0008,0.001,0.0032,0.0054,0.003,-0.003,0.0085
2013-04-21,13.6033,40.6633,SE,0.8411,0.8455,0.5895,0.3252,0.233,0.2095,0.1572,0.1228,0.0974,0.0905,0.067,0.0312,0.0058,0.0278,0.0063,-0.0052,-0.0589,-0.0179,-0.0309,-0.0056,0.0196,0.0026,-0.0089,-0.0107,-0.0222,-0.0217,-0.0157,-0.0222,-0.0257,-0.0243
2013-04-21,13.6033,40.6633,SO,,0.9501,0.9184,0.471,0.3239,0.155,0.0762,0.0425,0.0038,0.003,0.0061,0.0013,0.0009,0.0017,0.0015,0.0012,-0.0034,-0.0095,-0.0092,-0.0098,-0.0092,-0.0078,-0.0088,-0.0085,-0.004,0.0014,0.0031,0.0057,0.0029,0.0052
2013-05-23,13.603,40.6639,E,,0.8251,0.8243,0.5813,0.4474,0.3406,0.3197,0.3266,0.0465,0.0323,0.0203,0.0041,-0.0051,-0.0116,-0.0166,-0.0213,-0.0247,-0.0201,-0.0139,-0.0158,-0.0171,-0.016,-0.014,0.0016,0.0009,-0.0014,-0.0082,-0.0091,-0.0116,-0.0168
2013-05-23,13.603,40.6639,N,,0.8984,0.5526,0.3223,0.1819,0.1228,0.101,0.0758,0.0257,0.0102,-0.0094,0.0015,0.0039,-0.009,-0.0192,-0.0331,-0.036,-0.0432,-0.0423,-0.0099,0.0021,0.0058,0.0002,0.0071,0.0088,0.0191,0.0174,0.0233,0.0238,0.0276
2013-05-23,13.603,40.6639,NE,,0.876,0.7075,0.3724,0.2551,0.204,0.1612,0.0621,0.0485,0.0299,-0.0252,0.0025,0.0002,-0.01,-0.0236,-0.0198,-0.0262,-0.0163,-0.0092,-0.0009,0.0023,0.0093,0.0118,0.0138,0.0158,0.0111,0.0061,0.0162,0.0149,0.0092
2013-05-23,13.603,40.6639,NO,,0.5781,0.2539,0.1242,0.091,0.0643,0.0459,0.0518,0.0511,0.004,0.0032,-0.0089,-0.008,-0.0095,-0.0038,-0.0169,-0.0197,-0.0114,-0.0231,-0.024,-0.0212,-0.0207,-0.033,-0.0348,-0.0343,-0.0344,-0.0353,-0.0429,-0.0421,-0.0256
2013-05-23,13.603,40.6639,O,0.9424,0.8514,0.6791,0.4692,0.3101,0.1559,0.1256,0.0981,0.0862,0.0752,0.0577,0.056,0.0502,0.0461,0.0491,0.0429,0.0326,-0.0029,-0.0056,-0.0088,-0.0204,-0.0231,-0.021,-0.0346,-0.0337,-0.0343,-0.0264,-0.0334,-0.0371,-0.0399
2013-05-23,13.603,40.6639,S,,0.847,0.8108,0.746,0.6034,0.3677,0.1582,0.1066,0.0898,-0.0145,-0.032,-0.0089,-0.0148,-0.0087,-0.0109,-0.0061,-0.0048,-0.0066,-0.0129,-0.0092,-0.0083,-0.0111,-0.0166,-0.0104,-0.0033,0.0014,-0.0043,0.0004,0.0019,-0.0022
2013-05-23,13.603,40.6639,SE,0.849,0.7944,0.7943,0.7787,0.5843,0.4641,0.343,0.3022,0.1934,0.1599,0.0565,0.1345,0.085,-0.0006,0.0029,0.0209,0.0467,-0.0364,-0.0298,-0.0159,0.0502,-0.0423,-0.0016,-0.0195,-0.0406,-0.0403,-0.0478,-0.0394,-0.041,-0.0371
2013-05-23,13.603,40.6639,SO,,0.9051,0.8072,0.6729,0.4844,0.2387,0.1582,0.1172,0.0517,0.0131,-0.0091,0.0104,-0.0014,0.0019,0.0021,0.0023,0.0008,-0.0105,-0.0174,-0.0173,-0.016,-0.0152,-0.0121,-0.0096,-0.0082,-0.0029,0.0056,0.0064,0.0012,0.0008
2013-06-24,13.6036,40.6636,E,,0.7805,0.5235,0.3719,0.3481,0.3344,0.0306,0.0214,0.0133,-0.0055,-0.0095,0.0011,0.0071,0.0074,0.0039,0.004,-0.0024,-0.0034,-0.0024,0.0015,0.0071,0.0003,1e-04,0.0023,0.002,0.0009,-0.008,-0.0174,-0.0115,-0.0123
2013-06-24,13.6036,40.6636,N,,0.9095,0.8198,0.537,0.3393,0.2122,0.0711,0.0599,0.0133,-0.0338,-0.0459,-0.0598,-0.0172,-0.0153,-0.0193,-0.0356,-0.0327,-0.0334,-0.0286,-0.0261,-0.0072,-0.0057,0.0057,0.0126,0.0215,0.0272,0.0313,0.0294,0.0288,0.0423
2013-06-24,13.6036,40.6636,NE,,0.6329,0.4431,0.2728,0.2585,0.2483,0.2474,0.0521,0.0236,0.0036,0.0084,0.0267,-0.0028,-0.0219,-0.0406,-0.0317,-0.0197,-0.0122,-0.0058,-0.0017,0.0021,0.0033,0.0006,0.0004,0.0026,-0.0024,0.0005,0.0,-0.0039,-0.0065
2013-06-24,13.6036,40.6636,NO,,0.8433,0.8361,0.6019,0.3246,0.1663,0.0638,0.0413,0.0406,0.0297,0.0171,-0.013,-0.0066,-0.0213,-0.0202,-0.0189,-0.0261,-0.0265,-0.0433,-0.0406,-0.0387,-0.0291,-0.0321,-0.031,-0.0341,-0.0306,0.0118,-0.0322,-0.0344,-0.0396
2013-06-24,13.6036,40.6636,O,0.9573,0.9663,0.9484,0.9615,0.6805,0.4382,0.2451,0.1247,0.0794,0.0441,0.0383,0.0368,0.0342,0.0348,0.0355,0.0365,0.0335,0.0231,-0.0005,-0.025,-0.0255,-0.0237,-0.0247,-0.0257,-0.0316,-0.0427,-0.0339,-0.0418,-0.0358,-0.0374
2013-06-24,13.6036,40.6636,S,,0.8953,0.7586,0.5262,0.3819,0.197,0.1406,0.1066,0.0939,-0.0452,-0.0539,-0.0164,-0.0202,-0.0139,-0.0109,-0.0097,-0.0061,-0.0112,-0.0073,-0.004,-0.01,-0.0105,-0.0062,-0.0054,-0.0036,0.004,0.0042,0.0053,0.0052,-0.0081
