date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-26,37.7464,15.0073,E,0.5395,0.3623,0.2461,0.1103,0.0178,0.0227,0.0766,0.1299,0.167,0.1662,0.157,0.1459,0.0857,0.0488,0.0601,0.0545,0.0521,0.0283,-0.0253,-0.0527,-0.0776,-0.0789,-0.0773,-0.0733,-0.054,-0.0543,-0.0657,-0.0684,-0.0702,-0.0641
2000-07-26,37.7464,15.0073,N,0.3843,0.3879,0.2208,0.1241,0.0467,0.0497,0.0605,0.0057,0.0147,0.0585,0.0055,0.0074,-0.0233,-0.0095,-0.0078,-0.0081,-0.0192,-0.0344,-0.0689,-0.0704,-0.0723,-0.0681,-0.0634,-0.036,-0.0302,-0.0392,-0.0149,0.0151,0.0206,0.0365
2000-07-26,37.7464,15.0073,NE,0.4063,0.4107,0.2132,0.0754,0.0157,-0.0163,0.0157,0.0689,0.0863,0.0566,0.0326,0.0206,-0.0009,-0.0064,0.0127,0.0113,0.0392,0.0397,0.0146,0.0142,0.0058,0.007,-0.0138,0.0065,0.0084,-0.0098,-0.0328,-0.0284,-0.0433,-0.0394
2000-07-26,37.7464,15.0073,NO,,0.2892,0.2235,0.1337,0.0978,0.0633,0.058,0.0199,0.0337,0.0112,0.0053,0.0039,-0.0033,-0.0084,-0.0117,-0.008,-0.0047,0.0106,0.0015,-0.0134,-0.0234,-0.0285,-0.0219,-0.009,-0.0085,-0.0059,-0.0014,0.0028,0.0085,0.0322
2000-07-26,37.7464,15.0073,O,,0.4206,0.3449,0.2232,0.1313,0.0506,0.0478,0.0531,0.0399,0.0325,0.0197,0.0081,0.0035,0.0275,0.0279,0.0093,0.0071,0.0113,0.0053,-0.0,-0.011,-0.0126,0.003,0.0102,0.0221,0.0279,0.0098,-0.0073,-0.0317,-0.0533
2000-07-26,37.7464,15.0073,S,0.2981,0.1978,0.1158,0.1097,0.081,0.0837,0.065,0.0537,0.0671,0.0334,0.0099,0.0294,0.0914,0.0985,0.1286,0.1057,0.1181,0.1207,0.1161,0.2038,0.1652,0.0815,-0.0303,-0.0095,-0.0374,-0.0836,-0.2121,-0.2178,-0.2226,-0.2251
2000-07-26,37.7464,15.0073,SE,,0.2646,0.1737,0.0033,-0.0629,-0.1448,-0.0682,-0.1049,-0.0343,-0.0345,-0.0209,-0.0182,0.0577,0.0452,0.1127,0.1455,0.196,0.1338,0.0515,0.0412,-0.0225,-0.0516,-0.1006,-0.1023,-0.0858,-0.0603,-0.0421,-0.0324,-0.0198,0.0016
2000-07-26,37.7464,15.0073,SO,0.5283,0.4044,0.2946,0.19,0.1346,0.0926,0.0747,0.081,0.1187,0.0973,0.115,0.0459,0.0525,0.0112,-0.0293,-0.0269,-0.0536,-0.0394,-0.0349,-0.025,-0.001,0.0323,0.0592,0.0645,0.0416,0.0201,-0.0158,-0.0465,-0.0896,-0.1208
2001-06-27,37.7494,15.0022,E,0.4724,0.4398,0.4445,0.4268,0.3758,0.2994,0.2557,0.2307,0.2053,0.1698,0.1267,0.0878,0.0496,0.0255,-0.0174,-0.0164,-0.0156,-0.0209,-0.0254,-0.0148,0.0091,-0.0003,-0.0009,-0.0153,-0.0294,-0.0342,-0.0433,-0.049,-0.0529,-0.072
2001-06-27,37.7494,15.0022,N,,0.0534,0.0143,-0.0065,-0.0108,-0.0066,0.0258,0.0031,0.0145,0.0201,-0.0082,-0.0099,0.0039,0.0192,-0.0016,0.025,-0.033,-0.026,,,,,,,,,,,,
