date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-16,-0.3706,-91.5483,E,-0.0515,-0.0609,-0.0799,-0.068,-0.0423,-0.032,-0.0125,-0.0125,-0.0121,-0.0098,-0.0101,-0.01,-0.0074,-0.0031,-0.0006,-0.0049,0.0017,0.0018,0.0109,0.011,0.0134,0.0135,0.0162,0.0115,-0.0032,-0.0049,-0.0075,-0.0174,-0.0111,-0.0077
2000-05-16,-0.3706,-91.5483,N,,0.0571,0.0664,0.0736,0.0664,0.0664,0.0716,0.0754,0.0735,0.0682,0.0723,0.0613,0.0393,0.0112,-0.0248,-0.0599,-0.0665,-0.0548,-0.0356,-0.0393,0.0075,0.0051,0.024,0.0406,0.038,0.0369,0.0167,0.0051,0.0022,0.0095
2000-05-16,-0.3706,-91.5483,NE,,-0.0187,-0.0238,-0.0144,-0.0095,-0.0002,0.0098,0.0099,0.0092,0.0089,0.009,0.009,0.009,0.0099,0.0146,0.0153,0.0098,0.0057,0.01,0.009,0.0024,0.009,0.0083,0.0082,-0.0078,-0.0094,-0.0094,-0.0195,-0.0272,-0.0272
2000-05-16,-0.3706,-91.5483,NO,,0.1144,0.1306,0.1328,0.1119,0.1072,0.0957,0.0862,0.0741,0.0514,0.0446,0.0122,-0.0073,0.019,-0.0003,-0.017,-0.0117,-0.023,-0.0181,-0.0163,-0.0163,-0.0161,-0.013,-0.0131,-0.0027,-0.0032,0.0115,0.0018,0.0052,0.0038
2000-05-16,-0.3706,-91.5483,O,0.0763,0.0668,0.0692,0.0809,0.062,0.0193,-0.0022,-0.0245,-0.0418,-0.0464,-0.0541,-0.0541,-0.0564,-0.0541,-0.0552,-0.0564,-0.0564,-0.0564,-0.0564,-0.0541,-0.0494,-0.0418,-0.0047,0.0686,0.1003,0.0292,-0.0027,-0.0097,-0.0343,-0.0665
2000-05-16,-0.3706,-91.5483,S,0.0401,-0.0006,-0.0178,-0.0177,-0.0177,-0.0249,-0.0373,-0.0385,-0.035,-0.0373,-0.0377,-0.0352,-0.0291,-0.0113,0.0118,0.0213,0.0283,0.0095,0.0275,0.0176,0.0283,-0.0166,-0.0341,-0.0165,-0.0103,-0.0687,0.0503,-0.0053,-0.0107,-0.0293
2000-05-16,-0.3706,-91.5483,SE,,-0.0054,-0.0548,-0.0679,-0.0533,-0.034,-0.0087,0.0117,-0.0134,-0.0324,-0.0424,-0.0729,-0.0568,-0.0532,-0.026,-0.0015,0.0354,0.0659,0.0949,0.0815,0.0552,0.0423,0.0237,0.0196,0.0058,0.0103,0.016,-0.0047,-0.0502,-0.0835
2000-05-16,-0.3706,-91.5483,SO,,-0.0062,-0.0077,-0.0043,-0.0186,-0.0421,-0.0539,-0.0545,-0.0797,-0.0938,-0.0951,-0.0923,-0.0884,-0.0825,-0.0857,-0.0863,-0.0861,-0.0827,-0.0578,-0.0339,0.0093,0.0792,0.1108,0.1307,0.1201,0.0987,0.0539,-0.0043,-0.0426,-0.074
2001-03-16,-0.3706,-91.5483,E,-0.0952,-0.0952,-0.0857,-0.042,-0.0024,0.0062,0.0301,0.0302,0.0307,0.0212,0.0121,-0.0152,-0.0583,-0.0794,-0.0334,-0.0087,-0.0269,-0.0635,-0.0363,0.0044,0.0212,0.0366,0.0456,0.037,0.0091,-0.0038,-0.0191,-0.0294,-0.0181,-0.033
2001-03-16,-0.3706,-91.5483,N,,-0.0018,0.0352,0.0692,0.026,0.0292,0.048,0.0644,0.0781,0.0623,0.0677,0.0323,0.0018,-0.0171,-0.0616,-0.1044,-0.086,-0.061,-0.0254,-0.0484,-0.0038,-0.03,-0.0054,0.0353,0.0442,0.0636,0.0297,0.043,0.0103,0.034
2001-03-16,-0.3706,-91.5483,NE,,-0.1075,-0.1198,-0.078,-0.034,-0.0234,-0.0012,0.0167,0.0314,0.0286,0.0316,0.0257,0.0168,0.0257,0.0242,0.0124,0.0229,0.0287,0.0348,0.0404,0.0226,0.0241,-0.0012,0.0139,0.0053,0.0154,0.0214,0.0142,0.0169,-0.0184
2001-03-16,-0.3706,-91.5483,NO,,0.1095,0.1225,0.1122,0.0756,0.0708,0.0626,0.053,0.0373,0.0114,-0.0081,-0.0244,-0.0244,-0.0244,-0.0244,-0.0146,-0.0195,-0.0114,-0.0244,-0.0113,-0.0015,-0.0015,-0.0015,-0.0145,-0.0015,0.0141,0.021,0.0133,0.018,0.0288
2001-03-16,-0.3706,-91.5483,O,-0.005,0.0044,0.0177,0.0217,0.0083,-0.028,-0.0376,-0.0588,-0.0802,-0.0842,-0.0842,-0.0842,-0.0881,-0.0842,-0.0861,-0.0881,-0.0881,-0.0842,-0.0782,-0.0645,-0.0545,-0.0317,0.0582,0.0696,0.0574,0.0005,-0.0163,-0.0124,-0.0412,-0.0662
2001-03-16,-0.3706,-91.5483,S,-0.1932,-0.2272,-0.2323,-0.2323,-0.2323,-0.2248,-0.2225,-0.2202,-0.2178,-0.2178,-0.208,-0.1937,-0.1623,-0.1244,-0.0758,0.0136,0.0799,0.0917,0.0881,0.0881,0.0904,0.0871,0.1029,0.0974,0.0716,0.0636,0.0545,0.0585,0.0357,0.0084
2001-03-16,-0.3706,-91.5483,SE,,-0.1406,-0.1739,-0.1553,-0.1503,-0.1118,-0.0458,-0.0049,-0.0298,-0.0667,-0.0984,-0.1181,-0.1113,-0.0849,-0.06,0.0975,0.1301,0.1242,0.1239,0.1595,0.1595,0.1296,0.0746,0.0643,0.0367,0.0238,-1e-04,0.0132,-0.0207,-0.0576
2001-03-16,-0.3706,-91.5483,SO,,-0.0732,-0.095,-0.0879,-0.0903,-0.101,-0.1059,-0.1217,-0.1315,-0.1339,-0.1339,-0.1291,-0.129,-0.119,-0.1193,-0.1242,-0.1205,-0.1045,-0.0802,-0.0328,0.0089,0.1135,0.176,0.1828,0.1533,0.0766,0.0451,-0.036,-0.0718,-0.1045
2001-10-26,-0.3706,-91.5483,E,-0.1627,-0.1627,-0.1551,-0.112,-0.0517,-0.0494,-0.0661,-0.0541,-0.0393,-0.0441,-0.0285,-0.0184,-0.0256,-0.027,-0.0285,-0.0301,-0.0314,-0.0342,-0.0128,0.0041,0.0141,0.0407,0.0351,0.0268,0.0083,-0.0271,-0.0397,-0.0317,-0.0249,-0.0483
