date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-23,14.4747,-90.8805,E,,0.5945,0.4194,0.2869,0.1838,0.0258,0.0057,0.0087,0.01,-0.0131,-0.0169,-0.0128,-0.0055,-0.0086,-0.0149,-0.0079,0.0066,0.0184,0.0101,0.0139,-0.0011,-0.0075,0.0045,-0.0011,-0.0063,-0.0033,-0.0069,-0.0055,-0.0009,-0.003
2000-01-23,14.4747,-90.8805,N,0.4202,0.2793,0.1746,0.1356,0.0926,0.069,0.0688,0.0669,0.0352,0.0279,0.0176,0.0104,-0.0042,-0.0257,-0.0315,-0.0274,-0.0509,-0.0427,-0.0397,-0.0315,-0.0323,-0.0253,-0.0111,0.0071,0.0148,0.0164,0.0229,0.023,0.0204,0.022
2000-01-23,14.4747,-90.8805,NE,,0.4147,0.2913,0.1477,0.1395,0.1041,0.0762,0.0896,0.0359,0.0608,0.053,0.0045,0.0039,0.0021,0.0148,0.0028,-0.0056,-0.0258,-0.0585,-0.0499,-0.034,-0.0235,-0.0201,-0.0182,-0.0016,0.0055,0.0112,0.0151,0.0178,0.0196
2000-01-23,14.4747,-90.8805,NO,,0.3849,0.2594,0.1205,0.0695,0.0353,0.036,0.0295,0.042,0.0104,0.0172,0.0101,0.0147,0.0148,-0.0027,-0.0169,-0.0075,-0.0192,-0.0268,-0.0181,-0.0132,-0.0012,-0.0036,0.0013,0.0046,0.0017,0.0093,0.0095,0.0213,0.0329
2000-01-23,14.4747,-90.8805,O,0.716,0.3656,0.104,0.0974,0.056,0.0389,0.0118,0.0054,0.0065,0.008,0.0062,0.0016,-0.01,-0.0107,-0.0021,-0.0009,-0.0054,-0.0043,-0.0094,-0.0104,-0.0169,-0.0081,-0.0036,-0.0023,-0.0018,-0.0017,0.0007,0.0066,0.0075,0.0018
2000-01-23,14.4747,-90.8805,S,,,0.6546,0.3029,0.0838,0.0043,0.0189,0.0188,0.0142,-0.0059,-0.0054,-0.0039,-0.0057,-0.0034,-0.01,-0.0048,0.0017,-0.0012,-0.0127,-0.0138,-0.0193,-0.0051,0.0011,-0.0005,-0.0038,-0.006,-0.0104,-0.0111,-0.0142,-0.0102
2000-01-23,14.4747,-90.8805,SE,,,0.5624,0.3564,0.2342,0.1656,-0.0068,0.0604,-0.0108,-0.0071,-0.0071,-0.0091,-0.0102,0.0092,-0.0078,-0.0116,-0.0105,-0.0103,-0.0116,-0.0119,-0.0105,-0.0106,-0.0107,-0.0101,-0.0124,-0.0111,-0.011,-0.0108,-0.0101,-0.0026
2000-01-23,14.4747,-90.8805,SO,,,0.576,0.337,0.1861,0.0662,0.0365,0.025,-0.0491,-0.0339,-0.0275,-0.0106,0.0016,-0.0009,0.0126,0.0103,0.0233,0.0165,0.0131,0.0131,0.0084,0.0035,0.0067,0.0093,0.0067,-0.009,0.0003,-0.0061,-0.0086,-0.0156
2000-12-08,14.4744,-90.8807,E,,0.5495,0.4014,0.4214,0.244,0.141,-0.0015,1e-04,0.0024,0.0027,-0.0119,-0.0095,0.0107,0.0158,0.009,0.001,-0.0053,0.01,0.0202,0.0027,0.0044,-0.0139,-0.0162,-0.0054,-0.0117,-0.0117,-0.0011,0.0023,0.0005,0.0039
2000-12-08,14.4744,-90.8807,N,,0.4376,0.1973,0.1938,0.1493,0.0837,0.0521,0.054,0.0211,-0.017,-0.0216,-0.0156,-0.0171,-0.0081,-0.0192,-0.0169,-0.0137,-0.0235,-0.0103,-0.0037,0.0064,0.0011,0.0069,0.0111,0.0179,0.0249,0.0147,0.0058,-0.0008,0.0128
2000-12-08,14.4744,-90.8807,NE,,0.5236,0.305,0.2126,0.1577,0.1249,0.0984,0.0878,0.0009,0.0371,0.045,0.0114,-0.0087,-0.0116,-0.0198,-0.0192,0.0014,0.0071,0.0007,-0.0143,-0.0245,-0.0127,-0.0259,-0.025,-0.0232,-0.012,-0.0121,-0.0024,0.0092,0.0098
2000-12-08,14.4744,-90.8807,NO,,0.2692,0.0571,0.0641,0.081,0.059,0.0304,-0.0155,-0.0228,-0.0207,-0.0071,0.0065,0.0446,0.063,0.0239,0.0067,0.0097,-0.0004,-0.0179,-0.0128,-0.0121,0.0174,0.0012,-0.0011,-0.0122,-0.0178,-0.0235,-0.0193,-0.012,-0.0056
2000-12-08,14.4744,-90.8807,O,0.6362,0.1009,0.0526,0.0466,0.0423,0.0234,0.0019,0.0046,0.0133,0.0154,0.0045,-0.0004,-0.0066,-0.0005,0.0067,-0.0002,0.0058,0.0071,0.0063,-0.0015,0.0057,-0.0075,-0.0052,-0.0109,-0.0065,-0.0053,-0.0049,-0.0079,0.0006,-1e-04
2000-12-08,14.4744,-90.8807,S,0.411,0.2426,0.0599,0.0441,0.0333,-0.0054,-0.011,0.0119,0.0021,0.0061,0.0004,0.0119,0.0021,0.0111,0.0118,0.0106,-0.0044,0.0009,0.0018,-0.0067,0.0113,0.0077,0.0074,0.0047,-0.0014,-0.0038,-0.0068,-0.0115,-0.0161,-0.0116
2000-12-08,14.4744,-90.8807,SE,,0.4091,0.3737,0.2949,0.038,0.103,0.1339,0.1258,-0.0077,-0.0105,-0.0006,-0.0067,-0.0174,-0.0093,-0.02,-0.0192,-0.0143,-0.0159,-0.0186,-0.016,-0.0127,-0.0099,-0.0062,-0.0093,-0.0138,-0.0086,-0.0087,-0.0044,-0.0051,-0.0049
2000-12-08,14.4744,-90.8807,SO,,0.3589,0.161,0.0892,0.0819,0.0447,-0.018,-0.0408,-0.0782,-0.0253,-0.0203,-0.0051,0.0171,0.0201,0.0188,0.0247,0.0276,0.018,0.0137,0.0114,0.0019,-0.0018,0.0054,-0.0026,-0.0021,0.0008,-0.0027,0.0044,-0.005,-0.0056
2001-01-25,14.4744,-90.8807,E,,0.5008,0.3203,0.3158,0.2216,0.1557,0.0148,-0.0069,-0.012,-0.011,-0.0232,-0.0184,0.0102,0.0199,0.0124,-0.004,-0.0043,0.0103,0.0095,-0.006,-0.003,-0.0164,-0.0188,-0.0123,-0.0065,-0.0102,-0.0042,0.0002,0.0016,0.0083
2001-01-25,14.4744,-90.8807,N,,0.2213,0.0491,0.0706,0.0889,0.0628,0.0307,0.0356,0.0235,-0.0026,-0.0158,-0.0038,-0.005,-0.0076,-0.021,-0.0279,-0.0111,-0.0124,-0.0107,0.0022,0.004,-0.0,0.0118,0.0242,0.0121,0.0264,0.0173,0.002,0.0008,0.01
