date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-27,52.5556,158.0355,E,,0.2084,0.1693,0.1507,0.1331,0.0857,0.0325,0.0152,-0.0071,-0.0113,-0.0123,-0.0093,-0.004,0.0034,-0.0025,-0.0104,-0.0052,-0.0042,-0.001,0.0011,0.0011,0.001,-0.0006,-0.0029,0.0039,-0.0075,-0.0051,-0.0009,0.0068,0.0078
2000-07-27,52.5556,158.0355,N,0.1758,0.1511,0.0927,0.0733,0.0788,0.0713,0.0828,0.0498,0.0279,-0.0025,0.011,0.0385,0.0555,0.0483,0.0101,-0.0283,-0.0757,-0.0917,-0.1142,-0.1072,-0.0822,-0.0285,-0.0028,0.0245,0.0066,-0.0036,-0.0108,-0.0098,1e-04,0.0111
2000-07-27,52.5556,158.0355,NE,,0.1442,0.1182,0.116,0.12,0.1013,0.0844,0.0702,0.0592,0.0776,0.0458,0.0373,0.032,-0.0128,-0.0205,-0.0274,-0.0301,-0.0232,-0.035,-0.0244,-0.02,0.0027,0.0055,0.0125,0.0184,0.0105,0.0039,-0.004,-0.0202,-0.023
2000-07-27,52.5556,158.0355,NO,,,,,0.1089,0.0926,0.0454,0.0176,-0.0082,0.0003,-0.0111,-0.0204,-0.0317,-0.0141,0.012,0.0201,0.0216,0.0329,0.0291,0.0259,0.0235,0.0141,0.0127,0.0019,0.0011,0.0056,-0.0085,-0.0144,-0.0229,-0.0236
2000-07-27,52.5556,158.0355,O,,,0.0804,0.0856,0.1097,0.1053,0.0594,-0.015,-0.0142,-0.0108,-0.0207,-0.0128,-0.0074,-0.0006,0.0044,0.0153,0.017,0.0128,0.0071,0.008,0.0119,0.0164,0.0091,0.0104,0.0074,0.0096,0.0093,0.0009,-0.0082,-0.0046
2000-07-27,52.5556,158.0355,S,0.1034,0.0859,0.1123,0.0812,0.0901,0.0588,0.046,0.0094,0.0022,-0.0088,-0.0026,-0.0168,-0.0038,-0.0029,-0.0066,-0.0025,0.0102,0.0033,0.0145,0.0078,0.0123,0.0193,0.0038,0.0082,-0.0178,-0.0018,-0.0285,-0.0199,-0.0224,-0.018
2000-07-27,52.5556,158.0355,SE,,0.1164,0.1059,0.0971,0.0822,0.0454,0.0105,-0.0023,-0.0114,-0.0103,-0.0023,-0.0042,0.0096,0.0113,-0.0094,-0.0117,-0.0089,-0.0077,-0.0006,0.0092,-0.0003,-0.0151,-0.0141,-0.0038,0.0118,0.0178,0.0169,0.0032,0.0044,-0.0102
2000-07-27,52.5556,158.0355,SO,0.0666,0.0623,0.0786,0.0498,0.0494,0.046,0.0333,0.0105,-0.0218,-0.0351,-0.0443,0.0063,0.0,0.0078,0.001,-0.0019,-0.0026,0.0,0.0065,0.0113,0.0043,0.0037,0.0033,0.0046,0.0096,0.0095,0.0105,0.0134,0.0138,0.0126
2000-08-03,52.5556,158.0355,E,,0.1351,0.1243,0.1275,0.1223,0.0946,0.049,0.0332,0.0081,-0.0041,-0.0133,-0.0057,-0.0069,-0.0035,-0.0026,-0.0021,-0.0044,-0.0083,-0.0074,-0.0028,1e-04,0.0021,0.0011,-0.002,-0.0036,-0.0023,0.0014,0.0019,0.008,0.01
2000-08-03,52.5556,158.0355,N,0.1189,0.1026,0.0595,0.0345,0.0599,0.0419,0.0671,0.004,0.015,-0.0117,0.0012,0.0342,0.0627,0.0695,0.041,0.0018,-0.0418,-0.0756,-0.1021,-0.086,-0.0426,-0.0169,0.0127,0.0112,0.0035,-0.0084,-0.0159,-0.0102,-0.0068,0.0246
2000-08-03,52.5556,158.0355,NE,,0.1008,0.0816,0.0855,0.1045,0.0784,0.0432,0.0326,0.0378,0.0422,0.0243,0.022,0.0132,0.0079,0.0064,-0.0078,-0.0225,-0.0291,-0.0194,-0.0141,-0.0115,1e-04,0.0004,0.0096,0.0109,0.0101,0.0096,0.0062,-0.0048,-0.0177
2000-08-03,52.5556,158.0355,NO,,,,,0.0322,0.0209,0.0175,0.0063,-0.0242,1e-04,-0.0068,-0.0118,-0.0307,-0.007,0.0056,0.0156,0.0203,0.027,0.018,0.0162,0.0217,0.0194,0.0189,0.0168,0.0233,0.0204,0.0057,-0.0019,-0.0067,-0.0195
2000-08-03,52.5556,158.0355,O,,,,0.0315,0.0472,0.0848,0.0496,-0.0091,-0.0169,-0.0286,-0.0326,-0.029,-0.0197,-0.0044,0.0022,0.0098,0.0175,0.0244,0.0245,0.0178,0.0154,0.0103,0.003,-0.0018,-0.0028,-0.0002,-0.0017,-0.0026,0.0,-0.0007
2000-08-03,52.5556,158.0355,S,0.0997,0.0788,0.1284,0.0885,0.1011,0.0576,0.0529,0.0341,0.0186,0.0018,0.0125,-0.0093,-0.0083,-0.0174,-0.0025,-0.0006,0.0077,0.0021,0.0213,0.0096,0.0115,0.022,-0.0048,-0.0073,-0.0175,-0.014,-0.0286,-0.0275,-0.0153,-0.0158
2000-08-03,52.5556,158.0355,SE,,0.0389,0.0542,0.0713,0.0749,0.0438,0.0284,0.0187,-0.0003,-0.0055,-0.0033,-0.0124,0.0014,0.0065,0.0008,0.0014,-0.0079,-0.0132,-0.0146,-0.0092,0.0084,0.0021,-0.0016,0.0075,0.0085,0.0038,-0.0014,-0.0038,-0.0021,-0.0041
