date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-21,52.555,158.0362,E,,0.0643,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,52.555,158.0362,N,0.0873,0.0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,52.555,158.0362,NE,0.0873,0.0406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,52.555,158.0362,NO,,0.049,0.025,,,,-0.0004,-0.0004,0.0006,0.0012,,,,-0.0009,-0.0008,0.0027,0.0018,0.0009,0.0002,-0.0005,-0.0053,-0.0058,-0.0023,0.0012,0.0046,0.0038,0.0072,,,
2000-03-21,52.555,158.0362,O,0.0759,0.0336,,,,,-0.0067,-0.002,0.0022,-0.0,-0.0056,-0.0061,-0.0061,-0.0059,0.0007,0.0033,0.0049,0.0042,0.0046,0.0069,0.0063,0.0052,0.0043,0.0024,-0.0016,-0.0022,-0.0021,-0.0027,-0.004,-0.0047
2000-03-21,52.555,158.0362,S,,0.0553,0.0169,-0.0164,-0.0141,-0.0018,0.0083,0.0082,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,52.555,158.0362,SE,0.1023,0.072,0.0427,0.0206,0.0083,0.0165,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,52.555,158.0362,SO,0.0771,0.0555,-0.0,-0.0108,-0.0171,-0.0107,-0.0013,0.0027,-0.0003,-0.0002,,-0.0046,-0.0044,-0.0029,0.0002,0.0037,0.0027,0.0011,0.0006,0.0044,0.0046,0.003,0.0012,-0.0003,-0.0058,-0.0072,,-0.0098,,
2000-11-07,52.555,158.0362,E,,0.1143,0.0626,0.0606,0.0885,0.0918,0.0771,0.0468,0.0185,0.0019,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023
2000-11-07,52.555,158.0362,N,0.1293,0.1033,0.0649,0.0371,0.033,0.0289,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07,52.555,158.0362,NE,0.1293,0.0766,0.0491,0.0451,0.0629,0.0867,0.0688,0.057,,,,,,,,,,,,,,,,,,,,,,
2000-11-07,52.555,158.0362,NO,,0.1411,0.0713,0.0325,0.0118,0.0034,-0.0041,-0.0146,-0.0109,-0.0092,-0.0031,0.0053,0.0137,0.018,0.0223,0.0185,0.0128,0.007,0.0031,-0.0008,-0.0047,-0.0066,-0.0064,-0.0124,-0.0164,-0.0161,-0.0159,,,
2000-11-07,52.555,158.0362,O,0.1426,0.1336,0.0792,0.0252,0.0076,0.0032,-0.0008,-0.0049,-0.0003,0.0053,-0.0044,-0.007,-0.0012,0.0017,0.0038,0.0019,0.0013,0.0009,0.001,0.0012,0.0026,0.001,-0.0013,-0.0003,0.0004,0.0011,-0.0008,0.0016,0.0007,0.0019
2000-11-07,52.555,158.0362,S,,0.1065,0.0613,0.0394,0.0222,0.0038,0.0055,-0.0025,,,,,,,,,,,,,,,,,,,,,,
2000-11-07,52.555,158.0362,SE,-0.0106,-0.0311,-0.0654,-0.0729,-0.0474,-0.0115,0.0192,0.0122,-0.0032,0.0005,-0.0039,-0.0099,-0.0099,-0.0099,,,,,,,,,,,,,,,,
2000-11-07,52.555,158.0362,SO,0.1219,0.1184,0.0708,0.0357,0.0287,0.0176,0.018,0.0078,0.0038,0.0018,-0.0022,0.0018,-0.0083,-0.0022,-0.0021,-0.0022,-0.0043,-0.0004,-0.0024,-0.0026,-0.0027,-0.0027,-0.0029,-0.003,-0.003,-0.0031,,-0.0033,,
2001-04-09,52.555,158.0362,E,,0.219,0.1306,0.0936,0.0954,0.108,0.1223,0.1128,0.0693,0.0221,0.0017,-0.0046,-0.0108,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0108,-0.0107,-0.0105,-0.0104,-0.0102,-0.0101,-0.01,-0.0098,-0.0097,-0.0097,-0.0096,-0.0095
2001-04-09,52.555,158.0362,N,0.2365,0.1787,0.1009,0.0448,0.0448,0.0247,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-09,52.555,158.0362,NE,0.2365,0.1469,0.0952,0.08,0.0896,0.1028,0.1384,0.1213,,,,,,,,,,,,,,,,,,,,,,
2001-04-09,52.555,158.0362,NO,,0.1344,0.0242,-0.0476,-0.0696,-0.0754,-0.0768,-0.0704,-0.0419,-0.0101,0.0237,0.0386,0.0492,0.0491,0.0325,0.0231,0.0154,0.0115,0.0076,-0.0002,-0.0041,-0.0042,-0.0062,-0.016,-0.02,-0.0202,-0.0203,,,
2001-04-09,52.555,158.0362,O,0.1772,0.162,0.0557,-0.0276,-0.0476,-0.0425,-0.0294,-0.0119,-0.0064,-0.0085,-0.0141,-0.0084,0.0009,0.0092,0.0068,0.0049,0.0038,0.005,0.0021,0.0038,0.0026,0.0003,-0.0005,-0.0041,-0.0023,0.0006,-1e-04,0.0008,0.0027,0.005
2001-04-09,52.555,158.0362,S,,0.1609,0.0833,0.0419,0.0167,0.0065,0.0142,0.0038,,,,,,,,,,,,,,,,,,,,,,
2001-04-09,52.555,158.0362,SE,-0.1832,-0.2038,-0.2533,-0.2548,-0.2391,-0.1455,-0.0236,0.021,-0.004,0.0038,-0.0098,-0.0214,-0.0214,-0.0214,,,,,,,,,,,,,,,,
