date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-18,-0.1681,-78.5947,E,,0.0589,0.0588,0.0341,0.0141,-0.0116,-0.0115,-0.0139,-0.0076,-0.0025,0.0077,0.0188,0.0133,0.001,-0.0223,-0.0296,-0.024,-0.0184,-0.0183,-0.0339,-0.0259,-0.0237,-0.0187,-0.0076,0.0148,0.0244,0.0245,0.0292,0.029,0.0383
2000-12-18,-0.1681,-78.5947,N,,0.0862,0.0954,0.0833,0.0813,0.0571,-0.0036,-0.0464,-0.0441,-0.0308,-0.0185,-0.0127,-0.0077,-0.0076,0.0061,-0.0043,0.0099,0.0375,0.0318,0.0444,0.0289,-0.0051,-0.0304,-0.0354,-0.0437,-0.0437,-0.0436,-0.0435,-0.0437,-0.0441
2000-12-18,-0.1681,-78.5947,NE,0.07,0.076,0.071,0.0655,0.0648,0.0639,0.0515,0.0463,0.0159,0.0088,0.0107,0.0148,0.0147,0.0085,0.0043,0.0028,-0.003,-0.0179,-0.0092,-0.0148,-0.0073,0.001,0.0077,-0.0288,0.0317,0.0162,0.0184,0.0164,0.0232,-0.0119
2000-12-18,-0.1681,-78.5947,NO,,0.048,0.0269,0.0032,-0.0242,-0.0179,-0.0036,-0.0187,-0.0011,0.0008,0.008,0.0055,-0.0021,-0.0071,-0.0101,-0.0168,-0.0306,-0.0225,-0.0034,0.0208,0.0252,0.0048,0.012,-0.0029,-0.001,0.0012,-0.013,0.0008,0.0104,0.0188
2000-12-18,-0.1681,-78.5947,O,0.072,0.0521,0.0308,-0.0413,-0.0352,-0.021,-0.0195,-0.0201,-0.0161,-0.0017,-0.0035,0.0048,0.0093,-0.0049,-0.0125,-0.0403,-0.0376,-0.034,-0.033,-0.0249,-0.0241,-0.0165,0.0098,0.0082,0.0082,0.0131,0.0216,0.0325,0.042,0.0509
2000-12-18,-0.1681,-78.5947,S,,0.053,0.0234,0.0319,0.0195,-0.0044,-0.0042,-0.0132,-0.0036,-0.0052,-0.0005,0.0025,-0.0017,-0.0072,-0.0077,-0.0079,-0.0171,-0.0108,-0.001,-0.0042,0.0051,0.0137,0.0261,0.0375,0.0455,0.0397,0.0237,0.0022,-0.027,-0.0368
2000-12-18,-0.1681,-78.5947,SE,0.053,0.0534,0.0313,-0.0012,-0.0079,-0.0048,-0.0214,-0.0341,-0.0411,-0.0265,-0.0226,-0.0296,-0.0262,-0.0226,-0.0262,-0.0341,-0.0339,-0.0232,-0.0118,-0.0003,0.0039,0.0137,0.0238,0.0349,0.0291,0.0289,0.0207,0.0146,-0.0035,-0.0302
2000-12-18,-0.1681,-78.5947,SO,,0.0878,0.0632,0.0558,0.0516,0.0315,0.024,0.0134,0.0137,0.009,0.0067,-0.0048,-0.0124,-0.0124,-0.0122,-0.012,-0.0116,-0.0112,-0.0107,-0.0096,-0.0097,-0.0093,-0.0054,-0.0109,-0.0103,-0.0028,-0.0048,-0.0028,-0.004,-0.0038
2001-01-03,-0.1681,-78.595,E,,0.0416,0.0392,0.0267,0.0166,-0.0091,-0.0042,-0.0092,-0.0032,0.0069,0.014,0.0166,0.0021,-0.0103,-0.0249,-0.0331,-0.0218,-0.0176,-0.0164,-0.0264,-0.0219,-0.0088,-0.0139,-0.0026,0.0134,0.0176,0.0172,0.0217,0.0274,0.0326
2001-01-03,-0.1681,-78.595,N,,0.0804,0.0814,0.0823,0.0713,0.0535,0.0395,-0.0104,-0.0374,-0.0306,-0.0241,-0.0118,-0.0064,-0.0126,-0.0134,-0.0064,0.0041,0.0142,0.0206,0.049,0.0282,0.0358,0.0083,-0.0073,-0.0227,-0.0088,-0.0059,-0.0111,-0.037,-0.0411
2001-01-03,-0.1681,-78.595,NE,0.0601,0.0616,0.0645,0.0537,0.0534,0.0597,0.0535,0.0514,0.0387,0.0205,0.0127,0.0132,0.0101,0.0066,0.0009,0.0041,0.0013,-0.0151,-0.0189,-0.0256,-0.0262,-0.0229,-0.018,-0.0341,0.0188,0.0188,0.0204,0.0175,0.0139,0.0099
2001-01-03,-0.1681,-78.595,NO,,0.0533,0.0332,0.0229,-0.0119,-0.0183,-0.0183,-0.0125,-0.0171,-0.0131,-0.0113,0.0032,0.0018,-0.0012,-0.0068,-0.0105,-0.0205,-0.0251,-0.013,-0.0017,0.0116,0.0114,0.0263,0.0095,0.004,0.0133,0.0036,0.0032,0.0,0.0124
2001-01-03,-0.1681,-78.595,O,0.0656,0.061,0.0472,-0.0221,-0.0227,-0.0168,-0.0104,-0.0105,-0.0063,0.0059,0.004,0.0066,0.0121,0.0055,-0.0044,-0.0337,-0.03,-0.0278,-0.025,-0.0218,-0.0221,-0.0185,-0.0098,0.0053,0.0071,0.0087,0.021,0.0239,0.0299,0.0406
2001-01-03,-0.1681,-78.595,S,,0.0023,0.0114,0.0097,-0.0045,-0.0088,-0.0172,-0.0223,-0.0147,-0.0116,-0.0108,-0.0023,0.003,0.0032,0.005,0.0054,0.0015,0.0062,0.0056,0.0132,0.0144,0.0171,0.0247,0.0272,0.0162,-0.0049,-0.0111,-0.014,-0.0199,-0.0233
2001-01-03,-0.1681,-78.595,SE,0.029,-0.0057,-0.0095,-0.0087,-0.0079,-0.0107,-0.0165,-0.0317,-0.0314,-0.0262,-0.0248,-0.0223,-0.0146,-0.014,-0.0185,-0.0187,-0.0087,0.0021,0.0167,0.015,0.0245,0.0283,0.0373,0.0323,0.0222,0.0186,0.0055,-0.0187,-0.0403,-0.051
2001-01-03,-0.1681,-78.595,SO,,0.0531,0.0494,0.0526,0.0297,0.0213,0.0207,0.0223,0.0184,0.0061,0.0059,0.0042,-0.0025,-0.0032,-0.0026,-0.01,-0.001,-0.0132,-0.0055,-0.0028,-0.0022,1e-04,0.0013,-0.0005,-0.0048,-0.0046,-0.0048,-0.0072,-0.0092,-0.0119
2001-05-11,-0.1689,-78.5941,E,,0.0226,0.0158,0.013,0.0183,0.0286,0.0287,0.0291,0.0071,0.0071,0.0193,0.0021,-0.0033,-0.0081,-0.0128,-0.0221,-0.0144,-0.0119,-0.0093,-0.0049,-0.0152,-0.0132,-0.0057,-0.0079,-0.0031,-0.003,0.0099,0.0113,0.0139,0.0135
2001-05-11,-0.1689,-78.5941,N,,0.0414,0.0437,0.0462,-0.0034,-0.0082,-0.0115,-0.0114,-0.0085,-0.0086,-0.0078,-0.0086,-0.0062,-0.0113,-0.0112,-0.0086,0.0339,0.0334,0.0334,0.0218,-0.0017,-0.0015,-0.0014,0.0009,-0.0004,-0.0005,-0.0005,-0.0079,-0.0228,-0.0316
