date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-04-10,-18.4182,-69.088,E,,,,,,,,,-0.0038,-0.0032,0.0004,0.0008,0.0011,-0.0028,0.0005,0.0016,0.0026,-0.0004,-0.0002,,0.0031,-0.0031,-0.0008,-0.0038,-0.0008,-0.0006,-0.0126,0.0078,0.003,0.0023
2001-04-10,-18.4182,-69.088,N,,,,,,,,,,0.0358,,,,0.0203,0.019,0.0051,-0.0027,-0.0081,-0.0171,-0.0235,-0.0195,-0.0059,-0.015,-0.0174,-0.0085,0.0057,0.021,0.0185,0.0108,0.0074
2001-04-10,-18.4182,-69.088,NE,,,,,,,,,,,,0.0145,,,0.0207,0.0232,0.0204,0.0177,0.0111,0.0018,-0.02,-0.0202,-0.0072,-0.0054,-0.0009,-0.0018,-0.0014,0.0015,0.0063,0.0087
2001-04-10,-18.4182,-69.088,NO,,,,,,,,,,,,,,,,,0.0217,0.0173,0.0095,0.0092,0.0072,0.0089,-0.0005,-0.0034,-0.0076,-0.0078,-0.0055,-0.0113,-0.0107,-0.0033
2001-04-10,-18.4182,-69.088,O,,,,,,,,,,,0.0112,0.0016,-0.0184,,,,,,,,,,,,,,,,,
2001-04-10,-18.4182,-69.088,S,0.0675,0.0631,,,,,,,,0.0509,0.0266,0.0203,0.0145,0.0065,0.0045,0.003,0.0045,-0.0028,-0.0104,-0.0137,-0.0165,-0.0164,-0.0137,-0.0042,-0.0069,-0.0031,-0.0043,-0.0059,-0.0044,0.0031
2001-04-10,-18.4182,-69.088,SE,,,,,,,,0.0288,0.0256,0.0246,0.0215,0.0215,0.0226,0.0181,0.0117,0.0102,0.0072,0.003,-0.002,-0.001,0.0005,0.0039,0.0036,0.0052,0.0036,0.0035,-0.0016,0.0103,-0.0098,-0.0003
2001-04-10,-18.4182,-69.088,SO,,,,,,,,0.0467,0.0381,0.0292,0.016,0.0036,-0.0047,-0.008,-0.011,-0.0141,-0.0188,-0.015,-0.0139,-0.0095,-0.0063,-0.0016,0.0103,0.0513,,,,,,
2001-05-28,-18.4166,-69.0891,E,,-0.0027,0.0004,0.0069,0.0097,0.0091,0.0085,0.0055,0.0051,0.0053,0.0052,0.0073,0.006,0.0057,0.0055,0.0051,0.0067,0.0056,0.0036,-0.0026,-0.0072,-0.0079,-0.0123,-0.0166,-0.0187,-0.0181,-0.018,-0.0182,-0.0153,-0.0098
2001-05-28,-18.4166,-69.0891,N,0.0038,0.0104,0.0105,0.0136,0.0125,0.0042,0.0179,0.0174,0.0158,0.0227,0.0194,0.0176,0.0225,0.0267,0.0316,0.0332,0.0345,0.0318,0.0165,-0.0044,-0.0294,-0.0424,-0.0359,-0.0236,-0.0168,-0.0205,-0.0213,-0.02,-0.0097,-0.0032
2001-05-28,-18.4166,-69.0891,NE,,0.0146,0.0221,0.0247,0.0267,0.0246,0.0251,0.0259,0.0232,0.0215,0.0169,0.0265,0.0177,0.0241,0.0263,0.0267,0.0302,0.0303,0.0319,0.0295,0.003,-0.0175,-0.0294,-0.0388,-0.0443,-0.0369,-0.034,-0.0309,-0.0318,-0.0315
2001-05-28,-18.4166,-69.0891,NO,,0.0326,0.0291,0.0273,0.0256,0.0248,0.0249,0.0255,0.0212,0.0245,0.0223,0.022,0.0215,0.0239,0.0232,0.0252,0.0234,0.0213,0.0204,0.0153,0.0042,0.0024,-0.0032,-0.017,-0.0164,-0.0255,-0.0264,-0.034,-0.0386,-0.055
2001-05-28,-18.4166,-69.0891,O,0.0708,0.0679,0.0653,0.064,0.0613,0.0611,0.0655,0.0665,0.0622,0.0528,0.0387,0.0314,0.028,0.0301,0.0213,-0.0077,-0.0135,-0.0097,-0.0338,-0.0334,-0.0248,-0.0206,-0.0217,-0.0232,-0.0209,-0.0155,-0.0268,-0.0428,-0.0478,-0.0487
2001-05-28,-18.4166,-69.0891,S,0.0681,0.0626,0.0565,0.0507,0.0429,0.0365,0.0331,0.0308,0.0297,0.0257,0.0263,0.0235,0.0118,0.0176,0.0069,0.0008,-0.0081,-0.0164,-0.0175,-0.0163,-0.0092,-0.0081,-0.0074,-0.0037,-0.0051,-0.0059,-0.0034,-0.0071,-0.005,-0.0033
2001-05-28,-18.4166,-69.0891,SE,0.0497,0.047,0.0423,0.0367,0.0293,0.0205,0.0187,0.0178,0.0147,0.0097,0.0036,-0.0012,-0.0073,-0.0103,-0.0076,-0.0047,0.0038,0.0061,0.0095,0.0089,0.0071,0.0019,0.0046,0.0006,0.0102,0.003,0.007,-0.011,0.0019,-0.0049
2001-05-28,-18.4166,-69.0891,SO,,0.1163,0.1141,0.1064,0.1001,0.0915,0.0807,0.0764,0.0623,0.0476,0.0301,0.0117,0.0002,-0.0131,-0.0253,-0.0246,-0.0233,-0.0223,-0.0203,-0.0182,-0.0162,-0.0144,-0.0134,-0.0132,-0.0039,-0.0005,0.003,0.0069,0.0069,
2001-06-13,-18.4166,-69.0891,E,,0.0045,0.0075,0.0097,0.0091,0.0084,0.0075,0.0056,0.0043,0.0036,0.003,0.0024,0.0032,0.0047,0.0041,0.0053,0.0057,0.0019,-0.0009,-0.0034,-0.0078,-0.0123,-0.0174,-0.018,-0.0154,-0.016,-0.0161,-0.013,-0.0099,-0.0012
2001-06-13,-18.4166,-69.0891,N,0.0595,0.0554,0.0427,0.0382,0.0347,0.0398,0.035,0.0373,0.0352,0.0314,0.0276,0.025,0.0153,0.0181,0.0185,0.0142,0.01,0.0028,-0.0045,-0.0164,-0.0251,-0.0425,-0.0464,-0.0445,-0.0588,-0.0689,-0.0612,-0.0531,-0.0061,-0.0046
2001-06-13,-18.4166,-69.0891,NE,,0.0182,0.021,0.0189,0.0197,0.0189,0.0221,0.0195,0.0154,0.0114,0.009,0.0138,0.0122,0.0139,0.0175,0.0158,0.0173,0.0098,0.0047,0.0105,0.0031,0.0019,0.0033,0.0028,-0.0457,-0.0458,-0.0268,-0.042,-0.04,-0.037
2001-06-13,-18.4166,-69.0891,NO,,0.0366,0.0367,0.0294,0.0259,0.0286,0.0267,0.0221,0.0159,0.019,0.019,0.0229,0.024,0.0249,0.0227,0.0239,0.0222,0.0243,0.0208,0.0221,0.0109,0.0075,0.0007,-0.0099,-0.0164,-0.0239,-0.0251,-0.0323,-0.0322,-0.0469
