date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-06-08,19.9089,110.2334,E,0.1045,0.0924,0.0784,0.0663,0.0734,0.0608,0.0339,0.0042,-0.0101,-0.01,-0.0108,-0.0023,0.0039,0.0192,0.0183,0.0251,0.0197,0.0169,0.0136,0.0123,0.0007,-0.0053,-0.0046,-0.0044,-0.0095,0.0,-0.0019,-0.0131,-0.0198,-0.0195
2000-06-08,19.9089,110.2334,N,,0.0442,0.0377,0.0073,-0.0124,-0.0134,-0.0247,-0.0239,-0.0227,-0.0126,0.0029,0.0048,0.0148,0.0194,0.0064,0.0022,0.0029,0.0049,0.0099,-0.0035,-0.0028,-0.0032,-0.0108,-0.0021,0.0059,0.006,0.019,0.0315,0.0262,0.0179
2000-06-08,19.9089,110.2334,NE,,0.0926,0.0903,0.078,0.0588,0.0392,0.0149,0.0003,0.0017,0.0017,0.002,0.0004,0.0118,0.0135,0.013,0.0112,1e-04,0.0007,-0.0115,-0.0154,-0.028,-0.03,-0.0296,-0.0263,-0.0045,-0.0033,0.009,0.0157,0.0222,0.0102
2000-06-08,19.9089,110.2334,NO,,0.0904,0.0659,0.0568,0.0375,0.0209,0.0161,-0.003,-0.0093,-0.0096,-0.0103,-0.0157,-0.0143,-0.0081,0.0021,0.0099,0.0101,0.0087,-0.0042,-0.0037,-0.0044,0.007,0.0099,0.0099,0.0209,0.0187,0.0066,-0.0037,-0.0075,-0.017
2000-06-08,19.9089,110.2334,O,,0.1097,0.0837,0.0688,0.0689,0.0552,0.0393,0.0117,0.0014,-0.009,-0.0101,-0.0182,-0.0065,-0.0045,-0.0011,-0.0035,-0.0029,-0.0033,-0.0079,-0.0035,0.0028,0.002,-0.0018,-0.0025,-0.0002,0.008,0.0083,0.0083,0.0069,0.0114
2000-06-08,19.9089,110.2334,S,0.1126,0.0686,0.0543,0.0454,0.034,0.0212,0.008,0.0076,0.0068,0.0078,-0.0055,-0.0052,0.0074,0.0082,-0.0034,-0.0034,-0.0042,-0.0043,-0.0041,-0.0037,-0.0031,-0.0017,-0.0026,-0.0029,-0.0025,-0.0028,-0.0029,-0.0019,-0.001,-0.001
2000-06-08,19.9089,110.2334,SE,,0.0841,0.0535,0.0404,0.0235,0.0105,0.0241,0.0203,-0.0005,0.0037,0.0021,-0.0008,0.0027,-0.0054,-0.0124,-0.0117,-0.0026,0.0036,0.0034,0.0039,0.007,-0.0013,-0.005,-0.0056,-0.0009,-0.0091,0.0005,0.0075,-0.0017,-0.0109
2000-06-08,19.9089,110.2334,SO,,0.1072,0.0871,0.079,0.0779,0.0496,0.0371,0.0286,0.0166,0.011,0.0013,-0.0006,-0.0062,-0.0078,-0.0113,-0.0068,-0.0083,-0.0022,-0.0067,0.0018,-0.0087,0.0003,0.0003,0.0028,0.0037,0.0138,0.0036,0.0011,-0.0094,-0.0105
2000-07-26,19.9102,110.2334,E,0.0959,0.0729,0.0272,-0.0082,-0.0196,-0.0181,-0.0149,-0.013,-0.0122,-0.0006,-0.0027,-0.005,-0.003,0.0059,-0.0011,-0.0082,-0.0043,-0.0002,0.0014,0.0062,0.0103,0.011,0.0085,0.0038,0.0011,-0.0021,-0.0041,-0.0083,-0.0096,-0.0228
2000-07-26,19.9102,110.2334,N,,0.0956,0.0527,0.0198,0.0204,-0.0113,-0.0048,0.0032,0.0123,0.0123,-0.003,0.0057,-0.0081,-0.0099,-0.01,-0.0218,-0.0186,-0.0109,-0.0092,-0.0085,0.0002,0.002,-0.0009,0.0011,0.023,0.0118,0.0095,0.0016,-0.0017,-0.0013
2000-07-26,19.9102,110.2334,NE,,0.1059,0.0612,0.006,-0.0019,0.0058,-0.0026,0.0017,0.006,0.0003,0.0018,0.0055,-0.001,-0.0,-0.0029,-0.002,0.001,-0.0013,-0.0013,0.0018,-0.0048,-0.0039,-0.0041,-0.0067,-0.0041,-0.0107,-0.0052,-0.0021,-0.0031,-0.0057
2000-07-26,19.9102,110.2334,NO,,0.089,0.083,0.0742,0.0746,0.0379,0.0176,0.0112,0.0049,-0.0012,-0.0014,-0.0021,-0.002,-0.0015,-0.0011,-0.0017,-0.0019,-0.0025,-0.0022,-0.0026,-0.0024,-0.0025,-0.0015,-0.0021,-0.0027,-0.0031,-0.0032,-0.0029,-0.0024,0.0086
2000-07-26,19.9102,110.2334,O,,0.0502,0.0448,0.0513,0.0647,0.039,0.024,-0.0082,-0.0191,-0.0066,0.0015,-0.0019,0.0052,-0.0036,-0.0088,-0.017,-0.0067,-0.0013,0.0017,0.0014,0.0053,0.0036,0.0095,0.0056,0.007,0.0033,-0.003,-0.0078,-0.0111,-0.0129
2000-07-26,19.9102,110.2334,S,,0.1047,0.0638,0.0324,-0.0015,-0.0055,-0.0094,-0.009,-0.0101,-0.0088,-0.0014,-0.002,-0.0005,-0.0089,-0.0055,-0.0007,-0.0024,-0.0011,0.0021,0.0003,0.0011,0.0045,0.0046,0.003,0.0029,0.0064,-0.0012,0.0004,-0.0047,-0.0046
2000-07-26,19.9102,110.2334,SE,,0.0974,0.0742,0.0145,-0.0039,-0.0214,-0.0208,-0.0199,-0.0123,-0.0199,-0.0201,-0.0106,-0.0105,-0.0094,-0.0099,-0.0091,-0.0121,-0.0033,-0.013,-0.006,-0.0046,-0.0029,-0.0026,0.0075,0.0145,0.0052,-0.0052,-0.0071,-0.0065,-0.0071
2000-07-26,19.9102,110.2334,SO,0.1041,0.0774,0.0434,0.0192,-0.0034,-0.013,0.0039,0.0094,0.0105,0.0086,-0.0022,-0.0023,-0.0088,0.0006,0.002,0.0003,0.0076,0.0072,-0.002,-0.0011,0.0008,0.0056,-0.0014,0.0057,-1e-04,-0.0026,-0.0072,-0.0085,-0.0062,0.0026
2000-12-17,19.9118,110.2248,E,0.0439,0.0351,0.0343,0.0327,0.0019,-0.0046,-0.0064,-0.0092,-0.007,0.0055,-0.0025,-0.0029,-0.0031,-0.0015,-0.0039,-0.0052,-0.0049,-0.0056,0.0024,-0.0007,-0.0023,-0.003,-0.0028,-0.0029,-0.0041,-0.0046,-0.0056,0.0017,0.0036,0.005
2000-12-17,19.9118,110.2248,N,0.0063,0.0003,-0.0033,-0.0064,-0.0061,-0.002,0.0023,0.0047,0.0054,0.0,-0.0009,0.0055,-0.0034,0.002,-0.0028,-0.0069,-0.0064,-0.0081,0.0008,-0.0031,-0.0009,-0.0016,-0.0033,-0.0043,-0.0041,-0.003,-0.0022,-0.002,-1e-04,-0.0033
2000-12-17,19.9118,110.2248,NE,,-0.0103,-0.0129,-0.0301,-0.0259,-0.019,-0.0176,-0.0224,-0.0212,-0.0208,0.0762,0.0258,-0.0149,-0.0077,-0.0024,0.002,0.0043,0.0016,0.0074,0.0039,0.0042,0.005,-0.0002,0.0006,-0.0032,-0.0046,-0.0063,-0.0116,-0.0112,-0.0158
2000-12-17,19.9118,110.2248,NO,,0.0175,0.0154,0.0082,-0.0035,-1e-04,-0.0017,-0.0017,0.0006,0.0055,-0.0009,-0.0084,-0.0062,-0.0076,-0.0058,-0.0003,-0.0013,-0.0003,-0.0002,0.0004,0.007,0.0067,-0.001,0.0013,0.0042,0.0028,-0.0006,-0.0006,0.0006,1e-04
2000-12-17,19.9118,110.2248,O,,0.048,0.025,0.0329,-0.002,-0.0102,-0.011,-0.0017,0.0103,0.0046,-0.0027,-0.0017,-0.0031,-0.0034,-0.0041,-0.0031,0.0008,0.0002,-0.0,0.0004,0.0005,-0.0012,-0.0008,0.0013,0.0018,0.0012,0.0004,0.0008,0.0008,0.0012
