date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-29,35.2351,139.025,E,,0.0601,0.055,0.0412,0.0339,0.0277,0.0272,0.0218,0.014,0.0088,0.0051,0.0052,0.0024,-0.0096,-0.0152,-0.0032,0.0008,-0.0038,-0.0157,-0.0185,-0.0057,0.0017,-0.0037,-0.005,0.0015,0.0017,0.0021,0.0035,0.0069,0.0038
2000-03-29,35.2351,139.025,N,,0.0541,0.0353,0.0106,0.0096,0.0069,0.007,0.004,0.0062,0.0058,0.003,0.0039,0.0015,0.0002,1e-04,-0.001,-0.0033,-0.0035,-0.0044,-0.0047,-0.0037,-0.0033,-0.0032,-0.0024,0.0008,0.0013,0.0039,0.0042,0.0035,0.0014
2000-03-29,35.2351,139.025,NE,0.0763,0.0676,0.0562,0.0353,0.039,0.0017,-0.0067,-0.0006,-0.0077,0.0169,-0.0012,0.0028,-0.0073,-0.0016,0.004,0.0092,0.0075,0.0036,0.0032,0.0098,0.0117,0.0151,0.005,0.0083,-0.0173,-0.0072,-0.0187,-0.0188,-0.0011,-0.0107
2000-03-29,35.2351,139.025,NO,0.0448,0.0261,0.0194,0.0208,0.0212,0.0149,0.0163,0.0161,0.0146,0.0185,0.0079,0.0137,0.0062,0.0005,-0.0088,-0.0107,-0.0102,-0.0078,-0.0075,-0.0053,-0.0059,-0.0038,-0.0057,-0.0059,0.0013,0.0017,-0.0008,-0.0009,0.0006,0.0029
2000-03-29,35.2351,139.025,O,,0.0371,0.0226,0.0153,0.019,0.0212,0.017,0.0156,0.0138,0.0121,0.0045,-0.0021,-0.0094,-0.004,-0.0016,-0.0039,-0.0016,-0.0039,-0.0099,-0.006,-0.0065,-0.0072,-0.0072,0.0021,0.0053,0.0053,0.0051,0.0011,-0.0019,-0.0051
2000-03-29,35.2351,139.025,S,,0.0799,0.0582,0.0375,0.0393,0.039,0.0247,0.0075,0.0055,0.0067,0.0082,0.0042,-0.0029,-0.0021,-0.003,-0.0012,-0.0011,0.0016,0.0025,0.0013,-0.0008,0.0006,0.0007,0.0018,0.001,-0.0017,-0.0025,-0.0027,0.0005,0.001
2000-03-29,35.2351,139.025,SE,0.087,0.0804,0.0621,0.0349,0.0166,0.0092,0.0119,0.0146,0.0154,0.0131,0.0016,0.0022,-0.0034,-0.005,-0.0108,-0.009,-0.0028,-0.0035,-0.0043,-0.0056,0.001,0.0033,0.0103,0.0111,0.0051,0.0012,-0.0009,-0.0029,-0.0081,-0.0106
2000-03-29,35.2351,139.025,SO,0.0538,0.057,0.0426,0.0294,0.0194,0.0147,0.008,0.0053,0.0049,-0.0047,0.0015,0.0069,0.0065,0.0066,0.0009,0.0003,-0.0026,-0.0062,-0.0028,-0.0034,0.0004,-0.0063,-0.0007,0.0018,0.0032,0.0045,0.0017,-0.0015,-0.0035,-0.0095
2000-05-23,35.2353,139.0246,E,0.0516,0.0542,0.0479,0.0393,0.0347,0.0333,0.0305,0.0305,0.0299,0.0265,0.022,0.0099,0.0028,0.0004,0.0022,0.0018,-0.0024,-0.0144,-0.0142,-0.0065,0.0022,0.0026,-0.0112,-0.0029,-0.0018,-0.0036,-0.0008,-0.0115,-0.0134,-0.0136
2000-05-23,35.2353,139.0246,N,,0.039,0.0239,0.0192,0.0026,-0.0056,-0.004,-0.0043,-0.0092,-0.0039,-0.0048,-0.0031,-0.0029,-0.0023,-0.004,-0.0029,-0.0009,0.0007,0.0039,0.0012,0.0008,0.0005,1e-04,-0.0,-0.0017,0.0011,-0.0003,0.0002,0.0013,0.0055
2000-05-23,35.2353,139.0246,NE,0.0784,0.0825,0.0677,0.051,0.0409,0.0326,0.007,0.0045,0.0066,-0.0016,0.0064,0.0049,0.0032,0.003,-0.0036,-0.0086,-0.0123,-0.0153,-0.0119,0.0244,0.0706,0.0441,0.0481,0.0082,-0.018,-0.0385,-0.0342,-0.0452,-0.0422,-0.0431
2000-05-23,35.2353,139.0246,NO,0.0449,0.0287,0.0246,0.0191,0.019,0.0126,0.0059,0.0014,-0.0039,-0.0075,-0.003,-0.0064,-0.0071,-0.0082,-0.0042,-0.0045,-0.0033,0.0005,0.002,0.0048,0.0024,0.0017,-0.0028,-0.0024,0.0002,0.0056,0.006,0.0049,0.0012,-0.0023
2000-05-23,35.2353,139.0246,O,0.0427,0.0372,0.0164,0.0177,0.0159,0.0062,0.0014,0.0045,0.0003,-0.0044,-0.002,0.0011,0.0016,-0.0024,-0.0008,-0.0003,-0.0048,-0.0058,-0.0087,-0.0048,-0.0017,-0.0038,-0.0049,-0.0066,0.0073,0.0047,0.0007,0.0054,0.0035,0.0013
2000-05-23,35.2353,139.0246,S,,0.0198,0.0144,0.0133,0.0051,0.0016,0.0079,0.0083,0.0086,0.0125,0.0071,0.0013,0.0002,-0.0018,-0.0039,-0.0015,0.0002,0.0008,-0.001,-0.0009,-0.0025,-0.002,0.0008,0.0006,-0.0014,-0.0026,-0.002,-0.0009,-0.0023,-0.0056
2000-05-23,35.2353,139.0246,SE,,0.0373,0.0296,0.0213,0.0217,0.0227,0.0208,0.022,0.0111,0.0058,0.0058,-0.0015,-0.009,-0.0135,-0.007,-0.0016,0.0027,-0.003,-0.0027,0.0042,0.0154,0.0231,0.0176,0.0065,-0.0024,0.0074,-0.0055,-0.0156,-0.032,-0.0385
2000-05-23,35.2353,139.0246,SO,,0.033,0.0169,0.0143,0.0106,0.0125,0.0134,0.0174,0.0129,0.0118,0.0102,0.0098,-0.0022,0.004,0.0016,-0.0014,-0.0007,-0.0024,-0.003,-0.0018,-0.0011,-0.0013,-0.005,-0.0048,-0.0051,-0.0033,-0.0009,-0.0017,-0.0052,0.0012
2000-10-14,35.2294,139.0228,E,,0.0219,,,,,0.0013,,,,,,,-0.0025,,,,,,-0.0038,-0.0048,,-0.003,,,,,0.0023,,
2000-10-14,35.2322,139.0237,E,,,,-0.0018,,,,,-0.0026,,-0.0051,-0.0048,-0.0039,,,0.0041,0.0056,,0.0005,,,,,-0.0024,,-0.0054,,,0.003,
2000-10-14,35.2351,139.0246,E,0.0117,,0.0131,,-0.0018,0.0013,,0.0007,,-0.0059,,,,,0.0015,,,0.0031,,,,0.001,,,-0.0044,,-0.0025,,,0.0018
