date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-27,-41.8768,-72.4287,E,,0.16,0.132,0.1092,0.0931,0.0967,0.1019,0.0983,0.099,0.0852,0.0767,0.0325,-0.0227,-0.0486,-0.0481,-0.0455,-0.041,-0.0294,-0.036,-0.0329,-0.0258,-0.021,-0.0137,-0.0058,0.0033,0.008,0.0131,0.018,0.0252,0.0287
2000-01-27,-41.8768,-72.4287,N,,0.2139,0.2059,0.2015,0.1967,0.1847,0.1549,0.1395,0.1025,0.0332,0.0366,-0.0184,-0.0266,-0.0325,-0.0416,-0.0424,-0.0388,-0.0373,-0.029,-0.0245,-0.0208,-0.015,-0.0112,-0.0067,0.0005,0.0057,0.0128,0.0156,0.0219,0.0257
2000-01-27,-41.8768,-72.4287,NE,0.1704,0.1519,0.1569,0.1332,0.1161,0.1274,0.1227,0.1297,0.1161,0.09,0.043,0.0114,-0.0216,-0.0387,-0.0455,-0.0352,-0.0365,-0.0333,-0.0293,-0.0262,-0.0208,-0.0144,-0.0082,0.0037,0.0046,0.0068,0.0093,0.0149,0.0149,0.0193
2000-01-27,-41.8768,-72.4287,NO,-0.0123,-0.0335,-0.0194,-0.0123,-0.0185,-0.0046,0.0081,0.0291,0.0312,0.0468,0.0598,0.0609,0.038,-0.0112,-0.0541,-0.0858,-0.091,-0.0789,-0.0865,-0.0736,-0.0613,-0.0536,-0.048,-0.0349,-0.0206,-0.005,0.0114,0.0293,0.0511,0.07
2000-01-27,-41.8768,-72.4287,O,-0.0712,-0.0857,-0.0925,-0.0941,-0.0809,-0.0665,-0.0718,-0.0713,-0.0355,-0.0343,-0.0113,0.0015,0.0155,0.0611,0.0592,0.0839,0.0716,0.0502,0.051,0.048,0.0011,-0.0266,-0.0395,-0.0522,-0.0492,-0.0314,-0.0368,-0.0307,-0.0196,-0.0089
2000-01-27,-41.8768,-72.4287,S,,0.0926,0.0843,0.0704,0.0523,0.0493,0.0306,0.0187,0.0342,0.0168,0.0161,0.0161,-0.0057,-0.0198,-0.0227,-0.0021,0.0157,0.0105,0.0092,0.0131,0.0173,0.0039,-0.0022,-0.0042,-0.0107,0.0006,-0.0128,-0.0144,-0.0072,-0.0004
2000-01-27,-41.8768,-72.4287,SE,0.1287,0.1194,0.0701,0.0627,0.0541,0.0431,0.0297,0.0192,0.0127,0.0206,0.037,0.0433,0.049,0.0454,0.0262,0.0051,-0.0177,-0.0591,-0.0614,-0.0555,-0.0536,-0.0416,-0.0323,-0.0206,-0.0085,0.0043,0.0156,0.0272,0.035,0.0454
2000-01-27,-41.8768,-72.4287,SO,0.0206,0.0151,0.0092,0.0086,0.0152,0.0108,0.0021,-0.0015,-0.0136,0.0348,0.0475,0.0429,0.0305,0.0298,0.0185,0.0198,0.0266,0.0011,0.0033,-0.0107,-0.0085,-0.0166,-0.0324,-0.02,-0.007,0.0096,-0.0078,-0.0099,-0.0139,-0.006
2000-02-21,-41.877,-72.4304,E,,0.0596,0.0667,0.0589,0.0646,0.041,0.0406,0.0405,0.0302,0.0386,0.0468,0.0564,0.0497,0.0228,-0.0174,-0.0486,-0.0567,-0.0498,-0.0353,-0.0459,-0.0408,-0.0301,-0.0188,-0.0159,-0.0076,0.0065,0.0165,0.0258,0.0318,0.0427
2000-02-21,-41.877,-72.4304,N,-0.0031,-0.004,0.0043,0.0131,0.0448,0.0409,0.0452,0.052,0.0638,0.0737,0.0627,0.0654,0.0575,0.0291,0.0155,-0.0361,-0.0444,-0.048,-0.0771,-0.0588,-0.0563,-0.0473,-0.0347,-0.0247,-0.0125,0.0038,0.0169,0.0296,0.0465,0.062
2000-02-21,-41.877,-72.4304,NE,,0.0414,0.0411,0.052,0.0796,0.0906,0.0619,0.0444,0.0661,0.0844,0.0826,0.0773,0.0709,0.0635,0.0123,-0.056,-0.0874,-0.0751,-0.055,-0.0639,-0.0343,-0.0301,-0.0218,-0.0048,-0.0094,-0.0027,0.0063,0.0219,0.0443,0.0461
2000-02-21,-41.877,-72.4304,NO,,-0.1287,-0.1402,-0.1538,-0.137,-0.1096,-0.1243,-0.0857,-0.0593,-0.0414,-0.0012,0.0002,0.0186,0.0273,0.0444,0.0592,0.0677,0.0442,0.1053,0.0547,0.0624,0.0249,-0.052,-0.0591,-0.0499,-0.0361,-0.014,0.0035,0.0143,0.0338
2000-02-21,-41.877,-72.4304,O,-0.002,-0.0404,-0.0387,-0.0454,-0.036,-0.0139,0.0072,0.0165,0.0148,0.0086,0.0134,0.0183,0.0218,0.0182,0.0303,0.0148,0.0247,0.0083,-0.0072,-0.024,-0.0168,-0.005,0.0017,-0.0074,0.0005,0.0059,-0.0032,0.0006,0.0087,0.0065
