date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-16,-45.9035,-72.969,E,,0.006,0.0016,-0.0004,-0.0027,-0.0026,-0.0028,-0.0026,0.0014,-0.0025,-0.0027,0.0009,0.0012,0.0012,0.0011,0.001,0.001,0.0008,0.0005,1e-04,0.0003,0.0006,0.0002,0.0005,0.0004,-1e-04,-1e-04,-0.0002,0.0004,-1e-04
2000-09-16,-45.9035,-72.969,N,,0.0008,-0.0048,-0.0044,-0.0018,-0.0035,-0.0033,-0.0042,-0.0035,-0.0024,-0.0019,-0.0016,-0.0012,-0.0009,-0.0016,-0.0014,0.0002,-0.0005,-1e-04,0.0002,0.0022,0.0008,-0.0017,0.0007,0.0012,0.0025,-1e-04,-0.0002,0.0003,0.002
2000-09-16,-45.9035,-72.969,NE,0.0082,0.0039,-0.0003,-0.0025,-0.0045,-0.0002,0.004,-0.0002,-0.0002,-0.0043,-0.0044,-0.0002,-0.0,-0.0,-1e-04,-0.0,-0.0003,-0.0,0.0,-0.0,-1e-04,-1e-04,-0.0003,-0.0003,1e-04,-1e-04,-0.0002,-0.0,0.0,-0.0003
2000-09-16,-45.9035,-72.969,NO,0.002,0.002,-0.0019,-0.0012,-0.0008,-0.0005,-0.0024,0.0002,-0.0033,0.0006,0.0011,-0.0023,0.0018,-0.0016,-0.0013,-0.0009,0.0033,0.0,0.0004,0.0016,0.001,0.0012,0.001,0.001,0.0015,-0.0009,-0.0009,-0.0006,-0.0004,-0.0004
2000-09-16,-45.9035,-72.969,O,0.006,0.0018,0.0018,0.0019,0.0022,0.0062,0.0064,0.0065,0.0065,0.0029,0.0046,0.0058,0.0036,0.0038,0.0037,0.0028,0.0019,0.0018,-0.0008,-0.0005,-0.0011,-0.0045,-0.0044,-0.0043,-0.0042,-0.0036,-0.0026,-0.0029,-0.0025,0.0026
2000-09-16,-45.9035,-72.969,S,0.0044,0.0044,0.0042,0.0021,0.004,-1e-04,-0.0003,-0.0003,0.0038,0.0037,0.0015,-0.0006,-0.0051,-0.001,-0.0011,-0.001,-0.0013,-0.0015,-0.0015,-0.0015,-0.0013,-0.0013,0.0025,0.0006,0.0027,0.0025,-0.0014,0.0006,-0.0016,-0.0017
2000-09-16,-45.9035,-72.969,SE,0.007,0.0028,0.0028,0.0027,0.0027,0.0027,-0.0015,-0.0015,-0.0015,0.0027,0.0027,0.0027,-0.0015,-0.0015,0.0027,0.0027,0.0027,0.0006,0.0027,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0016,-0.0015,-0.0015,-0.0015,0.0027,0.0027
2000-09-16,-45.9035,-72.969,SO,,0.0003,-0.004,0.0045,0.0045,0.0044,0.0002,0.0002,0.0044,0.0045,0.0044,0.0042,0.004,0.0002,-1e-04,-0.0002,-0.0005,-0.0043,-0.0043,-0.0045,-0.0046,-0.0046,-0.0046,-0.0006,-0.0006,-0.0006,0.0034,0.0037,-0.0008,0.0013
2000-10-02,-45.9004,-72.964,E,-1e-04,-0.0043,-0.004,0.0004,0.0004,0.0005,-0.0038,-0.0037,0.0007,0.0009,0.0011,0.0012,-0.003,0.0006,0.0008,-0.0008,0.0014,0.0014,0.0014,0.0011,0.0009,0.0008,0.001,0.0006,0.0008,1e-04,0.0006,0.0004,0.0004,1e-04
2000-10-02,-45.9004,-72.964,N,0.0044,-1e-04,-1e-04,-0.0003,-0.0004,-0.0003,-0.0004,-0.0004,-0.0004,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0006,-0.0005,-0.0005,-0.0006,-0.0008,-0.0007,-0.0009,-0.001,-0.0012,0.0007,0.0024,0.0026,0.0024,-0.0015
2000-10-02,-45.9004,-72.964,NE,,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,0.0034,0.0034,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.001,-0.001,-0.0009,-0.0009,-0.0009,0.0034,-0.0009,-0.0008,-0.0008,-0.0008
2000-10-02,-45.9004,-72.964,NO,,0.0003,0.0002,-0.0041,0.0003,0.0003,0.0003,0.0003,-0.0,-0.0,0.0,-0.0,-1e-04,-1e-04,-0.0002,-0.0003,-0.0003,-0.0004,-0.0005,-0.0008,-0.0008,-0.0008,-0.0007,-0.0007,-0.0008,-0.0008,-0.0009,-0.001,-0.0012,-0.0012
2000-10-02,-45.9004,-72.964,O,,-0.0015,-0.0016,-0.0016,-0.006,-0.0038,-0.0016,-0.0014,-0.0014,-0.0013,-0.0014,-0.0013,-0.0012,-0.0011,-0.0011,-0.0011,-0.001,-0.001,-0.001,-0.0011,-0.001,-0.0009,-0.001,-0.0009,0.0034,-0.0005,-0.0006,-0.0005,-0.0005,-0.0005
2000-10-02,-45.9004,-72.964,S,0.0041,0.0018,-0.0026,-0.0045,-0.0044,-0.0045,-0.0042,-0.0041,0.0002,0.0003,0.0004,0.0004,0.0007,-0.0016,-0.0036,0.0005,0.0009,0.0012,0.0011,0.0012,0.0014,0.0015,0.0014,0.0015,0.0016,0.0018,-0.0022,1e-04,-0.0019,-0.0018
2000-10-02,-45.9004,-72.964,SE,,0.0008,-0.0014,-0.0018,-0.0017,-0.0016,-0.0013,-0.0013,-0.0012,-0.0012,-0.0012,-0.0011,0.0034,-0.001,-0.0011,-0.001,-0.001,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0008,-0.0008,-0.0007,-0.0007,-0.0006,-0.0005,-0.0004,-0.0004
2000-10-02,-45.9004,-72.964,SO,,-0.001,-0.0007,-0.0007,-0.0009,-0.0007,-0.0007,-0.0007,-0.0006,-0.0025,-0.0044,-0.0002,-1e-04,-0.0003,0.0005,0.0005,0.002,0.0011,0.0,-0.0014,-0.0033,-0.0026,0.0007,0.001,0.0006,0.0009,0.0006,-0.0005,-0.0005,0.0004
2001-03-11,-45.9038,-72.9686,E,,0.0174,0.0172,0.0171,0.0132,0.0087,0.0086,0.0086,0.0086,0.0047,0.0041,0.0043,0.0043,0.0041,-1e-04,0.0005,0.0002,0.0004,0.0005,-0.0,-0.0003,-0.0002,-0.0003,-0.0011,-0.0012,-0.001,-0.0037,-0.004,-0.0039,-0.0043
2001-03-11,-45.9038,-72.9686,N,0.0122,0.0086,0.009,0.0053,0.0053,0.0018,0.0019,0.0021,-0.0013,-0.0006,0.0015,0.0003,-0.0003,1e-04,-0.0011,0.0009,0.0009,0.0007,0.0013,-0.0022,0.0025,0.0026,-0.0004,-0.0002,-0.0012,-0.004,-0.0046,-0.0042,-0.0035,-1e-04
2001-03-11,-45.9038,-72.9686,NE,0.023,0.0187,0.0138,0.0106,0.0062,0.0062,0.0094,0.006,0.0028,0.0011,0.0011,0.0027,0.0031,0.0029,0.0024,-0.0002,-0.0005,-0.0002,-0.003,-0.0018,-0.0017,-0.002,-0.002,-0.0018,-0.0014,-0.0011,-0.0012,-0.0009,-0.0009,-0.0007
2001-03-11,-45.9038,-72.9686,NO,,0.0063,0.0064,0.0065,0.0066,0.0067,0.0026,0.0026,0.0027,0.0028,0.0029,-0.001,-0.0009,-0.0009,-0.0008,-0.0007,-0.0007,-0.0005,-0.0003,-0.0003,0.0039,-1e-04,-1e-04,0.0002,0.0002,0.0002,-0.0017,0.0003,0.0005,0.0006
2001-03-11,-45.9038,-72.9686,O,0.0045,0.0023,0.0002,0.0022,0.0021,-1e-04,-0.0002,-1e-04,0.0002,0.004,0.0039,0.0033,-0.0013,-0.0014,-0.0011,-0.0004,0.0011,0.002,0.0018,-0.0023,-0.0025,-0.0027,-0.0028,1e-04,-0.0012,-0.0031,1e-04,0.0041,0.0058,0.0054
2001-03-11,-45.9038,-72.9686,S,,0.0059,0.0037,0.0036,0.0077,0.0098,0.0076,0.0055,0.0034,0.0033,0.0033,-0.001,-0.001,-0.0053,-0.0012,-0.0054,-0.0014,-0.0016,-0.0014,0.0025,0.0003,0.0003,-0.0018,0.0064,0.0023,0.0026,0.0026,-0.0016,0.0025,-0.0021
2001-03-11,-45.9038,-72.9686,SE,0.0151,0.0108,0.0106,0.0103,0.0101,0.0099,0.0098,0.0056,0.0055,0.0051,0.0007,0.0006,1e-04,0.0004,0.0043,0.0045,0.0023,0.0004,-0.0005,-0.0006,-0.0003,-0.0004,-0.0003,-0.0016,-0.0012,-0.0013,-0.0012,-0.0012,-0.0015,-0.0016
2001-03-11,-45.9038,-72.9686,SO,0.0137,0.0137,0.0117,0.0095,0.0091,0.0091,0.0077,0.0053,0.0061,0.0048,0.0029,0.0008,0.0007,0.0008,-0.0,-0.0011,-0.0037,-0.0042,-0.0045,-0.0051,-0.0064,-0.0075,-0.0065,-0.0046,-0.0028,0.0011,0.0053,0.0079,0.01,0.0078
2001-04-28,-45.904,-72.9686,E,,0.0243,0.0243,0.0202,0.0202,0.0139,0.0118,0.0118,0.0076,0.0075,0.0033,0.0033,0.0033,0.0034,0.0035,0.0034,0.0034,0.0032,0.0033,0.0015,-0.0006,-0.0007,-0.0007,-0.0003,-0.0006,-0.0049,-0.0049,-0.0048,-0.0048,-0.0047
2001-04-28,-45.904,-72.9686,N,0.0099,0.0099,0.01,0.0037,0.0037,0.0059,0.0059,0.0059,0.0018,0.0017,0.0018,0.0018,0.0018,0.0019,0.002,0.002,0.0019,-0.0021,-0.0022,-0.0021,-0.002,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,0.0019,-0.0022,-0.0021,-0.0021
2001-04-28,-45.904,-72.9686,NE,0.0234,0.018,0.0173,0.0172,0.0087,0.0097,0.0099,0.0099,0.0101,0.0088,0.0046,0.0035,0.0018,0.002,-0.0008,-0.0015,0.0005,0.0026,0.0025,0.0021,0.0018,0.0021,0.0011,1e-04,-0.0021,-0.0031,-0.0038,-0.0048,-0.0058,-0.0061
2001-04-28,-45.904,-72.9686,NO,,0.0025,0.0031,0.0073,0.0039,0.0039,0.0003,0.0044,0.0009,0.0012,-0.0024,-0.0021,-0.0016,-0.0012,-0.0006,-0.0004,-0.0003,-0.0036,0.0006,0.0009,0.0014,0.0016,0.0016,0.001,0.0018,0.0017,-0.0008,-0.0007,-0.0006,-0.0005
2001-04-28,-45.904,-72.9686,O,0.0048,0.0048,0.0008,0.0009,0.0009,-0.0029,0.0011,0.0049,0.0014,0.0011,0.0013,0.0017,0.0021,0.0017,0.0043,0.0023,0.0021,0.0021,-0.0017,-0.003,-0.0015,-0.0014,-0.0039,-0.0022,-0.003,-0.0003,-0.0003,0.0003,0.0038,0.0046
2001-04-28,-45.904,-72.9686,S,,0.0107,0.0128,0.0093,0.0082,0.0069,0.0066,0.0067,0.0082,0.0078,0.0056,0.0015,-0.0008,-0.0014,-0.0045,-0.0027,-0.0024,-0.0014,-0.0009,-0.0002,-0.0017,-0.0013,-0.0029,-0.0027,-0.0023,-0.0023,-0.0018,-0.0009,-0.0008,-0.0005
