date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-10-15,1.4948,127.6345,E,,0.3219,0.25,0.1932,0.136,0.2007,0.1814,0.1748,0.1747,0.1877,0.1048,0.0216,-0.043,-0.0531,-0.0403,-0.0517,-0.0312,-0.0242,-0.0179,-0.0057,-0.0074,-0.0072,-0.0045,0.0015,0.0136,0.0158,0.0179,-0.0054,-0.0207,-0.009
2001-10-15,1.4948,127.6345,N,0.8316,0.6126,0.5408,0.4858,0.481,0.4347,0.3816,0.2527,0.0798,0.0239,-0.0149,-0.0271,-0.0125,0.0108,0.027,0.0137,-0.026,-0.0303,-0.0278,-0.0166,-0.0081,0.0007,-0.0054,-0.0163,-0.0138,-0.0157,-0.0136,-0.0131,-0.0085,-0.0108
2001-10-15,1.4948,127.6345,NE,0.6443,0.5215,0.4449,0.4457,0.4531,0.4495,0.4323,0.395,0.2195,0.0638,-0.0161,-0.0327,-0.0377,-0.0285,-0.031,-0.0322,-0.0341,-0.0235,-0.029,-0.0308,-0.0384,-0.0312,-0.0269,-0.0212,-0.0108,-0.0061,0.0037,0.0055,0.0133,0.0155
2001-10-15,1.4948,127.6345,NO,,0.7043,0.4173,0.3459,0.315,0.3123,0.3161,0.3486,0.2443,0.0866,-0.0591,-0.0706,-0.0355,-0.0257,-0.0071,0.0093,0.0038,-0.01,-0.0267,-0.0389,-0.045,-0.0414,-0.0243,0.0225,0.0183,0.0179,0.0103,-0.014,-0.0277,-0.0471
2001-10-15,1.4948,127.6345,O,,0.8589,0.5447,0.3981,0.2483,0.1737,0.1314,0.1457,0.163,0.1331,0.0458,-0.0398,-0.0807,0.0007,0.0236,-0.0101,-0.0509,-0.0626,-0.0288,-0.0292,-0.0301,-0.0229,-0.0131,0.0367,0.0327,0.0218,0.0009,-0.0271,-0.0436,-0.068
2001-10-15,1.4948,127.6345,S,,0.6991,0.4719,0.2206,0.2517,0.2381,0.1239,0.2856,0.2233,0.196,0.169,0.1361,0.0706,-0.0271,-0.0306,-0.0929,-0.1154,-0.0692,-0.0755,-0.1401,-0.1682,-0.1975,-0.2205,-0.0878,-0.0516,-0.0659,-0.0731,-0.0817,-0.0855,-0.0954
2001-10-15,1.4948,127.6345,SE,0.5426,0.453,0.3824,0.4556,0.4586,0.4433,0.1252,0.1383,0.1739,0.209,0.181,0.2169,0.2633,0.2086,0.0948,-0.0127,-0.0918,-0.1071,-0.1351,-0.1203,-0.123,-0.0634,-0.0506,-0.0512,-0.0436,-0.0321,-0.0266,-0.0142,-0.0026,-0.0018
2001-10-15,1.4948,127.6345,SO,,0.5093,0.3434,0.1891,0.0858,0.0284,0.0217,-0.0026,0.0753,0.0906,0.1066,0.1287,0.0543,-0.0823,,,,,,,0.0066,-0.0593,-0.0605,0.0958,0.0461,-0.0082,-0.0292,-0.0617,-0.0906,-0.1133
2002-02-04,1.4948,127.6342,E,,0.1538,0.0926,0.1001,0.0688,0.0775,0.0687,0.0695,0.0672,0.0714,0.0604,0.0379,0.0084,-0.0118,-0.0195,-0.0258,-0.0155,-0.0059,-0.0004,0.0018,-0.0016,-0.001,-0.0026,-0.0031,-0.0057,-0.0038,-0.005,-0.0116,-0.0142,-0.0068
2002-02-04,1.4948,127.6342,N,0.6712,0.4596,0.2445,0.1918,0.1786,0.2,0.1898,0.1651,0.1264,0.059,0.0179,-0.0122,-0.0231,-0.0027,0.0118,0.0242,0.0314,-0.0098,-0.0135,-0.0135,-0.0114,-0.009,-0.0025,-0.0077,-0.0127,-0.0155,-0.0162,-0.0205,-0.0239,-0.025
2002-02-04,1.4948,127.6342,NE,0.4627,0.3202,0.1807,0.1702,0.1825,0.1891,0.1649,0.1525,0.1127,0.0707,0.0154,-0.01,-0.0131,-0.0064,-0.0067,-0.0073,-0.0098,-0.0064,-0.0046,-0.0073,-0.0176,-0.0243,-0.0266,-0.0233,-0.0199,-0.0137,-0.0121,-0.0055,-0.002,0.0003
2002-02-04,1.4948,127.6342,NO,,0.5296,0.2466,0.1793,0.1491,0.1437,0.1413,0.1091,0.0997,0.0498,-0.0239,-0.0496,-0.0341,-0.0074,-0.003,0.0267,0.0256,0.0164,0.0091,-0.0008,-0.012,-0.0335,-0.0302,-0.0188,-0.0072,0.0075,0.0153,-0.0048,-0.0141,-0.0212
2002-02-04,1.4948,127.6342,O,,0.5539,0.2968,0.2091,0.1495,0.1382,0.1318,0.2045,0.1785,0.0986,0.0391,-0.0128,-0.0319,0.0007,0.0057,0.0102,0.0019,0.0016,0.0228,0.0198,0.0206,0.023,0.0067,0.0119,0.0056,-0.0029,-0.0021,-0.0111,-0.0163,-0.0164
2002-02-04,1.4948,127.6342,S,,0.3632,0.1697,0.0532,0.1337,0.1357,0.0808,0.2169,0.1565,0.1918,0.1788,0.1936,-0.0036,-0.0024,-0.0266,-0.0298,0.0131,0.0049,-0.0679,-0.0801,-0.1304,-0.142,-0.055,-0.0074,-0.0128,-0.0211,-0.0324,-0.0417,-0.0429,-0.0506
2002-02-04,1.4948,127.6342,SE,0.4464,0.5049,0.3134,0.2985,0.2965,0.2764,0.1699,0.0922,0.0997,0.1014,0.104,0.1133,0.0945,0.0508,-0.0002,-0.0246,-0.036,-0.0522,-0.0691,-0.0513,-0.0477,-0.0419,-0.0389,-0.0341,-0.0238,-0.0152,-0.0064,0.0009,0.0029,0.0026
2002-02-04,1.4948,127.6342,SO,,0.3384,0.1775,0.1411,0.1412,0.1303,0.1321,0.1366,0.1353,,,,,,,,,,,,-0.0071,-0.0328,0.0281,0.0327,-0.01,-0.011,-0.0045,-0.0034,-0.0195,-0.0156
2002-04-25,1.4951,127.634,E,,0.2672,0.2417,0.0837,0.0943,0.1053,0.091,0.0755,0.0513,0.0046,-0.0041,-0.0244,-0.0358,-0.0248,-0.0158,-0.0095,-0.0023,0.0009,-0.0,-0.0098,-0.0103,-0.0019,-0.0006,-0.0023,0.0006,0.0017,0.0037,-0.0064,-0.0014,-0.0018
2002-04-25,1.4951,127.634,N,,0.577,0.3718,0.2582,0.152,0.1583,0.1934,0.1783,0.1564,0.1235,0.0696,0.0398,0.0091,-0.0045,0.0,0.0106,0.0122,-0.0084,-0.0223,-0.0314,-0.0391,-0.0355,-0.0272,-0.0214,-0.0166,-0.0145,-0.0186,-0.0199,-0.0172,-0.0138
2002-04-25,1.4951,127.634,NE,0.3144,0.3075,0.1914,0.184,0.1419,0.1486,0.128,0.1149,0.0853,0.0227,-0.011,-0.0299,-0.039,-0.018,-0.0115,-0.0021,-0.0063,-0.0194,-0.032,-0.0277,-0.021,-0.0135,0.001,0.0005,0.0049,0.0042,0.0053,0.0109,0.012,0.0118
2002-04-25,1.4951,127.634,NO,0.4385,0.4986,0.4865,0.367,0.178,0.1283,0.1373,0.108,0.0965,0.1128,0.057,-0.0173,-0.066,-0.0703,-0.0313,0.0116,0.0147,0.0059,-0.0141,-0.0313,-0.049,-0.0801,-0.059,,,,,,-0.0303,
2002-04-25,1.4951,127.634,O,,0.3033,0.2293,0.1376,0.0784,0.0065,0.0077,0.012,,0.0228,-0.015,-0.038,,,,,,,,,,,,,,,,,,
2002-04-25,1.4951,127.634,S,,0.3763,0.2428,0.22,0.2346,0.3034,0.3537,0.2239,0.1525,0.1755,0.1911,-0.0066,-0.0337,-0.0538,-0.0308,0.0242,0.0301,-0.0602,-0.0801,-0.1019,-0.1093,-0.0259,-0.0037,-0.0041,-0.0,-0.0166,-0.0138,0.003,-0.0117,-0.0177
