date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-08-14,13.8495,-89.6296,E,,0.4739,0.3367,0.1143,-0.0154,-0.0105,-0.0109,-0.0132,-0.0117,-0.0038,0.0067,0.0065,0.0027,0.0015,-0.0004,-0.0096,-0.0121,-0.0029,0.0029,-0.0071,-0.0002,-0.0071,-0.0003,-0.0283,,,,,,
2001-08-14,13.8495,-89.6296,N,0.6448,0.3949,0.1935,0.0505,-0.0037,-0.0215,-0.0236,-0.0208,0.0128,0.0008,-0.0201,-0.0261,-0.0144,-0.0005,-0.004,0.001,0.0282,0.0424,0.0454,0.0511,0.035,0.0226,0.0017,-0.0329,-0.0459,-0.0471,-0.0431,-0.0392,-0.0349,-0.0289
2001-08-14,13.8495,-89.6296,NE,,0.2851,0.1239,0.015,-0.0839,-0.068,-0.0777,-0.0314,-0.0036,0.0464,0.0768,0.0871,0.0932,0.0835,0.0541,0.0041,-0.0187,-0.0084,0.0033,0.0117,0.0032,-0.0091,-0.0211,-0.0224,-0.0374,-0.0465,-0.05,-0.0498,-0.0533,-0.057
2001-08-14,13.8495,-89.6296,NO,,0.4596,0.4005,0.3028,0.1333,0.1143,0.0953,0.0403,-0.0066,-0.0294,-0.0496,-0.049,-0.0471,-0.0247,-0.0044,0.0083,0.0203,0.0295,0.0217,0.0201,0.012,0.0083,-0.0024,-0.0151,-0.0121,-0.0123,-0.0143,-0.0096,-0.0066,-0.0056
2001-08-14,13.8495,-89.6296,O,,0.5427,0.4384,0.2771,0.1464,0.0846,0.0322,-0.0085,-0.0214,-0.0208,-0.0157,-0.0045,-0.0034,-0.002,0.0089,0.0045,0.0026,0.0014,0.005,0.0094,0.0066,-0.0024,-0.0029,-0.0062,-0.0091,-0.012,-0.0063,-0.0052,-0.0019,-0.0028
2001-08-14,13.8495,-89.6296,S,0.4398,0.1724,0.0569,-0.001,-0.0044,-0.0101,0.0049,0.0152,0.0201,0.0198,0.0184,0.0399,0.0391,0.0291,0.018,0.0041,-0.0012,0.0015,0.0011,0.0046,0.0235,0.0248,0.0131,0.0002,-0.0264,-0.0213,-0.014,-0.0217,-0.0348,-0.0346
2001-08-14,13.8495,-89.6296,SE,,0.2895,0.1489,0.0301,-0.0154,-0.003,-0.0145,-0.0159,-0.0143,-0.0036,-0.007,-0.011,-0.0178,-0.0184,-0.0049,0.0248,0.0313,0.0384,0.0363,0.0462,0.036,0.0329,0.0244,0.0149,0.0077,-0.0069,-0.0389,-0.0488,-0.0514,-0.0534
2001-08-14,13.8495,-89.6296,SO,,0.3663,0.1806,0.064,0.0584,0.0581,0.0386,0.0243,0.0047,0.0015,0.0082,0.0241,0.0389,0.0406,0.0255,0.0241,0.0113,0.0033,-0.0089,-0.0119,-0.0179,-0.0215,-0.0144,-0.0067,-0.0173,-0.0059,-0.005,-0.0024,-0.0086,-0.0038
2002-01-05,13.8497,-89.6296,E,,0.0928,-0.0263,-0.0537,-0.0712,-0.0937,-0.0819,-0.0691,-0.044,-0.0293,-0.0108,-0.0165,-0.0054,0.0186,0.0666,0.1033,0.1136,0.1223,0.1086,0.0922,0.0775,0.024,-0.0153,-0.0379,-0.053,-0.0655,-0.0811,-0.0961,-0.1026,-0.0923
2002-01-05,13.8497,-89.6296,N,0.5407,0.3517,0.1454,0.0229,-0.0353,-0.0333,-0.035,-0.0348,-0.03,-0.0181,-0.0787,-0.0573,-0.0373,-0.0367,-0.0436,-0.0184,0.0448,0.1155,0.1089,0.1071,0.1101,0.081,0.0442,-0.0364,-0.0278,-0.0645,-0.0773,-0.0809,-0.0761,-0.0682
