date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-06-16,-8.5326,123.5774,E,,0.1169,0.1091,0.0949,0.0849,0.0868,0.0831,0.0518,0.051,0.0586,0.059,0.0574,0.0378,0.02,0.0381,-0.0014,-0.0254,-0.0081,0.009,0.0047,0.0053,-0.0059,-0.0042,-0.0175,-0.0269,-0.0215,-0.0207,-0.0023,0.0013,-0.005
2001-06-16,-8.5326,123.5774,N,-0.0907,-0.0815,-0.0681,-0.0634,-0.0541,-0.0524,-0.049,-0.0393,-0.0205,-0.0072,-0.004,-0.002,0.0073,0.0103,0.0065,0.009,0.0113,0.0002,0.0036,-0.0012,0.0026,-0.0005,-0.0006,0.0031,0.013,0.0229,0.0245,0.0087,-0.0326,-0.0285
2001-06-16,-8.5326,123.5774,NE,,0.0961,0.1009,0.0935,0.0894,0.0813,0.0792,0.0703,0.0353,0.0418,0.0431,0.0089,0.0133,-0.0243,-0.0627,-0.0105,-0.003,-0.0022,-0.0012,0.0185,0.0245,-0.0025,0.0005,-0.01,-0.0131,-0.0217,-0.0166,-0.0248,-0.0566,-0.0766
2001-06-16,-8.5326,123.5774,NO,,-0.0412,-0.0355,-0.0386,-0.0385,-0.0316,-0.0309,-0.0163,-0.0171,-0.0077,0.0011,0.0034,0.0163,0.0199,0.0281,0.0253,0.0241,0.0106,0.0101,-0.0047,-0.0067,-0.0088,-0.015,-0.0186,-0.0099,0.0059,-0.0073,-0.0051,-0.015,-0.0158
2001-06-16,-8.5326,123.5774,O,0.0734,0.0663,0.053,0.0417,0.0148,0.0148,0.013,0.0225,-0.0028,-0.002,0.0088,0.0133,0.0193,0.0101,-0.0121,-0.0006,-0.0401,-0.0378,-0.0288,-0.0184,-0.0048,-0.0037,-0.0012,0.0065,0.0073,0.0143,0.0196,0.0243,0.019,0.0171
2001-06-16,-8.5326,123.5774,S,,0.1076,0.0944,0.0744,0.0584,0.031,0.0197,-0.0008,0.0037,-0.025,0.0036,-0.0099,0.0041,0.0146,0.008,0.0067,0.0158,0.0254,0.0301,0.0284,-0.0047,0.0029,-0.0025,-0.0099,-0.0096,-0.0105,-0.0128,-0.0074,-0.0011,-0.0096
2001-06-16,-8.5326,123.5774,SE,,0.0732,0.0545,0.0268,0.0201,0.0166,0.0237,0.024,0.028,0.017,0.0068,0.0096,0.0234,0.0192,0.0092,0.0101,-0.008,-0.0092,-0.0103,-0.0005,-0.0044,0.0134,0.0044,-0.0059,0.0078,0.0118,0.0172,0.0228,0.0127,0.012
2001-06-16,-8.5326,123.5774,SO,,0.0741,0.049,0.0121,0.0211,0.0268,0.0227,0.0252,0.0312,0.0227,0.0273,0.0103,0.0103,0.0117,0.0187,-0.0007,-0.0146,-0.0195,-0.008,0.0052,-0.0035,-0.0037,-0.0027,-0.0034,-0.0027,0.0032,-0.0019,-0.0112,-0.0104,-0.0097
2001-09-04,-8.5297,123.575,E,,0.1276,0.1081,0.071,0.0599,0.0539,0.0483,0.0262,0.0019,-0.0438,-0.0245,-0.0102,-0.0023,-0.057,-0.0366,-0.0394,-0.0266,-0.0018,0.0305,0.0622,0.0646,0.0769,0.0447,0.0318,0.0346,0.0131,0.0043,-0.0324,-0.0533,-0.0459
2001-09-04,-8.5297,123.575,N,0.0639,0.0429,0.028,0.0258,0.0235,0.0359,0.0523,0.0501,0.0395,0.0379,0.0268,0.0161,0.0195,0.0154,-0.0106,-0.0449,-0.0729,-0.0871,-0.0577,-0.027,-0.0298,-0.0164,0.0036,0.008,0.0132,0.0465,0.0376,0.0464,0.0433,0.0349
